year,month,state,fips,dead
1999,04,New Mexico,35,1083
1999,04,New York,36,12698
1999,04,North Carolina,37,5735
1999,04,North Dakota,38,523
1999,04,Ohio,39,9258
1999,04,Oklahoma,40,2792
1999,04,Oregon,41,2545
1999,04,Pennsylvania,42,10828
1999,04,Rhode Island,44,745
1999,04,South Carolina,45,3113
1999,04,South Dakota,46,572
1999,04,Tennessee,47,4536
1999,04,Texas,48,11928
1999,04,Utah,49,999
1999,04,Vermont,50,414
1999,04,Virginia,51,4556
1999,04,Washington,53,3711
1999,04,West Virginia,54,1811
1999,04,Wisconsin,55,3712
1999,04,Wyoming,56,288
1999,05,Alabama,01,3649
1999,05,Alaska,02,207
1999,05,Arizona,04,3164
1999,05,Arkansas,05,2325
1999,05,California,06,18559
1999,05,Colorado,08,2116
1999,05,Connecticut,09,2393
1999,05,Delaware,10,547
1999,05,District of Columbia,11,465
1999,05,Florida,12,13132
1999,05,Georgia,13,5044
1999,05,Hawaii,15,666
1999,05,Idaho,16,797
1999,05,Illinois,17,8457
1999,05,Indiana,18,4387
1999,05,Iowa,19,2274
1999,05,Kansas,20,1895
1999,05,Kentucky,21,3133
1999,05,Louisiana,22,3345
1999,05,Maine,23,940
1999,05,Maryland,24,3466
1999,05,Massachusetts,25,4371
1999,05,Michigan,26,7062
1999,05,Minnesota,27,3068
1999,05,Mississippi,28,2319
1999,05,Missouri,29,4512
1999,05,Montana,30,625
1999,05,Nebraska,31,1294
1999,05,Nevada,32,1232
1999,05,New Hampshire,33,771
1999,05,New Jersey,34,5973
1999,05,New Mexico,35,1035
1999,05,New York,36,12643
1999,05,North Carolina,37,5546
1999,05,North Dakota,38,474
1999,05,Ohio,39,8770
1999,05,Oklahoma,40,2756
1999,05,Oregon,41,2432
1999,05,Pennsylvania,42,10352
1999,05,Rhode Island,44,714
1999,05,South Carolina,45,2930
1999,05,South Dakota,46,524
1999,05,Tennessee,47,4411
1999,05,Texas,48,11921
1999,05,Utah,49,974
1999,05,Vermont,50,405
1999,05,Virginia,51,4473
1999,05,Washington,53,3661
1999,05,West Virginia,54,1700
1999,05,Wisconsin,55,3741
1999,05,Wyoming,56,332
1999,06,Alabama,01,3389
1999,06,Alaska,02,203
1999,06,Arizona,04,3018
1999,06,Arkansas,05,2075
1999,06,California,06,17648
1999,06,Colorado,08,2030
1999,06,Connecticut,09,2173
1999,06,Delaware,10,511
1999,06,District of Columbia,11,473
1999,06,Florida,12,12476
1999,06,Georgia,13,4632
1999,06,Hawaii,15,648
1999,06,Idaho,16,706
1999,06,Illinois,17,8183
1999,06,Indiana,18,4052
1999,06,Iowa,19,2077
1999,06,Kansas,20,1817
1999,06,Kentucky,21,2882
1999,06,Louisiana,22,3183
1999,06,Maine,23,939
1999,06,Maryland,24,3160
1999,06,Massachusetts,25,4266
1999,06,Michigan,26,6647
1999,06,Minnesota,27,2798
1999,06,Mississippi,28,2087
1999,06,Missouri,29,4179
1999,06,Montana,30,582
1999,06,Nebraska,31,1144
1999,06,Nevada,32,1226
1999,06,New Hampshire,33,678
1999,06,New Jersey,34,5433
1999,06,New Mexico,35,1073
1999,06,New York,36,12037
1999,06,North Carolina,37,5115
1999,06,North Dakota,38,473
1999,06,Ohio,39,8086
1999,06,Oklahoma,40,2657
1999,06,Oregon,41,2284
1999,06,Pennsylvania,42,9622
1999,06,Rhode Island,44,749
1999,06,South Carolina,45,2728
1999,06,South Dakota,46,536
1999,06,Tennessee,47,4205
1999,06,Texas,48,11139
1999,06,Utah,49,906
1999,06,Vermont,50,352
1999,06,Virginia,51,4162
1999,06,Washington,53,3438
1999,06,West Virginia,54,1594
