date,age,covid,all
2023-02,0,,1517
2023-03,0,,1792
2023-04,0,,1657
2023-05,0,,1674
2023-06,0,,1669
2023-07,0,,1673
2023-08,0,,1708
2023-09,0,,1646
2023-10,0,,1688
2023-11,0,,1605
2023-12,0,,1751
2024-01,0,,1619
2024-02,0,,1543
2024-03,0,,1619
2024-04,0,,1507
2024-05,0,,1416
2024-06,0,,679
1999-01,1-4,,469
1999-02,1-4,,451
1999-03,1-4,,467
1999-04,1-4,,418
1999-05,1-4,,436
1999-06,1-4,,472
1999-07,1-4,,470
1999-08,1-4,,426
1999-09,1-4,,382
1999-10,1-4,,411
1999-11,1-4,,376
1999-12,1-4,,471
2000-01,1-4,,481
2000-02,1-4,,416
2000-03,1-4,,403
2000-04,1-4,,394
2000-05,1-4,,433
2000-06,1-4,,391
2000-07,1-4,,477
2000-08,1-4,,408
2000-09,1-4,,403
2000-10,1-4,,367
2000-11,1-4,,354
2000-12,1-4,,452
2001-01,1-4,,476
2001-02,1-4,,445
2001-03,1-4,,447
2001-04,1-4,,433
2001-05,1-4,,433
2001-06,1-4,,424
2001-07,1-4,,460
2001-08,1-4,,400
2001-09,1-4,,393
2001-10,1-4,,392
2001-11,1-4,,418
2001-12,1-4,,386
2002-01,1-4,,394
2002-02,1-4,,408
2002-03,1-4,,471
2002-04,1-4,,404
2002-05,1-4,,408
2002-06,1-4,,424
2002-07,1-4,,460
2002-08,1-4,,358
2002-09,1-4,,372
2002-10,1-4,,365
2002-11,1-4,,393
2002-12,1-4,,401
2003-01,1-4,,406
2003-02,1-4,,440
2003-03,1-4,,431
2003-04,1-4,,447
2003-05,1-4,,402
2003-06,1-4,,442
2003-07,1-4,,415
2003-08,1-4,,424
2003-09,1-4,,353
2003-10,1-4,,355
2003-11,1-4,,379
2003-12,1-4,,471
2004-01,1-4,,439
2004-02,1-4,,427
2004-03,1-4,,432
2004-04,1-4,,394
2004-05,1-4,,416
2004-06,1-4,,415
2004-07,1-4,,439
2004-08,1-4,,396
2004-09,1-4,,369
2004-10,1-4,,336
2004-11,1-4,,314
2004-12,1-4,,408
2005-01,1-4,,378
2005-02,1-4,,373
2005-03,1-4,,401
2005-04,1-4,,393
2005-05,1-4,,479
2005-06,1-4,,418
2005-07,1-4,,467
2005-08,1-4,,382
2005-09,1-4,,326
2005-10,1-4,,387
2005-11,1-4,,380
2005-12,1-4,,372
2006-01,1-4,,406
2006-02,1-4,,355
2006-03,1-4,,424
2006-04,1-4,,413
2006-05,1-4,,404
2006-06,1-4,,404
2006-07,1-4,,405
2006-08,1-4,,369
2006-09,1-4,,350
2006-10,1-4,,350
2006-11,1-4,,363
2006-12,1-4,,388
2007-01,1-4,,381
2007-02,1-4,,402
2007-03,1-4,,448
2007-04,1-4,,415
2007-05,1-4,,391
2007-06,1-4,,387
2007-07,1-4,,421
2007-08,1-4,,404
2007-09,1-4,,336
2007-10,1-4,,357
2007-11,1-4,,395
2007-12,1-4,,366
2008-01,1-4,,412
2008-02,1-4,,421
2008-03,1-4,,438
2008-04,1-4,,406
2008-05,1-4,,401
2008-06,1-4,,402
2008-07,1-4,,372
2008-08,1-4,,404
2008-09,1-4,,353
2008-10,1-4,,350
2008-11,1-4,,380
2008-12,1-4,,391
2009-01,1-4,,373
2009-02,1-4,,361
2009-03,1-4,,417
2009-04,1-4,,362
2009-05,1-4,,405
2009-06,1-4,,408
2009-07,1-4,,385
2009-08,1-4,,360
2009-09,1-4,,350
2009-10,1-4,,338
2009-11,1-4,,344
2009-12,1-4,,347
2010-01,1-4,,341
2010-02,1-4,,311
2010-03,1-4,,374
2010-04,1-4,,378
2010-05,1-4,,375
2010-06,1-4,,382
2010-07,1-4,,425
2010-08,1-4,,350
2010-09,1-4,,352
2010-10,1-4,,316
2010-11,1-4,,346
2010-12,1-4,,366
2011-01,1-4,,348
2011-02,1-4,,356
2011-03,1-4,,403
2011-04,1-4,,379
2011-05,1-4,,396
2011-06,1-4,,379
2011-07,1-4,,402
2011-08,1-4,,354
2011-09,1-4,,299
2011-10,1-4,,332
2011-11,1-4,,302
2011-12,1-4,,296
2012-01,1-4,,341
2012-02,1-4,,369
2012-03,1-4,,390
2012-04,1-4,,352
2012-05,1-4,,378
2012-06,1-4,,361
2012-07,1-4,,371
2012-08,1-4,,342
2012-09,1-4,,328
2012-10,1-4,,341
2012-11,1-4,,329
2012-12,1-4,,316
2013-01,1-4,,331
2013-02,1-4,,335
2013-03,1-4,,363
2013-04,1-4,,326
2013-05,1-4,,348
2013-06,1-4,,387
2013-07,1-4,,386
2013-08,1-4,,352
2013-09,1-4,,315
2013-10,1-4,,295
2013-11,1-4,,296
2013-12,1-4,,334
2014-01,1-4,,378
2014-02,1-4,,301
2014-03,1-4,,339
2014-04,1-4,,296
2014-05,1-4,,338
2014-06,1-4,,335
2014-07,1-4,,316
2014-08,1-4,,336
2014-09,1-4,,276
2014-10,1-4,,311
2014-11,1-4,,290
2014-12,1-4,,314
2015-01,1-4,,315
2015-02,1-4,,327
2015-03,1-4,,323
2015-04,1-4,,352
2015-05,1-4,,369
2015-06,1-4,,357
2015-07,1-4,,332
2015-08,1-4,,356
2015-09,1-4,,294
2015-10,1-4,,314
2015-11,1-4,,312
2015-12,1-4,,314
2016-01,1-4,,321
2016-02,1-4,,312
2016-03,1-4,,354
2016-04,1-4,,364
2016-05,1-4,,355
2016-06,1-4,,353
2016-07,1-4,,382
2016-08,1-4,,332
2016-09,1-4,,302
2016-10,1-4,,319
2016-11,1-4,,316
2016-12,1-4,,335
2017-01,1-4,,283
2017-02,1-4,,292
2017-03,1-4,,337
2017-04,1-4,,322
2017-05,1-4,,364
2017-06,1-4,,351
2017-07,1-4,,364
2017-08,1-4,,329
2017-09,1-4,,298
2017-10,1-4,,292
2017-11,1-4,,310
2017-12,1-4,,338
2018-01,1-4,,352
2018-02,1-4,,296
2018-03,1-4,,327
2018-04,1-4,,271
2018-05,1-4,,381
2018-06,1-4,,336
2018-07,1-4,,365
2018-08,1-4,,333
2018-09,1-4,,304
2018-10,1-4,,276
2018-11,1-4,,316
2018-12,1-4,,273
2019-01,1-4,,303
2019-02,1-4,,304
2019-03,1-4,,290
2019-04,1-4,,322
2019-05,1-4,,350
2019-06,1-4,,335
2019-07,1-4,,318
2019-08,1-4,,317
2019-09,1-4,,280
2019-10,1-4,,266
2019-11,1-4,,258
2019-12,1-4,,333
2020-01,1-4,,312
2020-02,1-4,,325
2020-03,1-4,,327
2020-04,1-4,,248
2020-05,1-4,,321
2020-06,1-4,,308
2020-07,1-4,,349
2020-08,1-4,,278
2020-09,1-4,,264
2020-10,1-4,,282
2020-11,1-4,,257
2020-12,1-4,,258
