age,date,state,dead
all,2020-07,Kansas,108
all,2020-07,Kentucky,164
all,2020-07,Louisiana,698
all,2020-07,Maine,21
all,2020-07,Maryland,266
all,2020-07,Massachusetts,140
all,2020-07,Michigan,151
all,2020-07,Minnesota,128
all,2020-07,Mississippi,613
all,2020-07,Missouri,226
all,2020-07,Montana,36
all,2020-07,Nebraska,43
all,2020-07,Nevada,351
all,2020-07,New Hampshire,31
all,2020-07,New Jersey,233
all,2020-07,New Mexico,154
all,2020-07,New York,350
all,2020-07,North Carolina,638
all,2020-07,North Dakota,17
all,2020-07,Ohio,608
all,2020-07,Oklahoma,221
all,2020-07,Oregon,106
all,2020-07,Pennsylvania,415
all,2020-07,Rhode Island,28
all,2020-07,South Carolina,965
all,2020-07,South Dakota,40
all,2020-07,Tennessee,492
all,2020-07,Texas,6533
all,2020-07,Utah,124
all,2020-07,Virginia,351
all,2020-07,Washington,259
all,2020-07,West Virginia,33
all,2020-07,Wisconsin,133
all,2020-08,Alabama,947
all,2020-08,Alaska,17
all,2020-08,Arizona,832
all,2020-08,Arkansas,366
all,2020-08,California,3476
all,2020-08,Colorado,97
all,2020-08,Connecticut,25
all,2020-08,Delaware,21
all,2020-08,District of Columbia,24
all,2020-08,Florida,4230
all,2020-08,Georgia,1665
all,2020-08,Hawaii,66
all,2020-08,Idaho,162
all,2020-08,Illinois,468
all,2020-08,Indiana,338
all,2020-08,Iowa,241
all,2020-08,Kansas,168
all,2020-08,Kentucky,254
all,2020-08,Louisiana,817
all,2020-08,Maryland,242
all,2020-08,Massachusetts,82
all,2020-08,Michigan,213
all,2020-08,Minnesota,185
all,2020-08,Mississippi,721
all,2020-08,Missouri,418
all,2020-08,Montana,47
all,2020-08,Nebraska,90
all,2020-08,Nevada,429
all,2020-08,New Jersey,130
all,2020-08,New Mexico,98
all,2020-08,New York,201
all,2020-08,North Carolina,825
all,2020-08,North Dakota,30
all,2020-08,Ohio,703
all,2020-08,Oklahoma,328
all,2020-08,Oregon,115
all,2020-08,Pennsylvania,450
all,2020-08,Rhode Island,30
all,2020-08,South Carolina,911
all,2020-08,South Dakota,33
all,2020-08,Tennessee,609
all,2020-08,Texas,4769
all,2020-08,Utah,73
all,2020-08,Virginia,457
all,2020-08,Washington,251
all,2020-08,West Virginia,100
all,2020-08,Wisconsin,159
all,2020-09,Alabama,555
all,2020-09,Alaska,12
all,2020-09,Arizona,229
all,2020-09,Arkansas,362
all,2020-09,California,1870
all,2020-09,Colorado,93
all,2020-09,Connecticut,37
all,2020-09,Delaware,24
all,2020-09,District of Columbia,25
all,2020-09,Florida,1746
all,2020-09,Georgia,879
all,2020-09,Hawaii,118
all,2020-09,Idaho,91
all,2020-09,Illinois,476
all,2020-09,Indiana,334
all,2020-09,Iowa,232
all,2020-09,Kansas,218
all,2020-09,Kentucky,262
all,2020-09,Louisiana,383
all,2020-09,Maine,10
all,2020-09,Maryland,164
all,2020-09,Massachusetts,67
all,2020-09,Michigan,206
all,2020-09,Minnesota,201
all,2020-09,Mississippi,390
all,2020-09,Missouri,605
all,2020-09,Montana,80
all,2020-09,Nebraska,101
all,2020-09,Nevada,193
all,2020-09,New Jersey,118
all,2020-09,New Mexico,57
all,2020-09,New York,178
all,2020-09,North Carolina,807
all,2020-09,North Dakota,100
all,2020-09,Ohio,557
all,2020-09,Oklahoma,319
all,2020-09,Oregon,84
all,2020-09,Pennsylvania,333
all,2020-09,Rhode Island,39
all,2020-09,South Carolina,544
all,2020-09,South Dakota,87
all,2020-09,Tennessee,592
all,2020-09,Texas,2081
all,2020-09,Utah,57
all,2020-09,Virginia,440
all,2020-09,Washington,147
all,2020-09,West Virginia,107
all,2020-09,Wisconsin,173
all,2020-09,Wyoming,15
all,2020-10,Alabama,546
all,2020-10,Alaska,28
all,2020-10,Arizona,225
all,2020-10,Arkansas,536
all,2020-10,California,1295
all,2020-10,Colorado,206
all,2020-10,Connecticut,132
all,2020-10,Delaware,76
all,2020-10,District of Columbia,18
all,2020-10,Florida,1230
all,2020-10,Georgia,695
all,2020-10,Hawaii,68
all,2020-10,Idaho,161
all,2020-10,Illinois,973
all,2020-10,Indiana,759
all,2020-10,Iowa,487
all,2020-10,Kansas,409
all,2020-10,Kentucky,452
all,2020-10,Louisiana,297
all,2020-10,Maryland,213
all,2020-10,Massachusetts,174
all,2020-10,Michigan,533
all,2020-10,Minnesota,446
all,2020-10,Mississippi,301
all,2020-10,Missouri,998
all,2020-10,Montana,253
all,2020-10,Nebraska,246
all,2020-10,Nevada,167
all,2020-10,New Hampshire,31
all,2020-10,New Jersey,239
all,2020-10,New Mexico,184
all,2020-10,New York,380
all,2020-10,North Carolina,903
all,2020-10,North Dakota,261
all,2020-10,Ohio,853
all,2020-10,Oklahoma,562
all,2020-10,Oregon,111
all,2020-10,Pennsylvania,613
all,2020-10,Rhode Island,77
all,2020-10,South Carolina,453
all,2020-10,South Dakota,230
all,2020-10,Tennessee,842
all,2020-10,Texas,2532
all,2020-10,Utah,151
all,2020-10,Virginia,450
all,2020-10,Washington,198
all,2020-10,West Virginia,125
all,2020-10,Wisconsin,841
all,2020-10,Wyoming,63
all,2020-11,Alabama,750
all,2020-11,Alaska,59
all,2020-11,Arizona,744
all,2020-11,Arkansas,735
all,2020-11,California,2376
all,2020-11,Colorado,952
all,2020-11,Connecticut,452
all,2020-11,Delaware,82
all,2020-11,District of Columbia,49
all,2020-11,Florida,1565
all,2020-11,Georgia,903
all,2020-11,Hawaii,30
all,2020-11,Idaho,339
all,2020-11,Illinois,3117
all,2020-11,Indiana,1751
all,2020-11,Iowa,1401
all,2020-11,Kansas,870
all,2020-11,Kentucky,928
all,2020-11,Louisiana,451
all,2020-11,Maine,72
all,2020-11,Maryland,553
all,2020-11,Massachusetts,417
all,2020-11,Michigan,1955
all,2020-11,Minnesota,1327
all,2020-11,Mississippi,480
