type,cause,month,dead
ucd,O00-O99,2014-08,80
ucd,O00-O99,2014-09,79
ucd,O00-O99,2014-10,81
ucd,O00-O99,2014-11,92
ucd,O00-O99,2014-12,83
ucd,O00-O99,2015-01,95
ucd,O00-O99,2015-02,79
ucd,O00-O99,2015-03,96
ucd,O00-O99,2015-04,93
ucd,O00-O99,2015-05,90
ucd,O00-O99,2015-06,99
ucd,O00-O99,2015-07,96
ucd,O00-O99,2015-08,85
ucd,O00-O99,2015-09,99
ucd,O00-O99,2015-10,109
ucd,O00-O99,2015-11,98
ucd,O00-O99,2015-12,101
ucd,O00-O99,2016-01,99
ucd,O00-O99,2016-02,84
ucd,O00-O99,2016-03,104
ucd,O00-O99,2016-04,104
ucd,O00-O99,2016-05,102
ucd,O00-O99,2016-06,105
ucd,O00-O99,2016-07,105
ucd,O00-O99,2016-08,106
ucd,O00-O99,2016-09,118
ucd,O00-O99,2016-10,105
ucd,O00-O99,2016-11,96
ucd,O00-O99,2016-12,103
ucd,O00-O99,2017-01,95
ucd,O00-O99,2017-02,93
ucd,O00-O99,2017-03,93
ucd,O00-O99,2017-04,93
ucd,O00-O99,2017-05,94
ucd,O00-O99,2017-06,99
ucd,O00-O99,2017-07,101
ucd,O00-O99,2017-08,113
ucd,O00-O99,2017-09,114
ucd,O00-O99,2017-10,106
ucd,O00-O99,2017-11,101
ucd,O00-O99,2017-12,106
ucd,O00-O99,2018-01,89
ucd,O00-O99,2018-02,85
ucd,O00-O99,2018-03,92
ucd,O00-O99,2018-04,74
ucd,O00-O99,2018-05,70
ucd,O00-O99,2018-06,64
ucd,O00-O99,2018-07,96
ucd,O00-O99,2018-08,97
ucd,O00-O99,2018-09,81
ucd,O00-O99,2018-10,70
ucd,O00-O99,2018-11,76
ucd,O00-O99,2018-12,79
ucd,O00-O99,2019-01,106
ucd,O00-O99,2019-02,83
ucd,O00-O99,2019-03,88
ucd,O00-O99,2019-04,88
ucd,O00-O99,2019-05,107
ucd,O00-O99,2019-06,90
ucd,O00-O99,2019-07,89
ucd,O00-O99,2019-08,105
ucd,O00-O99,2019-09,76
ucd,O00-O99,2019-10,88
ucd,O00-O99,2019-11,105
ucd,O00-O99,2019-12,78
ucd,O00-O99,2020-01,71
ucd,O00-O99,2020-02,80
ucd,O00-O99,2020-03,120
ucd,O00-O99,2020-04,115
ucd,O00-O99,2020-05,123
ucd,O00-O99,2020-06,113
