year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1962,1332,129,69,45,30,24,33,33,27,15,27,18,18,24,27,24,21,33,51,42,36,42,36,42,30,30,27,33,33,27,36,33,48,57,42,42,66,57,60,90,69,72,72,69,81,105,111,153,156,162,159,174,186,186,228,186,231,276,276,270,303,282,372,360,375,405,387,411,450,456,528,447,561,597,639,642,672,675,732,699,723,615,633,618,558,519,504,375,294,279,225,153,141,114,84,60,48,12,21,12,18
1963,1269,138,66,30,36,27,24,27,30,15,21,18,21,18,21,33,27,48,36,33,42,39,45,33,30,27,30,30,33,33,24,24,51,42,57,51,51,48,45,72,84,87,96,78,84,117,129,129,165,150,147,159,207,219,225,234,231,297,291,303,273,288,375,387,387,447,372,417,435,471,495,489,582,669,606,714,681,639,744,702,723,582,678,621,558,519,444,411,360,273,204,162,156,120,75,66,33,30,18,15,24
1964,1194,126,78,57,36,33,27,21,18,9,18,12,21,24,21,27,30,39,39,39,45,33,45,39,39,27,33,33,33,27,30,33,27,54,39,42,51,57,63,81,81,78,84,96,93,87,114,141,150,171,171,183,204,219,231,246,270,270,321,324,336,288,330,429,432,441,399,447,480,486,504,447,492,597,663,681,681,651,732,732,657,624,699,648,669,483,492,423,375,297,255,162,168,132,90,69,57,27,24,24,21
1965,1173,114,60,54,42,21,27,21,24,18,15,21,18,24,30,30,33,39,51,42,42,39,36,39,33,36,30,42,36,45,48,30,36,51,39,42,63,54,63,63,75,78,84,123,126,111,111,123,135,168,210,189,192,234,228,234,300,291,309,372,405,324,387,408,417,507,381,480,444,531,540,459,507,555,630,669,642,624,669,735,642,606,612,594,648,594,471,429,345,291,261,171,159,111,114,69,42,30,27,21,24
1966,1065,108,72,57,42,36,24,30,21,21,18,27,27,21,27,27,39,54,66,51,48,48,33,42,39,42,36,21,30,36,45,30,42,39,48,54,57,51,81,60,75,81,99,102,102,129,114,126,144,183,165,183,210,240,237,270,291,282,321,381,375,369,396,396,450,537,510,438,543,510,534,522,582,585,651,639,708,624,615,696,738,603,600,639,678,594,576,438,372,324,258,207,162,126,93,63,60,48,30,15,18
1967,1101,93,57,60,45,30,21,24,15,21,27,9,21,21,24,30,39,51,48,69,60,51,42,42,36,36,48,39,30,36,33,33,39,39,51,57,57,54,63,72,84,81,90,90,111,120,135,168,147,174,189,177,249,264,255,267,294,315,336,363,351,363,453,414,429,507,444,519,483,474,483,456,549,567,543,603,657,573,660,660,687,543,612,570,570,525,501,465,354,336,267,180,153,117,90,87,36,39,21,12,21
1968,1164,102,57,54,45,33,33,30,30,21,21,24,12,21,18,42,39,54,51,54,60,60,48,33,36,21,42,45,36,39,39,36,36,42,48,45,60,51,72,72,69,78,90,102,102,132,135,144,165,159,147,183,204,228,285,246,291,306,318,393,360,384,429,465,462,486,441,558,627,510,564,525,609,594,636,591,675,669,711,678,675,585,675,660,639,594,558,528,447,396,285,210,189,138,96,66,51,42,33,15,12
1969,1059,96,60,42,42,36,36,24,24,24,12,21,24,21,21,24,39,51,69,45,57,48,45,42,30,36,33,45,36,30,30,42,36,39,54,42,39,54,63,75,75,90,108,99,102,132,138,144,180,174,156,168,207,216,264,285,315,276,363,342,366,408,417,456,438,513,480,465,576,582,573,531,612,600,609,675,648,594,654,705,678,666,639,642,633,555,537,438,399,372,270,222,213,165,93,75,66,42,33,12,24
1970,1041,114,54,36,30,33,36,36,21,18,24,21,36,27,24,33,39,66,60,72,48,72,54,39,42,45,42,36,36,42,36,36,51,39,48,48,51,57,72,84,81,96,102,96,120,147,141,153,156,186,159,183,204,228,258,273,309,303,366,351,423,390,426,459,480,519,543,501,540,684,621,525,588,624,624,690,693,630,645,669,678,570,648,630,642,585,525,483,438,393,312,237,189,144,108,84,60,42,30,18,27
1971,1068,120,42,33,30,27,27,21,24,21,12,30,12,27,27,24,36,51,81,57,51,54,48,45,48,54,36,36,27,33,51,30,42,39,51,45,36,57,72,63,90,78,93,102,111,120,144,129,168,180,189,189,210,246,228,270,279,318,345,396,432,390,423,459,486,567,507,465,552,561,561,639,546,624,612,672,600,558,642,639,618,621,630,672,618,582,552,495,393,375,303,219,180,147,126,93,57,36,21,18,39
1972,987,102,60,45,27,27,18,21,24,21,15,18,21,30,18,36,63,60,90,63,81,54,45,51,39,39,27,36,39,39,48,36,45,42,42,36,48,45,66,63,63,81,90,93,96,114,123,138,180,162,186,189,216,207,261,246,303,324,333,348,360,402,468,495,537,549,498,570,567,588,567,648,711,618,588,666,696,582,663,663,624,636,642,660,630,489,573,507,447,357,312,249,237,162,129,84,75,48,30,18,42
1973,984,96,48,54,36,21,30,24,24,27,12,18,18,27,33,54,54,66,78,87,81,69,57,57,39,48,51,39,30,42,48,42,42,36,45,51,66,57,48,66,69,66,84,108,102,123,144,135,162,192,195,195,246,219,228,276,303,306,378,393,381,399,462,474,513,549,573,558,615,630,582,561,711,747,657,657,642,621,648,663,633,600,642,624,615,576,528,471,414,405,315,288,243,171,108,102,54,54,36,27,27
