year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2005,297,30,12,6,6,12,6,9,9,9,6,6,12,12,12,24,45,45,51,39,36,42,48,45,45,36,36,33,33,30,33,36,60,57,45,57,63,66,66,69,87,90,96,99,111,111,120,123,150,141,159,159,150,168,195,219,231,249,255,270,264,300,273,312,354,411,363,348,420,363,417,444,504,555,630,630,669,768,735,852,903,918,951,957,975,921,789,768,837,756,753,681,561,480,351,270,225,186,123,108,162
2006,300,21,12,15,12,9,6,6,3,9,9,6,12,9,9,27,36,42,48,48,48,27,36,36,30,33,45,27,36,27,36,36,51,45,42,51,57,63,72,54,78,75,93,90,105,114,117,129,147,150,150,171,174,168,186,213,231,243,285,270,294,246,336,300,357,384,381,408,423,432,429,477,540,624,618,639,717,765,822,888,876,924,918,939,975,1032,975,843,825,810,795,690,621,561,435,339,279,210,141,108,204
2007,318,36,24,15,9,9,6,9,3,12,9,6,9,12,15,30,27,45,51,30,54,42,48,33,30,33,36,33,27,33,33,39,45,42,63,66,60,72,72,69,84,72,78,108,123,123,111,120,159,135,147,168,189,183,186,225,219,261,234,282,294,282,315,318,330,393,384,414,444,450,471,492,504,582,603,627,750,723,795,861,852,936,993,972,987,1014,1026,984,789,780,807,696,609,522,435,351,261,210,156,99,207
2008,324,45,18,9,9,9,9,6,6,9,6,3,9,12,21,24,39,33,42,54,51,39,45,36,30,42,33,30,36,33,33,27,42,39,45,54,63,60,63,81,60,87,87,105,90,117,129,105,123,132,135,171,168,192,156,222,243,237,264,309,306,339,363,306,348,369,399,459,441,450,474,504,534,543,594,636,675,738,819,888,897,954,972,1044,1026,993,1134,1011,936,813,765,756,576,567,471,390,303,207,156,111,207
2009,309,33,15,21,9,3,6,12,6,6,6,9,9,9,21,24,39,48,39,36,42,51,39,36,36,30,33,33,36,39,39,36,60,42,48,42,45,60,72,72,60,72,96,90,123,123,129,138,120,144,156,198,195,177,210,177,213,228,246,252,285,375,345,306,360,366,378,417,468,489,501,504,522,525,606,582,645,690,804,801,858,906,966,1041,1026,1023,1023,978,999,939,756,699,663,579,450,381,309,222,150,117,222
2010,324,24,21,12,6,6,6,3,3,3,6,9,9,9,9,18,30,33,54,36,42,51,36,39,15,27,33,36,27,27,33,30,39,33,39,30,45,69,57,78,75,81,93,84,102,99,138,120,159,162,189,144,174,186,195,228,231,222,252,234,288,288,348,351,339,369,348,411,450,477,471,480,519,519,588,603,618,669,690,774,852,879,987,984,1035,1035,999,969,951,966,867,654,600,546,501,396,294,225,189,105,201
2011,291,27,18,3,9,3,3,3,3,3,9,0,9,12,9,18,30,45,39,45,51,54,36,48,36,39,39,36,27,33,45,45,42,36,33,48,42,51,57,66,84,90,69,87,108,102,105,111,144,150,156,171,180,174,186,219,243,222,273,273,273,300,351,390,396,387,447,441,408,492,531,564,507,582,564,588,633,699,774,789,894,918,963,1038,1038,1095,1086,1047,1062,1047,954,888,678,594,525,441,315,258,183,126,231
2012,255,27,18,9,9,6,3,6,0,12,6,6,9,9,12,24,30,39,39,39,51,39,33,36,33,33,36,27,30,24,24,33,30,42,42,39,39,33,60,57,63,87,87,96,87,96,114,132,144,177,159,180,198,177,216,189,213,213,258,258,279,333,294,336,393,411,423,408,456,456,525,555,585,552,612,630,672,708,678,738,849,897,984,1005,1065,1074,1107,1131,1110,999,954,918,786,585,489,441,348,249,204,174,225
2013,258,21,12,6,6,9,6,3,3,6,3,6,6,3,9,24,24,27,39,39,36,36,42,30,27,39,24,24,27,24,30,36,36,36,27,39,51,39,45,66,60,75,87,87,87,108,120,111,135,144,171,162,195,213,228,219,225,219,261,276,270,270,345,378,384,414,426,441,429,468,477,597,552,570,615,609,636,648,783,765,849,828,930,1005,990,1131,1059,1017,1113,1020,906,828,750,636,432,393,363,240,189,150,252
2014,327,27,9,12,9,6,6,9,9,9,3,3,3,9,9,15,18,30,24,30,27,33,36,27,33,30,36,45,21,21,27,24,33,42,33,33,42,60,48,48,69,69,69,81,93,93,105,120,123,141,159,183,183,219,228,216,246,237,264,294,297,306,312,375,378,408,444,513,468,474,519,498,621,630,579,672,684,705,714,819,828,885,1041,1011,1098,1095,1164,1170,1077,996,1050,915,783,726,627,417,390,288,222,144,249
2015,252,21,12,9,15,12,6,3,6,6,3,9,3,6,12,24,15,27,36,42,33,30,36,33,51,39,27,36,36,30,30,30,36,42,39,39,48,39,45,42,60,57,81,72,96,114,108,123,153,123,156,171,189,198,222,231,246,249,255,264,285,330,321,345,378,408,462,465,567,510,534,558,519,672,720,723,723,768,768,753,837,888,975,1014,1098,1086,1134,1131,1077,1074,1056,948,816,759,675,510,342,279,231,156,285
2016,210,15,12,9,6,12,6,9,6,6,3,3,6,6,15,15,21,33,24,30,30,39,27,39,30,39,42,33,30,39,39,45,42,30,36,48,51,45,39,42,66,54,75,90,99,99,96,135,123,141,162,180,159,216,243,264,270,243,285,294,303,315,351,336,372,408,414,489,504,582,501,483,570,567,684,690,669,765,765,786,855,870,882,936,1041,1143,1077,1146,1080,1056,1065,930,855,687,621,546,435,240,201,165,285
2017,228,27,3,9,3,9,6,6,9,6,6,3,3,12,9,18,15,24,33,36,45,45,36,36,48,48,42,48,39,36,42,39,48,45,42,51,45,48,60,57,57,57,66,81,87,114,111,120,141,144,144,162,189,222,225,234,252,264,288,303,327,342,357,402,396,417,447,483,534,573,603,558,618,666,684,735,852,822,840,873,906,951,948,993,1071,1152,1215,1182,1158,1164,1077,969,909,789,675,570,483,306,213,159,288
2018,222,24,12,12,6,6,6,6,6,9,3,9,12,12,12,24,24,30,33,30,27,39,45,39,42,39,36,51,42,36,36,54,45,42,54,48,45,48,57,54,66,54,69,90,87,90,99,111,138,138,165,174,195,183,222,261,255,270,303,360,318,309,372,414,417,396,456,489,498,561,588,681,645,648,636,660,747,837,894,861,924,966,975,990,1023,1017,1116,1215,1158,1131,1137,1035,897,846,675,546,477,318,219,126,309
2019,267,30,12,9,9,6,6,3,6,6,6,6,12,18,12,18,30,27,27,33,27,39,51,48,39,51,42,30,42,48,51,51,42,63,57,48,48,54,63,51,75,63,78,75,75,120,120,126,141,141,168,171,198,204,246,240,264,312,282,330,348,327,348,369,420,444,516,459,486,558,585,621,753,693,723,735,738,795,924,918,906,960,990,984,1038,1089,1167,1206,1278,1149,1122,1023,924,831,699,558,480,408,258,189,321
2020,228,18,12,3,3,6,3,3,6,6,12,9,3,6,12,18,30,24,21,33,30,45,30,39,27,39,39,36,48,42,39,42,42,39,36,57,51,60,42,51,51,72,60,78,93,87,96,138,135,141,165,168,192,183,213,207,282,282,279,342,330,366,357,354,396,405,447,513,498,555,585,645,663,696,678,717,699,798,912,891,984,906,906,1059,978,999,1047,1077,1059,1101,1023,987,864,792,648,573,447,339,249,195,324
2021,273,21,9,12,9,9,6,6,3,6,3,9,3,12,18,21,15,27,30,39,36,36,30,33,42,42,36,30,39,48,51,45,45,51,48,45,57,66,63,51,57,84,78,84,78,87,99,120,96,138,150,159,198,219,240,234,243,306,291,324,336,366,387,411,417,453,480,474,522,561,582,663,702,723,807,810,771,870,825,924,990,1083,1065,1110,1068,1137,1110,1092,1173,1140,1140,1074,963,873,714,666,489,369,309,204,348
2022,204,18,9,6,6,3,3,6,3,6,3,3,6,9,12,9,15,24,30,27,36,30,39,39,30,42,48,39,42,48,60,45,48,51,45,57,45,66,51,69,57,60,60,102,96,99,99,117,135,159,183,189,204,204,213,243,279,315,324,348,387,375,414,483,486,468,531,537,576,606,609,687,744,780,858,1014,948,945,966,945,1146,1221,1221,1197,1206,1236,1230,1215,1257,1293,1245,1215,1101,957,852,729,558,456,327,249,459
2023,201,21,9,15,9,3,3,3,3,3,12,6,9,6,3,18,24,27,36,36,30,30,33,39,54,48,30,48,39,51,42,51,57,60,57,54,63,66,45,63,66,96,84,87,87,93,114,108,123,147,159,153,195,210,222,267,249,261,303,369,357,402,384,468,525,447,510,537,594,627,657,654,696,774,828,975,996,924,1008,1002,1005,1167,1320,1275,1230,1206,1230,1170,1254,1176,1185,1125,1050,978,804,651,519,423,324,225,378
