year,month,deaths
2013,4,2370
2013,5,2484
2013,6,2484
2013,7,2766
2013,8,2700
2013,9,2676
2013,10,2481
2013,11,2367
2013,12,2259
2014,1,2322
2014,2,2160
2014,3,2349
2014,4,2295
2014,5,2688
2014,6,2658
2014,7,2955
2014,8,2925
2014,9,2841
2014,10,2694
2014,11,2550
2014,12,2541
2015,1,2517
2015,2,2262
2015,3,2460
2015,4,2448
2015,5,2616
2015,6,2676
2015,7,3084
2015,8,3063
2015,9,2838
2015,10,2679
2015,11,2493
2015,12,2511
2016,1,2409
2016,2,2223
2016,3,2310
2016,4,2424
2016,5,2664
2016,6,2670
2016,7,2940
2016,8,2997
2016,9,2787
2016,10,2754
2016,11,2538
2016,12,2589
2017,1,2547
2017,2,2289
2017,3,2592
2017,4,2535
2017,5,2850
2017,6,2970
2017,7,3429
2017,8,3405
2017,9,2907
2017,10,2775
2017,11,2565
2017,12,2631
2018,1,2658
2018,2,2292
2018,3,2655
2018,4,2655
2018,5,2820
2018,6,2883
2018,7,3018
2018,8,3153
2018,9,2859
2018,10,2850
2018,11,2628
2018,12,2604
2019,1,2652
2019,2,2244
2019,3,2820
2019,4,2763
2019,5,2979
2019,6,3129
2019,7,3336
2019,8,3129
2019,9,2910
2019,10,2853
2019,11,2652
2019,12,2565
2020,1,2703
2020,2,2493
2020,3,2700
2020,4,2694
2020,5,2721
2020,6,2697
2020,7,2925
2020,8,2820
2020,9,2661
2020,10,2781
2020,11,2652
2020,12,2868
2021,1,2871
2021,2,2475
2021,3,2835
2021,4,2769
2021,5,2937
2021,6,2967
2021,7,3288
2021,8,3345
2021,9,2931
2021,10,2886
2021,11,2799
2021,12,2856
2022,1,2874
2022,2,2631
2022,3,3264
2022,4,3141
2022,5,3417
2022,6,3501
2022,7,3918
2022,8,3528
2022,9,3174
2022,10,3204
2022,11,2982
2022,12,3138
2023,1,3081
2023,2,2664
2023,3,2979
2023,4,3015
2023,5,3210
2023,6,3228
2023,7,3414
2023,8,3417
2023,9,3339
