date,count_first_shot_general,count_second_shot_general,count_third_shot_general,count_fourth_shot_general,count_fifth_shot_general,count_sixth_shot_general,count_seventh_shot_general,count_first_shot_general_wo_deceased,count_second_shot_general_wo_deceased,count_third_shot_general_wo_deceased,count_fourth_shot_general_wo_deceased,count_fifth_shot_general_wo_deceased,count_sixth_shot_general_wo_deceased,count_seventh_shot_general_wo_deceased
2021/6/19,675555,449186,0,0,0,0,0,634097,408103,0,0,0,0,0
2021/6/20,676096,442193,0,0,0,0,0,639654,407429,0,0,0,0,0
2021/6/21,706140,510851,0,0,0,0,0,655041,456158,0,0,0,0,0
2021/6/22,742938,620865,0,0,0,0,0,688141,552110,0,0,0,0,0
2021/6/23,755493,642891,0,0,0,0,0,702148,572561,0,0,0,0,0
2021/6/24,733193,643632,0,0,0,0,0,683605,575527,0,0,0,0,0
2021/6/25,721168,637236,0,0,0,0,0,677036,575264,0,0,0,0,0
2021/6/26,760176,595988,0,0,0,0,0,723772,548505,0,0,0,0,0
2021/6/27,786861,548839,0,0,0,0,0,752517,508805,0,0,0,0,0
2021/6/28,734856,649518,0,0,0,0,0,693837,586192,0,0,0,0,0
2021/6/29,790949,712864,0,0,0,0,0,745981,639961,0,0,0,0,0
2021/6/30,833884,710008,0,0,0,0,0,788989,638112,0,0,0,0,0
2021/7/1,638972,680123,0,0,0,0,0,611892,614507,0,0,0,0,0
2021/7/2,599883,692583,0,0,0,0,0,578213,630604,0,0,0,0,0
2021/7/3,891407,635508,0,0,0,0,0,858608,589142,0,0,0,0,0
2021/7/4,843098,568404,0,0,0,0,0,812290,532204,0,0,0,0,0
2021/7/5,941962,610273,0,0,0,0,0,900007,556069,0,0,0,0,0
2021/7/6,997468,658597,0,0,0,0,0,953376,596664,0,0,0,0,0
2021/7/7,1025252,639127,0,0,0,0,0,981457,579019,0,0,0,0,0
2021/7/8,1027836,636891,0,0,0,0,0,986042,579106,0,0,0,0,0
2021/7/9,1038367,640246,0,0,0,0,0,1000000,587935,0,0,0,0,0
2021/7/10,1042039,663430,0,0,0,0,0,1009896,622142,0,0,0,0,0
2021/7/11,766551,672647,0,0,0,0,0,746887,635181,0,0,0,0,0
2021/7/12,803172,652998,0,0,0,0,0,776233,602353,0,0,0,0,0
2021/7/13,873419,675669,0,0,0,0,0,844152,621465,0,0,0,0,0
2021/7/14,861473,685014,0,0,0,0,0,833852,632092,0,0,0,0,0
2021/7/15,842274,670403,0,0,0,0,0,816410,620614,0,0,0,0,0
2021/7/16,872176,656779,0,0,0,0,0,847925,611988,0,0,0,0,0
2021/7/17,830152,697862,0,0,0,0,0,812368,660696,0,0,0,0,0
2021/7/18,616811,719981,0,0,0,0,0,604437,685799,0,0,0,0,0
2021/7/19,500694,662044,0,0,0,0,0,488719,620991,0,0,0,0,0
2021/7/20,777287,726876,0,0,0,0,0,755656,681803,0,0,0,0,0
2021/7/21,745443,775444,0,0,0,0,0,726636,729790,0,0,0,0,0
2021/7/22,324202,347195,0,0,0,0,0,318840,332049,0,0,0,0,0
