date,age,deaths
2011-10-02,Under 30,19
2011-10-09,30 to 59,69
2011-10-09,60 to 79,240
2011-10-09,80 and over,328
2011-10-09,Total,651
2011-10-09,Under 30,14
2011-10-16,30 to 59,57
2011-10-16,60 to 79,173
2011-10-16,80 and over,311
2011-10-16,Total,560
2011-10-16,Under 30,19
2011-10-23,30 to 59,74
2011-10-23,60 to 79,184
2011-10-23,80 and over,302
2011-10-23,Total,579
2011-10-23,Under 30,19
2011-10-30,30 to 59,74
2011-10-30,60 to 79,182
2011-10-30,80 and over,277
2011-10-30,Total,555
2011-10-30,Under 30,22
2011-11-06,30 to 59,83
2011-11-06,60 to 79,208
2011-11-06,80 and over,280
2011-11-06,Total,587
2011-11-06,Under 30,16
2011-11-13,30 to 59,66
2011-11-13,60 to 79,193
2011-11-13,80 and over,329
2011-11-13,Total,609
2011-11-13,Under 30,21
2011-11-20,30 to 59,68
2011-11-20,60 to 79,196
2011-11-20,80 and over,262
2011-11-20,Total,541
2011-11-20,Under 30,15
2011-11-27,30 to 59,89
2011-11-27,60 to 79,214
2011-11-27,80 and over,267
2011-11-27,Total,581
2011-11-27,Under 30,11
2011-12-04,30 to 59,63
2011-12-04,60 to 79,172
2011-12-04,80 and over,275
2011-12-04,Total,528
2011-12-04,Under 30,18
2011-12-11,30 to 59,67
2011-12-11,60 to 79,184
2011-12-11,80 and over,232
2011-12-11,Total,503
2011-12-11,Under 30,20
2011-12-18,30 to 59,61
2011-12-18,60 to 79,217
2011-12-18,80 and over,266
2011-12-18,Total,566
2011-12-18,Under 30,22
2011-12-25,30 to 59,60
2011-12-25,60 to 79,184
2011-12-25,80 and over,309
2011-12-25,Total,570
2011-12-25,Under 30,17
2012-01-01,30 to 59,79
2012-01-01,60 to 79,211
2012-01-01,80 and over,260
2012-01-01,Total,564
2012-01-01,Under 30,14
2012-01-08,30 to 59,69
2012-01-08,60 to 79,176
2012-01-08,80 and over,257
2012-01-08,Total,516
2012-01-08,Under 30,14
2012-01-15,30 to 59,74
2012-01-15,60 to 79,176
2012-01-15,80 and over,280
2012-01-15,Total,544
2012-01-15,Under 30,14
2012-01-22,30 to 59,96
2012-01-22,60 to 79,149
2012-01-22,80 and over,269
2012-01-22,Total,532
2012-01-22,Under 30,18
2012-01-29,30 to 59,76
2012-01-29,60 to 79,165
2012-01-29,80 and over,247
2012-01-29,Total,508
2012-01-29,Under 30,20
2012-02-05,30 to 59,60
2012-02-05,60 to 79,200
2012-02-05,80 and over,244
2012-02-05,Total,520
2012-02-05,Under 30,16
2012-02-12,30 to 59,65
2012-02-12,60 to 79,189
2012-02-12,80 and over,216
2012-02-12,Total,499
2012-02-12,Under 30,29
2012-02-19,30 to 59,78
2012-02-19,60 to 79,186
2012-02-19,80 and over,238
2012-02-19,Total,520
2012-02-19,Under 30,18
2012-02-26,30 to 59,62
2012-02-26,60 to 79,167
2012-02-26,80 and over,273
2012-02-26,Total,520
2012-02-26,Under 30,18
2012-03-04,30 to 59,59
2012-03-04,60 to 79,184
2012-03-04,80 and over,239
2012-03-04,Total,494
2012-03-04,Under 30,12
2012-03-11,30 to 59,57
2012-03-11,60 to 79,167
2012-03-11,80 and over,280
2012-03-11,Total,519
2012-03-11,Under 30,15
2012-03-18,30 to 59,66
2012-03-18,60 to 79,167
2012-03-18,80 and over,256
2012-03-18,Total,500
2012-03-18,Under 30,11
2012-03-25,30 to 59,58
2012-03-25,60 to 79,200
2012-03-25,80 and over,271
2012-03-25,Total,546
2012-03-25,Under 30,17
2012-04-01,30 to 59,73
2012-04-01,60 to 79,196
2012-04-01,80 and over,254
2012-04-01,Total,543
2012-04-01,Under 30,20
2012-04-08,30 to 59,54
2012-04-08,60 to 79,163
2012-04-08,80 and over,254
2012-04-08,Total,488
2012-04-08,Under 30,17
2012-04-15,30 to 59,59
2012-04-15,60 to 79,202
2012-04-15,80 and over,260
2012-04-15,Total,532
2012-04-15,Under 30,11
2012-04-22,30 to 59,60
2012-04-22,60 to 79,179
2012-04-22,80 and over,304
2012-04-22,Total,556
2012-04-22,Under 30,13
2012-04-29,30 to 59,54
2012-04-29,60 to 79,197
2012-04-29,80 and over,299
2012-04-29,Total,565
2012-04-29,Under 30,15
2012-05-06,30 to 59,65
2012-05-06,60 to 79,226
2012-05-06,80 and over,270
2012-05-06,Total,577
2012-05-06,Under 30,16
2012-05-13,30 to 59,68
2012-05-13,60 to 79,187
2012-05-13,80 and over,291
2012-05-13,Total,562
2012-05-13,Under 30,16
2012-05-20,30 to 59,85
2012-05-20,60 to 79,177
2012-05-20,80 and over,285
2012-05-20,Total,561
2012-05-20,Under 30,14
2012-05-27,30 to 59,62
2012-05-27,60 to 79,177
2012-05-27,80 and over,272
2012-05-27,Total,527
2012-05-27,Under 30,16
2012-06-03,30 to 59,65
2012-06-03,60 to 79,185
2012-06-03,80 and over,339
2012-06-03,Total,605
2012-06-03,Under 30,16
2012-06-10,30 to 59,57
2012-06-10,60 to 79,190
2012-06-10,80 and over,299
2012-06-10,Total,561
2012-06-10,Under 30,15
2012-06-17,30 to 59,70
2012-06-17,60 to 79,195
2012-06-17,80 and over,310
2012-06-17,Total,594
2012-06-17,Under 30,19
2012-06-24,30 to 59,69
2012-06-24,60 to 79,192
2012-06-24,80 and over,350
2012-06-24,Total,635
2012-06-24,Under 30,23
2012-07-01,30 to 59,69
2012-07-01,60 to 79,229
2012-07-01,80 and over,323
2012-07-01,Total,643
2012-07-01,Under 30,22
2012-07-08,30 to 59,71
2012-07-08,60 to 79,192
2012-07-08,80 and over,355
2012-07-08,Total,631
2012-07-08,Under 30,13
2012-07-15,30 to 59,74
2012-07-15,60 to 79,223
2012-07-15,80 and over,388
2012-07-15,Total,717
2012-07-15,Under 30,32
2012-07-22,30 to 59,60
2012-07-22,60 to 79,221
2012-07-22,80 and over,392
2012-07-22,Total,696
2012-07-22,Under 30,23
2012-07-29,30 to 59,81
2012-07-29,60 to 79,213
2012-07-29,80 and over,338
2012-07-29,Total,654
2012-07-29,Under 30,22
2012-08-05,30 to 59,67
2012-08-05,60 to 79,224
2012-08-05,80 and over,354
2012-08-05,Total,661
