date,age,deaths
2014-10-26,80 and over,310
2014-10-26,Total,597
2014-10-26,Under 30,22
2014-11-02,30 to 59,79
2014-11-02,60 to 79,202
2014-11-02,80 and over,301
2014-11-02,Total,600
2014-11-02,Under 30,18
2014-11-09,30 to 59,60
2014-11-09,60 to 79,225
2014-11-09,80 and over,293
2014-11-09,Total,594
2014-11-09,Under 30,16
2014-11-16,30 to 59,59
2014-11-16,60 to 79,190
2014-11-16,80 and over,307
2014-11-16,Total,575
2014-11-16,Under 30,19
2014-11-23,30 to 59,66
2014-11-23,60 to 79,198
2014-11-23,80 and over,333
2014-11-23,Total,613
2014-11-23,Under 30,16
2014-11-30,30 to 59,61
2014-11-30,60 to 79,208
2014-11-30,80 and over,296
2014-11-30,Total,585
2014-11-30,Under 30,20
2014-12-07,30 to 59,82
2014-12-07,60 to 79,169
2014-12-07,80 and over,315
2014-12-07,Total,580
2014-12-07,Under 30,14
2014-12-14,30 to 59,78
2014-12-14,60 to 79,183
2014-12-14,80 and over,283
2014-12-14,Total,561
2014-12-14,Under 30,17
2014-12-21,30 to 59,81
2014-12-21,60 to 79,205
2014-12-21,80 and over,288
2014-12-21,Total,595
2014-12-21,Under 30,21
2014-12-28,30 to 59,72
2014-12-28,60 to 79,206
2014-12-28,80 and over,290
2014-12-28,Total,587
2014-12-28,Under 30,19
2015-01-04,30 to 59,85
2015-01-04,60 to 79,184
2015-01-04,80 and over,275
2015-01-04,Total,564
2015-01-04,Under 30,20
2015-01-11,30 to 59,63
2015-01-11,60 to 79,208
2015-01-11,80 and over,278
2015-01-11,Total,566
2015-01-11,Under 30,17
2015-01-18,30 to 59,69
2015-01-18,60 to 79,223
2015-01-18,80 and over,285
2015-01-18,Total,595
2015-01-18,Under 30,18
2015-01-25,30 to 59,65
2015-01-25,60 to 79,160
2015-01-25,80 and over,289
2015-01-25,Total,531
2015-01-25,Under 30,17
2015-02-01,30 to 59,58
2015-02-01,60 to 79,186
2015-02-01,80 and over,330
2015-02-01,Total,587
2015-02-01,Under 30,13
2015-02-08,30 to 59,71
2015-02-08,60 to 79,206
2015-02-08,80 and over,276
2015-02-08,Total,567
2015-02-08,Under 30,14
2015-02-15,30 to 59,92
2015-02-15,60 to 79,203
2015-02-15,80 and over,269
2015-02-15,Total,577
2015-02-15,Under 30,13
2015-02-22,30 to 59,62
2015-02-22,60 to 79,188
2015-02-22,80 and over,268
2015-02-22,Total,542
2015-02-22,Under 30,24
2015-03-01,30 to 59,59
2015-03-01,60 to 79,224
2015-03-01,80 and over,284
2015-03-01,Total,586
2015-03-01,Under 30,19
2015-03-08,30 to 59,51
2015-03-08,60 to 79,192
2015-03-08,80 and over,296
2015-03-08,Total,550
2015-03-08,Under 30,11
2015-03-15,30 to 59,78
2015-03-15,60 to 79,190
2015-03-15,80 and over,263
2015-03-15,Total,552
2015-03-15,Under 30,21
2015-03-22,30 to 59,73
2015-03-22,60 to 79,203
2015-03-22,80 and over,271
2015-03-22,Total,567
2015-03-22,Under 30,20
2015-03-29,30 to 59,71
2015-03-29,60 to 79,192
2015-03-29,80 and over,297
2015-03-29,Total,575
2015-03-29,Under 30,15
2015-04-05,30 to 59,69
2015-04-05,60 to 79,197
2015-04-05,80 and over,308
2015-04-05,Total,586
2015-04-05,Under 30,12
2015-04-12,30 to 59,53
2015-04-12,60 to 79,182
2015-04-12,80 and over,311
2015-04-12,Total,565
2015-04-12,Under 30,19
2015-04-19,30 to 59,66
2015-04-19,60 to 79,204
2015-04-19,80 and over,269
2015-04-19,Total,554
2015-04-19,Under 30,15
2015-04-26,30 to 59,68
2015-04-26,60 to 79,208
2015-04-26,80 and over,279
2015-04-26,Total,576
2015-04-26,Under 30,21
2015-05-03,30 to 59,63
2015-05-03,60 to 79,207
2015-05-03,80 and over,296
2015-05-03,Total,578
2015-05-03,Under 30,12
2015-05-10,30 to 59,71
2015-05-10,60 to 79,228
2015-05-10,80 and over,300
2015-05-10,Total,620
2015-05-10,Under 30,21
2015-05-17,30 to 59,68
2015-05-17,60 to 79,198
2015-05-17,80 and over,297
2015-05-17,Total,583
2015-05-17,Under 30,20
2015-05-24,30 to 59,63
2015-05-24,60 to 79,191
2015-05-24,80 and over,299
2015-05-24,Total,565
2015-05-24,Under 30,12
2015-05-31,30 to 59,73
2015-05-31,60 to 79,197
2015-05-31,80 and over,313
2015-05-31,Total,593
2015-05-31,Under 30,10
2015-06-07,30 to 59,82
2015-06-07,60 to 79,205
2015-06-07,80 and over,327
2015-06-07,Total,632
2015-06-07,Under 30,18
2015-06-14,30 to 59,76
2015-06-14,60 to 79,216
2015-06-14,80 and over,320
2015-06-14,Total,626
2015-06-14,Under 30,14
2015-06-21,30 to 59,65
2015-06-21,60 to 79,229
2015-06-21,80 and over,328
2015-06-21,Total,640
2015-06-21,Under 30,18
2015-06-28,30 to 59,71
2015-06-28,60 to 79,199
2015-06-28,80 and over,334
2015-06-28,Total,625
2015-06-28,Under 30,21
2015-07-05,30 to 59,78
2015-07-05,60 to 79,225
2015-07-05,80 and over,331
2015-07-05,Total,646
2015-07-05,Under 30,12
2015-07-12,30 to 59,65
2015-07-12,60 to 79,230
2015-07-12,80 and over,355
2015-07-12,Total,669
2015-07-12,Under 30,19
2015-07-19,30 to 59,68
2015-07-19,60 to 79,217
2015-07-19,80 and over,384
2015-07-19,Total,680
2015-07-19,Under 30,11
2015-07-26,30 to 59,68
2015-07-26,60 to 79,227
2015-07-26,80 and over,396
2015-07-26,Total,710
2015-07-26,Under 30,19
2015-08-02,30 to 59,69
2015-08-02,60 to 79,234
2015-08-02,80 and over,407
2015-08-02,Total,727
2015-08-02,Under 30,17
2015-08-09,30 to 59,83
2015-08-09,60 to 79,243
2015-08-09,80 and over,375
2015-08-09,Total,720
2015-08-09,Under 30,19
2015-08-16,30 to 59,73
2015-08-16,60 to 79,229
2015-08-16,80 and over,406
2015-08-16,Total,723
2015-08-16,Under 30,15
2015-08-23,30 to 59,67
2015-08-23,60 to 79,222
2015-08-23,80 and over,357
2015-08-23,Total,663
2015-08-23,Under 30,17
2015-08-30,30 to 59,75
2015-08-30,60 to 79,199
2015-08-30,80 and over,376
2015-08-30,Total,672
2015-08-30,Under 30,22
2015-09-06,30 to 59,68
2015-09-06,60 to 79,207
2015-09-06,80 and over,376
2015-09-06,Total,666
2015-09-06,Under 30,15
2015-09-13,30 to 59,73
2015-09-13,60 to 79,235
2015-09-13,80 and over,339
2015-09-13,Total,665
2015-09-13,Under 30,18
2015-09-20,30 to 59,80
2015-09-20,60 to 79,232
2015-09-20,80 and over,360
2015-09-20,Total,686
2015-09-20,Under 30,14
2015-09-27,30 to 59,65
2015-09-27,60 to 79,216
2015-09-27,80 and over,351
2015-09-27,Total,655
2015-09-27,Under 30,23
2015-10-04,30 to 59,68
2015-10-04,60 to 79,210
2015-10-04,80 and over,304
2015-10-04,Total,595
2015-10-04,Under 30,13
2015-10-11,30 to 59,71
2015-10-11,60 to 79,239
2015-10-11,80 and over,313
2015-10-11,Total,638
2015-10-11,Under 30,15
2015-10-18,30 to 59,72
2015-10-18,60 to 79,202
2015-10-18,80 and over,296
2015-10-18,Total,596
2015-10-18,Under 30,26
2015-10-25,30 to 59,71
2015-10-25,60 to 79,210
2015-10-25,80 and over,300
2015-10-25,Total,596
2015-10-25,Under 30,15
2015-11-01,30 to 59,59
2015-11-01,60 to 79,205
2015-11-01,80 and over,328
2015-11-01,Total,606
2015-11-01,Under 30,14
2015-11-08,30 to 59,67
2015-11-08,60 to 79,195
2015-11-08,80 and over,342
2015-11-08,Total,624
2015-11-08,Under 30,20
2015-11-15,30 to 59,65
2015-11-15,60 to 79,181
2015-11-15,80 and over,289
2015-11-15,Total,545
2015-11-15,Under 30,10
2015-11-22,30 to 59,65
2015-11-22,60 to 79,236
2015-11-22,80 and over,296
2015-11-22,Total,613
2015-11-22,Under 30,16
2015-11-29,30 to 59,64
2015-11-29,60 to 79,198
2015-11-29,80 and over,273
2015-11-29,Total,546
2015-11-29,Under 30,11
2015-12-06,30 to 59,81
2015-12-06,60 to 79,221
2015-12-06,80 and over,279
2015-12-06,Total,603
2015-12-06,Under 30,22
2015-12-13,30 to 59,56
2015-12-13,60 to 79,209
2015-12-13,80 and over,292
2015-12-13,Total,575
2015-12-13,Under 30,18
2015-12-20,30 to 59,62
2015-12-20,60 to 79,199
2015-12-20,80 and over,259
2015-12-20,Total,537
2015-12-20,Under 30,17
2015-12-27,30 to 59,65
2015-12-27,60 to 79,183
2015-12-27,80 and over,293
2015-12-27,Total,567
2015-12-27,Under 30,26
2016-01-03,30 to 59,66
2016-01-03,60 to 79,213
2016-01-03,80 and over,284
2016-01-03,Total,575
2016-01-03,Under 30,12
2016-01-10,30 to 59,76
2016-01-10,60 to 79,201
2016-01-10,80 and over,270
2016-01-10,Total,564
2016-01-10,Under 30,17
2016-01-17,30 to 59,60
2016-01-17,60 to 79,193
2016-01-17,80 and over,285
2016-01-17,Total,558
2016-01-17,Under 30,20
2016-01-24,30 to 59,72
2016-01-24,60 to 79,167
2016-01-24,80 and over,261
2016-01-24,Total,519
2016-01-24,Under 30,19
2016-01-31,30 to 59,61
2016-01-31,60 to 79,193
2016-01-31,80 and over,272
2016-01-31,Total,541
2016-01-31,Under 30,15
2016-02-07,30 to 59,79
2016-02-07,60 to 79,200
2016-02-07,80 and over,260
2016-02-07,Total,552
2016-02-07,Under 30,13
2016-02-14,30 to 59,65
2016-02-14,60 to 79,180
2016-02-14,80 and over,264
2016-02-14,Total,523
2016-02-14,Under 30,14
2016-02-21,30 to 59,59
2016-02-21,60 to 79,175
2016-02-21,80 and over,269
2016-02-21,Total,517
2016-02-21,Under 30,14
2016-02-28,30 to 59,82
2016-02-28,60 to 79,199
2016-02-28,80 and over,267
2016-02-28,Total,568
2016-02-28,Under 30,20
2016-03-06,30 to 59,78
2016-03-06,60 to 79,175
2016-03-06,80 and over,260
2016-03-06,Total,534
2016-03-06,Under 30,21
2016-03-13,30 to 59,79
2016-03-13,60 to 79,168
2016-03-13,80 and over,253
2016-03-13,Total,511
2016-03-13,Under 30,11
2016-03-20,30 to 59,68
2016-03-20,60 to 79,174
2016-03-20,80 and over,267
2016-03-20,Total,525
2016-03-20,Under 30,16
2016-03-27,30 to 59,62
2016-03-27,60 to 79,193
2016-03-27,80 and over,249
2016-03-27,Total,515
2016-03-27,Under 30,11
2016-04-03,30 to 59,85
2016-04-03,60 to 79,210
2016-04-03,80 and over,278
2016-04-03,Total,590
2016-04-03,Under 30,17
2016-04-10,30 to 59,66
2016-04-10,60 to 79,204
2016-04-10,80 and over,268
2016-04-10,Total,551
2016-04-10,Under 30,13
2016-04-17,30 to 59,64
2016-04-17,60 to 79,217
2016-04-17,80 and over,253
2016-04-17,Total,546
2016-04-17,Under 30,12
2016-04-24,30 to 59,73
2016-04-24,60 to 79,198
2016-04-24,80 and over,293
2016-04-24,Total,581
2016-04-24,Under 30,17
2016-05-01,30 to 59,74
2016-05-01,60 to 79,180
2016-05-01,80 and over,288
2016-05-01,Total,554
2016-05-01,Under 30,12
2016-05-08,30 to 59,69
2016-05-08,60 to 79,205
2016-05-08,80 and over,310
2016-05-08,Total,599
2016-05-08,Under 30,15
2016-05-15,30 to 59,68
2016-05-15,60 to 79,220
2016-05-15,80 and over,310
2016-05-15,Total,620
2016-05-15,Under 30,22
2016-05-22,30 to 59,69
2016-05-22,60 to 79,200
2016-05-22,80 and over,292
2016-05-22,Total,575
2016-05-22,Under 30,14
2016-05-29,30 to 59,56
2016-05-29,60 to 79,216
2016-05-29,80 and over,307
2016-05-29,Total,599
2016-05-29,Under 30,20
2016-06-05,30 to 59,77
2016-06-05,60 to 79,207
2016-06-05,80 and over,299
2016-06-05,Total,594
2016-06-05,Under 30,11
2016-06-12,30 to 59,96
2016-06-12,60 to 79,236
2016-06-12,80 and over,334
2016-06-12,Total,677
2016-06-12,Under 30,11
2016-06-19,30 to 59,82
2016-06-19,60 to 79,175
2016-06-19,80 and over,329
2016-06-19,Total,608
2016-06-19,Under 30,22
2016-06-26,30 to 59,72
2016-06-26,60 to 79,210
2016-06-26,80 and over,335
2016-06-26,Total,633
2016-06-26,Under 30,16
2016-07-03,30 to 59,82
2016-07-03,60 to 79,209
2016-07-03,80 and over,321
2016-07-03,Total,627
2016-07-03,Under 30,15
2016-07-10,30 to 59,71
2016-07-10,60 to 79,202
2016-07-10,80 and over,342
2016-07-10,Total,633
2016-07-10,Under 30,18
2016-07-17,30 to 59,74
2016-07-17,60 to 79,237
2016-07-17,80 and over,364
2016-07-17,Total,688
2016-07-17,Under 30,13
2016-07-24,30 to 59,76
2016-07-24,60 to 79,208
2016-07-24,80 and over,362
2016-07-24,Total,666
2016-07-24,Under 30,20
2016-07-31,30 to 59,79
2016-07-31,60 to 79,216
2016-07-31,80 and over,347
2016-07-31,Total,656
2016-07-31,Under 30,14
2016-08-07,30 to 59,72
2016-08-07,60 to 79,217
2016-08-07,80 and over,341
2016-08-07,Total,651
2016-08-07,Under 30,21
2016-08-14,30 to 59,75
2016-08-14,60 to 79,215
2016-08-14,80 and over,393
2016-08-14,Total,698
2016-08-14,Under 30,15
2016-08-21,30 to 59,76
2016-08-21,60 to 79,204
2016-08-21,80 and over,410
2016-08-21,Total,710
2016-08-21,Under 30,20
2016-08-28,30 to 59,62
2016-08-28,60 to 79,209
2016-08-28,80 and over,374
2016-08-28,Total,665
2016-08-28,Under 30,20
2016-09-04,30 to 59,78
2016-09-04,60 to 79,200
2016-09-04,80 and over,348
2016-09-04,Total,644
2016-09-04,Under 30,18
2016-09-11,30 to 59,64
2016-09-11,60 to 79,218
2016-09-11,80 and over,326
2016-09-11,Total,616
2016-09-11,Under 30,8
2016-09-18,30 to 59,71
2016-09-18,60 to 79,242
2016-09-18,80 and over,353
2016-09-18,Total,681
2016-09-18,Under 30,15
2016-09-25,30 to 59,83
2016-09-25,60 to 79,218
2016-09-25,80 and over,333
2016-09-25,Total,652
2016-09-25,Under 30,18
2016-10-02,30 to 59,65
2016-10-02,60 to 79,212
2016-10-02,80 and over,340
2016-10-02,Total,641
2016-10-02,Under 30,24
2016-10-09,30 to 59,72
2016-10-09,60 to 79,214
2016-10-09,80 and over,344
2016-10-09,Total,643
2016-10-09,Under 30,13
2016-10-16,30 to 59,70
2016-10-16,60 to 79,215
2016-10-16,80 and over,335
2016-10-16,Total,631
2016-10-16,Under 30,11
2016-10-23,30 to 59,73
2016-10-23,60 to 79,186
2016-10-23,80 and over,321
2016-10-23,Total,594
2016-10-23,Under 30,14
2016-10-30,30 to 59,72
2016-10-30,60 to 79,187
2016-10-30,80 and over,334
2016-10-30,Total,605
2016-10-30,Under 30,12
2016-11-06,30 to 59,84
2016-11-06,60 to 79,187
2016-11-06,80 and over,318
2016-11-06,Total,599
2016-11-06,Under 30,10
2016-11-13,30 to 59,67
2016-11-13,60 to 79,209
2016-11-13,80 and over,304
2016-11-13,Total,594
2016-11-13,Under 30,14
2016-11-20,30 to 59,67
2016-11-20,60 to 79,204
2016-11-20,80 and over,295
2016-11-20,Total,582
2016-11-20,Under 30,16
2016-11-27,30 to 59,71
2016-11-27,60 to 79,211
2016-11-27,80 and over,326
2016-11-27,Total,619
2016-11-27,Under 30,11
2016-12-04,30 to 59,70
2016-12-04,60 to 79,211
2016-12-04,80 and over,307
2016-12-04,Total,596
2016-12-04,Under 30,8
2016-12-11,30 to 59,60
2016-12-11,60 to 79,213
2016-12-11,80 and over,284
2016-12-11,Total,575
2016-12-11,Under 30,18
2016-12-18,30 to 59,66
2016-12-18,60 to 79,219
2016-12-18,80 and over,305
2016-12-18,Total,606
2016-12-18,Under 30,16
2016-12-25,30 to 59,65
2016-12-25,60 to 79,188
2016-12-25,80 and over,277
2016-12-25,Total,548
2016-12-25,Under 30,18
2017-01-01,30 to 59,68
2017-01-01,60 to 79,211
2017-01-01,80 and over,295
2017-01-01,Total,602
2017-01-01,Under 30,28
2017-01-08,30 to 59,73
2017-01-08,60 to 79,175
2017-01-08,80 and over,266
2017-01-08,Total,528
2017-01-08,Under 30,14
2017-01-15,30 to 59,72
2017-01-15,60 to 79,220
2017-01-15,80 and over,298
2017-01-15,Total,601
2017-01-15,Under 30,11
2017-01-22,30 to 59,61
2017-01-22,60 to 79,203
2017-01-22,80 and over,270
2017-01-22,Total,557
2017-01-22,Under 30,23
2017-01-29,30 to 59,83
2017-01-29,60 to 79,208
2017-01-29,80 and over,303
2017-01-29,Total,608
2017-01-29,Under 30,14
2017-02-05,30 to 59,79
2017-02-05,60 to 79,187
2017-02-05,80 and over,300
2017-02-05,Total,591
2017-02-05,Under 30,25
2017-02-12,30 to 59,57
2017-02-12,60 to 79,215
2017-02-12,80 and over,282
2017-02-12,Total,564
2017-02-12,Under 30,10
2017-02-19,30 to 59,71
2017-02-19,60 to 79,200
2017-02-19,80 and over,286
2017-02-19,Total,571
2017-02-19,Under 30,14
2017-02-26,30 to 59,73
2017-02-26,60 to 79,205
2017-02-26,80 and over,292
2017-02-26,Total,580
2017-02-26,Under 30,10
2017-03-05,30 to 59,72
2017-03-05,60 to 79,223
2017-03-05,80 and over,263
2017-03-05,Total,571
2017-03-05,Under 30,13
2017-03-12,30 to 59,61
2017-03-12,60 to 79,214
2017-03-12,80 and over,307
2017-03-12,Total,599
2017-03-12,Under 30,17
2017-03-19,30 to 59,66
2017-03-19,60 to 79,204
2017-03-19,80 and over,292
2017-03-19,Total,571
2017-03-19,Under 30,9
2017-03-26,30 to 59,66
2017-03-26,60 to 79,230
2017-03-26,80 and over,279
2017-03-26,Total,593
2017-03-26,Under 30,18
2017-04-02,30 to 59,94
2017-04-02,60 to 79,200
2017-04-02,80 and over,280
2017-04-02,Total,596
2017-04-02,Under 30,22
2017-04-09,30 to 59,68
2017-04-09,60 to 79,215
2017-04-09,80 and over,295
2017-04-09,Total,596
2017-04-09,Under 30,18
2017-04-16,30 to 59,72
2017-04-16,60 to 79,223
2017-04-16,80 and over,259
2017-04-16,Total,570
2017-04-16,Under 30,16
2017-04-23,30 to 59,85
2017-04-23,60 to 79,231
2017-04-23,80 and over,259
2017-04-23,Total,592
2017-04-23,Under 30,17
2017-04-30,30 to 59,84
2017-04-30,60 to 79,215
2017-04-30,80 and over,314
2017-04-30,Total,629
2017-04-30,Under 30,16
2017-05-07,30 to 59,67
2017-05-07,60 to 79,210
2017-05-07,80 and over,342
2017-05-07,Total,632
2017-05-07,Under 30,13
2017-05-14,30 to 59,69
2017-05-14,60 to 79,218
2017-05-14,80 and over,323
2017-05-14,Total,628
2017-05-14,Under 30,18
2017-05-21,30 to 59,67
2017-05-21,60 to 79,234
2017-05-21,80 and over,307
2017-05-21,Total,619
2017-05-21,Under 30,11
2017-05-28,30 to 59,66
2017-05-28,60 to 79,227
2017-05-28,80 and over,366
2017-05-28,Total,679
2017-05-28,Under 30,20
2017-06-04,30 to 59,75
2017-06-04,60 to 79,222
2017-06-04,80 and over,368
2017-06-04,Total,682
2017-06-04,Under 30,17
2017-06-11,30 to 59,69
2017-06-11,60 to 79,217
2017-06-11,80 and over,354
2017-06-11,Total,660
2017-06-11,Under 30,20
2017-06-18,30 to 59,94
2017-06-18,60 to 79,231
2017-06-18,80 and over,372
2017-06-18,Total,719
2017-06-18,Under 30,22
2017-06-25,30 to 59,64
2017-06-25,60 to 79,248
2017-06-25,80 and over,392
2017-06-25,Total,727
2017-06-25,Under 30,23
2017-07-02,30 to 59,76
2017-07-02,60 to 79,221
2017-07-02,80 and over,378
2017-07-02,Total,695
2017-07-02,Under 30,20
2017-07-09,30 to 59,90
2017-07-09,60 to 79,228
2017-07-09,80 and over,396
2017-07-09,Total,738
2017-07-09,Under 30,23
2017-07-16,30 to 59,70
2017-07-16,60 to 79,225
2017-07-16,80 and over,386
2017-07-16,Total,700
2017-07-16,Under 30,19
2017-07-23,30 to 59,77
2017-07-23,60 to 79,249
2017-07-23,80 and over,465
2017-07-23,Total,806
2017-07-23,Under 30,15
2017-07-30,30 to 59,87
2017-07-30,60 to 79,262
2017-07-30,80 and over,475
2017-07-30,Total,839
2017-07-30,Under 30,15
2017-08-06,30 to 59,94
2017-08-06,60 to 79,282
2017-08-06,80 and over,473
2017-08-06,Total,864
2017-08-06,Under 30,15
2017-08-13,30 to 59,79
2017-08-13,60 to 79,272
2017-08-13,80 and over,423
2017-08-13,Total,810
2017-08-13,Under 30,36
2017-08-20,30 to 59,71
2017-08-20,60 to 79,257
2017-08-20,80 and over,401
2017-08-20,Total,740
2017-08-20,Under 30,11
2017-08-27,30 to 59,64
2017-08-27,60 to 79,238
2017-08-27,80 and over,385
2017-08-27,Total,709
2017-08-27,Under 30,22
2017-09-03,30 to 59,71
2017-09-03,60 to 79,238
2017-09-03,80 and over,387
2017-09-03,Total,717
2017-09-03,Under 30,21
2017-09-10,30 to 59,61
2017-09-10,60 to 79,251
2017-09-10,80 and over,355
2017-09-10,Total,687
2017-09-10,Under 30,20
2017-09-17,30 to 59,97
2017-09-17,60 to 79,230
2017-09-17,80 and over,355
2017-09-17,Total,699
2017-09-17,Under 30,17
2017-09-24,30 to 59,73
2017-09-24,60 to 79,230
2017-09-24,80 and over,345
2017-09-24,Total,665
2017-09-24,Under 30,17
2017-10-01,30 to 59,73
2017-10-01,60 to 79,210
2017-10-01,80 and over,341
2017-10-01,Total,640
2017-10-01,Under 30,16
2017-10-08,30 to 59,65
2017-10-08,60 to 79,225
2017-10-08,80 and over,323
2017-10-08,Total,637
2017-10-08,Under 30,24
2017-10-15,30 to 59,68
2017-10-15,60 to 79,250
2017-10-15,80 and over,306
2017-10-15,Total,635
2017-10-15,Under 30,11
2017-10-22,30 to 59,71
2017-10-22,60 to 79,220
2017-10-22,80 and over,323
2017-10-22,Total,624
2017-10-22,Under 30,10
2017-10-29,30 to 59,69
2017-10-29,60 to 79,223
2017-10-29,80 and over,327
2017-10-29,Total,633
2017-10-29,Under 30,14
2017-11-05,30 to 59,88
2017-11-05,60 to 79,219
2017-11-05,80 and over,291
2017-11-05,Total,618
2017-11-05,Under 30,20
2017-11-12,30 to 59,75
2017-11-12,60 to 79,214
2017-11-12,80 and over,278
2017-11-12,Total,592
2017-11-12,Under 30,25
2017-11-19,30 to 59,57
2017-11-19,60 to 79,204
2017-11-19,80 and over,310
2017-11-19,Total,589
2017-11-19,Under 30,18
2017-11-26,30 to 59,71
2017-11-26,60 to 79,229
2017-11-26,80 and over,307
2017-11-26,Total,625
2017-11-26,Under 30,18
2017-12-03,30 to 59,60
2017-12-03,60 to 79,205
2017-12-03,80 and over,301
2017-12-03,Total,586
2017-12-03,Under 30,20
2017-12-10,30 to 59,57
2017-12-10,60 to 79,183
2017-12-10,80 and over,292
2017-12-10,Total,550
2017-12-10,Under 30,18
2017-12-17,30 to 59,59
2017-12-17,60 to 79,219
2017-12-17,80 and over,294
2017-12-17,Total,596
2017-12-17,Under 30,24
2017-12-24,30 to 59,77
2017-12-24,60 to 79,226
2017-12-24,80 and over,286
2017-12-24,Total,617
2017-12-24,Under 30,28
2017-12-31,30 to 59,87
2017-12-31,60 to 79,240
2017-12-31,80 and over,285
2017-12-31,Total,625
2017-12-31,Under 30,13
2018-01-07,30 to 59,77
2018-01-07,60 to 79,199
2018-01-07,80 and over,284
2018-01-07,Total,583
2018-01-07,Under 30,23
2018-01-14,30 to 59,75
2018-01-14,60 to 79,218
2018-01-14,80 and over,303
2018-01-14,Total,611
2018-01-14,Under 30,15
2018-01-21,30 to 59,70
2018-01-21,60 to 79,189
2018-01-21,80 and over,303
2018-01-21,Total,576
2018-01-21,Under 30,14
2018-01-28,30 to 59,89
2018-01-28,60 to 79,239
2018-01-28,80 and over,312
2018-01-28,Total,653
2018-01-28,Under 30,13
2018-02-04,30 to 59,78
2018-02-04,60 to 79,190
2018-02-04,80 and over,302
2018-02-04,Total,591
2018-02-04,Under 30,21
2018-02-11,30 to 59,77
2018-02-11,60 to 79,237
2018-02-11,80 and over,293
2018-02-11,Total,624
2018-02-11,Under 30,17
2018-02-18,30 to 59,62
2018-02-18,60 to 79,204
2018-02-18,80 and over,253
2018-02-18,Total,542
2018-02-18,Under 30,23
2018-02-25,30 to 59,78
2018-02-25,60 to 79,195
2018-02-25,80 and over,297
2018-02-25,Total,583
2018-02-25,Under 30,13
2018-03-04,30 to 59,78
2018-03-04,60 to 79,194
2018-03-04,80 and over,278
2018-03-04,Total,572
2018-03-04,Under 30,22
2018-03-11,30 to 59,80
2018-03-11,60 to 79,208
2018-03-11,80 and over,298
2018-03-11,Total,602
2018-03-11,Under 30,16
2018-03-18,30 to 59,61
2018-03-18,60 to 79,223
2018-03-18,80 and over,318
2018-03-18,Total,617
2018-03-18,Under 30,15
2018-03-25,30 to 59,70
2018-03-25,60 to 79,237
2018-03-25,80 and over,284
2018-03-25,Total,605
2018-03-25,Under 30,14
2018-04-01,30 to 59,79
2018-04-01,60 to 79,197
2018-04-01,80 and over,276
2018-04-01,Total,571
2018-04-01,Under 30,19
2018-04-08,30 to 59,71
2018-04-08,60 to 79,199
2018-04-08,80 and over,301
2018-04-08,Total,584
2018-04-08,Under 30,13
2018-04-15,30 to 59,81
2018-04-15,60 to 79,196
2018-04-15,80 and over,304
2018-04-15,Total,596
2018-04-15,Under 30,15
2018-04-22,30 to 59,87
2018-04-22,60 to 79,223
2018-04-22,80 and over,340
2018-04-22,Total,664
2018-04-22,Under 30,14
2018-04-29,30 to 59,73
2018-04-29,60 to 79,200
2018-04-29,80 and over,340
2018-04-29,Total,632
2018-04-29,Under 30,19
2018-05-06,30 to 59,72
2018-05-06,60 to 79,216
2018-05-06,80 and over,307
2018-05-06,Total,608
2018-05-06,Under 30,13
2018-05-13,30 to 59,75
2018-05-13,60 to 79,218
2018-05-13,80 and over,315
2018-05-13,Total,623
2018-05-13,Under 30,15
2018-05-20,30 to 59,62
2018-05-20,60 to 79,241
2018-05-20,80 and over,339
2018-05-20,Total,655
2018-05-20,Under 30,13
2018-05-27,30 to 59,80
2018-05-27,60 to 79,213
2018-05-27,80 and over,330
2018-05-27,Total,638
2018-05-27,Under 30,15
2018-06-03,30 to 59,90
2018-06-03,60 to 79,245
2018-06-03,80 and over,361
2018-06-03,Total,707
2018-06-03,Under 30,11
2018-06-10,30 to 59,59
2018-06-10,60 to 79,232
2018-06-10,80 and over,349
2018-06-10,Total,654
2018-06-10,Under 30,14
2018-06-17,30 to 59,59
2018-06-17,60 to 79,236
2018-06-17,80 and over,368
2018-06-17,Total,678
2018-06-17,Under 30,15
2018-06-24,30 to 59,73
2018-06-24,60 to 79,246
2018-06-24,80 and over,350
2018-06-24,Total,684
2018-06-24,Under 30,15
2018-07-01,30 to 59,86
2018-07-01,60 to 79,228
2018-07-01,80 and over,341
2018-07-01,Total,673
2018-07-01,Under 30,18
2018-07-08,30 to 59,63
2018-07-08,60 to 79,193
2018-07-08,80 and over,375
2018-07-08,Total,650
2018-07-08,Under 30,19
2018-07-15,30 to 59,72
2018-07-15,60 to 79,214
2018-07-15,80 and over,363
2018-07-15,Total,667
2018-07-15,Under 30,18
2018-07-22,30 to 59,73
2018-07-22,60 to 79,259
2018-07-22,80 and over,356
2018-07-22,Total,711
2018-07-22,Under 30,23
2018-07-29,30 to 59,68
2018-07-29,60 to 79,226
2018-07-29,80 and over,400
2018-07-29,Total,714
2018-07-29,Under 30,20
2018-08-05,30 to 59,89
2018-08-05,60 to 79,221
2018-08-05,80 and over,357
2018-08-05,Total,683
2018-08-05,Under 30,16
2018-08-12,30 to 59,61
2018-08-12,60 to 79,241
2018-08-12,80 and over,377
2018-08-12,Total,697
2018-08-12,Under 30,18
2018-08-19,30 to 59,76
2018-08-19,60 to 79,257
2018-08-19,80 and over,378
2018-08-19,Total,720
2018-08-19,Under 30,9
2018-08-26,30 to 59,87
