cause,year,state,dead
covid,2023,Utah,253
covid,2023,Vermont,121
covid,2023,Virginia,1372
covid,2023,Washington,971
covid,2023,West Virginia,492
covid,2023,Wisconsin,819
covid,2023,Wyoming,93
covid,2024,Alabama,514
covid,2024,Alaska,52
covid,2024,Arizona,524
covid,2024,Arkansas,313
covid,2024,California,2686
covid,2024,Colorado,308
covid,2024,Connecticut,379
covid,2024,Delaware,129
covid,2024,District of Columbia,38
covid,2024,Florida,2255
covid,2024,Georgia,820
covid,2024,Hawaii,134
covid,2024,Idaho,127
covid,2024,Illinois,909
covid,2024,Indiana,591
covid,2024,Iowa,312
covid,2024,Kansas,264
covid,2024,Kentucky,533
covid,2024,Louisiana,337
covid,2024,Maine,185
covid,2024,Maryland,506
covid,2024,Massachusetts,601
covid,2024,Michigan,815
covid,2024,Minnesota,451
covid,2024,Mississippi,372
covid,2024,Missouri,537
covid,2024,Montana,109
covid,2024,Nebraska,161
covid,2024,Nevada,211
covid,2024,New Hampshire,135
covid,2024,New Jersey,799
covid,2024,New Mexico,211
covid,2024,New York,1708
covid,2024,North Carolina,1031
covid,2024,North Dakota,51
covid,2024,Ohio,1056
covid,2024,Oklahoma,407
covid,2024,Oregon,333
covid,2024,Pennsylvania,1330
covid,2024,Rhode Island,86
covid,2024,South Carolina,541
covid,2024,South Dakota,83
covid,2024,Tennessee,699
covid,2024,Texas,1774
covid,2024,Utah,132
covid,2024,Vermont,70
covid,2024,Virginia,808
covid,2024,Washington,549
covid,2024,West Virginia,265
covid,2024,Wisconsin,424
covid,2024,Wyoming,59
all,2018,Alabama,54352
all,2018,Alaska,4453
all,2018,Arizona,59282
all,2018,Arkansas,32336
all,2018,California,268818
all,2018,Colorado,38526
all,2018,Connecticut,31230
all,2018,Delaware,9433
all,2018,District of Columbia,5008
all,2018,Florida,205426
all,2018,Georgia,85202
all,2018,Hawaii,11415
all,2018,Idaho,14261
all,2018,Illinois,110022
all,2018,Indiana,65693
all,2018,Iowa,30367
all,2018,Kansas,27537
all,2018,Kentucky,48707
all,2018,Louisiana,46048
all,2018,Maine,14715
all,2018,Maryland,50568
all,2018,Massachusetts,59152
all,2018,Michigan,98903
all,2018,Minnesota,44745
all,2018,Mississippi,32301
all,2018,Missouri,63117
all,2018,Montana,9992
all,2018,Nebraska,16904
all,2018,Nevada,24715
all,2018,New Hampshire,12774
all,2018,New Jersey,75765
all,2018,New Mexico,19007
