type,cause,week,dead
mcd,N17,2021-02-27,2330
mcd,N17,2021-03-06,2062
mcd,N17,2021-03-13,1915
mcd,N17,2021-03-20,1905
mcd,N17,2021-03-27,1879
mcd,N17,2021-04-03,1756
mcd,N17,2021-04-10,1924
mcd,N17,2021-04-17,1762
mcd,N17,2021-04-24,1818
mcd,N17,2021-05-01,1842
mcd,N17,2021-05-08,1798
mcd,N17,2021-05-15,1861
mcd,N17,2021-05-22,1841
mcd,N17,2021-05-29,1736
mcd,N17,2021-06-05,1704
mcd,N17,2021-06-12,1687
mcd,N17,2021-06-19,1693
mcd,N17,2021-06-26,1690
mcd,N17,2021-07-03,1717
mcd,N17,2021-07-10,1677
mcd,N17,2021-07-17,1653
mcd,N17,2021-07-24,1710
mcd,N17,2021-07-31,1759
mcd,N17,2021-08-07,1941
mcd,N17,2021-08-14,2203
mcd,N17,2021-08-21,2466
mcd,N17,2021-08-28,2640
mcd,N17,2021-09-04,2742
mcd,N17,2021-09-11,2856
mcd,N17,2021-09-18,2882
mcd,N17,2021-09-25,2758
mcd,N17,2021-10-02,2763
mcd,N17,2021-10-09,2640
mcd,N17,2021-10-16,2510
mcd,N17,2021-10-23,2555
mcd,N17,2021-10-30,2343
mcd,N17,2021-11-06,2335
mcd,N17,2021-11-13,2349
mcd,N17,2021-11-20,2247
mcd,N17,2021-11-27,2385
mcd,N17,2021-12-04,2606
mcd,N17,2021-12-11,2519
mcd,N17,2021-12-18,2573
mcd,N17,2021-12-25,2574
mcd,N17,2022-01-01,2829
mcd,N17,2022-01-08,3779
mcd,N17,2022-01-15,3952
mcd,N17,2022-01-22,4252
mcd,N17,2022-01-29,4214
mcd,N17,2022-02-05,3930
mcd,N17,2022-02-12,3795
mcd,N17,2022-02-19,3256
mcd,N17,2022-02-26,2955
mcd,N17,2022-03-05,2737
mcd,N17,2022-03-12,2446
mcd,N17,2022-03-19,2378
mcd,N17,2022-03-26,2223
mcd,N17,2022-04-02,2164
mcd,N17,2022-04-09,2279
mcd,N17,2022-04-16,2227
mcd,N17,2022-04-23,2066
mcd,N17,2022-04-30,2163
mcd,N17,2022-05-07,2058
mcd,N17,2022-05-14,2216
mcd,N17,2022-05-21,2190
mcd,N17,2022-05-28,2151
mcd,N17,2022-06-04,2214
mcd,N17,2022-06-11,2110
mcd,N17,2022-06-18,2097
mcd,N17,2022-06-25,2168
mcd,N17,2022-07-02,2129
mcd,N17,2022-07-09,2232
mcd,N17,2022-07-16,2102
mcd,N17,2022-07-23,2252
mcd,N17,2022-07-30,2129
mcd,N17,2022-08-06,2125
mcd,N17,2022-08-13,2185
mcd,N17,2022-08-20,2116
mcd,N17,2022-08-27,2158
mcd,N17,2022-09-03,2076
mcd,N17,2022-09-10,2187
mcd,N17,2022-09-17,2169
mcd,N17,2022-09-24,2183
mcd,N17,2022-10-01,2142
mcd,N17,2022-10-08,2178
mcd,N17,2022-10-15,2200
mcd,N17,2022-10-22,2176
mcd,N17,2022-10-29,2200
mcd,N17,2022-11-05,2248
mcd,N17,2022-11-12,2281
mcd,N17,2022-11-19,2278
mcd,N17,2022-11-26,2361
mcd,N17,2022-12-03,2510
mcd,N17,2022-12-10,2588
mcd,N17,2022-12-17,2667
mcd,N17,2022-12-24,2554
mcd,N17,2022-12-31,2667
mcd,N17,2023-01-07,2829
mcd,N17,2023-01-14,2709
mcd,N17,2023-01-21,2552
mcd,N17,2023-01-28,2464
mcd,N17,2023-02-04,2454
mcd,N17,2023-02-11,2479
mcd,N17,2023-02-18,2343
mcd,N17,2023-02-25,2341
mcd,N17,2023-03-04,2245
mcd,N17,2023-03-11,2294
mcd,N17,2023-03-18,2331
mcd,N17,2023-03-25,2300
mcd,N17,2023-04-01,2219
mcd,N17,2023-04-08,2173
mcd,N17,2023-04-15,2156
mcd,N17,2023-04-22,2118
mcd,N17,2023-04-29,2064
mcd,N17,2023-05-06,2045
mcd,N17,2023-05-13,2072
mcd,N17,2023-05-20,2029
mcd,N17,2023-05-27,2043
mcd,N17,2023-06-03,2166
mcd,N17,2023-06-10,2101
mcd,N17,2023-06-17,2035
mcd,N17,2023-06-24,1970
mcd,N17,2023-07-01,2019
mcd,N17,2023-07-08,1946
mcd,N17,2023-07-15,2045
mcd,N17,2023-07-22,1914
mcd,N17,2023-07-29,2046
mcd,N17,2023-08-05,2004
mcd,N17,2023-08-12,2031
mcd,N17,2023-08-19,2012
mcd,N17,2023-08-26,1989
mcd,N17,2023-09-02,2073
mcd,N17,2023-09-09,2076
mcd,N17,2023-09-16,2097
mcd,N17,2023-09-23,2072
mcd,N17,2023-09-30,2016
mcd,N17,2023-10-07,2084
mcd,N17,2023-10-14,2051
mcd,N17,2023-10-21,2155
mcd,N17,2023-10-28,2111
mcd,N17,2023-11-04,2050
mcd,N17,2023-11-11,2150
mcd,N17,2023-11-18,2187
mcd,N17,2023-11-25,2138
mcd,N17,2023-12-02,2342
mcd,N17,2023-12-09,2303
mcd,N17,2023-12-16,2398
mcd,N17,2023-12-23,2405
mcd,N17,2023-12-30,2471
mcd,N17,2024-01-06,2717
mcd,N17,2024-01-13,2668
mcd,N17,2024-01-20,2622
mcd,N17,2024-01-27,2612
mcd,N17,2024-02-03,2377
mcd,N17,2024-02-10,2355
mcd,N17,2024-02-17,2233
mcd,N17,2024-02-24,2261
mcd,N17,2024-03-02,2240
mcd,N17,2024-03-09,2279
mcd,N17,2024-03-16,2170
mcd,N17,2024-03-23,2278
mcd,N17,2024-03-30,2106
mcd,N17,2024-04-06,2219
mcd,N17,2024-04-13,2078
mcd,N17,2024-04-20,2151
mcd,N17,2024-04-27,2123
mcd,N17,2024-05-04,1990
mcd,N17,2024-05-11,2025
mcd,N17,2024-05-18,2028
mcd,N17,2024-05-25,1989
mcd,N17,2024-06-01,1945
mcd,N17,2024-06-08,1935
mcd,N17,2024-06-15,1950
mcd,N17,2024-06-22,1920
mcd,N17,2024-06-29,1936
mcd,N17,2024-07-06,1887
mcd,N17,2024-07-13,1910
mcd,N17,2024-07-20,2065
mcd,N17,2024-07-27,2022
mcd,N17,2024-08-03,1947
mcd,N17,2024-08-10,1940
mcd,N17,2024-08-17,2008
mcd,N17,2024-08-24,1942
mcd,N17,2024-08-31,2035
mcd,N17,2024-09-07,1991
mcd,N17,2024-09-14,1927
mcd,N17,2024-09-21,2001
mcd,N17,2024-09-28,2024
mcd,N17,2024-10-05,1961
mcd,N17,2024-10-12,2063
mcd,N17,2024-10-19,2057
mcd,N17,2024-10-26,2088
mcd,N17,2024-11-02,1959
mcd,N17,2024-11-09,2111
mcd,N17,2024-11-16,2067
mcd,N17,2024-11-23,2114
mcd,N17,2024-11-30,2067
mcd,N17,2024-12-07,2247
mcd,N17,2024-12-14,2218
mcd,N17,2024-12-21,2215
mcd,N17,2024-12-28,2251
mcd,N17,2025-01-04,2425
mcd,N17,2025-01-11,2510
mcd,N17,2025-01-18,2517
mcd,N17,2025-01-25,2445
mcd,N17,2025-02-01,2478
mcd,N17,2025-02-08,2309
mcd,N17,2025-02-15,1768
mcd,N17,2025-02-22,1322
mcd,N28.8,2018-01-06,491
mcd,N28.8,2018-01-13,644
mcd,N28.8,2018-01-20,608
mcd,N28.8,2018-01-27,585
mcd,N28.8,2018-02-03,538
mcd,N28.8,2018-02-10,601
mcd,N28.8,2018-02-17,566
mcd,N28.8,2018-02-24,525
mcd,N28.8,2018-03-03,525
mcd,N28.8,2018-03-10,525
mcd,N28.8,2018-03-17,513
mcd,N28.8,2018-03-24,502
mcd,N28.8,2018-03-31,508
mcd,N28.8,2018-04-07,538
mcd,N28.8,2018-04-14,490
mcd,N28.8,2018-04-21,508
mcd,N28.8,2018-04-28,497
mcd,N28.8,2018-05-05,465
mcd,N28.8,2018-05-12,452
mcd,N28.8,2018-05-19,477
mcd,N28.8,2018-05-26,450
mcd,N28.8,2018-06-02,501
mcd,N28.8,2018-06-09,478
mcd,N28.8,2018-06-16,477
mcd,N28.8,2018-06-23,487
mcd,N28.8,2018-06-30,430
mcd,N28.8,2018-07-07,450
mcd,N28.8,2018-07-14,471
mcd,N28.8,2018-07-21,426
mcd,N28.8,2018-07-28,404
mcd,N28.8,2018-08-04,460
mcd,N28.8,2018-08-11,486
mcd,N28.8,2018-08-18,469
mcd,N28.8,2018-08-25,465
mcd,N28.8,2018-09-01,477
mcd,N28.8,2018-09-08,454
mcd,N28.8,2018-09-15,452
mcd,N28.8,2018-09-22,494
mcd,N28.8,2018-09-29,442
mcd,N28.8,2018-10-06,491
mcd,N28.8,2018-10-13,440
mcd,N28.8,2018-10-20,540
mcd,N28.8,2018-10-27,491
mcd,N28.8,2018-11-03,468
mcd,N28.8,2018-11-10,506
mcd,N28.8,2018-11-17,483
mcd,N28.8,2018-11-24,547
mcd,N28.8,2018-12-01,561
mcd,N28.8,2018-12-08,551
mcd,N28.8,2018-12-15,586
mcd,N28.8,2018-12-22,580
mcd,N28.8,2018-12-29,570
mcd,N28.8,2019-01-05,596
mcd,N28.8,2019-01-12,588
mcd,N28.8,2019-01-19,610
mcd,N28.8,2019-01-26,602
mcd,N28.8,2019-02-02,591
mcd,N28.8,2019-02-09,615
mcd,N28.8,2019-02-16,628
mcd,N28.8,2019-02-23,607
mcd,N28.8,2019-03-02,645
mcd,N28.8,2019-03-09,601
mcd,N28.8,2019-03-16,585
mcd,N28.8,2019-03-23,592
mcd,N28.8,2019-03-30,573
mcd,N28.8,2019-04-06,588
mcd,N28.8,2019-04-13,537
mcd,N28.8,2019-04-20,525
mcd,N28.8,2019-04-27,554
mcd,N28.8,2019-05-04,535
mcd,N28.8,2019-05-11,563
mcd,N28.8,2019-05-18,520
mcd,N28.8,2019-05-25,528
mcd,N28.8,2019-06-01,550
mcd,N28.8,2019-06-08,485
mcd,N28.8,2019-06-15,558
mcd,N28.8,2019-06-22,518
mcd,N28.8,2019-06-29,533
mcd,N28.8,2019-07-06,497
mcd,N28.8,2019-07-13,520
mcd,N28.8,2019-07-20,529
mcd,N28.8,2019-07-27,490
mcd,N28.8,2019-08-03,498
mcd,N28.8,2019-08-10,530
mcd,N28.8,2019-08-17,527
mcd,N28.8,2019-08-24,467
mcd,N28.8,2019-08-31,516
mcd,N28.8,2019-09-07,532
mcd,N28.8,2019-09-14,501
mcd,N28.8,2019-09-21,528
mcd,N28.8,2019-09-28,515
mcd,N28.8,2019-10-05,526
mcd,N28.8,2019-10-12,525
mcd,N28.8,2019-10-19,540
mcd,N28.8,2019-10-26,561
mcd,N28.8,2019-11-02,557
mcd,N28.8,2019-11-09,563
mcd,N28.8,2019-11-16,579
mcd,N28.8,2019-11-23,582
mcd,N28.8,2019-11-30,598
mcd,N28.8,2019-12-07,631
mcd,N28.8,2019-12-14,638
mcd,N28.8,2019-12-21,609
mcd,N28.8,2019-12-28,634
mcd,N28.8,2020-01-04,623
mcd,N28.8,2020-01-11,730
mcd,N28.8,2020-01-18,714
mcd,N28.8,2020-01-25,655
mcd,N28.8,2020-02-01,628
mcd,N28.8,2020-02-08,652
mcd,N28.8,2020-02-15,622
mcd,N28.8,2020-02-22,676
mcd,N28.8,2020-02-29,670
mcd,N28.8,2020-03-07,674
mcd,N28.8,2020-03-14,675
mcd,N28.8,2020-03-21,643
mcd,N28.8,2020-03-28,675
mcd,N28.8,2020-04-04,867
mcd,N28.8,2020-04-11,983
mcd,N28.8,2020-04-18,1012
mcd,N28.8,2020-04-25,957
mcd,N28.8,2020-05-02,923
mcd,N28.8,2020-05-09,869
mcd,N28.8,2020-05-16,895
mcd,N28.8,2020-05-23,836
mcd,N28.8,2020-05-30,766
mcd,N28.8,2020-06-06,750
mcd,N28.8,2020-06-13,714
mcd,N28.8,2020-06-20,720
mcd,N28.8,2020-06-27,749
mcd,N28.8,2020-07-04,751
mcd,N28.8,2020-07-11,794
mcd,N28.8,2020-07-18,754
mcd,N28.8,2020-07-25,869
mcd,N28.8,2020-08-01,824
mcd,N28.8,2020-08-08,877
mcd,N28.8,2020-08-15,921
mcd,N28.8,2020-08-22,907
mcd,N28.8,2020-08-29,817
mcd,N28.8,2020-09-05,848
mcd,N28.8,2020-09-12,833
mcd,N28.8,2020-09-19,872
mcd,N28.8,2020-09-26,791
mcd,N28.8,2020-10-03,834
mcd,N28.8,2020-10-10,849
mcd,N28.8,2020-10-17,853
mcd,N28.8,2020-10-24,843
mcd,N28.8,2020-10-31,841
mcd,N28.8,2020-11-07,996
mcd,N28.8,2020-11-14,1068
mcd,N28.8,2020-11-21,1139
mcd,N28.8,2020-11-28,1203
mcd,N28.8,2020-12-05,1346
mcd,N28.8,2020-12-12,1451
mcd,N28.8,2020-12-19,1402
mcd,N28.8,2020-12-26,1465
mcd,N28.8,2021-01-02,1427
mcd,N28.8,2021-01-09,1053
mcd,N28.8,2021-01-16,1047
mcd,N28.8,2021-01-23,1015
mcd,N28.8,2021-01-30,969
mcd,N28.8,2021-02-06,877
mcd,N28.8,2021-02-13,793
mcd,N28.8,2021-02-20,723
mcd,N28.8,2021-02-27,668
mcd,N28.8,2021-03-06,613
mcd,N28.8,2021-03-13,570
mcd,N28.8,2021-03-20,542
mcd,N28.8,2021-03-27,553
mcd,N28.8,2021-04-03,509
mcd,N28.8,2021-04-10,517
mcd,N28.8,2021-04-17,539
mcd,N28.8,2021-04-24,533
mcd,N28.8,2021-05-01,483
mcd,N28.8,2021-05-08,499
mcd,N28.8,2021-05-15,480
mcd,N28.8,2021-05-22,488
mcd,N28.8,2021-05-29,431
mcd,N28.8,2021-06-05,437
mcd,N28.8,2021-06-12,421
mcd,N28.8,2021-06-19,415
mcd,N28.8,2021-06-26,428
mcd,N28.8,2021-07-03,391
mcd,N28.8,2021-07-10,397
mcd,N28.8,2021-07-17,503
mcd,N28.8,2021-07-24,478
mcd,N28.8,2021-07-31,522
mcd,N28.8,2021-08-07,593
mcd,N28.8,2021-08-14,636
mcd,N28.8,2021-08-21,672
mcd,N28.8,2021-08-28,809
mcd,N28.8,2021-09-04,853
mcd,N28.8,2021-09-11,841
mcd,N28.8,2021-09-18,937
mcd,N28.8,2021-09-25,834
mcd,N28.8,2021-10-02,758
mcd,N28.8,2021-10-09,718
mcd,N28.8,2021-10-16,668
mcd,N28.8,2021-10-23,612
mcd,N28.8,2021-10-30,590
mcd,N28.8,2021-11-06,582
mcd,N28.8,2021-11-13,584
mcd,N28.8,2021-11-20,557
mcd,N28.8,2021-11-27,529
mcd,N28.8,2021-12-04,598
mcd,N28.8,2021-12-11,641
mcd,N28.8,2021-12-18,715
mcd,N28.8,2021-12-25,642
mcd,N28.8,2022-01-01,652
mcd,N28.8,2022-01-08,90
mcd,N28.8,2022-01-15,91
mcd,N28.8,2022-01-22,91
mcd,N28.8,2022-01-29,93
mcd,N28.8,2022-02-05,114
mcd,N28.8,2022-02-12,102
mcd,N28.8,2022-02-19,87
mcd,N28.8,2022-02-26,76
mcd,N28.8,2022-03-05,60
mcd,N28.8,2022-03-12,62
mcd,N28.8,2022-03-19,62
mcd,N28.8,2022-03-26,74
mcd,N28.8,2022-04-02,69
mcd,N28.8,2022-04-09,60
mcd,N28.8,2022-04-16,58
mcd,N28.8,2022-04-23,62
mcd,N28.8,2022-04-30,73
mcd,N28.8,2022-05-07,65
mcd,N28.8,2022-05-14,57
mcd,N28.8,2022-05-21,51
mcd,N28.8,2022-05-28,59
mcd,N28.8,2022-06-04,51
mcd,N28.8,2022-06-11,49
mcd,N28.8,2022-06-18,53
mcd,N28.8,2022-06-25,51
mcd,N28.8,2022-07-02,59
mcd,N28.8,2022-07-09,48
mcd,N28.8,2022-07-16,52
mcd,N28.8,2022-07-23,50
mcd,N28.8,2022-07-30,39
mcd,N28.8,2022-08-06,50
mcd,N28.8,2022-08-13,47
mcd,N28.8,2022-08-20,60
mcd,N28.8,2022-08-27,51
mcd,N28.8,2022-09-03,38
mcd,N28.8,2022-09-10,66
mcd,N28.8,2022-09-17,49
mcd,N28.8,2022-09-24,42
mcd,N28.8,2022-10-01,48
mcd,N28.8,2022-10-08,56
mcd,N28.8,2022-10-15,62
mcd,N28.8,2022-10-22,51
mcd,N28.8,2022-10-29,54
mcd,N28.8,2022-11-05,40
mcd,N28.8,2022-11-12,50
mcd,N28.8,2022-11-19,52
mcd,N28.8,2022-11-26,46
mcd,N28.8,2022-12-03,56
mcd,N28.8,2022-12-10,56
mcd,N28.8,2022-12-17,59
mcd,N28.8,2022-12-24,77
mcd,N28.8,2022-12-31,56
mcd,N28.8,2023-01-07,78
mcd,N28.8,2023-01-14,72
mcd,N28.8,2023-01-21,57
mcd,N28.8,2023-01-28,59
mcd,N28.8,2023-02-04,53
mcd,N28.8,2023-02-11,49
mcd,N28.8,2023-02-18,57
mcd,N28.8,2023-02-25,53
mcd,N28.8,2023-03-04,59
mcd,N28.8,2023-03-11,58
mcd,N28.8,2023-03-18,47
mcd,N28.8,2023-03-25,49
mcd,N28.8,2023-04-01,61
mcd,N28.8,2023-04-08,57
mcd,N28.8,2023-04-15,57
mcd,N28.8,2023-04-22,44
mcd,N28.8,2023-04-29,59
mcd,N28.8,2023-05-06,34
mcd,N28.8,2023-05-13,41
mcd,N28.8,2023-05-20,48
mcd,N28.8,2023-05-27,55
mcd,N28.8,2023-06-03,64
mcd,N28.8,2023-06-10,56
mcd,N28.8,2023-06-17,46
mcd,N28.8,2023-06-24,48
mcd,N28.8,2023-07-01,39
mcd,N28.8,2023-07-08,45
mcd,N28.8,2023-07-15,42
mcd,N28.8,2023-07-22,50
mcd,N28.8,2023-07-29,54
mcd,N28.8,2023-08-05,54
mcd,N28.8,2023-08-12,53
mcd,N28.8,2023-08-19,60
mcd,N28.8,2023-08-26,50
mcd,N28.8,2023-09-02,41
mcd,N28.8,2023-09-09,44
mcd,N28.8,2023-09-16,64
mcd,N28.8,2023-09-23,41
mcd,N28.8,2023-09-30,44
mcd,N28.8,2023-10-07,53
mcd,N28.8,2023-10-14,71
mcd,N28.8,2023-10-21,56
mcd,N28.8,2023-10-28,49
mcd,N28.8,2023-11-04,55
mcd,N28.8,2023-11-11,56
mcd,N28.8,2023-11-18,51
mcd,N28.8,2023-11-25,39
mcd,N28.8,2023-12-02,53
mcd,N28.8,2023-12-09,64
mcd,N28.8,2023-12-16,66
mcd,N28.8,2023-12-23,63
mcd,N28.8,2023-12-30,70
mcd,N28.8,2024-01-06,67
mcd,N28.8,2024-01-13,74
mcd,N28.8,2024-01-20,49
mcd,N28.8,2024-01-27,60
mcd,N28.8,2024-02-03,63
mcd,N28.8,2024-02-10,65
mcd,N28.8,2024-02-17,56
mcd,N28.8,2024-02-24,59
mcd,N28.8,2024-03-02,64
mcd,N28.8,2024-03-09,48
mcd,N28.8,2024-03-16,58
mcd,N28.8,2024-03-23,57
mcd,N28.8,2024-03-30,59
mcd,N28.8,2024-04-06,60
mcd,N28.8,2024-04-13,50
