type,cause,week,dead
and,N28.8,2021-04-17,95
and,N28.8,2021-04-24,92
and,N28.8,2021-05-01,81
and,N28.8,2021-05-08,104
and,N28.8,2021-05-15,86
and,N28.8,2021-05-22,87
and,N28.8,2021-05-29,47
and,N28.8,2021-06-05,51
and,N28.8,2021-06-12,40
and,N28.8,2021-06-19,31
and,N28.8,2021-06-26,34
and,N28.8,2021-07-03,34
and,N28.8,2021-07-10,34
and,N28.8,2021-07-17,55
and,N28.8,2021-07-24,75
and,N28.8,2021-07-31,97
and,N28.8,2021-08-07,145
and,N28.8,2021-08-14,243
and,N28.8,2021-08-21,303
and,N28.8,2021-08-28,371
and,N28.8,2021-09-04,423
and,N28.8,2021-09-11,385
and,N28.8,2021-09-18,467
and,N28.8,2021-09-25,411
and,N28.8,2021-10-02,338
and,N28.8,2021-10-09,320
and,N28.8,2021-10-16,282
and,N28.8,2021-10-23,209
and,N28.8,2021-10-30,190
and,N28.8,2021-11-06,179
and,N28.8,2021-11-13,162
and,N28.8,2021-11-20,155
and,N28.8,2021-11-27,156
and,N28.8,2021-12-04,187
and,N28.8,2021-12-11,220
and,N28.8,2021-12-18,273
and,N28.8,2021-12-25,218
and,N28.8,2022-01-01,261
and,N28.8,2022-01-08,19
and,N28.8,2022-01-15,27
and,N28.8,2022-01-22,27
and,N28.8,2022-01-29,34
and,N28.8,2022-02-05,39
and,N28.8,2022-02-12,32
and,N28.8,2022-02-19,16
and,N28.8,2022-02-26,16
and,N28.8,2022-03-05,11
and,N17,2020-03-21,32
and,N17,2020-03-28,118
and,N17,2020-04-04,379
and,N17,2020-04-11,609
and,N17,2020-04-18,659
and,N17,2020-04-25,534
and,N17,2020-05-02,510
and,N17,2020-05-09,412
and,N17,2020-05-16,336
and,N17,2020-05-23,294
and,N17,2020-05-30,248
and,N17,2020-06-06,224
and,N17,2020-06-13,175
and,N17,2020-06-20,167
and,N17,2020-06-27,143
and,N17,2020-07-04,258
and,N17,2020-07-11,301
and,N17,2020-07-18,383
and,N17,2020-07-25,440
and,N17,2020-08-01,456
and,N17,2020-08-08,427
and,N17,2020-08-15,467
and,N17,2020-08-22,378
and,N17,2020-08-29,325
and,N17,2020-09-05,282
and,N17,2020-09-12,254
and,N17,2020-09-19,221
and,N17,2020-09-26,241
and,N17,2020-10-03,227
and,N17,2020-10-10,257
and,N17,2020-10-17,241
and,N17,2020-10-24,308
and,N17,2020-10-31,324
and,N17,2020-11-07,423
and,N17,2020-11-14,459
and,N17,2020-11-21,608
and,N17,2020-11-28,762
and,N17,2020-12-05,837
and,N17,2020-12-12,989
and,N17,2020-12-19,1062
and,N17,2020-12-26,1090
and,N17,2021-01-02,1361
and,N17,2021-01-09,1634
and,N17,2021-01-16,1622
and,N17,2021-01-23,1556
and,N17,2021-01-30,1330
and,N17,2021-02-06,1156
and,N17,2021-02-13,912
and,N17,2021-02-20,803
and,N17,2021-02-27,644
and,N17,2021-03-06,437
and,N17,2021-03-13,390
and,N17,2021-03-20,298
and,N17,2021-03-27,302
and,N17,2021-04-03,268
and,N17,2021-04-10,283
and,N17,2021-04-17,285
and,N17,2021-04-24,283
and,N17,2021-05-01,277
and,N17,2021-05-08,270
and,N17,2021-05-15,271
and,N17,2021-05-22,235
and,N17,2021-05-29,193
and,N17,2021-06-05,168
and,N17,2021-06-12,147
and,N17,2021-06-19,121
and,N17,2021-06-26,122
and,N17,2021-07-03,96
and,N17,2021-07-10,125
and,N17,2021-07-17,119
and,N17,2021-07-24,196
and,N17,2021-07-31,277
and,N17,2021-08-07,384
and,N17,2021-08-14,651
and,N17,2021-08-21,909
and,N17,2021-08-28,1074
and,N17,2021-09-04,1228
and,N17,2021-09-11,1240
and,N17,2021-09-18,1297
and,N17,2021-09-25,1188
and,N17,2021-10-02,1084
and,N17,2021-10-09,956
and,N17,2021-10-16,825
and,N17,2021-10-23,751
and,N17,2021-10-30,652
and,N17,2021-11-06,567
and,N17,2021-11-13,557
and,N17,2021-11-20,571
and,N17,2021-11-27,614
and,N17,2021-12-04,665
and,N17,2021-12-11,711
and,N17,2021-12-18,741
and,N17,2021-12-25,778
and,N17,2022-01-01,898
and,N17,2022-01-08,1346
and,N17,2022-01-15,1681
and,N17,2022-01-22,1952
and,N17,2022-01-29,1937
and,N17,2022-02-05,1790
and,N17,2022-02-12,1496
and,N17,2022-02-19,1066
and,N17,2022-02-26,768
and,N17,2022-03-05,586
and,N17,2022-03-12,379
and,N17,2022-03-19,235
and,N17,2022-03-26,154
and,N17,2022-04-02,119
and,N17,2022-04-09,105
and,N17,2022-04-16,93
and,N17,2022-04-23,66
and,N17,2022-04-30,90
and,N17,2022-05-07,73
and,N17,2022-05-14,86
and,N17,2022-05-21,85
and,N17,2022-05-28,113
and,N17,2022-06-04,135
and,N17,2022-06-11,116
and,N17,2022-06-18,155
and,N17,2022-06-25,168
and,N17,2022-07-02,149
and,N17,2022-07-09,192
and,N17,2022-07-16,200
and,N17,2022-07-23,185
and,N17,2022-07-30,225
and,N17,2022-08-06,202
and,N17,2022-08-13,211
and,N17,2022-08-20,190
and,N17,2022-08-27,207
and,N17,2022-09-03,164
and,N17,2022-09-10,182
and,N17,2022-09-17,168
and,N17,2022-09-24,163
and,N17,2022-10-01,137
and,N17,2022-10-08,151
and,N17,2022-10-15,137
and,N17,2022-10-22,129
and,N17,2022-10-29,130
and,N17,2022-11-05,144
and,N17,2022-11-12,151
and,N17,2022-11-19,143
and,N17,2022-11-26,138
and,N17,2022-12-03,171
and,N17,2022-12-10,193
and,N17,2022-12-17,220
and,N17,2022-12-24,230
and,N17,2022-12-31,240
and,N17,2023-01-07,277
and,N17,2023-01-14,260
and,N17,2023-01-21,229
and,N17,2023-01-28,223
and,N17,2023-02-04,185
and,N17,2023-02-11,159
and,N17,2023-02-18,153
and,N17,2023-02-25,146
and,N17,2023-03-04,123
and,N17,2023-03-11,114
and,N17,2023-03-18,117
and,N17,2023-03-25,107
and,N17,2023-04-01,80
and,N17,2023-04-08,81
and,N17,2023-04-15,85
and,N17,2023-04-22,62
and,N17,2023-04-29,64
and,N17,2023-05-06,38
and,N17,2023-05-13,58
and,N17,2023-05-20,52
and,N17,2023-05-27,39
and,N17,2023-06-03,49
and,N17,2023-06-10,34
and,N17,2023-06-17,37
and,N17,2023-06-24,38
and,N17,2023-07-01,32
and,N17,2023-07-08,30
and,N17,2023-07-15,32
and,N17,2023-07-22,42
and,N17,2023-07-29,37
and,N17,2023-08-05,31
and,N17,2023-08-12,39
and,N17,2023-08-19,58
and,N17,2023-08-26,71
and,N17,2023-09-02,87
and,N17,2023-09-09,99
and,N17,2023-09-16,90
and,N17,2023-09-23,105
and,N17,2023-09-30,105
and,N17,2023-10-07,118
and,N17,2023-10-14,83
and,N17,2023-10-21,85
and,N17,2023-10-28,87
and,N17,2023-11-04,86
and,N17,2023-11-11,79
and,N17,2023-11-18,91
and,N17,2023-11-25,106
and,N17,2023-12-02,139
and,N17,2023-12-09,113
and,N17,2023-12-16,125
and,N17,2023-12-23,135
and,N17,2023-12-30,142
and,N17,2024-01-06,221
and,N17,2024-01-13,182
and,N17,2024-01-20,162
and,N17,2024-01-27,148
and,N17,2024-02-03,106
and,N17,2024-02-10,123
and,N17,2024-02-17,90
and,N17,2024-02-24,96
and,N17,2024-03-02,84
and,N17,2024-03-09,85
and,N17,2024-03-16,57
and,N17,2024-03-23,51
and,N17,2024-03-30,46
and,N17,2024-04-06,38
and,N17,2024-04-13,33
and,N17,2024-04-20,27
and,N17,2024-04-27,28
and,N17,2024-05-04,27
and,N17,2024-05-11,22
and,N17,2024-05-18,22
and,N17,2024-05-25,19
and,N17,2024-06-01,28
and,N17,2024-06-08,28
and,N17,2024-06-15,16
and,N17,2024-06-22,28
and,N17,2024-06-29,24
and,N17,2024-07-06,34
and,N17,2024-07-13,31
and,N17,2024-07-20,56
and,N17,2024-07-27,47
and,N17,2024-08-03,64
and,N17,2024-08-10,80
and,N17,2024-08-17,82
and,N17,2024-08-24,86
and,N17,2024-08-31,107
and,N17,2024-09-07,77
and,N17,2024-09-14,94
and,N17,2024-09-21,63
and,N17,2024-09-28,70
and,N17,2024-10-05,63
and,N17,2024-10-12,60
and,N17,2024-10-19,44
and,N17,2024-10-26,49
and,N17,2024-11-02,38
and,N17,2024-11-09,27
and,N17,2024-11-16,43
and,N17,2024-11-23,42
and,N17,2024-11-30,38
and,N17,2024-12-07,35
and,N17,2024-12-14,47
and,N17,2024-12-21,30
and,N17,2024-12-28,42
and,N17,2025-01-04,71
and,N17,2025-01-11,78
and,N17,2025-01-18,65
and,N17,2025-01-25,60
and,N17,2025-02-01,62
and,N17,2025-02-08,62
and,N17,2025-02-15,40
and,N17,2025-02-22,25
