year,month,age,dead
2000,02,95,451
2000,02,100,72
2000,03,1,32
2000,03,5,45
2000,03,10,44
2000,03,15,58
2000,03,20,66
2000,03,25,134
2000,03,30,222
2000,03,35,479
2000,03,40,911
2000,03,45,1550
2000,03,50,2389
2000,03,55,3265
2000,03,60,4118
2000,03,65,5499
2000,03,70,7186
2000,03,75,7656
2000,03,80,6143
2000,03,85,4004
2000,03,90,1740
2000,03,95,489
2000,03,100,45
2000,04,1,14
2000,04,1,30
2000,04,5,34
2000,04,10,37
2000,04,15,57
2000,04,20,74
2000,04,25,94
2000,04,30,184
2000,04,35,473
2000,04,40,899
2000,04,45,1543
2000,04,50,2275
2000,04,55,3109
2000,04,60,4047
2000,04,65,5393
2000,04,70,6881
2000,04,75,7356
2000,04,80,5959
2000,04,85,3929
2000,04,90,1664
2000,04,95,433
2000,04,100,54
2000,05,1,46
2000,05,5,38
2000,05,10,39
2000,05,15,46
2000,05,20,86
2000,05,25,116
2000,05,30,222
2000,05,35,462
2000,05,40,917
2000,05,45,1595
2000,05,50,2385
2000,05,55,3262
2000,05,60,4297
2000,05,65,5540
2000,05,70,7032
2000,05,75,7360
2000,05,80,6132
2000,05,85,4142
2000,05,90,1788
2000,05,95,435
2000,05,100,64
2000,06,1,29
2000,06,5,36
2000,06,10,42
2000,06,15,69
2000,06,20,83
2000,06,25,105
2000,06,30,205
2000,06,35,457
2000,06,40,883
2000,06,45,1555
2000,06,50,2394
2000,06,55,3189
2000,06,60,4036
2000,06,65,5420
2000,06,70,6722
2000,06,75,7282
2000,06,80,5911
2000,06,85,3837
2000,06,90,1696
2000,06,95,418
2000,06,100,60
2000,07,1,10
2000,07,1,42
2000,07,5,38
2000,07,10,43
2000,07,15,77
2000,07,20,91
2000,07,25,126
2000,07,30,223
2000,07,35,479
2000,07,40,869
2000,07,45,1633
2000,07,50,2471
2000,07,55,3260
2000,07,60,4274
2000,07,65,5422
2000,07,70,6983
2000,07,75,7540
2000,07,80,6091
2000,07,85,3989
2000,07,90,1778
2000,07,95,428
2000,07,100,63
2000,08,1,33
2000,08,5,44
2000,08,10,50
2000,08,15,66
2000,08,20,80
2000,08,25,109
2000,08,30,228
2000,08,35,449
2000,08,40,917
2000,08,45,1610
2000,08,50,2472
2000,08,55,3269
2000,08,60,4255
2000,08,65,5566
2000,08,70,7091
2000,08,75,7646
2000,08,80,6352
2000,08,85,4144
2000,08,90,1790
2000,08,95,483
2000,08,100,54
2000,09,1,32
2000,09,5,40
2000,09,10,55
2000,09,15,58
2000,09,20,96
2000,09,25,113
2000,09,30,207
2000,09,35,440
2000,09,40,897
2000,09,45,1550
2000,09,50,2452
2000,09,55,3155
2000,09,60,4084
2000,09,65,5523
2000,09,70,6881
2000,09,75,7505
2000,09,80,6250
2000,09,85,4122
2000,09,90,1831
2000,09,95,480
2000,09,100,76
2000,10,1,31
2000,10,5,39
2000,10,10,39
2000,10,15,82
2000,10,20,80
2000,10,25,111
2000,10,30,234
2000,10,35,469
2000,10,40,941
2000,10,45,1695
2000,10,50,2545
2000,10,55,3348
2000,10,60,4369
2000,10,65,5562
2000,10,70,7201
2000,10,75,7863
2000,10,80,6389
2000,10,85,4241
