age,month,state,dead
all,2019-05,West Virginia,283
all,2019-05,Wisconsin,526
all,2019-05,Wyoming,63
all,2019-06,Alabama,658
all,2019-06,Alaska,88
all,2019-06,Arizona,659
all,2019-06,Arkansas,360
all,2019-06,California,2904
all,2019-06,Colorado,462
all,2019-06,Connecticut,263
all,2019-06,Delaware,100
all,2019-06,District of Columbia,75
all,2019-06,Florida,2006
all,2019-06,Georgia,1028
all,2019-06,Hawaii,124
all,2019-06,Idaho,135
all,2019-06,Illinois,1092
all,2019-06,Indiana,682
all,2019-06,Iowa,240
all,2019-06,Kansas,271
all,2019-06,Kentucky,577
all,2019-06,Louisiana,578
all,2019-06,Maine,119
all,2019-06,Maryland,616
all,2019-06,Massachusetts,511
all,2019-06,Michigan,1011
all,2019-06,Minnesota,416
all,2019-06,Mississippi,418
all,2019-06,Missouri,650
all,2019-06,Montana,105
all,2019-06,Nebraska,164
all,2019-06,Nevada,286
all,2019-06,New Hampshire,110
all,2019-06,New Jersey,712
all,2019-06,New Mexico,282
all,2019-06,New York,1382
all,2019-06,North Carolina,1104
all,2019-06,North Dakota,77
all,2019-06,Ohio,1330
all,2019-06,Oklahoma,444
all,2019-06,Oregon,330
all,2019-06,Pennsylvania,1189
all,2019-06,Rhode Island,83
all,2019-06,South Carolina,552
all,2019-06,South Dakota,107
all,2019-06,Tennessee,893
all,2019-06,Texas,2469
all,2019-06,Utah,224
all,2019-06,Vermont,53
all,2019-06,Virginia,681
all,2019-06,Washington,562
all,2019-06,West Virginia,275
all,2019-06,Wisconsin,445
all,2019-06,Wyoming,52
all,2019-07,Alabama,631
all,2019-07,Alaska,71
all,2019-07,Arizona,757
all,2019-07,Arkansas,397
all,2019-07,California,2802
all,2019-07,Colorado,517
all,2019-07,Connecticut,292
all,2019-07,Delaware,122
all,2019-07,District of Columbia,73
all,2019-07,Florida,2027
all,2019-07,Georgia,1143
all,2019-07,Hawaii,102
all,2019-07,Idaho,118
all,2019-07,Illinois,1213
all,2019-07,Indiana,711
all,2019-07,Iowa,275
all,2019-07,Kansas,271
all,2019-07,Kentucky,593
all,2019-07,Louisiana,620
all,2019-07,Maine,113
all,2019-07,Maryland,647
all,2019-07,Massachusetts,560
all,2019-07,Michigan,1013
all,2019-07,Minnesota,426
all,2019-07,Mississippi,435
all,2019-07,Missouri,730
all,2019-07,Montana,109
all,2019-07,Nebraska,148
all,2019-07,Nevada,297
all,2019-07,New Hampshire,107
all,2019-07,New Jersey,732
all,2019-07,New Mexico,303
all,2019-07,New York,1481
all,2019-07,North Carolina,1072
all,2019-07,North Dakota,73
all,2019-07,Ohio,1384
all,2019-07,Oklahoma,443
all,2019-07,Oregon,327
all,2019-07,Pennsylvania,1256
all,2019-07,Rhode Island,92
all,2019-07,South Carolina,621
all,2019-07,South Dakota,87
all,2019-07,Tennessee,870
all,2019-07,Texas,2627
all,2019-07,Utah,272
all,2019-07,Vermont,50
all,2019-07,Virginia,708
all,2019-07,Washington,607
all,2019-07,West Virginia,267
all,2019-07,Wisconsin,464
all,2019-07,Wyoming,61
all,2019-08,Alabama,662
all,2019-08,Alaska,67
all,2019-08,Arizona,719
all,2019-08,Arkansas,353
all,2019-08,California,2890
all,2019-08,Colorado,512
all,2019-08,Connecticut,349
all,2019-08,Delaware,109
all,2019-08,District of Columbia,80
all,2019-08,Florida,1983
all,2019-08,Georgia,1052
all,2019-08,Hawaii,109
all,2019-08,Idaho,155
all,2019-08,Illinois,1144
all,2019-08,Indiana,661
all,2019-08,Iowa,239
all,2019-08,Kansas,253
all,2019-08,Kentucky,517
all,2019-08,Louisiana,622
all,2019-08,Maine,136
all,2019-08,Maryland,645
all,2019-08,Massachusetts,510
all,2019-08,Michigan,925
all,2019-08,Minnesota,407
all,2019-08,Mississippi,448
all,2019-08,Missouri,698
all,2019-08,Montana,119
all,2019-08,Nebraska,167
all,2019-08,Nevada,297
all,2019-08,New Hampshire,107
all,2019-08,New Jersey,721
all,2019-08,New Mexico,285
all,2019-08,New York,1448
all,2019-08,North Carolina,1010
all,2019-08,North Dakota,65
all,2019-08,Ohio,1310
all,2019-08,Oklahoma,467
all,2019-08,Oregon,335
all,2019-08,Pennsylvania,1254
all,2019-08,Rhode Island,97
all,2019-08,South Carolina,581
all,2019-08,South Dakota,103
all,2019-08,Tennessee,850
all,2019-08,Texas,2574
all,2019-08,Utah,234
all,2019-08,Vermont,49
all,2019-08,Virginia,705
all,2019-08,Washington,561
all,2019-08,West Virginia,270
all,2019-08,Wisconsin,509
all,2019-08,Wyoming,52
all,2019-09,Alabama,620
all,2019-09,Alaska,79
all,2019-09,Arizona,634
all,2019-09,Arkansas,366
all,2019-09,California,2841
all,2019-09,Colorado,439
all,2019-09,Connecticut,280
all,2019-09,Delaware,119
all,2019-09,District of Columbia,72
all,2019-09,Florida,1936
all,2019-09,Georgia,1109
all,2019-09,Hawaii,110
all,2019-09,Idaho,137
all,2019-09,Illinois,1111
all,2019-09,Indiana,725
all,2019-09,Iowa,253
all,2019-09,Kansas,248
all,2019-09,Kentucky,552
all,2019-09,Louisiana,554
all,2019-09,Maine,96
all,2019-09,Maryland,586
all,2019-09,Massachusetts,471
all,2019-09,Michigan,886
all,2019-09,Minnesota,405
all,2019-09,Mississippi,376
all,2019-09,Missouri,682
all,2019-09,Montana,100
all,2019-09,Nebraska,147
all,2019-09,Nevada,306
all,2019-09,New Hampshire,109
all,2019-09,New Jersey,690
all,2019-09,New Mexico,289
all,2019-09,New York,1343
all,2019-09,North Carolina,1028
all,2019-09,North Dakota,53
all,2019-09,Ohio,1229
all,2019-09,Oklahoma,448
all,2019-09,Oregon,306
all,2019-09,Pennsylvania,1187
all,2019-09,Rhode Island,77
all,2019-09,South Carolina,613
all,2019-09,South Dakota,101
all,2019-09,Tennessee,861
all,2019-09,Texas,2467
all,2019-09,Utah,237
all,2019-09,Vermont,45
all,2019-09,Virginia,720
all,2019-09,Washington,534
all,2019-09,West Virginia,250
all,2019-09,Wisconsin,477
all,2019-09,Wyoming,63
all,2019-10,Alabama,654
all,2019-10,Alaska,93
all,2019-10,Arizona,671
all,2019-10,Arkansas,352
all,2019-10,California,2780
all,2019-10,Colorado,465
all,2019-10,Connecticut,253
all,2019-10,Delaware,98
all,2019-10,District of Columbia,82
all,2019-10,Florida,2078
all,2019-10,Georgia,1073
all,2019-10,Hawaii,97
all,2019-10,Idaho,156
all,2019-10,Illinois,1105
all,2019-10,Indiana,767
all,2019-10,Iowa,260
all,2019-10,Kansas,262
all,2019-10,Kentucky,546
all,2019-10,Louisiana,571
all,2019-10,Maine,147
all,2019-10,Maryland,612
all,2019-10,Massachusetts,547
all,2019-10,Michigan,954
all,2019-10,Minnesota,394
all,2019-10,Mississippi,402
all,2019-10,Missouri,658
all,2019-10,Montana,81
all,2019-10,Nebraska,159
all,2019-10,Nevada,269
all,2019-10,New Hampshire,116
all,2019-10,New Jersey,718
all,2019-10,New Mexico,290
all,2019-10,New York,1392
all,2019-10,North Carolina,1080
all,2019-10,North Dakota,63
all,2019-10,Ohio,1294
all,2019-10,Oklahoma,451
all,2019-10,Oregon,300
all,2019-10,Pennsylvania,1209
all,2019-10,Rhode Island,69
all,2019-10,South Carolina,634
all,2019-10,South Dakota,95
all,2019-10,Tennessee,933
all,2019-10,Texas,2525
all,2019-10,Utah,230
all,2019-10,Vermont,56
all,2019-10,Virginia,724
all,2019-10,Washington,549
all,2019-10,West Virginia,259
all,2019-10,Wisconsin,502
all,2019-10,Wyoming,59
all,2019-11,Alabama,623
all,2019-11,Alaska,87
all,2019-11,Arizona,693
all,2019-11,Arkansas,344
all,2019-11,California,2914
all,2019-11,Colorado,473
all,2019-11,Connecticut,256
all,2019-11,Delaware,99
all,2019-11,District of Columbia,86
all,2019-11,Florida,2026
all,2019-11,Georgia,1079
all,2019-11,Hawaii,107
all,2019-11,Idaho,141
all,2019-11,Illinois,1092
all,2019-11,Indiana,713
all,2019-11,Iowa,244
all,2019-11,Kansas,246
all,2019-11,Kentucky,550
all,2019-11,Louisiana,626
all,2019-11,Maine,125
all,2019-11,Maryland,580
all,2019-11,Massachusetts,522
all,2019-11,Michigan,986
all,2019-11,Minnesota,359
all,2019-11,Mississippi,394
all,2019-11,Missouri,716
all,2019-11,Montana,89
all,2019-11,Nebraska,125
all,2019-11,Nevada,270
all,2019-11,New Hampshire,112
all,2019-11,New Jersey,729
all,2019-11,New Mexico,268
all,2019-11,New York,1351
all,2019-11,North Carolina,1037
all,2019-11,North Dakota,55
all,2019-11,Ohio,1308
all,2019-11,Oklahoma,467
all,2019-11,Oregon,307
all,2019-11,Pennsylvania,1221
all,2019-11,Rhode Island,81
all,2019-11,South Carolina,616
all,2019-11,South Dakota,69
all,2019-11,Tennessee,863
all,2019-11,Texas,2627
all,2019-11,Utah,255
all,2019-11,Vermont,40
all,2019-11,Virginia,705
all,2019-11,Washington,565
all,2019-11,West Virginia,253
all,2019-11,Wisconsin,470
all,2019-11,Wyoming,56
all,2019-12,Alabama,640
all,2019-12,Alaska,87
all,2019-12,Arizona,706
all,2019-12,Arkansas,352
all,2019-12,California,2969
all,2019-12,Colorado,518
all,2019-12,Connecticut,284
all,2019-12,Delaware,135
all,2019-12,District of Columbia,77
all,2019-12,Florida,2105
all,2019-12,Georgia,1126
all,2019-12,Hawaii,133
all,2019-12,Idaho,137
all,2019-12,Illinois,1150
all,2019-12,Indiana,720
all,2019-12,Iowa,272
all,2019-12,Kansas,244
all,2019-12,Kentucky,608
all,2019-12,Louisiana,674
all,2019-12,Maine,114
all,2019-12,Maryland,620
all,2019-12,Massachusetts,544
all,2019-12,Michigan,957
all,2019-12,Minnesota,423
all,2019-12,Mississippi,433
all,2019-12,Missouri,719
all,2019-12,Montana,102
all,2019-12,Nebraska,140
all,2019-12,Nevada,324
all,2019-12,New Hampshire,121
all,2019-12,New Jersey,808
all,2019-12,New Mexico,308
all,2019-12,New York,1529
all,2019-12,North Carolina,1114
all,2019-12,North Dakota,78
all,2019-12,Ohio,1327
all,2019-12,Oklahoma,478
all,2019-12,Oregon,327
all,2019-12,Pennsylvania,1318
all,2019-12,Rhode Island,104
all,2019-12,South Carolina,655
all,2019-12,South Dakota,75
all,2019-12,Tennessee,969
all,2019-12,Texas,2759
all,2019-12,Utah,234
all,2019-12,Vermont,53
all,2019-12,Virginia,738
all,2019-12,Washington,589
all,2019-12,West Virginia,262
all,2019-12,Wisconsin,479
all,2019-12,Wyoming,56
all,2020-01,Alabama,650
all,2020-01,Alaska,89
all,2020-01,Arizona,749
all,2020-01,Arkansas,404
all,2020-01,California,3138
all,2020-01,Colorado,501
all,2020-01,Connecticut,326
all,2020-01,Delaware,104
all,2020-01,District of Columbia,79
all,2020-01,Florida,2197
all,2020-01,Georgia,1150
all,2020-01,Hawaii,105
all,2020-01,Idaho,132
all,2020-01,Illinois,1190
all,2020-01,Indiana,795
all,2020-01,Iowa,234
all,2020-01,Kansas,293
all,2020-01,Kentucky,598
all,2020-01,Louisiana,622
all,2020-01,Maine,152
all,2020-01,Maryland,585
all,2020-01,Massachusetts,517
all,2020-01,Michigan,966
all,2020-01,Minnesota,387
all,2020-01,Mississippi,400
all,2020-01,Missouri,693
all,2020-01,Montana,114
all,2020-01,Nebraska,138
all,2020-01,Nevada,333
all,2020-01,New Hampshire,110
all,2020-01,New Jersey,777
all,2020-01,New Mexico,281
all,2020-01,New York,1534
all,2020-01,North Carolina,1156
all,2020-01,North Dakota,68
all,2020-01,Ohio,1310
all,2020-01,Oklahoma,469
all,2020-01,Oregon,346
all,2020-01,Pennsylvania,1294
all,2020-01,Rhode Island,84
all,2020-01,South Carolina,659
all,2020-01,South Dakota,76
all,2020-01,Tennessee,983
all,2020-01,Texas,2756
all,2020-01,Utah,270
all,2020-01,Vermont,49
all,2020-01,Virginia,867
all,2020-01,Washington,645
all,2020-01,West Virginia,282
all,2020-01,Wisconsin,504
all,2020-01,Wyoming,53
all,2020-02,Alabama,649
all,2020-02,Alaska,83
all,2020-02,Arizona,704
all,2020-02,Arkansas,366
all,2020-02,California,2933
all,2020-02,Colorado,519
all,2020-02,Connecticut,286
all,2020-02,Delaware,101
all,2020-02,District of Columbia,75
all,2020-02,Florida,2010
all,2020-02,Georgia,1123
all,2020-02,Hawaii,105
all,2020-02,Idaho,149
all,2020-02,Illinois,1052
all,2020-02,Indiana,722
all,2020-02,Iowa,271
all,2020-02,Kansas,271
all,2020-02,Kentucky,591
all,2020-02,Louisiana,616
all,2020-02,Maine,130
all,2020-02,Maryland,559
all,2020-02,Massachusetts,512
all,2020-02,Michigan,954
all,2020-02,Minnesota,387
all,2020-02,Mississippi,449
all,2020-02,Missouri,713
all,2020-02,Montana,85
all,2020-02,Nebraska,135
all,2020-02,Nevada,266
all,2020-02,New Hampshire,116
all,2020-02,New Jersey,688
all,2020-02,New Mexico,246
all,2020-02,New York,1395
all,2020-02,North Carolina,1072
all,2020-02,North Dakota,77
all,2020-02,Ohio,1208
all,2020-02,Oklahoma,447
all,2020-02,Oregon,286
all,2020-02,Pennsylvania,1178
all,2020-02,Rhode Island,72
all,2020-02,South Carolina,611
all,2020-02,South Dakota,75
all,2020-02,Tennessee,866
all,2020-02,Texas,2506
all,2020-02,Utah,231
all,2020-02,Vermont,42
all,2020-02,Virginia,727
all,2020-02,Washington,582
all,2020-02,West Virginia,262
all,2020-02,Wisconsin,518
all,2020-02,Wyoming,57
all,2020-03,Alabama,714
all,2020-03,Alaska,78
all,2020-03,Arizona,756
all,2020-03,Arkansas,392
all,2020-03,California,3031
all,2020-03,Colorado,526
all,2020-03,Connecticut,321
all,2020-03,Delaware,97
all,2020-03,District of Columbia,77
all,2020-03,Florida,2181
all,2020-03,Georgia,1183
all,2020-03,Hawaii,103
all,2020-03,Idaho,155
all,2020-03,Illinois,1186
all,2020-03,Indiana,785
all,2020-03,Iowa,245
all,2020-03,Kansas,306
all,2020-03,Kentucky,632
all,2020-03,Louisiana,673
all,2020-03,Maine,126
all,2020-03,Maryland,580
all,2020-03,Massachusetts,561
all,2020-03,Michigan,1133
all,2020-03,Minnesota,445
all,2020-03,Mississippi,479
all,2020-03,Missouri,747
all,2020-03,Montana,109
all,2020-03,Nebraska,142
all,2020-03,Nevada,273
all,2020-03,New Hampshire,124
all,2020-03,New Jersey,878
all,2020-03,New Mexico,276
all,2020-03,New York,1978
all,2020-03,North Carolina,1193
all,2020-03,North Dakota,74
all,2020-03,Ohio,1413
all,2020-03,Oklahoma,481
all,2020-03,Oregon,363
all,2020-03,Pennsylvania,1244
all,2020-03,Rhode Island,85
all,2020-03,South Carolina,706
all,2020-03,South Dakota,74
all,2020-03,Tennessee,939
all,2020-03,Texas,2626
all,2020-03,Utah,263
all,2020-03,Vermont,54
all,2020-03,Virginia,833
all,2020-03,Washington,615
all,2020-03,West Virginia,279
all,2020-03,Wisconsin,529
all,2020-03,Wyoming,63
all,2020-04,Alabama,715
all,2020-04,Alaska,76
all,2020-04,Arizona,716
all,2020-04,Arkansas,405
all,2020-04,California,3263
all,2020-04,Colorado,621
all,2020-04,Connecticut,376
all,2020-04,Delaware,110
all,2020-04,District of Columbia,114
all,2020-04,Florida,2322
all,2020-04,Georgia,1241
all,2020-04,Hawaii,88
all,2020-04,Idaho,142
all,2020-04,Illinois,1458
all,2020-04,Indiana,812
all,2020-04,Iowa,265
all,2020-04,Kansas,255
all,2020-04,Kentucky,675
all,2020-04,Louisiana,791
all,2020-04,Maine,137
all,2020-04,Maryland,751
all,2020-04,Massachusetts,662
all,2020-04,Michigan,1329
all,2020-04,Minnesota,449
all,2020-04,Mississippi,487
all,2020-04,Missouri,775
all,2020-04,Montana,106
all,2020-04,Nebraska,157
all,2020-04,Nevada,354
all,2020-04,New Hampshire,124
all,2020-04,New Jersey,1587
all,2020-04,New Mexico,297
all,2020-04,New York,3659
all,2020-04,North Carolina,1234
all,2020-04,North Dakota,75
all,2020-04,Ohio,1359
all,2020-04,Oklahoma,467
all,2020-04,Oregon,320
all,2020-04,Pennsylvania,1418
all,2020-04,Rhode Island,96
all,2020-04,South Carolina,669
all,2020-04,South Dakota,82
all,2020-04,Tennessee,939
all,2020-04,Texas,2803
all,2020-04,Utah,248
all,2020-04,Vermont,68
all,2020-04,Virginia,847
all,2020-04,Washington,669
all,2020-04,West Virginia,303
all,2020-04,Wisconsin,513
all,2020-04,Wyoming,59
all,2020-05,Alabama,803
all,2020-05,Alaska,99
all,2020-05,Arizona,907
all,2020-05,Arkansas,438
all,2020-05,California,3315
all,2020-05,Colorado,625
all,2020-05,Connecticut,322
all,2020-05,Delaware,145
all,2020-05,District of Columbia,100
all,2020-05,Florida,2350
all,2020-05,Georgia,1320
all,2020-05,Hawaii,128
all,2020-05,Idaho,166
all,2020-05,Illinois,1649
all,2020-05,Indiana,936
all,2020-05,Iowa,312
all,2020-05,Kansas,308
all,2020-05,Kentucky,755
all,2020-05,Louisiana,774
all,2020-05,Maine,132
all,2020-05,Maryland,874
all,2020-05,Massachusetts,658
all,2020-05,Michigan,1181
all,2020-05,Minnesota,472
all,2020-05,Mississippi,548
all,2020-05,Missouri,839
all,2020-05,Montana,102
all,2020-05,Nebraska,178
all,2020-05,Nevada,361
all,2020-05,New Hampshire,134
all,2020-05,New Jersey,1108
all,2020-05,New Mexico,380
all,2020-05,New York,2110
all,2020-05,North Carolina,1388
all,2020-05,North Dakota,82
all,2020-05,Ohio,1615
all,2020-05,Oklahoma,477
all,2020-05,Oregon,389
all,2020-05,Pennsylvania,1407
all,2020-05,Rhode Island,112
all,2020-05,South Carolina,719
all,2020-05,South Dakota,98
all,2020-05,Tennessee,1130
all,2020-05,Texas,3011
all,2020-05,Utah,283
all,2020-05,Vermont,62
all,2020-05,Virginia,892
all,2020-05,Washington,653
all,2020-05,West Virginia,359
all,2020-05,Wisconsin,591
all,2020-05,Wyoming,60
all,2020-06,Alabama,801
all,2020-06,Alaska,86
all,2020-06,Arizona,1015
all,2020-06,Arkansas,472
all,2020-06,California,3412
all,2020-06,Colorado,620
all,2020-06,Connecticut,342
all,2020-06,Delaware,111
all,2020-06,District of Columbia,85
all,2020-06,Florida,2414
all,2020-06,Georgia,1289
all,2020-06,Hawaii,117
all,2020-06,Idaho,139
all,2020-06,Illinois,1439
all,2020-06,Indiana,904
all,2020-06,Iowa,279
all,2020-06,Kansas,300
all,2020-06,Kentucky,674
all,2020-06,Louisiana,724
all,2020-06,Maine,132
all,2020-06,Maryland,739
all,2020-06,Massachusetts,571
all,2020-06,Michigan,1217
all,2020-06,Minnesota,466
all,2020-06,Mississippi,553
all,2020-06,Missouri,769
all,2020-06,Montana,124
all,2020-06,Nebraska,176
all,2020-06,Nevada,331
all,2020-06,New Hampshire,100
all,2020-06,New Jersey,831
all,2020-06,New Mexico,348
all,2020-06,New York,1727
all,2020-06,North Carolina,1342
all,2020-06,North Dakota,84
all,2020-06,Ohio,1582
all,2020-06,Oklahoma,519
all,2020-06,Oregon,332
all,2020-06,Pennsylvania,1374
all,2020-06,Rhode Island,71
all,2020-06,South Carolina,778
all,2020-06,South Dakota,101
all,2020-06,Tennessee,1096
all,2020-06,Texas,3222
all,2020-06,Utah,270
all,2020-06,Vermont,44
all,2020-06,Virginia,848
all,2020-06,Washington,674
all,2020-06,West Virginia,303
all,2020-06,Wisconsin,540
all,2020-06,Wyoming,60
all,2020-07,Alabama,819
all,2020-07,Alaska,107
all,2020-07,Arizona,1271
all,2020-07,Arkansas,432
all,2020-07,California,4036
all,2020-07,Colorado,621
all,2020-07,Connecticut,371
all,2020-07,Delaware,119
all,2020-07,District of Columbia,84
all,2020-07,Florida,2626
all,2020-07,Georgia,1562
all,2020-07,Hawaii,114
all,2020-07,Idaho,167
all,2020-07,Illinois,1378
all,2020-07,Indiana,932
all,2020-07,Iowa,295
all,2020-07,Kansas,332
all,2020-07,Kentucky,750
all,2020-07,Louisiana,833
all,2020-07,Maine,160
all,2020-07,Maryland,678
all,2020-07,Massachusetts,584
all,2020-07,Michigan,1215
all,2020-07,Minnesota,496
all,2020-07,Mississippi,606
all,2020-07,Missouri,853
all,2020-07,Montana,115
all,2020-07,Nebraska,174
all,2020-07,Nevada,464
all,2020-07,New Hampshire,124
all,2020-07,New Jersey,727
all,2020-07,New Mexico,386
all,2020-07,New York,1729
all,2020-07,North Carolina,1366
all,2020-07,North Dakota,76
all,2020-07,Ohio,1620
all,2020-07,Oklahoma,529
all,2020-07,Oregon,410
all,2020-07,Pennsylvania,1518
all,2020-07,Rhode Island,92
all,2020-07,South Carolina,814
all,2020-07,South Dakota,114
all,2020-07,Tennessee,1202
all,2020-07,Texas,4007
all,2020-07,Utah,314
all,2020-07,Vermont,60
all,2020-07,Virginia,924
all,2020-07,Washington,702
all,2020-07,West Virginia,296
all,2020-07,Wisconsin,625
all,2020-07,Wyoming,79
all,2020-08,Alabama,853
all,2020-08,Alaska,114
all,2020-08,Arizona,1003
all,2020-08,Arkansas,471
all,2020-08,California,4037
all,2020-08,Colorado,662
all,2020-08,Connecticut,316
all,2020-08,Delaware,126
all,2020-08,District of Columbia,86
all,2020-08,Florida,2544
all,2020-08,Georgia,1491
all,2020-08,Hawaii,135
all,2020-08,Idaho,169
all,2020-08,Illinois,1350
all,2020-08,Indiana,847
all,2020-08,Iowa,302
all,2020-08,Kansas,296
all,2020-08,Kentucky,745
all,2020-08,Louisiana,793
all,2020-08,Maine,137
all,2020-08,Maryland,777
all,2020-08,Massachusetts,564
all,2020-08,Michigan,1116
all,2020-08,Minnesota,489
all,2020-08,Mississippi,626
all,2020-08,Missouri,804
all,2020-08,Montana,103
all,2020-08,Nebraska,179
all,2020-08,Nevada,428
all,2020-08,New Hampshire,120
all,2020-08,New Jersey,763
all,2020-08,New Mexico,380
all,2020-08,New York,1662
all,2020-08,North Carolina,1324
all,2020-08,North Dakota,89
all,2020-08,Ohio,1505
all,2020-08,Oklahoma,562
all,2020-08,Oregon,408
all,2020-08,Pennsylvania,1297
all,2020-08,Rhode Island,95
all,2020-08,South Carolina,815
all,2020-08,South Dakota,122
all,2020-08,Tennessee,1134
all,2020-08,Texas,3701
all,2020-08,Utah,272
all,2020-08,Vermont,67
all,2020-08,Virginia,932
all,2020-08,Washington,696
all,2020-08,West Virginia,290
all,2020-08,Wisconsin,561
all,2020-08,Wyoming,79
all,2020-09,Alabama,724
all,2020-09,Alaska,105
all,2020-09,Arizona,902
all,2020-09,Arkansas,434
all,2020-09,California,3537
all,2020-09,Colorado,579
all,2020-09,Connecticut,314
all,2020-09,Delaware,107
all,2020-09,District of Columbia,78
all,2020-09,Florida,2386
all,2020-09,Georgia,1290
all,2020-09,Hawaii,116
all,2020-09,Idaho,151
all,2020-09,Illinois,1283
all,2020-09,Indiana,788
all,2020-09,Iowa,326
all,2020-09,Kansas,308
all,2020-09,Kentucky,709
all,2020-09,Louisiana,705
all,2020-09,Maine,125
all,2020-09,Maryland,690
all,2020-09,Massachusetts,533
all,2020-09,Michigan,1134
all,2020-09,Minnesota,450
all,2020-09,Mississippi,487
all,2020-09,Missouri,768
all,2020-09,Montana,125
all,2020-09,Nebraska,170
all,2020-09,Nevada,332
all,2020-09,New Hampshire,121
all,2020-09,New Jersey,694
all,2020-09,New Mexico,339
all,2020-09,New York,1597
all,2020-09,North Carolina,1246
all,2020-09,North Dakota,66
all,2020-09,Ohio,1406
all,2020-09,Oklahoma,491
all,2020-09,Oregon,379
all,2020-09,Pennsylvania,1409
all,2020-09,Rhode Island,89
all,2020-09,South Carolina,721
all,2020-09,South Dakota,99
all,2020-09,Tennessee,1032
all,2020-09,Texas,2998
all,2020-09,Utah,286
all,2020-09,Vermont,66
all,2020-09,Virginia,885
all,2020-09,Washington,614
all,2020-09,West Virginia,318
all,2020-09,Wisconsin,521
all,2020-09,Wyoming,66
all,2020-10,Alabama,723
all,2020-10,Alaska,108
all,2020-10,Arizona,863
all,2020-10,Arkansas,432
all,2020-10,California,3518
all,2020-10,Colorado,517
all,2020-10,Connecticut,341
all,2020-10,Delaware,113
all,2020-10,District of Columbia,87
all,2020-10,Florida,2356
all,2020-10,Georgia,1312
all,2020-10,Hawaii,119
all,2020-10,Idaho,166
all,2020-10,Illinois,1266
all,2020-10,Indiana,917
all,2020-10,Iowa,304
all,2020-10,Kansas,279
all,2020-10,Kentucky,709
all,2020-10,Louisiana,737
all,2020-10,Maine,138
all,2020-10,Maryland,738
all,2020-10,Massachusetts,569
all,2020-10,Michigan,1132
all,2020-10,Minnesota,465
all,2020-10,Mississippi,505
all,2020-10,Missouri,791
all,2020-10,Montana,154
all,2020-10,Nebraska,181
all,2020-10,Nevada,349
all,2020-10,New Hampshire,102
all,2020-10,New Jersey,750
all,2020-10,New Mexico,348
all,2020-10,New York,1576
all,2020-10,North Carolina,1252
all,2020-10,North Dakota,91
all,2020-10,Ohio,1487
all,2020-10,Oklahoma,557
all,2020-10,Oregon,394
all,2020-10,Pennsylvania,1324
all,2020-10,Rhode Island,96
all,2020-10,South Carolina,744
all,2020-10,South Dakota,99
all,2020-10,Tennessee,1069
all,2020-10,Texas,3146
all,2020-10,Utah,281
all,2020-10,Vermont,56
all,2020-10,Virginia,864
all,2020-10,Washington,631
all,2020-10,West Virginia,282
all,2020-10,Wisconsin,544
all,2020-10,Wyoming,61
all,2020-11,Alabama,769
all,2020-11,Alaska,104
all,2020-11,Arizona,841
all,2020-11,Arkansas,426
all,2020-11,California,3657
all,2020-11,Colorado,609
all,2020-11,Connecticut,342
all,2020-11,Delaware,94
all,2020-11,District of Columbia,76
all,2020-11,Florida,2351
all,2020-11,Georgia,1262
all,2020-11,Hawaii,91
all,2020-11,Idaho,169
all,2020-11,Illinois,1405
all,2020-11,Indiana,871
all,2020-11,Iowa,284
all,2020-11,Kansas,302
all,2020-11,Kentucky,710
all,2020-11,Louisiana,766
all,2020-11,Maine,114
all,2020-11,Maryland,697
all,2020-11,Massachusetts,573
all,2020-11,Michigan,1139
all,2020-11,Minnesota,450
all,2020-11,Mississippi,559
all,2020-11,Missouri,821
all,2020-11,Montana,154
all,2020-11,Nebraska,203
all,2020-11,Nevada,370
all,2020-11,New Hampshire,123
all,2020-11,New Jersey,846
all,2020-11,New Mexico,404
all,2020-11,New York,1550
all,2020-11,North Carolina,1301
all,2020-11,North Dakota,95
all,2020-11,Ohio,1512
all,2020-11,Oklahoma,594
all,2020-11,Oregon,381
all,2020-11,Pennsylvania,1366
all,2020-11,Rhode Island,83
all,2020-11,South Carolina,748
all,2020-11,South Dakota,108
all,2020-11,Tennessee,1037
all,2020-11,Texas,3304
all,2020-11,Utah,299
all,2020-11,Vermont,48
all,2020-11,Virginia,830
all,2020-11,Washington,642
all,2020-11,West Virginia,340
all,2020-11,Wisconsin,574
all,2020-11,Wyoming,71
all,2020-12,Alabama,876
all,2020-12,Alaska,107
all,2020-12,Arizona,1017
all,2020-12,Arkansas,481
all,2020-12,California,4968
all,2020-12,Colorado,634
all,2020-12,Connecticut,354
all,2020-12,Delaware,110
all,2020-12,District of Columbia,92
all,2020-12,Florida,2391
all,2020-12,Georgia,1449
all,2020-12,Hawaii,105
all,2020-12,Idaho,176
all,2020-12,Illinois,1463
all,2020-12,Indiana,984
all,2020-12,Iowa,313
all,2020-12,Kansas,398
all,2020-12,Kentucky,822
all,2020-12,Louisiana,830
all,2020-12,Maine,150
all,2020-12,Maryland,772
all,2020-12,Massachusetts,562
all,2020-12,Michigan,1192
all,2020-12,Minnesota,513
all,2020-12,Mississippi,571
all,2020-12,Missouri,805
all,2020-12,Montana,112
all,2020-12,Nebraska,199
all,2020-12,Nevada,471
all,2020-12,New Hampshire,117
all,2020-12,New Jersey,918
all,2020-12,New Mexico,438
all,2020-12,New York,1713
all,2020-12,North Carolina,1443
all,2020-12,North Dakota,78
all,2020-12,Ohio,1644
