age,date,dead,pop
69,2023-05,45,40169
69,2023-06,47,40310
69,2023-07,42,40452
69,2023-08,36,40605
69,2023-09,39,40765
69,2023-10,50,40926
69,2023-11,55,41101
69,2023-12,31,41277
70,2020-01,56,34369
70,2020-02,51,34324
70,2020-03,38,34297
70,2020-04,100,34282
70,2020-05,65,34280
70,2020-06,43,34292
70,2020-07,31,34316
70,2020-08,38,34353
70,2020-09,43,34401
70,2020-10,40,34458
70,2020-11,48,34527
70,2020-12,64,34604
70,2021-01,56,34692
70,2021-02,42,34788
70,2021-03,42,34882
70,2021-04,38,34993
70,2021-05,42,35107
70,2021-06,43,35230
70,2021-07,36,35355
70,2021-08,30,35489
70,2021-09,39,35626
70,2021-10,51,35763
70,2021-11,50,35908
70,2021-12,54,36049
70,2022-01,81,36198
70,2022-02,52,36347
70,2022-03,53,36482
70,2022-04,48,36632
70,2022-05,40,36776
70,2022-06,37,36924
70,2022-07,48,37065
70,2022-08,47,37208
70,2022-09,44,37348
70,2022-10,48,37480
70,2022-11,54,37612
70,2022-12,55,37735
70,2023-01,56,37856
70,2023-02,54,37971
70,2023-03,44,38069
70,2023-04,42,38170
70,2023-05,32,38260
70,2023-06,41,38344
70,2023-07,54,38417
70,2023-08,35,38482
70,2023-09,42,38537
70,2023-10,59,38579
70,2023-11,60,38611
70,2023-12,65,38630
71,2020-01,51,33847
71,2020-02,46,33781
71,2020-03,45,33725
71,2020-04,84,33671
71,2020-05,70,33626
71,2020-06,45,33585
71,2020-07,51,33552
71,2020-08,44,33524
71,2020-09,42,33503
71,2020-10,58,33488
71,2020-11,58,33480
71,2020-12,69,33478
71,2021-01,52,33482
71,2021-02,47,33493
71,2021-03,55,33508
71,2021-04,52,33531
71,2021-05,55,33559
71,2021-06,36,33595
71,2021-07,44,33636
71,2021-08,41,33684
71,2021-09,45,33739
71,2021-10,54,33799
71,2021-11,56,33866
71,2021-12,63,33938
71,2022-01,64,34018
71,2022-02,70,34104
71,2022-03,50,34188
71,2022-04,45,34287
71,2022-05,46,34389
71,2022-06,60,34500
71,2022-07,41,34614
71,2022-08,53,34738
71,2022-09,33,34868
71,2022-10,46,35001
71,2022-11,50,35143
71,2022-12,54,35288
71,2023-01,48,35443
71,2023-02,45,35605
71,2023-03,47,35756
71,2023-04,40,35930
71,2023-05,38,36104
71,2023-06,38,36291
71,2023-07,32,36477
71,2023-08,53,36676
71,2023-09,60,36881
71,2023-10,44,37085
71,2023-11,49,37303
71,2023-12,44,37519
72,2020-01,60,33662
72,2020-02,58,33603
72,2020-03,54,33548
72,2020-04,108,33490
72,2020-05,75,33434
72,2020-06,61,33378
72,2020-07,53,33325
72,2020-08,42,33272
72,2020-09,56,33220
72,2020-10,52,33172
72,2020-11,55,33124
72,2020-12,71,33080
72,2021-01,55,33038
72,2021-02,55,32998
72,2021-03,58,32965
72,2021-04,58,32931
72,2021-05,53,32902
72,2021-06,42,32876
72,2021-07,49,32854
72,2021-08,54,32836
72,2021-09,51,32822
72,2021-10,54,32812
72,2021-11,47,32808
72,2021-12,56,32808
72,2022-01,74,32814
72,2022-02,48,32825
72,2022-03,60,32840
72,2022-04,43,32862
72,2022-05,55,32890
72,2022-06,45,32924
72,2022-07,49,32964
72,2022-08,47,33012
72,2022-09,48,33067
72,2022-10,43,33127
72,2022-11,50,33197
72,2022-12,47,33271
72,2023-01,61,33356
72,2023-02,59,33449
72,2023-03,51,33541
72,2023-04,48,33650
72,2023-05,50,33764
72,2023-06,45,33891
72,2023-07,42,34023
72,2023-08,52,34168
72,2023-09,48,34324
72,2023-10,52,34483
72,2023-11,38,34658
72,2023-12,55,34837
73,2020-01,59,39539
73,2020-02,55,38824
73,2020-03,68,38197
73,2020-04,101,37570
73,2020-05,82,37005
73,2020-06,49,36461
73,2020-07,53,35973
73,2020-08,57,35507
73,2020-09,55,35078
73,2020-10,62,34698
73,2020-11,56,34338
73,2020-12,86,34022
73,2021-01,70,33726
73,2021-02,70,33460
73,2021-03,63,33245
73,2021-04,57,33033
73,2021-05,51,32852
73,2021-06,62,32689
73,2021-07,53,32554
73,2021-08,39,32435
73,2021-09,47,32337
73,2021-10,51,32260
73,2021-11,73,32197
73,2021-12,80,32151
73,2022-01,92,32119
73,2022-02,67,32099
73,2022-03,54,32091
73,2022-04,64,32092
73,2022-05,46,32102
73,2022-06,37,32119
73,2022-07,60,32141
73,2022-08,47,32168
73,2022-09,50,32199
73,2022-10,51,32230
73,2022-11,50,32263
73,2022-12,65,32293
73,2023-01,47,32322
73,2023-02,35,32347
73,2023-03,58,32365
73,2023-04,62,32378
73,2023-05,55,32383
73,2023-06,58,32378
73,2023-07,48,32363
73,2023-08,57,32335
73,2023-09,38,32293
73,2023-10,70,32238
73,2023-11,48,32165
73,2023-12,42,32076
74,2020-01,47,11199
74,2020-02,48,14241
74,2020-03,47,16858
74,2020-04,109,19418
74,2020-05,84,21673
74,2020-06,43,23780
74,2020-07,47,25615
74,2020-08,49,27308
74,2020-09,38,28804
74,2020-10,57,30074
74,2020-11,49,31212
74,2020-12,75,32153
74,2021-01,75,32970
74,2021-02,62,33638
74,2021-03,65,34122
74,2021-04,64,34534
74,2021-05,67,34817
74,2021-06,54,35001
74,2021-07,63,35082
74,2021-08,61,35075
74,2021-09,67,34986
74,2021-10,55,34830
74,2021-11,61,34607
74,2021-12,74,34339
74,2022-01,89,34019
74,2022-02,51,33665
74,2022-03,70,33323
74,2022-04,50,32929
74,2022-05,52,32542
74,2022-06,66,32145
74,2022-07,54,31772
74,2022-08,54,31409
74,2022-09,56,31077
74,2022-10,51,30795
74,2022-11,61,30554
74,2022-12,69,30377
74,2023-01,55,30264
74,2023-02,49,30230
74,2023-03,43,30276
74,2023-04,54,30420
74,2023-05,66,30662
74,2023-06,49,31026
74,2023-07,67,31500
74,2023-08,51,32123
74,2023-09,57,32892
74,2023-10,50,33784
74,2023-11,51,34868
74,2023-12,81,36083
75,2020-01,65,34237
75,2020-02,35,31963
75,2020-03,52,30086
75,2020-04,98,28336
75,2020-05,78,26882
75,2020-06,59,25616
75,2020-07,40,24607
75,2020-08,48,23775
75,2020-09,49,23145
75,2020-10,54,22715
75,2020-11,52,22444
75,2020-12,66,22337
75,2021-01,84,22376
75,2021-02,56,22552
75,2021-03,60,22820
75,2021-04,48,23224
75,2021-05,59,23712
75,2021-06,42,24303
75,2021-07,58,24947
75,2021-08,52,25675
75,2021-09,58,26453
75,2021-10,63,27242
75,2021-11,63,28082
75,2021-12,76,28906
75,2022-01,98,29758
75,2022-02,68,30598
75,2022-03,61,31334
75,2022-04,62,32113
75,2022-05,63,32819
75,2022-06,71,33487
75,2022-07,85,34062
75,2022-08,59,34569
75,2022-09,50,34976
75,2022-10,75,35262
75,2022-11,76,35433
75,2022-12,100,35466
75,2023-01,65,35352
75,2023-02,60,35074
75,2023-03,68,34671
75,2023-04,52,34045
75,2023-05,63,33247
75,2023-06,51,32213
75,2023-07,48,30996
75,2023-08,65,29503
75,2023-09,39,27759
75,2023-10,64,25819
75,2023-11,49,23541
75,2023-12,64,21061
76,2020-01,53,22315
76,2020-02,58,22801
76,2020-03,68,23190
76,2020-04,106,23541
76,2020-05,98,23819
76,2020-06,78,24049
76,2020-07,45,24220
76,2020-08,49,24348
76,2020-09,57,24431
76,2020-10,59,24473
76,2020-11,64,24482
76,2020-12,80,24461
76,2021-01,81,24413
76,2021-02,70,24344
76,2021-03,49,24267
76,2021-04,55,24169
76,2021-05,46,24067
76,2021-06,43,23959
76,2021-07,62,23855
76,2021-08,55,23753
76,2021-09,40,23663
76,2021-10,54,23589
76,2021-11,65,23533
76,2021-12,61,23501
76,2022-01,87,23497
76,2022-02,64,23528
76,2022-03,56,23588
76,2022-04,48,23695
76,2022-05,70,23844
76,2022-06,54,24049
76,2022-07,49,24302
76,2022-08,62,24623
76,2022-09,69,25011
76,2022-10,54,25453
76,2022-11,68,25983
76,2022-12,63,26573
76,2023-01,82,27266
76,2023-02,68,28048
76,2023-03,66,28834
76,2023-04,79,29799
76,2023-05,61,30830
76,2023-06,77,32002
76,2023-07,72,33242
76,2023-08,73,34639
76,2023-09,66,36156
76,2023-10,66,37745
76,2023-11,90,39516
76,2023-12,81,41358
77,2020-01,78,26338
77,2020-02,58,26078
77,2020-03,69,25847
77,2020-04,122,25612
77,2020-05,99,25396
77,2020-06,61,25186
77,2020-07,51,24993
77,2020-08,59,24805
77,2020-09,71,24629
77,2020-10,72,24470
77,2020-11,76,24316
77,2020-12,97,24177
77,2021-01,88,24043
77,2021-02,58,23921
77,2021-03,72,23818
77,2021-04,59,23714
77,2021-05,65,23622
77,2021-06,47,23537
77,2021-07,54,23463
77,2021-08,60,23395
77,2021-09,79,23336
77,2021-10,67,23287
77,2021-11,57,23244
77,2021-12,77,23210
77,2022-01,94,23182
77,2022-02,60,23162
77,2022-03,61,23150
77,2022-04,53,23143
77,2022-05,54,23143
77,2022-06,40,23149
77,2022-07,54,23161
77,2022-08,58,23179
77,2022-09,41,23203
77,2022-10,57,23232
77,2022-11,57,23266
77,2022-12,80,23304
77,2023-01,71,23349
77,2023-02,59,23397
77,2023-03,56,23445
77,2023-04,67,23502
77,2023-05,49,23561
77,2023-06,59,23625
77,2023-07,42,23690
77,2023-08,44,23761
77,2023-09,53,23834
77,2023-10,74,23907
77,2023-11,67,23986
77,2023-12,71,24064
78,2020-01,80,15804
78,2020-02,67,16889
78,2020-03,65,17820
78,2020-04,113,18729
78,2020-05,92,19526
78,2020-06,60,20269
78,2020-07,61,20913
78,2020-08,64,21504
78,2020-09,61,22023
78,2020-10,68,22461
78,2020-11,76,22849
78,2020-12,93,23166
78,2021-01,94,23438
78,2021-02,74,23655
78,2021-03,90,23807
78,2021-04,64,23931
78,2021-05,73,24009
78,2021-06,64,24050
78,2021-07,71,24055
78,2021-08,91,24027
78,2021-09,91,23970
78,2021-10,97,23890
78,2021-11,84,23784
78,2021-12,59,23664
78,2022-01,96,23525
78,2022-02,61,23374
78,2022-03,71,23230
78,2022-04,64,23066
78,2022-05,61,22906
78,2022-06,51,22742
78,2022-07,51,22589
78,2022-08,59,22440
78,2022-09,63,22303
78,2022-10,58,22185
78,2022-11,63,22084
78,2022-12,75,22007
78,2023-01,68,21955
78,2023-02,50,21932
78,2023-03,58,21941
78,2023-04,57,21986
78,2023-05,72,22068
78,2023-06,56,22196
78,2023-07,61,22366
78,2023-08,62,22592
78,2023-09,60,22872
78,2023-10,57,23199
78,2023-11,65,23598
78,2023-12,60,24046
79,2020-01,46,19327
79,2020-02,57,18996
79,2020-03,64,18743
79,2020-04,134,18530
79,2020-05,72,18377
79,2020-06,48,18272
79,2020-07,45,18217
79,2020-08,56,18206
79,2020-09,48,18239
79,2020-10,56,18309
79,2020-11,82,18417
79,2020-12,98,18553
79,2021-01,108,18724
79,2021-02,67,18922
79,2021-03,59,19121
79,2021-04,61,19361
79,2021-05,58,19610
79,2021-06,52,19881
79,2021-07,55,20154
79,2021-08,55,20443
79,2021-09,63,20737
79,2021-10,60,21023
79,2021-11,90,21315
79,2021-12,99,21593
79,2022-01,88,21872
79,2022-02,81,22139
79,2022-03,82,22368
79,2022-04,68,22603
79,2022-05,73,22810
79,2022-06,56,23000
79,2022-07,66,23157
79,2022-08,73,23289
79,2022-09,71,23386
79,2022-10,80,23444
79,2022-11,73,23463
79,2022-12,99,23440
79,2023-01,88,23369
79,2023-02,68,23247
79,2023-03,85,23091
79,2023-04,80,22864
79,2023-05,66,22586
79,2023-06,59,22237
79,2023-07,56,21835
79,2023-08,60,21351
79,2023-09,63,20793
79,2023-10,71,20181
79,2023-11,61,19469
79,2023-12,82,18701
80,2020-01,54,16293
80,2020-02,58,16305
80,2020-03,83,16322
80,2020-04,119,16346
80,2020-05,110,16375
80,2020-06,55,16412
80,2020-07,50,16453
80,2020-08,70,16502
80,2020-09,55,16557
80,2020-10,59,16616
80,2020-11,75,16684
80,2020-12,85,16756
80,2021-01,80,16836
80,2021-02,69,16923
80,2021-03,53,17008
80,2021-04,57,17107
80,2021-05,67,17210
80,2021-06,68,17323
80,2021-07,56,17439
80,2021-08,41,17565
80,2021-09,63,17699
80,2021-10,69,17834
80,2021-11,61,17981
80,2021-12,79,18130
80,2022-01,113,18290
80,2022-02,59,18458
80,2022-03,70,18616
80,2022-04,72,18797
80,2022-05,59,18979
80,2022-06,75,19175
80,2022-07,58,19371
80,2022-08,62,19581
80,2022-09,70,19798
80,2022-10,66,20016
80,2022-11,70,20248
80,2022-12,88,20479
80,2023-01,97,20726
80,2023-02,78,20980
80,2023-03,76,21217
80,2023-04,68,21486
80,2023-05,74,21753
80,2023-06,77,22038
80,2023-07,82,22320
80,2023-08,70,22620
80,2023-09,78,22927
80,2023-10,94,23232
80,2023-11,93,23555
80,2023-12,97,23876
81,2020-01,67,15136
81,2020-02,67,15175
81,2020-03,69,15209
81,2020-04,131,15243
81,2020-05,119,15274
81,2020-06,66,15304
81,2020-07,49,15333
81,2020-08,67,15362
81,2020-09,43,15390
81,2020-10,61,15417
81,2020-11,83,15446
81,2020-12,85,15474
81,2021-01,81,15504
81,2021-02,71,15536
81,2021-03,69,15566
81,2021-04,62,15601
81,2021-05,58,15637
81,2021-06,53,15678
81,2021-07,62,15720
81,2021-08,68,15767
81,2021-09,70,15818
81,2021-10,54,15872
81,2021-11,63,15932
81,2021-12,80,15994
81,2022-01,86,16065
81,2022-02,86,16141
81,2022-03,74,16215
81,2022-04,61,16303
81,2022-05,54,16394
81,2022-06,56,16496
81,2022-07,61,16602
81,2022-08,65,16719
81,2022-09,62,16845
81,2022-10,69,16974
81,2022-11,62,17117
81,2022-12,80,17265
81,2023-01,79,17427
81,2023-02,83,17599
81,2023-03,68,17763
81,2023-04,62,17956
81,2023-05,62,18153
81,2023-06,65,18368
81,2023-07,73,18587
81,2023-08,70,18826
81,2023-09,75,19077
81,2023-10,84,19333
81,2023-11,79,19611
81,2023-12,88,19893
82,2020-01,71,14385
82,2020-02,69,14400
82,2020-03,85,14413
82,2020-04,141,14425
82,2020-05,100,14436
82,2020-06,73,14447
82,2020-07,48,14457
82,2020-08,47,14467
82,2020-09,74,14476
82,2020-10,67,14485
82,2020-11,79,14494
82,2020-12,109,14503
82,2021-01,92,14513
82,2021-02,82,14523
82,2021-03,73,14533
82,2021-04,56,14545
82,2021-05,59,14558
82,2021-06,45,14572
82,2021-07,54,14587
82,2021-08,87,14604
82,2021-09,58,14623
82,2021-10,64,14644
82,2021-11,77,14667
82,2021-12,75,14692
82,2022-01,103,14720
82,2022-02,70,14751
82,2022-03,65,14781
82,2022-04,64,14818
82,2022-05,81,14856
82,2022-06,73,14899
82,2022-07,85,14944
82,2022-08,58,14994
82,2022-09,62,15049
82,2022-10,63,15105
82,2022-11,69,15168
82,2022-12,81,15232
82,2023-01,78,15304
82,2023-02,65,15380
82,2023-03,65,15454
82,2023-04,67,15540
82,2023-05,70,15629
82,2023-06,54,15726
82,2023-07,68,15825
82,2023-08,77,15933
82,2023-09,62,16048
82,2023-10,96,16165
82,2023-11,63,16292
82,2023-12,81,16421
83,2020-01,68,12201
83,2020-02,71,12346
83,2020-03,76,12472
83,2020-04,154,12598
83,2020-05,89,12711
83,2020-06,63,12818
83,2020-07,72,12914
83,2020-08,56,13005
83,2020-09,72,13088
83,2020-10,68,13162
83,2020-11,81,13231
83,2020-12,108,13291
83,2021-01,96,13348
83,2021-02,66,13399
83,2021-03,63,13440
83,2021-04,57,13481
83,2021-05,66,13516
83,2021-06,74,13548
83,2021-07,61,13575
83,2021-08,67,13600
83,2021-09,54,13622
83,2021-10,74,13640
83,2021-11,97,13657
83,2021-12,102,13672
83,2022-01,110,13686
83,2022-02,72,13698
83,2022-03,73,13709
83,2022-04,58,13721
83,2022-05,65,13733
83,2022-06,81,13745
83,2022-07,68,13758
83,2022-08,61,13773
83,2022-09,55,13789
83,2022-10,78,13807
83,2022-11,76,13827
83,2022-12,87,13850
83,2023-01,79,13877
83,2023-02,71,13908
83,2023-03,71,13939
83,2023-04,57,13978
83,2023-05,62,14020
83,2023-06,68,14069
83,2023-07,69,14121
83,2023-08,70,14181
83,2023-09,75,14248
83,2023-10,74,14319
83,2023-11,72,14399
83,2023-12,82,14485
84,2020-01,79,12333
84,2020-02,64,12240
84,2020-03,87,12164
84,2020-04,149,12095
84,2020-05,110,12038
84,2020-06,69,11991
84,2020-07,41,11954
84,2020-08,63,11926
84,2020-09,60,11907
84,2020-10,67,11896
84,2020-11,87,11893
84,2020-12,111,11898
84,2021-01,93,11909
84,2021-02,69,11927
84,2021-03,82,11949
84,2021-04,69,11978
84,2021-05,53,12010
84,2021-06,57,12048
84,2021-07,67,12089
84,2021-08,76,12134
84,2021-09,61,12182
84,2021-10,82,12231
84,2021-11,81,12283
84,2021-12,86,12334
84,2022-01,97,12388
84,2022-02,79,12442
84,2022-03,64,12490
84,2022-04,74,12543
84,2022-05,69,12593
84,2022-06,67,12642
84,2022-07,61,12688
84,2022-08,63,12732
84,2022-09,65,12773
84,2022-10,68,12808
84,2022-11,76,12841
84,2022-12,90,12867
84,2023-01,81,12889
84,2023-02,66,12904
84,2023-03,53,12912
84,2023-04,84,12915
84,2023-05,61,12910
84,2023-06,54,12896
84,2023-07,54,12875
84,2023-08,60,12844
84,2023-09,61,12803
84,2023-10,71,12753
84,2023-11,82,12691
84,2023-12,78,12621
85,2020-01,1080,79919
85,2020-02,1038,79907
85,2020-03,1141,79892
85,2020-04,2217,79873
85,2020-05,1633,79852
85,2020-06,889,79827
85,2020-07,892,79800
85,2020-08,857,79771
85,2020-09,950,79739
85,2020-10,1048,79708
85,2020-11,1206,79674
85,2020-12,1471,79642
85,2021-01,1463,79607
85,2021-02,1022,79573
85,2021-03,953,79543
85,2021-04,878,79510
85,2021-05,880,79479
85,2021-06,862,79449
85,2021-07,872,79421
85,2021-08,988,79395
85,2021-09,949,79371
85,2021-10,986,79351
85,2021-11,969,79334
85,2021-12,1158,79321
85,2022-01,1449,79311
85,2022-02,1048,79306
85,2022-03,975,79305
85,2022-04,1024,79309
85,2022-05,1045,79319
85,2022-06,901,79334
85,2022-07,926,79355
85,2022-08,913,79383
85,2022-09,911,79418
85,2022-10,1066,79459
85,2022-11,1051,79509
85,2022-12,1234,79564
85,2023-01,1184,79630
85,2023-02,968,79705
85,2023-03,1031,79780
85,2023-04,932,79873
85,2023-05,968,79971
85,2023-06,823,80083
85,2023-07,895,80202
85,2023-08,893,80335
85,2023-09,918,80480
85,2023-10,1002,80631
85,2023-11,1016,80798
85,2023-12,1068,80973
