year,month,region,dead,born
2024,6,Midwest,358,61322
2024,6,Northeast,199,46888
2024,6,South,764,117375
2024,6,West,318,67411
2024,7,Midwest,362,64954
2024,7,Northeast,214,50738
2024,7,South,766,130883
2024,7,West,349,72296
2024,8,Midwest,350,65855
2024,8,Northeast,189,51313
2024,8,South,774,133854
2024,8,West,286,74372
2024,9,Midwest,357,61725
2024,9,Northeast,201,48035
2024,9,South,789,126929
2024,9,West,307,71294
2024,10,Midwest,385,63367
2024,10,Northeast,185,48731
2024,10,South,803,129203
2024,10,West,317,72258
2024,11,Midwest,358,57463
2024,11,Northeast,203,45989
2024,11,South,790,120253
2024,11,West,343,67055
2024,12,Midwest,373,60183
2024,12,Northeast,209,46404
2024,12,South,761,124401
2024,12,West,310,67350
2025,1,Midwest,351,60655
2025,1,Northeast,212,47450
2025,1,South,770,126019
2025,1,West,313,69338
2025,2,Midwest,350,56092
2025,2,Northeast,192,43359
2025,2,South,684,112484
2025,2,West,292,62988
2025,3,Midwest,327,61454
2025,3,Northeast,208,47160
2025,3,South,759,120309
2025,3,West,305,68297
2025,4,Midwest,353,60548
2025,4,Northeast,192,46339
2025,4,South,760,116360
2025,4,West,298,65700
2025,5,Midwest,326,63618
2025,5,Northeast,232,49052
2025,5,South,687,120822
2025,5,West,319,69436
2025,6,Midwest,279,62049
2025,6,Northeast,202,47640
2025,6,South,611,117668
2025,6,West,272,67547
