year,month,region,dead,born
2007,11,Northeast,391,56121
2007,11,South,1056,137133
2007,11,West,488,88212
2007,12,Midwest,531,73305
2007,12,Northeast,351,55218
2007,12,South,1048,137642
2007,12,West,523,88375
2008,1,Midwest,556,73301
2008,1,Northeast,340,55801
2008,1,South,1084,138628
2008,1,West,518,88727
2008,2,Midwest,523,71176
2008,2,Northeast,343,53398
2008,2,South,981,129422
2008,2,West,491,84525
2008,3,Midwest,548,74578
2008,3,Northeast,393,56209
2008,3,South,1035,132031
2008,3,West,477,87812
2008,4,Midwest,492,74481
2008,4,Northeast,292,56235
2008,4,South,985,129645
2008,4,West,499,86036
2008,5,Midwest,529,76174
2008,5,Northeast,353,58046
2008,5,South,1049,130818
2008,5,West,493,89848
2008,6,Midwest,484,74354
2008,6,Northeast,322,56660
2008,6,South,1007,129924
2008,6,West,460,87649
2008,7,Midwest,511,79032
2008,7,Northeast,300,59561
2008,7,South,1021,142123
2008,7,West,491,94668
2008,8,Midwest,574,77988
2008,8,Northeast,345,59089
2008,8,South,1067,142711
2008,8,West,437,93545
2008,9,Midwest,531,77264
2008,9,Northeast,305,58214
2008,9,South,920,140793
2008,9,West,454,91694
2008,10,Midwest,522,73868
2008,10,Northeast,351,56911
2008,10,South,966,137950
2008,10,West,468,89146
2008,11,Midwest,471,66194
2008,11,Northeast,306,50892
2008,11,South,1000,125199
2008,11,West,478,81503
2008,12,Midwest,520,72775
2008,12,Northeast,312,54450
2008,12,South,979,139110
2008,12,West,476,87536
2009,1,Midwest,544,69460
2009,1,Northeast,338,54014
2009,1,South,939,130625
2009,1,West,462,83881
2009,2,Midwest,455,66691
2009,2,Northeast,290,50616
2009,2,South,900,121041
2009,2,West,444,78293
2009,3,Midwest,460,74060
2009,3,Northeast,348,56080
2009,3,South,1032,131287
2009,3,West,488,86376
2009,4,Midwest,529,72231
2009,4,Northeast,347,54782
2009,4,South,1015,126969
2009,4,West,477,83290
2009,5,Midwest,545,74661
2009,5,Northeast,316,56902
2009,5,South,959,128480
2009,5,West,457,85214
2009,6,Midwest,476,74310
2009,6,Northeast,317,56834
2009,6,South,977,131011
2009,6,West,389,84816
2009,7,Midwest,523,78029
2009,7,Northeast,303,59518
2009,7,South,918,140805
2009,7,West,444,90098
2009,8,Midwest,506,74729
2009,8,Northeast,329,57456
2009,8,South,997,138258
2009,8,West,443,89111
2009,9,Midwest,474,75702
2009,9,Northeast,307,57095
2009,9,South,902,139190
2009,9,West,415,89935
2009,10,Midwest,511,72669
2009,10,Northeast,325,55348
2009,10,South,938,133364
2009,10,West,456,86244
