age,year,dead
98,2019,498
98,2020,664
98,2021,565
98,2022,597
98,2023,540
98,2024,450
99,2018,363
99,2019,407
99,2020,522
99,2021,430
99,2022,467
99,2023,401
99,2024,374
100,2018,896
100,2019,883
100,2020,1223
100,2021,960
100,2022,1031
100,2023,927
100,2024,871
0,1999,803
1,1999,48
2,1999,28
3,1999,25
4,1999,23
5,1999,19
6,1999,16
7,1999,15
8,1999,16
9,1999,24
10,1999,20
11,1999,20
12,1999,10
13,1999,29
14,1999,26
15,1999,25
16,1999,32
17,1999,66
18,1999,67
19,1999,78
20,1999,75
21,1999,90
22,1999,80
23,1999,86
24,1999,87
25,1999,83
26,1999,86
27,1999,123
28,1999,123
29,1999,130
30,1999,123
31,1999,140
32,1999,171
33,1999,199
34,1999,208
35,1999,197
36,1999,238
37,1999,254
38,1999,285
39,1999,287
40,1999,316
41,1999,336
42,1999,363
43,1999,405
44,1999,394
45,1999,436
46,1999,440
47,1999,435
48,1999,475
49,1999,503
50,1999,563
51,1999,537
52,1999,561
53,1999,518
54,1999,564
55,1999,561
56,1999,667
57,1999,604
58,1999,607
59,1999,663
60,1999,701
61,1999,738
62,1999,719
63,1999,801
64,1999,865
65,1999,887
66,1999,905
67,1999,937
68,1999,989
69,1999,1141
70,1999,1163
71,1999,1279
72,1999,1283
73,1999,1367
74,1999,1423
75,1999,1519
76,1999,1533
77,1999,1617
78,1999,1646
79,1999,1685
80,1999,1650
81,1999,1616
82,1999,1630
83,1999,1625
84,1999,1699
85,1999,1740
86,1999,1725
87,1999,1634
88,1999,1611
89,1999,1556
90,1999,1372
91,1999,1287
92,1999,1055
93,1999,908
94,1999,854
95,1999,670
96,1999,576
97,1999,450
98,1999,347
99,1999,257
100,1999,500
0,2000,780
1,2000,50
2,2000,30
3,2000,16
4,2000,17
5,2000,22
6,2000,15
7,2000,15
9,2000,17
10,2000,16
11,2000,17
12,2000,17
13,2000,20
14,2000,23
15,2000,31
16,2000,33
17,2000,47
18,2000,60
19,2000,76
20,2000,89
21,2000,83
22,2000,82
23,2000,98
24,2000,90
25,2000,89
26,2000,95
27,2000,104
28,2000,105
29,2000,119
30,2000,139
31,2000,137
32,2000,140
33,2000,162
34,2000,227
35,2000,200
36,2000,229
37,2000,242
38,2000,231
39,2000,284
40,2000,319
41,2000,339
42,2000,357
43,2000,352
44,2000,372
45,2000,424
46,2000,417
47,2000,486
48,2000,474
49,2000,492
50,2000,544
51,2000,557
52,2000,551
53,2000,588
54,2000,550
55,2000,563
56,2000,542
57,2000,633
58,2000,566
59,2000,641
60,2000,665
61,2000,676
62,2000,755
63,2000,786
64,2000,778
65,2000,892
66,2000,861
67,2000,934
68,2000,970
69,2000,1040
70,2000,1085
71,2000,1165
72,2000,1244
73,2000,1273
74,2000,1324
75,2000,1442
76,2000,1483
77,2000,1514
78,2000,1587
79,2000,1685
80,2000,1746
81,2000,1523
82,2000,1594
83,2000,1623
84,2000,1552
85,2000,1600
86,2000,1658
87,2000,1625
88,2000,1523
89,2000,1476
90,2000,1369
91,2000,1215
92,2000,1117
93,2000,963
94,2000,831
95,2000,714
96,2000,543
97,2000,434
98,2000,322
99,2000,261
100,2000,530
0,2001,673
1,2001,50
2,2001,30
3,2001,25
4,2001,28
5,2001,17
6,2001,13
7,2001,18
8,2001,19
9,2001,19
10,2001,16
11,2001,20
12,2001,12
13,2001,19
14,2001,20
15,2001,31
16,2001,28
17,2001,54
18,2001,61
19,2001,74
20,2001,75
21,2001,103
22,2001,81
23,2001,149
24,2001,123
25,2001,121
26,2001,142
27,2001,143
28,2001,144
29,2001,152
30,2001,195
31,2001,186
32,2001,189
33,2001,183
34,2001,238
35,2001,258
36,2001,259
37,2001,297
38,2001,334
39,2001,322
40,2001,332
41,2001,347
42,2001,382
43,2001,377
44,2001,420
45,2001,431
46,2001,478
47,2001,511
48,2001,475
49,2001,551
50,2001,583
51,2001,586
52,2001,572
53,2001,594
54,2001,619
55,2001,562
56,2001,606
57,2001,633
58,2001,711
59,2001,641
60,2001,682
61,2001,720
62,2001,729
63,2001,805
64,2001,771
65,2001,793
66,2001,837
67,2001,834
68,2001,928
69,2001,1015
70,2001,1007
71,2001,1116
72,2001,1118
73,2001,1230
74,2001,1293
75,2001,1443
76,2001,1478
77,2001,1480
78,2001,1518
79,2001,1598
80,2001,1620
81,2001,1652
82,2001,1607
83,2001,1575
84,2001,1508
85,2001,1605
86,2001,1624
87,2001,1637
88,2001,1533
89,2001,1492
90,2001,1355
91,2001,1230
92,2001,1084
93,2001,1016
94,2001,812
95,2001,750
96,2001,612
97,2001,479
98,2001,352
99,2001,242
100,2001,589
0,2002,699
1,2002,35
2,2002,22
3,2002,19
4,2002,19
5,2002,16
6,2002,12
7,2002,14
8,2002,13
9,2002,15
10,2002,19
11,2002,18
12,2002,21
13,2002,17
14,2002,13
15,2002,25
16,2002,33
17,2002,37
18,2002,62
19,2002,61
20,2002,70
21,2002,65
22,2002,87
23,2002,91
24,2002,86
25,2002,84
26,2002,99
27,2002,88
28,2002,94
29,2002,117
30,2002,122
31,2002,117
32,2002,146
33,2002,140
34,2002,168
35,2002,197
36,2002,218
37,2002,247
38,2002,280
39,2002,291
40,2002,286
41,2002,294
42,2002,338
43,2002,326
44,2002,355
45,2002,403
46,2002,430
47,2002,475
48,2002,510
49,2002,466
50,2002,495
51,2002,531
52,2002,547
53,2002,590
54,2002,580
55,2002,639
56,2002,605
57,2002,604
58,2002,611
59,2002,701
60,2002,694
61,2002,686
62,2002,773
63,2002,733
64,2002,765
65,2002,854
66,2002,820
67,2002,893
68,2002,933
69,2002,941
70,2002,940
71,2002,1067
72,2002,1199
73,2002,1225
74,2002,1310
75,2002,1332
76,2002,1389
77,2002,1518
78,2002,1515
79,2002,1512
80,2002,1605
81,2002,1628
82,2002,1674
83,2002,1520
84,2002,1522
85,2002,1637
86,2002,1567
87,2002,1626
88,2002,1486
89,2002,1494
90,2002,1363
91,2002,1242
92,2002,1238
93,2002,990
94,2002,899
95,2002,710
96,2002,598
97,2002,480
98,2002,356
99,2002,320
100,2002,579
0,2003,745
1,2003,38
2,2003,24
3,2003,17
4,2003,14
5,2003,15
6,2003,13
7,2003,15
8,2003,16
9,2003,17
10,2003,19
11,2003,17
12,2003,15
13,2003,23
14,2003,19
15,2003,23
16,2003,35
17,2003,59
18,2003,65
19,2003,56
20,2003,66
21,2003,73
22,2003,96
23,2003,83
24,2003,81
25,2003,106
26,2003,89
27,2003,109
28,2003,109
29,2003,106
30,2003,110
31,2003,106
32,2003,121
33,2003,140
34,2003,168
35,2003,173
36,2003,195
37,2003,187
38,2003,217
39,2003,248
40,2003,268
41,2003,278
42,2003,317
43,2003,340
44,2003,369
45,2003,381
46,2003,430
47,2003,435
48,2003,470
49,2003,512
50,2003,486
51,2003,545
52,2003,578
53,2003,601
54,2003,610
55,2003,612
56,2003,628
57,2003,620
58,2003,592
59,2003,642
60,2003,732
61,2003,688
62,2003,728
63,2003,748
64,2003,786
65,2003,833
66,2003,817
67,2003,861
68,2003,818
69,2003,955
70,2003,1049
71,2003,964
72,2003,1082
73,2003,1236
74,2003,1276
75,2003,1390
76,2003,1379
77,2003,1418
78,2003,1517
79,2003,1582
80,2003,1591
81,2003,1567
82,2003,1692
83,2003,1682
84,2003,1528
85,2003,1488
86,2003,1511
87,2003,1435
88,2003,1535
89,2003,1488
90,2003,1385
91,2003,1281
92,2003,1156
93,2003,1025
94,2003,820
95,2003,728
96,2003,619
97,2003,442
98,2003,359
99,2003,266
100,2003,615
0,2004,727
1,2004,37
2,2004,19
3,2004,20
4,2004,18
5,2004,18
6,2004,18
8,2004,16
9,2004,18
10,2004,16
11,2004,17
12,2004,19
13,2004,15
14,2004,26
15,2004,29
16,2004,32
17,2004,50
18,2004,52
19,2004,61
20,2004,80
21,2004,79
22,2004,79
23,2004,82
24,2004,77
25,2004,82
26,2004,81
27,2004,88
28,2004,71
29,2004,99
30,2004,108
31,2004,82
32,2004,112
33,2004,101
34,2004,146
35,2004,155
36,2004,163
37,2004,168
38,2004,213
39,2004,232
40,2004,265
41,2004,264
42,2004,278
43,2004,306
44,2004,333
45,2004,371
46,2004,362
47,2004,402
48,2004,466
49,2004,507
50,2004,480
51,2004,486
52,2004,579
53,2004,561
54,2004,624
55,2004,646
56,2004,643
57,2004,677
58,2004,679
59,2004,584
60,2004,632
61,2004,683
62,2004,702
63,2004,702
64,2004,732
65,2004,741
66,2004,795
67,2004,878
68,2004,838
69,2004,860
70,2004,833
71,2004,985
72,2004,1032
73,2004,1096
74,2004,1192
75,2004,1293
76,2004,1301
77,2004,1418
78,2004,1491
79,2004,1515
80,2004,1598
81,2004,1617
82,2004,1625
83,2004,1671
84,2004,1650
85,2004,1575
86,2004,1535
87,2004,1498
88,2004,1393
89,2004,1420
90,2004,1358
91,2004,1219
92,2004,1111
93,2004,982
94,2004,896
95,2004,757
96,2004,569
97,2004,444
98,2004,336
99,2004,279
100,2004,600
0,2005,659
1,2005,44
2,2005,24
3,2005,16
4,2005,16
5,2005,13
6,2005,13
7,2005,17
9,2005,10
10,2005,16
11,2005,28
12,2005,16
13,2005,12
14,2005,20
15,2005,30
16,2005,34
17,2005,44
18,2005,46
19,2005,68
20,2005,74
21,2005,85
22,2005,85
23,2005,95
24,2005,92
25,2005,87
26,2005,95
27,2005,95
28,2005,86
29,2005,100
30,2005,72
31,2005,97
32,2005,99
33,2005,132
34,2005,122
35,2005,137
36,2005,131
37,2005,168
38,2005,193
39,2005,201
40,2005,233
41,2005,290
42,2005,306
43,2005,281
44,2005,318
45,2005,367
46,2005,401
47,2005,399
48,2005,416
49,2005,475
50,2005,511
51,2005,531
52,2005,547
53,2005,617
54,2005,612
55,2005,594
56,2005,601
57,2005,680
58,2005,700
59,2005,649
60,2005,632
61,2005,665
62,2005,692
63,2005,705
64,2005,756
65,2005,799
66,2005,762
67,2005,828
68,2005,792
69,2005,864
70,2005,970
71,2005,967
72,2005,1017
73,2005,1039
74,2005,1092
75,2005,1208
76,2005,1276
77,2005,1384
78,2005,1408
79,2005,1515
80,2005,1505
81,2005,1591
82,2005,1647
83,2005,1574
84,2005,1699
85,2005,1557
86,2005,1525
87,2005,1450
88,2005,1484
89,2005,1360
90,2005,1393
91,2005,1277
92,2005,1198
93,2005,1021
94,2005,887
95,2005,804
96,2005,622
97,2005,506
98,2005,328
99,2005,272
100,2005,595
0,2006,684
1,2006,28
2,2006,40
3,2006,23
4,2006,19
5,2006,11
7,2006,10
8,2006,12
9,2006,16
10,2006,11
11,2006,15
13,2006,11
14,2006,15
15,2006,23
16,2006,34
17,2006,39
18,2006,54
19,2006,61
20,2006,67
21,2006,76
22,2006,82
23,2006,67
24,2006,88
25,2006,83
26,2006,85
27,2006,106
28,2006,80
29,2006,100
30,2006,83
31,2006,100
32,2006,92
33,2006,129
34,2006,108
35,2006,135
36,2006,172
37,2006,147
38,2006,192
39,2006,182
40,2006,211
41,2006,258
42,2006,265
43,2006,341
44,2006,289
45,2006,344
46,2006,351
47,2006,375
48,2006,450
49,2006,458
50,2006,478
51,2006,477
52,2006,514
53,2006,573
54,2006,599
55,2006,571
56,2006,626
57,2006,611
58,2006,712
59,2006,726
60,2006,624
61,2006,656
62,2006,656
63,2006,757
64,2006,749
65,2006,769
66,2006,740
67,2006,789
68,2006,832
69,2006,876
70,2006,857
71,2006,916
72,2006,921
73,2006,1106
74,2006,998
75,2006,1092
76,2006,1259
77,2006,1198
78,2006,1374
79,2006,1376
80,2006,1480
81,2006,1487
82,2006,1576
83,2006,1611
84,2006,1500
85,2006,1668
86,2006,1619
87,2006,1436
88,2006,1395
89,2006,1372
90,2006,1233
91,2006,1266
92,2006,1150
93,2006,1098
94,2006,908
95,2006,731
96,2006,582
97,2006,488
98,2006,367
99,2006,265
100,2006,615
0,2007,634
1,2007,29
2,2007,28
3,2007,16
4,2007,20
5,2007,14
6,2007,15
7,2007,13
9,2007,11
10,2007,10
12,2007,13
13,2007,14
14,2007,18
15,2007,16
16,2007,38
17,2007,37
18,2007,53
19,2007,63
20,2007,55
21,2007,71
22,2007,72
23,2007,86
24,2007,68
25,2007,86
26,2007,83
27,2007,78
28,2007,89
29,2007,101
30,2007,100
31,2007,84
32,2007,98
33,2007,98
34,2007,105
35,2007,112
36,2007,143
37,2007,142
38,2007,159
39,2007,215
40,2007,218
41,2007,203
42,2007,246
43,2007,263
44,2007,328
45,2007,328
46,2007,337
47,2007,377
48,2007,374
49,2007,450
50,2007,442
51,2007,491
52,2007,528
53,2007,542
54,2007,567
55,2007,540
56,2007,579
57,2007,690
58,2007,675
59,2007,681
60,2007,732
61,2007,689
62,2007,680
63,2007,722
64,2007,748
65,2007,686
66,2007,732
67,2007,816
68,2007,804
69,2007,867
70,2007,888
71,2007,868
72,2007,956
73,2007,874
74,2007,1052
75,2007,1070
76,2007,1127
77,2007,1250
78,2007,1287
79,2007,1343
80,2007,1464
81,2007,1461
82,2007,1544
83,2007,1560
84,2007,1573
85,2007,1578
86,2007,1487
87,2007,1546
88,2007,1376
89,2007,1322
90,2007,1274
91,2007,1164
92,2007,1093
93,2007,978
94,2007,877
95,2007,770
96,2007,615
97,2007,486
98,2007,335
99,2007,294
100,2007,621
0,2008,628
1,2008,37
2,2008,23
3,2008,16
4,2008,15
5,2008,15
6,2008,11
7,2008,14
8,2008,13
10,2008,15
12,2008,13
13,2008,16
14,2008,22
15,2008,25
16,2008,22
17,2008,45
18,2008,44
19,2008,53
20,2008,77
21,2008,76
22,2008,77
23,2008,72
24,2008,66
25,2008,76
26,2008,96
27,2008,99
28,2008,108
29,2008,101
30,2008,115
31,2008,115
32,2008,121
33,2008,96
34,2008,99
35,2008,136
36,2008,110
37,2008,148
38,2008,154
39,2008,168
40,2008,178
41,2008,229
42,2008,219
43,2008,250
44,2008,282
45,2008,310
46,2008,351
47,2008,347
48,2008,395
49,2008,402
50,2008,456
51,2008,457
52,2008,527
53,2008,535
54,2008,561
55,2008,571
56,2008,597
57,2008,662
58,2008,681
59,2008,662
60,2008,795
61,2008,767
62,2008,706
63,2008,712
64,2008,733
65,2008,815
66,2008,759
67,2008,783
68,2008,803
69,2008,874
70,2008,877
71,2008,901
72,2008,959
73,2008,966
74,2008,1025
75,2008,1006
76,2008,1123
77,2008,1153
78,2008,1204
79,2008,1325
80,2008,1387
81,2008,1389
82,2008,1494
83,2008,1540
84,2008,1598
85,2008,1573
86,2008,1652
87,2008,1535
88,2008,1449
89,2008,1368
90,2008,1281
91,2008,1131
92,2008,1050
93,2008,1048
94,2008,901
95,2008,821
96,2008,659
97,2008,481
98,2008,390
99,2008,283
100,2008,654
0,2009,613
1,2009,35
2,2009,14
3,2009,20
4,2009,12
5,2009,14
6,2009,11
8,2009,10
9,2009,16
11,2009,11
12,2009,10
13,2009,14
14,2009,13
15,2009,28
16,2009,33
17,2009,42
18,2009,47
19,2009,56
20,2009,72
21,2009,80
22,2009,76
23,2009,58
24,2009,64
25,2009,70
26,2009,79
27,2009,76
28,2009,90
29,2009,107
30,2009,90
31,2009,92
32,2009,98
33,2009,83
34,2009,103
35,2009,92
36,2009,132
37,2009,133
38,2009,125
39,2009,160
40,2009,184
41,2009,204
42,2009,246
43,2009,268
44,2009,260
45,2009,310
46,2009,325
47,2009,364
48,2009,387
49,2009,405
50,2009,442
51,2009,464
52,2009,509
53,2009,541
54,2009,542
55,2009,548
56,2009,603
57,2009,619
58,2009,657
59,2009,686
60,2009,691
61,2009,723
62,2009,828
63,2009,719
64,2009,708
65,2009,742
66,2009,838
67,2009,781
68,2009,788
69,2009,838
70,2009,881
71,2009,900
72,2009,941
73,2009,931
74,2009,972
75,2009,986
76,2009,1089
77,2009,1110
78,2009,1233
79,2009,1226
80,2009,1250
81,2009,1372
82,2009,1375
83,2009,1576
84,2009,1601
85,2009,1524
86,2009,1594
87,2009,1570
88,2009,1495
89,2009,1388
90,2009,1203
91,2009,1144
92,2009,1079
93,2009,924
94,2009,888
95,2009,747
96,2009,637
97,2009,534
98,2009,341
99,2009,298
100,2009,619
0,2010,555
1,2010,35
2,2010,17
3,2010,10
4,2010,13
6,2010,12
8,2010,19
9,2010,10
11,2010,13
12,2010,17
13,2010,10
14,2010,14
15,2010,25
16,2010,24
17,2010,34
18,2010,61
19,2010,60
20,2010,63
21,2010,73
22,2010,79
23,2010,77
24,2010,79
25,2010,75
26,2010,102
27,2010,88
28,2010,93
29,2010,76
30,2010,80
31,2010,97
32,2010,88
33,2010,101
34,2010,93
35,2010,107
36,2010,105
37,2010,120
38,2010,111
39,2010,117
40,2010,156
41,2010,173
42,2010,196
43,2010,220
44,2010,263
45,2010,262
46,2010,305
47,2010,354
48,2010,342
49,2010,415
50,2010,441
51,2010,482
52,2010,488
53,2010,515
54,2010,524
55,2010,544
56,2010,602
57,2010,604
58,2010,649
59,2010,630
60,2010,736
61,2010,742
62,2010,809
63,2010,829
64,2010,738
65,2010,774
66,2010,763
67,2010,805
68,2010,819
69,2010,844
70,2010,825
71,2010,852
72,2010,948
73,2010,924
74,2010,1033
75,2010,1003
76,2010,1024
77,2010,1082
78,2010,1097
79,2010,1240
80,2010,1243
81,2010,1262
82,2010,1390
83,2010,1460
84,2010,1478
85,2010,1567
86,2010,1540
87,2010,1531
88,2010,1520
89,2010,1413
90,2010,1294
91,2010,1137
92,2010,1098
93,2010,978
94,2010,854
95,2010,746
96,2010,651
97,2010,563
98,2010,429
99,2010,298
100,2010,735
0,2011,534
1,2011,38
2,2011,15
3,2011,13
4,2011,13
5,2011,13
6,2011,20
8,2011,10
11,2011,12
12,2011,12
13,2011,12
14,2011,17
15,2011,17
16,2011,25
17,2011,36
18,2011,60
19,2011,45
20,2011,47
21,2011,77
22,2011,88
23,2011,72
24,2011,78
25,2011,79
26,2011,90
27,2011,71
28,2011,90
29,2011,112
30,2011,91
31,2011,93
32,2011,105
33,2011,105
34,2011,126
35,2011,97
36,2011,116
37,2011,125
38,2011,112
39,2011,130
40,2011,174
41,2011,158
42,2011,194
43,2011,239
44,2011,244
45,2011,255
46,2011,313
47,2011,306
48,2011,359
49,2011,421
50,2011,382
51,2011,451
52,2011,475
53,2011,499
54,2011,543
