type,year,week,dead
all,2018,01,1087
all,2018,02,1285
all,2018,03,1144
all,2018,04,1131
all,2018,05,1113
all,2018,06,1204
all,2018,07,1138
all,2018,08,1059
all,2018,09,1095
all,2018,10,1108
all,2018,11,1125
all,2018,12,1037
all,2018,13,1010
all,2018,14,1079
all,2018,15,1031
all,2018,16,1029
all,2018,17,975
all,2018,18,1042
all,2018,19,1116
all,2018,20,994
all,2018,21,1003
all,2018,22,1048
all,2018,23,1032
all,2018,24,1030
all,2018,25,983
all,2018,26,1035
all,2018,27,964
all,2018,28,1019
all,2018,29,1035
all,2018,30,1006
all,2018,31,984
all,2018,32,1057
all,2018,33,998
all,2018,34,988
all,2018,35,994
all,2018,36,1042
all,2018,37,1076
all,2018,38,1014
all,2018,39,1014
all,2018,40,1016
all,2018,41,1046
all,2018,42,1057
all,2018,43,1057
all,2018,44,1068
all,2018,45,1024
all,2018,46,1068
all,2018,47,1086
all,2018,48,1091
all,2018,49,1100
all,2018,50,1162
all,2018,51,1067
all,2018,52,1114
all,2019,01,1183
all,2019,02,1060
all,2019,03,1023
all,2019,04,1094
all,2019,05,1131
all,2019,06,1054
all,2019,07,1070
all,2019,08,1085
all,2019,09,1102
all,2019,10,1099
all,2019,11,1113
all,2019,12,1080
all,2019,13,1028
all,2019,14,1047
all,2019,15,1087
all,2019,16,1030
all,2019,17,1030
all,2019,18,986
all,2019,19,967
all,2019,20,1013
all,2019,21,963
all,2019,22,1050
all,2019,23,1036
all,2019,24,1032
all,2019,25,1015
all,2019,26,963
all,2019,27,985
all,2019,28,952
all,2019,29,983
all,2019,30,1011
all,2019,31,976
all,2019,32,1009
all,2019,33,955
all,2019,34,977
all,2019,35,989
all,2019,36,990
all,2019,37,963
all,2019,38,931
all,2019,39,939
all,2019,40,981
all,2019,41,996
all,2019,42,1038
all,2019,43,999
all,2019,44,1035
all,2019,45,1049
all,2019,46,1051
all,2019,47,1007
all,2019,48,1054
all,2019,49,1107
all,2019,50,1055
all,2019,51,1137
all,2019,52,1135
all,2020,01,1208
all,2020,02,1129
all,2020,03,1065
all,2020,04,1042
all,2020,05,1094
all,2020,06,1094
all,2020,07,1043
all,2020,08,1112
all,2020,09,1077
all,2020,10,1122
all,2020,11,1051
all,2020,12,1080
all,2020,13,1177
all,2020,14,1465
all,2020,15,1503
all,2020,16,1412
all,2020,17,1315
all,2020,18,1285
all,2020,19,1259
all,2020,20,1338
all,2020,21,1265
all,2020,22,1219
all,2020,23,1238
all,2020,24,1243
all,2020,25,1244
all,2020,26,1273
all,2020,27,1251
all,2020,28,1349
all,2020,29,1361
all,2020,30,1396
all,2020,31,1304
all,2020,32,1288
all,2020,33,1251
all,2020,34,1312
all,2020,35,1269
all,2020,36,1254
all,2020,37,1239
all,2020,38,1165
all,2020,39,1259
all,2020,40,1176
all,2020,41,1252
all,2020,42,1239
all,2020,43,1247
all,2020,44,1232
all,2020,45,1313
all,2020,46,1305
all,2020,47,1254
all,2020,48,1397
all,2020,49,1430
all,2020,50,1431
all,2020,51,1569
all,2020,52,1660
all,2020,53,1665
all,2021,01,1735
all,2021,02,1671
all,2021,03,1553
all,2021,04,1565
all,2021,05,1453
all,2021,06,1427
all,2021,07,1413
all,2021,08,1388
all,2021,09,1286
all,2021,10,1253
all,2021,11,1310
all,2021,12,1314
all,2021,13,1349
all,2021,14,1250
all,2021,15,1327
all,2021,16,1323
all,2021,17,1279
all,2021,18,1226
all,2021,19,1230
all,2021,20,1247
all,2021,21,1163
all,2021,22,1296
all,2021,23,1215
all,2021,24,1209
all,2021,25,1267
all,2021,26,1217
all,2021,27,1225
all,2021,28,1217
all,2021,29,1265
all,2021,30,1397
all,2021,31,1487
all,2021,32,1640
all,2021,33,1718
all,2021,34,1862
all,2021,35,1942
all,2021,36,1902
all,2021,37,1711
all,2021,38,1768
all,2021,39,1683
all,2021,40,1614
all,2021,41,1541
all,2021,42,1509
all,2021,43,1460
all,2021,44,1431
all,2021,45,1376
all,2021,46,1362
all,2021,47,1498
all,2021,48,1498
all,2021,49,1581
all,2021,50,1616
all,2021,51,1607
all,2021,52,1730
all,2022,01,1645
all,2022,02,1707
all,2022,03,1703
all,2022,04,1561
all,2022,05,1548
all,2022,06,1433
all,2022,07,1379
all,2022,08,1238
all,2022,09,1272
all,2022,10,1172
all,2022,11,1165
all,2022,12,1168
all,2022,13,1182
all,2022,14,1159
all,2022,15,1141
all,2022,16,1131
all,2022,17,1083
all,2022,18,1109
all,2022,19,1093
all,2022,20,1069
all,2022,21,1102
all,2022,22,1132
all,2022,23,1168
all,2022,24,1197
all,2022,25,1140
all,2022,26,1153
all,2022,27,1170
all,2022,28,1218
all,2022,29,1157
all,2022,30,1193
all,2022,31,1172
all,2022,32,1133
all,2022,33,1081
all,2022,34,1149
all,2022,35,1121
all,2022,36,1235
all,2022,37,1181
all,2022,38,1192
all,2022,39,1153
all,2022,40,1134
all,2022,41,1128
all,2022,42,1133
all,2022,43,1196
all,2022,44,1241
all,2022,45,1199
all,2022,46,1237
all,2022,47,1243
all,2022,48,1288
all,2022,49,1294
all,2022,50,1287
all,2022,51,1361
all,2022,52,1432
all,2023,01,1249
all,2023,02,1233
all,2023,03,1141
all,2023,04,1180
all,2023,05,1160
all,2023,06,1162
all,2023,07,1091
all,2023,08,1105
all,2023,09,1124
all,2023,10,1088
all,2023,11,1113
all,2023,12,1078
all,2023,13,1087
all,2023,14,1091
all,2023,15,1091
all,2023,16,1070
all,2023,17,1092
all,2023,18,1111
all,2023,19,1098
all,2023,20,1077
