year,week,age,dead
2021,17,30,8
2021,17,35,14
2021,17,40,39
2021,17,45,38
2021,17,50,70
2021,17,55,101
2021,17,60,160
2021,17,65,253
2021,17,70,386
2021,17,75,415
2021,17,80,344
2021,17,85,328
2021,17,90,297
2021,18,0,8
2021,18,5,2
2021,18,10,0
2021,18,15,2
2021,18,20,1
2021,18,25,4
2021,18,30,7
2021,18,35,21
2021,18,40,22
2021,18,45,35
2021,18,50,56
2021,18,55,111
2021,18,60,150
2021,18,65,234
2021,18,70,387
2021,18,75,355
2021,18,80,302
2021,18,85,318
2021,18,90,290
2021,19,0,8
2021,19,5,1
2021,19,10,0
2021,19,15,4
2021,19,20,7
2021,19,25,8
2021,19,30,5
2021,19,35,14
2021,19,40,18
2021,19,45,35
2021,19,50,51
2021,19,55,90
2021,19,60,152
2021,19,65,240
2021,19,70,352
2021,19,75,348
2021,19,80,313
2021,19,85,319
2021,19,90,282
2021,20,0,3
2021,20,5,0
2021,20,10,0
2021,20,15,0
2021,20,20,2
2021,20,25,7
2021,20,30,9
2021,20,35,11
2021,20,40,19
2021,20,45,35
2021,20,50,60
2021,20,55,64
2021,20,60,155
2021,20,65,192
2021,20,70,302
2021,20,75,290
2021,20,80,319
2021,20,85,307
2021,20,90,277
2021,21,0,5
2021,21,5,1
2021,21,10,1
2021,21,15,2
2021,21,20,1
2021,21,25,3
2021,21,30,7
2021,21,35,10
2021,21,40,19
2021,21,45,46
2021,21,50,48
2021,21,55,71
2021,21,60,110
2021,21,65,186
2021,21,70,286
2021,21,75,292
2021,21,80,299
2021,21,85,295
2021,21,90,277
2021,22,0,6
2021,22,5,1
2021,22,10,0
2021,22,15,2
2021,22,20,3
2021,22,25,6
2021,22,30,10
2021,22,35,10
2021,22,40,19
2021,22,45,41
2021,22,50,52
2021,22,55,72
2021,22,60,123
2021,22,65,221
2021,22,70,326
2021,22,75,287
2021,22,80,308
2021,22,85,305
2021,22,90,262
2021,23,0,6
2021,23,5,0
2021,23,10,2
2021,23,15,3
2021,23,20,4
2021,23,25,6
2021,23,30,10
2021,23,35,18
2021,23,40,23
2021,23,45,43
2021,23,50,50
2021,23,55,70
2021,23,60,102
2021,23,65,193
2021,23,70,299
2021,23,75,307
2021,23,80,288
2021,23,85,277
2021,23,90,266
2021,24,0,2
2021,24,5,1
2021,24,10,0
2021,24,15,2
2021,24,20,3
2021,24,25,4
2021,24,30,12
2021,24,35,9
2021,24,40,18
2021,24,45,50
2021,24,50,61
2021,24,55,94
2021,24,60,126
2021,24,65,185
2021,24,70,282
2021,24,75,314
2021,24,80,309
2021,24,85,296
2021,24,90,287
2021,25,0,6
2021,25,5,2
2021,25,10,1
2021,25,15,3
2021,25,20,3
2021,25,25,1
2021,25,30,11
2021,25,35,15
2021,25,40,22
2021,25,45,24
2021,25,50,45
2021,25,55,86
2021,25,60,113
2021,25,65,197
2021,25,70,261
2021,25,75,299
2021,25,80,271
2021,25,85,340
2021,25,90,302
2021,26,0,6
2021,26,5,0
2021,26,10,3
2021,26,15,5
2021,26,20,4
2021,26,25,9
2021,26,30,13
2021,26,35,12
2021,26,40,19
2021,26,45,39
2021,26,50,60
2021,26,55,74
2021,26,60,104
2021,26,65,192
2021,26,70,257
2021,26,75,262
2021,26,80,285
2021,26,85,284
2021,26,90,259
2021,27,0,8
2021,27,5,0
2021,27,10,1
2021,27,15,1
2021,27,20,6
2021,27,25,6
2021,27,30,9
2021,27,35,12
2021,27,40,24
2021,27,45,52
2021,27,50,44
2021,27,55,90
2021,27,60,102
2021,27,65,168
2021,27,70,290
2021,27,75,268
2021,27,80,275
2021,27,85,298
2021,27,90,281
2021,28,0,6
2021,28,5,1
2021,28,10,1
2021,28,15,2
2021,28,20,2
2021,28,25,4
2021,28,30,6
2021,28,35,23
2021,28,40,25
2021,28,45,46
2021,28,50,45
2021,28,55,82
2021,28,60,112
2021,28,65,173
2021,28,70,288
2021,28,75,316
2021,28,80,277
2021,28,85,329
2021,28,90,292
2021,29,0,8
2021,29,5,1
2021,29,10,0
2021,29,15,1
2021,29,20,3
2021,29,25,3
2021,29,30,13
2021,29,35,18
2021,29,40,22
2021,29,45,36
2021,29,50,38
2021,29,55,89
2021,29,60,112
2021,29,65,194
2021,29,70,287
2021,29,75,314
2021,29,80,272
2021,29,85,278
2021,29,90,270
2021,30,0,3
2021,30,5,2
2021,30,10,1
2021,30,15,6
2021,30,20,2
2021,30,25,4
2021,30,30,7
2021,30,35,10
2021,30,40,23
2021,30,45,43
2021,30,50,46
2021,30,55,75
2021,30,60,130
2021,30,65,202
2021,30,70,273
2021,30,75,344
2021,30,80,340
2021,30,85,310
2021,30,90,286
2021,31,0,4
2021,31,5,1
2021,31,10,2
2021,31,15,1
2021,31,20,2
2021,31,25,8
2021,31,30,5
2021,31,35,10
2021,31,40,17
2021,31,45,41
2021,31,50,41
2021,31,55,88
2021,31,60,104
2021,31,65,178
2021,31,70,275
2021,31,75,330
2021,31,80,260
2021,31,85,282
2021,31,90,263
2021,32,0,5
2021,32,5,4
2021,32,10,1
2021,32,15,3
2021,32,20,3
2021,32,25,3
2021,32,30,12
2021,32,35,24
2021,32,40,25
2021,32,45,39
2021,32,50,47
2021,32,55,76
2021,32,60,105
2021,32,65,212
2021,32,70,292
2021,32,75,340
2021,32,80,300
2021,32,85,275
2021,32,90,266
2021,33,0,11
2021,33,5,0
2021,33,10,2
2021,33,15,4
2021,33,20,2
2021,33,25,8
2021,33,30,13
2021,33,35,19
2021,33,40,26
2021,33,45,36
2021,33,50,55
2021,33,55,79
2021,33,60,105
2021,33,65,201
2021,33,70,300
2021,33,75,287
2021,33,80,267
2021,33,85,297
2021,33,90,271
2021,34,0,5
2021,34,5,0
2021,34,10,3
2021,34,15,6
2021,34,20,2
2021,34,25,10
2021,34,30,5
2021,34,35,16
2021,34,40,18
2021,34,45,27
2021,34,50,45
2021,34,55,71
2021,34,60,134
2021,34,65,185
2021,34,70,280
2021,34,75,308
2021,34,80,273
2021,34,85,296
2021,34,90,271
2021,35,0,5
2021,35,5,2
2021,35,10,0
2021,35,15,1
2021,35,20,7
2021,35,25,5
2021,35,30,9
2021,35,35,14
2021,35,40,28
2021,35,45,35
2021,35,50,51
2021,35,55,90
2021,35,60,114
2021,35,65,191
2021,35,70,272
2021,35,75,274
2021,35,80,296
2021,35,85,306
2021,35,90,299
2021,36,0,5
2021,36,5,0
2021,36,10,1
2021,36,15,3
2021,36,20,2
2021,36,25,5
2021,36,30,10
2021,36,35,18
2021,36,40,19
2021,36,45,34
2021,36,50,54
2021,36,55,71
2021,36,60,105
2021,36,65,197
2021,36,70,318
2021,36,75,335
2021,36,80,305
2021,36,85,280
2021,36,90,312
2021,37,0,4
2021,37,5,0
2021,37,10,2
2021,37,15,4
2021,37,20,1
2021,37,25,8
2021,37,30,8
2021,37,35,16
2021,37,40,25
2021,37,45,23
2021,37,50,62
2021,37,55,77
2021,37,60,127
2021,37,65,201
2021,37,70,315
2021,37,75,343
2021,37,80,289
2021,37,85,308
2021,37,90,312
2021,38,0,8
2021,38,5,1
2021,38,10,0
2021,38,15,3
2021,38,20,3
2021,38,25,6
2021,38,30,9
2021,38,35,15
2021,38,40,20
2021,38,45,41
2021,38,50,63
2021,38,55,88
2021,38,60,89
2021,38,65,217
2021,38,70,273
2021,38,75,342
2021,38,80,312
2021,38,85,327
2021,38,90,281
2021,39,0,6
2021,39,5,0
2021,39,10,1
2021,39,15,2
2021,39,20,7
2021,39,25,3
2021,39,30,11
2021,39,35,8
2021,39,40,18
2021,39,45,41
2021,39,50,43
2021,39,55,86
2021,39,60,111
2021,39,65,215
2021,39,70,281
2021,39,75,297
2021,39,80,303
2021,39,85,323
2021,39,90,318
2021,40,0,4
2021,40,5,1
2021,40,10,0
2021,40,15,4
2021,40,20,9
2021,40,25,5
2021,40,30,7
2021,40,35,9
2021,40,40,22
2021,40,45,49
2021,40,50,64
2021,40,55,76
2021,40,60,107
2021,40,65,206
2021,40,70,308
2021,40,75,306
2021,40,80,314
2021,40,85,337
2021,40,90,284
2021,41,0,4
2021,41,5,2
2021,41,10,1
2021,41,15,2
2021,41,20,6
2021,41,25,3
2021,41,30,7
2021,41,35,6
2021,41,40,19
2021,41,45,38
2021,41,50,52
2021,41,55,79
2021,41,60,129
2021,41,65,225
2021,41,70,282
2021,41,75,377
2021,41,80,345
2021,41,85,339
2021,41,90,301
2021,42,0,6
2021,42,5,0
2021,42,10,2
2021,42,15,1
2021,42,20,2
2021,42,25,4
2021,42,30,10
2021,42,35,20
2021,42,40,23
2021,42,45,43
2021,42,50,65
2021,42,55,85
2021,42,60,129
2021,42,65,239
2021,42,70,281
2021,42,75,388
2021,42,80,346
2021,42,85,319
2021,42,90,348
2021,43,0,7
2021,43,5,2
2021,43,10,0
2021,43,15,1
2021,43,20,8
2021,43,25,4
2021,43,30,15
2021,43,35,17
2021,43,40,29
2021,43,45,42
2021,43,50,59
2021,43,55,87
2021,43,60,136
2021,43,65,230
2021,43,70,363
2021,43,75,428
2021,43,80,402
2021,43,85,354
2021,43,90,386
2021,44,0,4
2021,44,5,0
2021,44,10,0
2021,44,15,1
2021,44,20,5
2021,44,25,5
2021,44,30,16
2021,44,35,12
2021,44,40,34
2021,44,45,37
2021,44,50,62
2021,44,55,94
2021,44,60,157
2021,44,65,232
2021,44,70,345
2021,44,75,438
2021,44,80,419
2021,44,85,419
2021,44,90,411
2021,45,0,6
2021,45,5,0
2021,45,10,1
2021,45,15,2
2021,45,20,9
2021,45,25,4
2021,45,30,11
2021,45,35,20
2021,45,40,25
2021,45,45,45
2021,45,50,64
2021,45,55,100
2021,45,60,177
2021,45,65,287
2021,45,70,410
2021,45,75,447
2021,45,80,440
2021,45,85,435
2021,45,90,400
2021,46,0,10
2021,46,5,2
2021,46,10,4
2021,46,15,2
2021,46,20,9
2021,46,25,4
2021,46,30,11
2021,46,35,16
2021,46,40,23
2021,46,45,40
2021,46,50,65
2021,46,55,102
2021,46,60,163
2021,46,65,283
2021,46,70,433
2021,46,75,509
2021,46,80,508
2021,46,85,442
2021,46,90,421
2021,47,0,3
2021,47,5,0
2021,47,10,5
2021,47,15,2
2021,47,20,2
2021,47,25,5
2021,47,30,11
2021,47,35,19
2021,47,40,31
2021,47,45,54
2021,47,50,65
2021,47,55,117
2021,47,60,160
2021,47,65,336
2021,47,70,447
2021,47,75,553
2021,47,80,487
2021,47,85,518
2021,47,90,420
2021,48,0,9
2021,48,5,0
2021,48,10,2
2021,48,15,1
2021,48,20,8
2021,48,25,3
2021,48,30,11
2021,48,35,15
2021,48,40,26
2021,48,45,53
2021,48,50,67
2021,48,55,102
2021,48,60,203
2021,48,65,321
2021,48,70,502
2021,48,75,540
2021,48,80,583
2021,48,85,460
2021,48,90,482
2021,49,0,8
2021,49,5,0
2021,49,10,1
2021,49,15,6
2021,49,20,4
2021,49,25,3
2021,49,30,16
2021,49,35,13
2021,49,40,32
2021,49,45,50
2021,49,50,92
2021,49,55,99
2021,49,60,190
