age,survivors,deaths,death_per_thousand,years_lived,projection_probability,life_expectancy
109,8,5,624.47408,5,0.3671791,1.061
110,3,2,655.04777,2,0.337291,0.995
111,1,1,684.91851,1,0.3079197,0.935
112,0,0,714.81042,0,0.2793387,0.881
113,0,0,741.177,0,0.2541203,0.836
114,0,0,764.04937,0,0.2317081,0.798
115,0,0,786.2723,0,0.2096965,0.763
117,0,0,832.00764,0,0.165266,0.697
118,0,0,850.96336,0,0.1470779,0.672
119,0,0,866.06502,0,0.132684,0.653
