year,month,sex,dead,born
2013,6,F,850,155370
2013,6,M,1116,164409
2013,7,F,861,170181
2013,7,M,1108,178977
2013,8,F,882,172630
2013,8,M,1091,180855
2013,9,F,851,165533
2013,9,M,1104,172475
2013,10,F,929,166535
2013,10,M,1115,174027
2013,11,F,795,155126
2013,11,M,1050,163356
2013,12,F,871,163710
2013,12,M,1083,171864
2014,1,F,854,159245
2014,1,M,1081,167121
2014,2,F,795,145675
2014,2,M,1010,152729
2014,3,F,883,157949
2014,3,M,1049,165623
2014,4,F,860,155175
2014,4,M,1106,163815
2014,5,F,913,162789
2014,5,M,1124,171824
2014,6,F,861,158843
2014,6,M,1054,167138
2014,7,F,865,173647
2014,7,M,1109,181877
2014,8,F,837,173001
2014,8,M,1109,181256
2014,9,F,844,170527
2014,9,M,1057,177897
2014,10,F,908,168554
2014,10,M,1092,174802
2014,11,F,835,155397
2014,11,M,1051,162601
2014,12,F,874,166573
2014,12,M,1044,174018
2015,1,F,905,159307
2015,1,M,1113,166648
2015,2,F,838,145561
2015,2,M,1017,152497
2015,3,F,903,160405
2015,3,M,1118,168518
2015,4,F,858,156028
2015,4,M,1102,164804
2015,5,F,885,159782
2015,5,M,1090,168135
2015,6,F,928,160691
2015,6,M,1085,169850
2015,7,F,874,172676
2015,7,M,1103,180739
2015,8,F,901,172065
2015,8,M,1086,179726
2015,9,F,863,169458
2015,9,M,1095,178058
2015,10,F,856,165685
2015,10,M,1057,173322
2015,11,F,800,156122
2015,11,M,1016,162698
2015,12,F,836,164556
2015,12,M,1126,171166
2016,1,F,824,154599
2016,1,M,1108,162108
2016,2,F,831,149847
2016,2,M,1063,156168
2016,3,F,923,160387
2016,3,M,1088,168139
2016,4,F,853,153029
2016,4,M,1036,160456
2016,5,F,879,159252
2016,5,M,1072,168379
2016,6,F,888,162204
2016,6,M,1057,170120
2016,7,F,877,167053
2016,7,M,1058,175675
2016,8,F,858,175440
2016,8,M,1114,182390
2016,9,F,887,169123
2016,9,M,1044,176429
2016,10,F,865,162000
2016,10,M,1106,168958
2016,11,F,776,156016
2016,11,M,1060,163373
2016,12,F,833,158742
2016,12,M,1061,165988
2017,1,F,828,152790
2017,1,M,1059,160996
2017,2,F,743,141192
2017,2,M,971,147862
2017,3,F,876,156046
2017,3,M,1025,163579
2017,4,F,803,146454
2017,4,M,1077,153662
2017,5,F,809,156669
2017,5,M,1070,165787
2017,6,F,862,157949
2017,6,M,1105,165971
2017,7,F,755,163488
2017,7,M,1025,171436
2017,8,F,816,171970
2017,8,M,1080,180181
2017,9,F,857,164787
2017,9,M,1049,172388
2017,10,F,845,161796
2017,10,M,1035,168073
2017,11,F,812,154749
2017,11,M,986,161762
2017,12,F,861,154725
2017,12,M,986,161188
2018,1,F,822,153576
2018,1,M,1078,161232
2018,2,F,731,139124
2018,2,M,926,145126
2018,3,F,821,154282
2018,3,M,1051,161762
2018,4,F,774,145639
2018,4,M,982,152755
2018,5,F,763,156130
2018,5,M,1022,164492
2018,6,F,756,154050
2018,6,M,951,160766
2018,7,F,809,160958
2018,7,M,1017,168051
2018,8,F,795,168363
2018,8,M,1018,176387
2018,9,F,820,158128
2018,9,M,1010,164644
2018,10,F,821,159958
2018,10,M,1037,166820
2018,11,F,762,151274
2018,11,M,962,157429
2018,12,F,725,152051
2018,12,M,1014,158715
2019,1,F,716,151676
2019,1,M,990,159196
2019,2,F,715,136813
2019,2,M,920,143150
2019,3,F,840,148124
2019,3,M,998,156113
2019,4,F,824,145894
2019,4,M,910,153053
2019,5,F,770,154143
2019,5,M,1030,162243
2019,6,F,754,148087
2019,6,M,1029,156005
2019,7,F,773,162915
2019,7,M,995,170731
2019,8,F,796,166644
2019,8,M,982,175041
2019,9,F,754,159480
2019,9,M,966,166301
2019,10,F,780,159187
2019,10,M,917,165856
2019,11,F,752,145937
2019,11,M,948,152149
2019,12,F,773,151194
2019,12,M,989,157608
2020,1,F,826,149382
2020,1,M,951,155340
2020,2,F,761,137913
2020,2,M,912,144741
2020,3,F,720,147530
2020,3,M,926,154095
2020,4,F,675,141649
2020,4,M,894,148829
2020,5,F,724,147185
2020,5,M,968,154296
2020,6,F,748,147384
2020,6,M,916,154780
2020,7,F,727,157213
2020,7,M,922,164424
2020,8,F,755,155723
2020,8,M,866,163898
2020,9,F,684,152547
2020,9,M,918,159158
2020,10,F,718,149294
2020,10,M,869,155791
2020,11,F,714,137956
2020,11,M,845,144641
2020,12,F,671,141779
2020,12,M,872,148099
2021,1,F,753,135342
2021,1,M,917,141830
2021,2,F,682,130148
2021,2,M,800,136207
2021,3,F,752,147830
2021,3,M,908,154862
2021,4,F,799,142712
2021,4,M,854,150496
2021,5,F,759,146489
2021,5,M,950,154423
2021,6,F,712,153096
2021,6,M,898,160501
2021,7,F,751,159691
2021,7,M,937,166426
2021,8,F,766,161457
2021,8,M,936,168814
2021,9,F,823,159480
2021,9,M,897,166258
2021,10,F,790,154274
2021,10,M,927,161140
2021,11,F,687,148181
2021,11,M,902,153549
2021,12,F,737,152176
2021,12,M,983,158910
2022,1,F,740,144362
2022,1,M,934,150481
2022,2,F,693,134207
2022,2,M,815,141520
2022,3,F,719,150045
2022,3,M,963,157414
2022,4,F,665,140984
2022,4,M,957,147676
2022,5,F,800,145384
2022,5,M,935,152192
2022,6,F,786,149650
2022,6,M,959,156109
2022,7,F,791,156722
2022,7,M,980,164100
2022,8,F,807,164403
2022,8,M,1002,171509
2022,9,F,768,153258
2022,9,M,956,158975
2022,10,F,812,149436
2022,10,M,998,157369
2022,11,F,795,150525
2022,11,M,924,156623
2022,12,F,806,154336
2022,12,M,948,160478
2023,1,F,786,146656
2023,1,M,967,152809
2023,2,F,708,132567
2023,2,M,809,138278
2023,3,F,780,145986
2023,3,M,1015,153369
2023,4,F,747,135907
2023,4,M,909,142723
2023,5,F,761,146280
2023,5,M,914,153265
2023,6,F,750,147504
2023,6,M,920,155818
2023,7,F,746,151895
2023,7,M,927,159702
2023,8,F,741,157220
2023,8,M,969,165141
2023,9,F,771,148880
2023,9,M,874,156629
2023,10,F,766,151459
2023,10,M,925,157658
2023,11,F,718,146062
2023,11,M,888,152166
2023,12,F,764,145807
2023,12,M,990,152236
2024,1,F,753,145252
2024,1,M,937,151720
2024,2,F,756,138630
2024,2,M,855,144434
2024,3,F,747,145852
2024,3,M,1001,152068
2024,4,F,738,141273
2024,4,M,914,148105
2024,5,F,796,147935
2024,5,M,933,155097
2024,6,F,776,142920
2024,6,M,863,150076
2024,7,F,763,155680
2024,7,M,928,163191
2024,8,F,753,158851
2024,8,M,846,166543
2024,9,F,753,150607
2024,9,M,901,157376
2024,10,F,795,154072
2024,10,M,895,159487
2024,11,F,766,142430
2024,11,M,928,148330
2024,12,F,753,146160
2024,12,M,900,152178
2025,1,F,762,148117
2025,1,M,885,155382
2025,2,F,707,134322
2025,2,M,814,140649
2025,3,F,720,145352
2025,3,M,886,151953
2025,4,F,755,141689
2025,4,M,854,147401
2025,5,F,714,147692
2025,5,M,862,155645
2025,6,F,620,145406
2025,6,M,777,151948
2025,7,F,610,154856
2025,7,M,686,162372
