group,date,age,dead
top17,2018-12,20,31
top17,2018-12,25,44
top17,2018-12,30,85
top17,2018-12,35,140
top17,2018-12,40,211
top17,2018-12,45,445
top17,2018-12,50,815
top17,2018-12,55,1555
top17,2018-12,60,2222
top17,2018-12,65,2828
top17,2018-12,70,3174
top17,2018-12,75,3247
top17,2018-12,80,2972
top17,2018-12,85,2439
top17,2018-12,90,1523
top17,2018-12,95,527
top17,2018-12,100,83
top17,2019-01,5,18
top17,2019-01,10,20
top17,2019-01,15,22
top17,2019-01,20,36
top17,2019-01,25,33
top17,2019-01,30,79
top17,2019-01,35,161
top17,2019-01,40,228
top17,2019-01,45,441
top17,2019-01,50,813
top17,2019-01,55,1486
top17,2019-01,60,2312
top17,2019-01,65,2784
top17,2019-01,70,3225
top17,2019-01,75,3074
top17,2019-01,80,3000
top17,2019-01,85,2529
top17,2019-01,90,1633
top17,2019-01,95,531
top17,2019-01,100,81
top17,2019-02,1,19
top17,2019-02,5,20
top17,2019-02,15,28
top17,2019-02,20,28
top17,2019-02,25,50
top17,2019-02,30,59
top17,2019-02,35,136
top17,2019-02,40,211
top17,2019-02,45,418
top17,2019-02,50,727
top17,2019-02,55,1379
top17,2019-02,60,2028
top17,2019-02,65,2616
top17,2019-02,70,3025
top17,2019-02,75,2848
top17,2019-02,80,2611
top17,2019-02,85,2317
top17,2019-02,90,1421
top17,2019-02,95,444
top17,2019-02,100,61
top17,2019-03,1,13
top17,2019-03,5,21
top17,2019-03,15,21
top17,2019-03,20,29
top17,2019-03,25,47
top17,2019-03,30,89
top17,2019-03,35,127
top17,2019-03,40,213
top17,2019-03,45,425
top17,2019-03,50,777
top17,2019-03,55,1475
top17,2019-03,60,2282
top17,2019-03,65,2776
top17,2019-03,70,3213
top17,2019-03,75,3181
top17,2019-03,80,2853
top17,2019-03,85,2543
top17,2019-03,90,1565
top17,2019-03,95,476
top17,2019-03,100,69
top17,2019-04,1,10
top17,2019-04,5,13
top17,2019-04,10,10
top17,2019-04,15,21
top17,2019-04,20,26
top17,2019-04,25,55
top17,2019-04,30,76
top17,2019-04,35,143
top17,2019-04,40,217
top17,2019-04,45,463
top17,2019-04,50,770
top17,2019-04,55,1441
top17,2019-04,60,2159
top17,2019-04,65,2663
top17,2019-04,70,2936
top17,2019-04,75,2971
top17,2019-04,80,2807
top17,2019-04,85,2220
top17,2019-04,90,1401
top17,2019-04,95,542
top17,2019-04,100,68
top17,2019-05,1,10
top17,2019-05,10,21
top17,2019-05,15,15
top17,2019-05,20,23
top17,2019-05,25,40
top17,2019-05,30,65
top17,2019-05,35,149
top17,2019-05,40,210
top17,2019-05,45,443
top17,2019-05,50,795
top17,2019-05,55,1483
top17,2019-05,60,2242
top17,2019-05,65,2787
top17,2019-05,70,3117
top17,2019-05,75,3155
top17,2019-05,80,2769
top17,2019-05,85,2329
top17,2019-05,90,1445
top17,2019-05,95,516
top17,2019-05,100,68
top17,2019-06,1,14
top17,2019-06,5,11
top17,2019-06,10,14
top17,2019-06,15,22
top17,2019-06,20,33
top17,2019-06,25,42
top17,2019-06,30,79
top17,2019-06,35,140
top17,2019-06,40,227
top17,2019-06,45,387
top17,2019-06,50,799
top17,2019-06,55,1444
top17,2019-06,60,2172
top17,2019-06,65,2603
top17,2019-06,70,2965
top17,2019-06,75,2952
top17,2019-06,80,2678
top17,2019-06,85,2290
top17,2019-06,90,1380
top17,2019-06,95,507
top17,2019-06,100,68
top17,2019-07,1,13
top17,2019-07,5,15
top17,2019-07,10,21
top17,2019-07,15,18
top17,2019-07,20,20
top17,2019-07,25,50
top17,2019-07,30,73
top17,2019-07,35,138
top17,2019-07,40,222
top17,2019-07,45,402
top17,2019-07,50,732
top17,2019-07,55,1529
top17,2019-07,60,2234
top17,2019-07,65,2690
top17,2019-07,70,3088
top17,2019-07,75,2952
top17,2019-07,80,2785
top17,2019-07,85,2403
top17,2019-07,90,1406
top17,2019-07,95,497
top17,2019-07,100,79
top17,2019-08,5,11
top17,2019-08,10,14
top17,2019-08,15,20
top17,2019-08,20,33
top17,2019-08,25,46
top17,2019-08,30,85
top17,2019-08,35,162
top17,2019-08,40,222
top17,2019-08,45,425
top17,2019-08,50,755
top17,2019-08,55,1468
top17,2019-08,60,2195
top17,2019-08,65,2683
top17,2019-08,70,3322
top17,2019-08,75,3025
top17,2019-08,80,2842
top17,2019-08,85,2367
top17,2019-08,90,1480
top17,2019-08,95,497
top17,2019-08,100,51
top17,2019-09,1,10
top17,2019-09,5,15
top17,2019-09,10,18
top17,2019-09,15,20
top17,2019-09,20,31
top17,2019-09,25,50
top17,2019-09,30,87
top17,2019-09,35,129
top17,2019-09,40,219
top17,2019-09,45,445
top17,2019-09,50,745
top17,2019-09,55,1388
top17,2019-09,60,2134
top17,2019-09,65,2564
top17,2019-09,70,2994
top17,2019-09,75,3119
top17,2019-09,80,2708
top17,2019-09,85,2331
top17,2019-09,90,1459
top17,2019-09,95,486
top17,2019-09,100,65
top17,2019-10,10,16
top17,2019-10,15,15
top17,2019-10,20,28
top17,2019-10,25,43
top17,2019-10,30,77
top17,2019-10,35,143
top17,2019-10,40,210
top17,2019-10,45,403
top17,2019-10,50,756
top17,2019-10,55,1459
top17,2019-10,60,2281
top17,2019-10,65,2751
top17,2019-10,70,3261
top17,2019-10,75,3174
top17,2019-10,80,2786
top17,2019-10,85,2447
top17,2019-10,90,1569
top17,2019-10,95,502
top17,2019-10,100,59
top17,2019-11,1,15
top17,2019-11,5,12
top17,2019-11,10,14
top17,2019-11,15,25
top17,2019-11,20,24
top17,2019-11,25,55
top17,2019-11,30,88
top17,2019-11,35,129
top17,2019-11,40,210
top17,2019-11,45,414
top17,2019-11,50,806
top17,2019-11,55,1362
top17,2019-11,60,2258
top17,2019-11,65,2647
top17,2019-11,70,3187
top17,2019-11,75,3056
top17,2019-11,80,2803
top17,2019-11,85,2464
top17,2019-11,90,1467
top17,2019-11,95,524
top17,2019-11,100,61
top17,2019-12,5,15
top17,2019-12,10,19
top17,2019-12,15,20
top17,2019-12,20,38
top17,2019-12,25,53
top17,2019-12,30,78
top17,2019-12,35,131
top17,2019-12,40,220
top17,2019-12,45,396
top17,2019-12,50,798
top17,2019-12,55,1446
top17,2019-12,60,2333
top17,2019-12,65,2767
top17,2019-12,70,3228
top17,2019-12,75,3055
top17,2019-12,80,2895
top17,2019-12,85,2498
top17,2019-12,90,1521
top17,2019-12,95,561
top17,2019-12,100,76
top17,2020-01,1,10
top17,2020-01,5,11
