cause,date,dead
X42,2021-02,3182
X42,2021-03,3897
X42,2021-04,3964
X42,2021-05,3918
X42,2021-06,3810
X42,2021-07,3901
X42,2021-08,3912
X42,2021-09,3820
X42,2021-10,3674
X42,2021-11,3459
X42,2021-12,3740
X42,2022-01,3855
X42,2022-02,3698
X42,2022-03,3955
X42,2022-04,3687
X42,2022-05,3800
X42,2022-06,3677
X42,2022-07,3942
X42,2022-08,4012
X42,2022-09,3864
X42,2022-10,3925
X42,2022-11,3878
X42,2022-12,4113
X42,2023-01,3910
X42,2023-02,3362
X42,2023-03,3927
X42,2023-04,3841
X42,2023-05,3787
X42,2023-06,3546
X42,2023-07,3592
X42,2023-08,3579
X42,2023-09,3081
X42,2023-10,713
X44,1999-01,359
X44,1999-02,342
X44,1999-03,333
X44,1999-04,360
X44,1999-05,391
X44,1999-06,313
X44,1999-07,375
X44,1999-08,345
X44,1999-09,326
X44,1999-10,359
X44,1999-11,363
X44,1999-12,358
X44,2000-01,384
X44,2000-02,359
X44,2000-03,395
X44,2000-04,435
X44,2000-05,422
X44,2000-06,412
X44,2000-07,404
X44,2000-08,368
X44,2000-09,353
X44,2000-10,347
X44,2000-11,366
X44,2000-12,370
X44,2001-01,448
X44,2001-02,382
X44,2001-03,422
X44,2001-04,490
X44,2001-05,461
X44,2001-06,462
X44,2001-07,471
X44,2001-08,460
X44,2001-09,434
X44,2001-10,490
X44,2001-11,427
X44,2001-12,475
X44,2002-01,609
X44,2002-02,510
X44,2002-03,590
X44,2002-04,555
X44,2002-05,569
X44,2002-06,545
X44,2002-07,555
X44,2002-08,529
X44,2002-09,518
X44,2002-10,544
X44,2002-11,546
X44,2002-12,587
X44,2003-01,641
X44,2003-02,614
X44,2003-03,635
X44,2003-04,619
X44,2003-05,641
X44,2003-06,574
X44,2003-07,619
X44,2003-08,607
X44,2003-09,562
X44,2003-10,610
X44,2003-11,592
X44,2003-12,599
X44,2004-01,717
X44,2004-02,648
X44,2004-03,682
X44,2004-04,682
X44,2004-05,745
X44,2004-06,644
X44,2004-07,676
X44,2004-08,694
X44,2004-09,679
X44,2004-10,666
X44,2004-11,658
X44,2004-12,716
X44,2005-01,805
X44,2005-02,773
X44,2005-03,772
X44,2005-04,771
X44,2005-05,772
X44,2005-06,720
X44,2005-07,792
X44,2005-08,714
X44,2005-09,692
X44,2005-10,771
X44,2005-11,788
X44,2005-12,792
X44,2006-01,820
X44,2006-02,830
X44,2006-03,882
X44,2006-04,892
X44,2006-05,886
X44,2006-06,966
X44,2006-07,943
X44,2006-08,874
X44,2006-09,911
X44,2006-10,882
X44,2006-11,913
X44,2006-12,879
X44,2007-01,979
X44,2007-02,968
X44,2007-03,999
X44,2007-04,962
X44,2007-05,905
X44,2007-06,956
X44,2007-07,959
X44,2007-08,943
X44,2007-09,928
X44,2007-10,923
X44,2007-11,949
X44,2007-12,1036
X44,2008-01,1022
