age,date,admissions,presentations
40-49,2019-09,1230,1607
40-49,2019-10,1280,1633
40-49,2019-11,1170,1491
40-49,2019-12,1152,1451
40-49,2020-01,1154,1523
40-49,2020-02,1210,1517
40-49,2020-03,1132,1451
40-49,2020-04,965,1266
40-49,2020-05,1200,1483
40-49,2020-06,1212,1509
40-49,2020-07,1128,1439
40-49,2020-08,1085,1432
40-49,2020-09,1172,1547
40-49,2020-10,1357,1820
40-49,2020-11,1215,1508
40-49,2020-12,1173,1508
40-49,2021-01,1173,1559
40-49,2021-02,1110,1356
40-49,2021-03,1210,1712
40-49,2021-04,1102,1483
40-49,2021-05,1235,1716
40-49,2021-06,1312,1787
40-49,2021-07,1290,1864
40-49,2021-08,1459,2121
40-49,2021-09,1382,2210
40-49,2021-10,1385,2519
40-49,2021-11,1207,2077
40-49,2021-12,1145,1719
40-49,2022-01,885,1543
40-49,2022-02,890,1496
40-49,2022-03,1482,2592
40-49,2022-04,1213,1948
40-49,2022-05,1198,1915
40-49,2022-06,1045,1667
40-49,2022-07,1031,1610
40-49,2022-08,1181,1829
40-49,2022-09,1072,1590
40-49,2022-10,1159,1820
40-49,2022-11,1067,1718
40-49,2022-12,997,1615
40-49,2023-01,1034,1732
50-59,2018-01,1779,1370
50-59,2018-02,1739,1344
50-59,2018-03,1978,1454
50-59,2018-04,1821,1639
50-59,2018-05,2014,1978
50-59,2018-06,1853,1817
50-59,2018-07,1917,1987
50-59,2018-08,1990,2007
50-59,2018-09,1939,1948
50-59,2018-10,2016,1933
50-59,2018-11,1877,1882
50-59,2018-12,1890,1914
50-59,2019-01,1859,1941
50-59,2019-02,1848,1732
50-59,2019-03,2044,2048
50-59,2019-04,1785,1868
50-59,2019-05,2034,1988
50-59,2019-06,1828,1828
50-59,2019-07,2002,2052
50-59,2019-08,1908,1934
50-59,2019-09,1791,1926
50-59,2019-10,1918,2032
50-59,2019-11,1778,1877
50-59,2019-12,1779,1874
50-59,2020-01,1876,2080
50-59,2020-02,1880,1945
50-59,2020-03,1753,1770
50-59,2020-04,1413,1593
50-59,2020-05,1828,1955
50-59,2020-06,1887,1942
50-59,2020-07,1783,1772
50-59,2020-08,1695,1844
50-59,2020-09,1905,1941
50-59,2020-10,2123,2236
50-59,2020-11,1916,1949
50-59,2020-12,2017,2067
50-59,2021-01,1867,2067
50-59,2021-02,1773,1829
50-59,2021-03,2007,2145
50-59,2021-04,1892,1938
50-59,2021-05,2010,2125
50-59,2021-06,2127,2520
50-59,2021-07,2105,2247
50-59,2021-08,2187,2333
50-59,2021-09,2015,2267
50-59,2021-10,1901,2501
50-59,2021-11,1716,2094
50-59,2021-12,1696,1873
50-59,2022-01,1480,1846
50-59,2022-02,1356,1691
50-59,2022-03,2267,3010
50-59,2022-04,1864,2366
50-59,2022-05,1841,2297
50-59,2022-06,1776,2092
50-59,2022-07,1685,2006
50-59,2022-08,1809,2144
50-59,2022-09,1868,2080
50-59,2022-10,1989,2329
50-59,2022-11,1761,2055
50-59,2022-12,1600,1905
50-59,2023-01,1736,2084
60-69,2018-01,2258,1314
60-69,2018-02,2333,1239
60-69,2018-03,2600,1491
60-69,2018-04,2447,1631
60-69,2018-05,2710,1934
60-69,2018-06,2463,1782
60-69,2018-07,2567,1935
60-69,2018-08,2677,1977
60-69,2018-09,2498,1927
60-69,2018-10,2730,1953
60-69,2018-11,2615,1900
60-69,2018-12,2529,1901
60-69,2019-01,2490,1951
60-69,2019-02,2452,1725
60-69,2019-03,2593,1985
60-69,2019-04,2452,1828
60-69,2019-05,2759,1972
60-69,2019-06,2494,1860
60-69,2019-07,2593,1960
60-69,2019-08,2480,1919
60-69,2019-09,2502,1984
60-69,2019-10,2618,1980
60-69,2019-11,2495,1928
60-69,2019-12,2528,1956
60-69,2020-01,2507,2143
60-69,2020-02,2519,1955
60-69,2020-03,2314,1666
60-69,2020-04,1843,1605
60-69,2020-05,2324,1823
60-69,2020-06,2507,1880
60-69,2020-07,2391,1814
60-69,2020-08,2155,1767
60-69,2020-09,2340,1918
60-69,2020-10,2716,2170
60-69,2020-11,2498,2002
60-69,2020-12,2503,1943
60-69,2021-01,2292,2005
60-69,2021-02,2354,1877
60-69,2021-03,2580,2087
60-69,2021-04,2343,1916
60-69,2021-05,2564,2074
60-69,2021-06,2677,2268
60-69,2021-07,2605,2182
60-69,2021-08,2613,2058
60-69,2021-09,2405,2075
60-69,2021-10,2399,2069
60-69,2021-11,2082,1895
60-69,2021-12,2177,1815
60-69,2022-01,1903,1710
60-69,2022-02,1901,1675
60-69,2022-03,2602,2559
60-69,2022-04,2328,2109
60-69,2022-05,2381,2029
60-69,2022-06,2294,2018
60-69,2022-07,2309,1844
60-69,2022-08,2336,1943
60-69,2022-09,2439,1929
60-69,2022-10,2592,2210
60-69,2022-11,2416,1972
60-69,2022-12,2398,2039
60-69,2023-01,2287,2097
70-79,2018-01,2835,1230
70-79,2018-02,2860,1197
70-79,2018-03,3188,1308
70-79,2018-04,3026,1485
70-79,2018-05,3439,1898
70-79,2018-06,3144,1693
70-79,2018-07,3399,1802
70-79,2018-08,3352,1841
70-79,2018-09,3144,1829
70-79,2018-10,3516,1964
70-79,2018-11,3360,1909
70-79,2018-12,3169,1913
70-79,2019-01,3133,1831
70-79,2019-02,3069,1694
70-79,2019-03,3270,1927
70-79,2019-04,3150,1887
70-79,2019-05,3351,1888
70-79,2019-06,3100,1853
70-79,2019-07,3411,2000
70-79,2019-08,3147,1860
70-79,2019-09,3127,1904
70-79,2019-10,3353,2011
70-79,2019-11,3094,1863
70-79,2019-12,3228,1888
70-79,2020-01,3115,1987
70-79,2020-02,2995,1865
70-79,2020-03,2841,1529
70-79,2020-04,2417,1492
70-79,2020-05,2913,1812
70-79,2020-06,3096,1885
70-79,2020-07,3065,1809
70-79,2020-08,2693,1658
70-79,2020-09,2883,1844
70-79,2020-10,3280,2044
70-79,2020-11,3075,1869
70-79,2020-12,3232,1991
70-79,2021-01,2777,1910
70-79,2021-02,2886,1745
70-79,2021-03,3302,2032
70-79,2021-04,3122,1924
70-79,2021-05,3178,1992
70-79,2021-06,3286,2115
70-79,2021-07,3315,2007
70-79,2021-08,3104,1929
70-79,2021-09,2917,1841
70-79,2021-10,2767,1804
70-79,2021-11,2685,1782
70-79,2021-12,2763,1817
70-79,2022-01,2365,1528
70-79,2022-02,2363,1610
70-79,2022-03,3230,2338
70-79,2022-04,2883,1953
70-79,2022-05,2914,1758
70-79,2022-06,2785,1739
70-79,2022-07,2833,1795
70-79,2022-08,3020,1901
70-79,2022-09,3078,1943
70-79,2022-10,3260,2185
70-79,2022-11,3042,1932
70-79,2022-12,3169,2028
70-79,2023-01,2840,1972
80-89,2018-01,3536,1178
80-89,2018-02,3245,1086
80-89,2018-03,3589,1153
80-89,2018-04,3573,1363
80-89,2018-05,4108,1730
80-89,2018-06,3967,1810
80-89,2018-07,4449,1946
80-89,2018-08,4384,1856
80-89,2018-09,4045,1814
80-89,2018-10,4426,1831
80-89,2018-11,4006,1782
80-89,2018-12,3744,1715
80-89,2019-01,3743,1648
80-89,2019-02,3478,1537
80-89,2019-03,3717,1687
80-89,2019-04,3612,1671
80-89,2019-05,4236,1877
80-89,2019-06,3966,1838
80-89,2019-07,4124,1884
80-89,2019-08,3978,1968
80-89,2019-09,3985,1922
80-89,2019-10,4188,1922
80-89,2019-11,3551,1721
80-89,2019-12,3725,1817
80-89,2020-01,3588,1827
80-89,2020-02,3538,1697
80-89,2020-03,3357,1409
80-89,2020-04,2664,1199
80-89,2020-05,3436,1644
80-89,2020-06,3789,1704
80-89,2020-07,3893,1555
80-89,2020-08,3324,1523
80-89,2020-09,3644,1591
80-89,2020-10,3804,1811
80-89,2020-11,3515,1715
80-89,2020-12,3742,1742
80-89,2021-01,3420,1684
80-89,2021-02,3327,1500
80-89,2021-03,3723,1804
80-89,2021-04,3663,1734
80-89,2021-05,3827,1790
80-89,2021-06,4013,1875
80-89,2021-07,4083,1854
80-89,2021-08,3949,1787
80-89,2021-09,3636,1685
80-89,2021-10,3377,1594
80-89,2021-11,3300,1619
80-89,2021-12,3600,1645
80-89,2022-01,2983,1322
80-89,2022-02,2899,1377
80-89,2022-03,3622,1836
80-89,2022-04,3341,1703
80-89,2022-05,3713,1661
80-89,2022-06,3699,1692
80-89,2022-07,3693,1632
80-89,2022-08,3893,1751
80-89,2022-09,3782,1889
80-89,2022-10,3880,2000
80-89,2022-11,3581,1744
80-89,2022-12,3646,1694
80-89,2023-01,3440,1736
