month,dead
2020-03,132
2020-04,265
2020-05,126
2020-06,73
2020-07,122
2020-08,115
2020-09,82
2020-10,101
2020-11,220
2020-12,414
2021-01,391
2021-02,207
2021-03,104
2021-04,121
2021-05,129
2021-06,105
2021-07,73
2021-08,303
2021-09,521
2021-10,390
2021-11,323
2021-12,226
2022-01,589
2022-02,441
2022-03,139
2022-04,74
2022-05,80
2022-06,140
2022-07,175
2022-08,130
2022-09,100
2022-10,79
2022-11,92
2022-12,153
2023-01,106
2023-02,114
2023-03,92
2023-04,89
2023-05,46
2023-06,42
2023-07,31
2023-08,55
2023-09,77
2023-10,63
2023-11,57
2023-12,88
2024-01,87
2024-02,73
2024-03,46
2024-04,33
2024-05,12
2024-06,21
2024-07,46
2024-08,68
2024-09,60
2024-10,39
