type,date,dead
mcd_cancer_and_ucd_covid,2022-04-09,79
mcd_cancer_and_ucd_covid,2022-04-16,84
mcd_cancer_and_ucd_covid,2022-04-23,70
mcd_cancer_and_ucd_covid,2022-04-30,85
mcd_cancer_and_ucd_covid,2022-05-07,82
mcd_cancer_and_ucd_covid,2022-05-14,105
mcd_cancer_and_ucd_covid,2022-05-21,88
mcd_cancer_and_ucd_covid,2022-05-28,106
mcd_cancer_and_ucd_covid,2022-06-04,115
mcd_cancer_and_ucd_covid,2022-06-11,108
mcd_cancer_and_ucd_covid,2022-06-18,129
mcd_cancer_and_ucd_covid,2022-06-25,128
mcd_cancer_and_ucd_covid,2022-07-02,147
mcd_cancer_and_ucd_covid,2022-07-09,149
mcd_cancer_and_ucd_covid,2022-07-16,164
mcd_cancer_and_ucd_covid,2022-07-23,170
mcd_cancer_and_ucd_covid,2022-07-30,203
mcd_cancer_and_ucd_covid,2022-08-06,203
mcd_cancer_and_ucd_covid,2022-08-13,182
mcd_cancer_and_ucd_covid,2022-08-20,187
mcd_cancer_and_ucd_covid,2022-08-27,159
mcd_cancer_and_ucd_covid,2022-09-03,157
mcd_cancer_and_ucd_covid,2022-09-10,151
mcd_cancer_and_ucd_covid,2022-09-17,127
mcd_cancer_and_ucd_covid,2022-09-24,152
mcd_cancer_and_ucd_covid,2022-10-01,122
mcd_cancer_and_ucd_covid,2022-10-08,130
mcd_cancer_and_ucd_covid,2022-10-15,124
mcd_cancer_and_ucd_covid,2022-10-22,118
mcd_cancer_and_ucd_covid,2022-10-29,119
mcd_cancer_and_ucd_covid,2022-11-05,127
mcd_cancer_and_ucd_covid,2022-11-12,112
mcd_cancer_and_ucd_covid,2022-11-19,123
mcd_cancer_and_ucd_covid,2022-11-26,130
mcd_cancer_and_ucd_covid,2022-12-03,132
mcd_cancer_and_ucd_covid,2022-12-10,180
mcd_cancer_and_ucd_covid,2022-12-17,172
mcd_cancer_and_ucd_covid,2022-12-24,192
mcd_cancer_and_ucd_covid,2022-12-31,203
mcd_cancer_and_ucd_covid,2023-01-07,226
mcd_cancer_and_ucd_covid,2023-01-14,211
mcd_cancer_and_ucd_covid,2023-01-21,197
mcd_cancer_and_ucd_covid,2023-01-28,156
mcd_cancer_and_ucd_covid,2023-02-04,168
mcd_cancer_and_ucd_covid,2023-02-11,143
mcd_cancer_and_ucd_covid,2023-02-18,106
mcd_cancer_and_ucd_covid,2023-02-25,113
mcd_cancer_and_ucd_covid,2023-03-04,105
mcd_cancer_and_ucd_covid,2023-03-11,102
mcd_cancer_and_ucd_covid,2023-03-18,96
mcd_cancer_and_ucd_covid,2023-03-25,119
mcd_cancer_and_ucd_covid,2023-04-01,74
mcd_cancer_and_ucd_covid,2023-04-08,80
mcd_cancer_and_ucd_covid,2023-04-15,71
mcd_cancer_and_ucd_covid,2023-04-22,65
mcd_cancer_and_ucd_covid,2023-04-29,60
mcd_cancer_and_ucd_covid,2023-05-06,53
mcd_cancer_and_ucd_covid,2023-05-13,60
mcd_cancer_and_ucd_covid,2023-05-20,36
mcd_cancer_and_ucd_covid,2023-05-27,41
mcd_cancer_and_ucd_covid,2023-06-03,39
mcd_cancer_and_ucd_covid,2023-06-10,29
mcd_cancer_and_ucd_covid,2023-06-17,40
mcd_cancer_and_ucd_covid,2023-06-24,39
mcd_cancer_and_ucd_covid,2023-07-01,25
mcd_cancer_and_ucd_covid,2023-07-08,22
mcd_cancer_and_ucd_covid,2023-07-15,30
mcd_cancer_and_ucd_covid,2023-07-22,22
mcd_cancer_and_ucd_covid,2023-07-29,30
mcd_cancer_and_ucd_covid,2023-08-05,30
mcd_cancer_and_ucd_covid,2023-08-12,43
mcd_cancer_and_ucd_covid,2023-08-19,45
mcd_cancer_and_ucd_covid,2023-08-26,55
mcd_cancer_and_ucd_covid,2023-09-02,70
mcd_cancer_and_ucd_covid,2023-09-09,79
mcd_cancer_and_ucd_covid,2023-09-16,88
mcd_cancer_and_ucd_covid,2023-09-23,86
mcd_cancer_and_ucd_covid,2023-09-30,103
mcd_cancer_and_ucd_covid,2023-10-07,91
mcd_cancer_and_ucd_covid,2023-10-14,76
mcd_cancer_and_ucd_covid,2023-10-21,69
mcd_cancer_and_ucd_covid,2023-10-28,69
mcd_cancer_and_ucd_covid,2023-11-04,64
mcd_cancer_and_ucd_covid,2023-11-11,86
mcd_cancer_and_ucd_covid,2023-11-18,87
mcd_cancer_and_ucd_covid,2023-11-25,93
mcd_cancer_and_ucd_covid,2023-12-02,104
mcd_cancer_and_ucd_covid,2023-12-09,103
mcd_cancer_and_ucd_covid,2023-12-16,119
mcd_cancer_and_ucd_covid,2023-12-23,107
mcd_cancer_and_ucd_covid,2023-12-30,161
mcd_cancer_and_ucd_covid,2024-01-06,152
mcd_cancer_and_ucd_covid,2024-01-13,151
mcd_cancer_and_ucd_covid,2024-01-20,149
mcd_cancer_and_ucd_covid,2024-01-27,125
mcd_cancer_and_ucd_covid,2024-02-03,121
mcd_cancer_and_ucd_covid,2024-02-10,109
mcd_cancer_and_ucd_covid,2024-02-17,75
mcd_cancer_and_ucd_covid,2024-02-24,73
mcd_cancer_and_ucd_covid,2024-03-02,66
mcd_cancer_and_ucd_covid,2024-03-09,54
mcd_cancer_and_ucd_covid,2024-03-16,61
mcd_cancer_and_ucd_covid,2024-03-23,45
