year,q,age,pop
1992,4,31,59670
1992,4,32,58160
1992,4,33,57280
1992,4,34,55250
1992,4,35,54440
1992,4,36,53470
1992,4,37,52050
1992,4,38,51170
1992,4,39,49800
1992,4,40,49350
1992,4,41,48900
1992,4,42,48970
1992,4,43,48890
1992,4,44,49160
1992,4,45,48750
1992,4,46,42720
1992,4,47,40080
1992,4,48,37850
1992,4,49,35720
1992,4,50,38170
1992,4,51,37940
1992,4,52,35370
1992,4,53,32810
1992,4,54,31380
1992,4,55,30390
1992,4,56,29190
1992,4,57,28310
1992,4,58,28260
1992,4,59,28400
1992,4,60,28680
1992,4,61,29730
1992,4,62,29330
1992,4,63,28830
1992,4,64,28520
1992,4,65,28000
1992,4,66,27400
1992,4,67,26790
1992,4,68,25450
1992,4,69,24670
1992,4,70,24290
1992,4,71,23260
1992,4,72,21850
1992,4,73,18350
1992,4,74,17890
1992,4,75,17880
1992,4,76,16740
1992,4,77,16020
1992,4,78,15080
1992,4,79,13820
1992,4,80,12380
1992,4,81,10830
1992,4,82,9780
1992,4,83,8790
1992,4,84,7460
1992,4,85,6370
1992,4,86,5520
1992,4,87,4490
1992,4,88,3760
1992,4,89,3030
1992,4,90,2430
1992,4,91,1990
1992,4,92,1410
1992,4,93,1060
1992,4,94,840
1992,4,95,1880
1993,1,0,58940
1993,1,1,60500
1993,1,2,59680
1993,1,3,57900
1993,1,4,56840
1993,1,5,54360
1993,1,6,53320
1993,1,7,52730
1993,1,8,52030
1993,1,9,51360
1993,1,10,51310
1993,1,11,52470
1993,1,12,52310
1993,1,13,52040
1993,1,14,50950
1993,1,15,52660
1993,1,16,53900
1993,1,17,55200
1993,1,18,57490
1993,1,19,58910
1993,1,20,60630
1993,1,21,60790
1993,1,22,58420
1993,1,23,57330
1993,1,24,55510
1993,1,25,54190
1993,1,26,53620
1993,1,27,54380
1993,1,28,56890
1993,1,29,59260
1993,1,30,60250
1993,1,31,59980
1993,1,32,58590
1993,1,33,57600
1993,1,34,55730
1993,1,35,54600
1993,1,36,53910
1993,1,37,52320
1993,1,38,51590
1993,1,39,49950
1993,1,40,49660
1993,1,41,48870
1993,1,42,49100
1993,1,43,48760
1993,1,44,49210
1993,1,45,49270
1993,1,46,44030
1993,1,47,40800
1993,1,48,38370
1993,1,49,35730
1993,1,50,37720
1993,1,51,38100
1993,1,52,36190
1993,1,53,33240
1993,1,54,31670
1993,1,55,30560
1993,1,56,29560
1993,1,57,28240
1993,1,58,28330
1993,1,59,28200
1993,1,60,28530
1993,1,61,29440
1993,1,62,29420
1993,1,63,28790
1993,1,64,28610
1993,1,65,27880
1993,1,66,27490
1993,1,67,26850
1993,1,68,25610
1993,1,69,24660
1993,1,70,24290
1993,1,71,23160
1993,1,72,22630
1993,1,73,18490
1993,1,74,17910
1993,1,75,17640
1993,1,76,16980
1993,1,77,15830
1993,1,78,15260
1993,1,79,13850
1993,1,80,12610
1993,1,81,10880
1993,1,82,9870
1993,1,83,8800
1993,1,84,7640
1993,1,85,6380
1993,1,86,5590
1993,1,87,4560
1993,1,88,3790
1993,1,89,3060
1993,1,90,2450
1993,1,91,2000
1993,1,92,1470
1993,1,93,1060
1993,1,94,850
1993,1,95,1900
1993,2,0,58500
1993,2,1,60300
1993,2,2,60120
1993,2,3,58350
1993,2,4,57110
1993,2,5,55170
1993,2,6,53370
1993,2,7,52960
1993,2,8,52230
1993,2,9,51560
1993,2,10,51290
1993,2,11,52180
1993,2,12,52510
1993,2,13,52300
1993,2,14,51150
1993,2,15,52080
1993,2,16,53940
1993,2,17,54690
1993,2,18,56970
1993,2,19,58600
1993,2,20,60170
1993,2,21,60790
1993,2,22,58730
1993,2,23,57470
1993,2,24,55900
1993,2,25,54340
1993,2,26,53740
1993,2,27,54170
1993,2,28,56230
1993,2,29,58970
1993,2,30,60180
1993,2,31,60290
1993,2,32,59040
1993,2,33,57840
1993,2,34,56330
1993,2,35,54810
1993,2,36,54240
1993,2,37,52740
1993,2,38,51840
1993,2,39,50330
1993,2,40,49860
1993,2,41,48980
1993,2,42,49120
1993,2,43,48800
1993,2,44,49210
1993,2,45,49350
1993,2,46,45760
1993,2,47,41370
1993,2,48,38790
1993,2,49,36320
1993,2,50,36920
1993,2,51,38200
1993,2,52,36970
1993,2,53,33790
1993,2,54,31970
1993,2,55,30740
1993,2,56,29850
