cause,date,dead
MCD,2018-05,3200
MCD,2018-06,3004
MCD,2018-07,3058
MCD,2018-08,3096
MCD,2018-09,2946
MCD,2018-10,3082
MCD,2018-11,3167
MCD,2018-12,3390
MCD,2019-01,3647
MCD,2019-02,3211
MCD,2019-03,3460
MCD,2019-04,3217
MCD,2019-05,3186
MCD,2019-06,3074
MCD,2019-07,3180
MCD,2019-08,2937
MCD,2019-09,3006
MCD,2019-10,3197
MCD,2019-11,3193
MCD,2019-12,3505
MCD,2020-01,3744
MCD,2020-02,3480
MCD,2020-03,3785
MCD,2020-04,4584
MCD,2020-05,3924
MCD,2020-06,3602
MCD,2020-07,4251
MCD,2020-08,4368
MCD,2020-09,3758
MCD,2020-10,3948
MCD,2020-11,4404
MCD,2020-12,5521
MCD,2021-01,6757
MCD,2021-02,5089
MCD,2021-03,4602
MCD,2021-04,4339
MCD,2021-05,4442
MCD,2021-06,4069
MCD,2021-07,4257
MCD,2021-08,6321
MCD,2021-09,7358
MCD,2021-10,6373
MCD,2021-11,5513
MCD,2021-12,6057
MCD,2022-01,7897
MCD,2022-02,5812
MCD,2022-03,4700
MCD,2022-04,4373
MCD,2022-05,4237
MCD,2022-06,4317
MCD,2022-07,4468
MCD,2022-08,4335
MCD,2022-09,4251
MCD,2022-10,4313
MCD,2022-11,4390
MCD,2022-12,4952
MCD,2023-01,4927
MCD,2023-02,4070
MCD,2023-03,4369
MCD,2023-04,4116
MCD,2023-05,4090
MCD,2023-06,3884
MCD,2023-07,4002
MCD,2023-08,4055
MCD,2023-09,4011
MCD,2023-10,4024
MCD,2023-11,3999
MCD,2023-12,4665
MCD,2024-01,4769
MCD,2024-02,4014
MCD,2024-03,4142
MCD,2024-04,3967
MCD,2024-05,3833
MCD,2024-06,3712
MCD,2024-07,3812
MCD,2024-08,3752
MCD,2024-09,3316
MCD,2024-10,813
MCD and COVID,2020-03,165
MCD and COVID,2020-04,1109
MCD and COVID,2020-05,726
MCD and COVID,2020-06,462
MCD and COVID,2020-07,845
MCD and COVID,2020-08,854
MCD and COVID,2020-09,471
MCD and COVID,2020-10,518
