state,age,year,dead,pop
Alabama,65-74,2008,8595,354234
Alabama,65-74,2009,8775,364755
Alabama,65-74,2010,8903,370501
Alabama,65-74,2011,8987,380180
Alabama,65-74,2012,9373,402571
Alabama,65-74,2013,9839,418704
Alabama,65-74,2014,10044,435428
Alabama,65-74,2015,10347,450273
Alabama,65-74,2016,11012,464669
Alabama,65-74,2017,11208,477332
Alabama,75-84,1999,12472,194773
Alabama,75-84,2000,12521,195749
Alabama,75-84,2001,12400,198633
Alabama,75-84,2002,12854,200722
Alabama,75-84,2003,12992,203838
Alabama,75-84,2004,12796,204612
Alabama,75-84,2005,12864,205685
Alabama,75-84,2006,12500,207754
Alabama,75-84,2007,12177,208541
Alabama,75-84,2008,12302,210116
Alabama,75-84,2009,12107,209962
Alabama,75-84,2010,12295,211607
Alabama,75-84,2011,12272,214663
Alabama,75-84,2012,12197,216705
Alabama,75-84,2013,12361,220486
Alabama,75-84,2014,12290,224937
Alabama,75-84,2015,12705,228450
Alabama,75-84,2016,12538,233129
Alabama,75-84,2017,13038,238260
Alabama,85+,1999,10849,65953
Alabama,85+,2000,10944,67301
Alabama,85+,2001,11202,66936
Alabama,85+,2002,11528,66424
Alabama,85+,2003,11619,65567
Alabama,85+,2004,11093,65503
Alabama,85+,2005,11505,67390
Alabama,85+,2006,11393,69278
Alabama,85+,2007,11446,70918
Alabama,85+,2008,11944,72594
Alabama,85+,2009,11799,74324
Alabama,85+,2010,12045,75684
Alabama,85+,2011,12293,77743
Alabama,85+,2012,12529,80104
Alabama,85+,2013,12585,81976
Alabama,85+,2014,12477,83567
Alabama,85+,2015,13042,85439
Alabama,85+,2016,12816,86753
Alabama,85+,2017,13033,88179
Alaska,0,1999,57,9265
Alaska,0,2000,68,9361
Alaska,0,2001,81,9826
Alaska,0,2002,55,9695
Alaska,0,2003,71,9830
Alaska,0,2004,69,9959
Alaska,0,2005,62,10197
Alaska,0,2006,76,10215
Alaska,0,2007,72,10650
Alaska,0,2008,67,10815
Alaska,0,2009,77,11076
Alaska,0,2010,43,10828
Alaska,0,2011,43,11177
Alaska,0,2012,58,11303
Alaska,0,2013,64,11558
Alaska,0,2014,75,11157
Alaska,0,2015,78,11383
Alaska,0,2016,60,10938
Alaska,0,2017,59,11099
Alaska,1-4,1999,17,38671
Alaska,1-4,2000,21,38230
Alaska,1-4,2001,22,37350
Alaska,1-4,2002,12,37742
Alaska,1-4,2003,18,37780
Alaska,1-4,2004,22,38298
Alaska,1-4,2007,14,39569
Alaska,1-4,2008,20,40304
Alaska,1-4,2009,11,42046
Alaska,1-4,2010,19,43168
Alaska,1-4,2011,14,43366
Alaska,1-4,2012,13,43488
Alaska,1-4,2013,18,43834
Alaska,1-4,2014,18,43551
Alaska,1-4,2015,23,44066
Alaska,1-4,2016,20,43177
Alaska,1-4,2017,23,42984
Alaska,5-14,1999,18,111058
Alaska,5-14,2000,27,110432
Alaska,5-14,2001,28,108389
Alaska,5-14,2002,30,107395
Alaska,5-14,2003,38,105677
Alaska,5-14,2004,29,104448
Alaska,5-14,2005,26,102085
Alaska,5-14,2006,36,101307
Alaska,5-14,2007,28,99705
Alaska,5-14,2008,22,99015
Alaska,5-14,2009,17,100917
Alaska,5-14,2010,22,101703
Alaska,5-14,2011,23,102724
Alaska,5-14,2012,13,101874
Alaska,5-14,2013,22,102486
Alaska,5-14,2014,10,101715
Alaska,5-14,2015,22,100913
Alaska,5-14,2016,20,103122
Alaska,5-14,2017,32,101535
Alaska,15-24,1999,96,89183
Alaska,15-24,2000,130,89986
Alaska,15-24,2001,101,94980
Alaska,15-24,2002,106,98937
Alaska,15-24,2003,122,101809
Alaska,15-24,2004,137,105512
Alaska,15-24,2005,115,107881
Alaska,15-24,2006,120,109201
Alaska,15-24,2007,129,108803
Alaska,15-24,2008,109,108196
Alaska,15-24,2009,119,105561
Alaska,15-24,2010,127,106560
Alaska,15-24,2011,124,107910
Alaska,15-24,2012,106,110102
Alaska,15-24,2013,105,112581
Alaska,15-24,2014,107,111887
Alaska,15-24,2015,122,110527
Alaska,15-24,2016,138,105364
Alaska,15-24,2017,125,101519
Alaska,25-34,1999,138,90016
Alaska,25-34,2000,117,89473
Alaska,25-34,2001,117,87154
Alaska,25-34,2002,120,86652
Alaska,25-34,2003,106,86372
Alaska,25-34,2004,121,87247
Alaska,25-34,2005,118,88158
Alaska,25-34,2006,128,89788
Alaska,25-34,2007,120,92158
Alaska,25-34,2008,126,95378
Alaska,25-34,2009,138,98338
Alaska,25-34,2010,130,103125
Alaska,25-34,2011,146,106879
Alaska,25-34,2012,184,111110
Alaska,25-34,2013,168,114828
Alaska,25-34,2014,165,118396
Alaska,25-34,2015,182,120486
Alaska,25-34,2016,235,120453
Alaska,25-34,2017,229,120215
Alaska,35-44,1999,228,116881
Alaska,35-44,2000,240,114049
Alaska,35-44,2001,255,111004
Alaska,35-44,2002,280,107776
Alaska,35-44,2003,218,104401
Alaska,35-44,2004,227,102617
Alaska,35-44,2005,227,100595
Alaska,35-44,2006,217,98682
Alaska,35-44,2007,221,96454
Alaska,35-44,2008,221,94295
Alaska,35-44,2009,199,92685
Alaska,35-44,2010,196,92974
Alaska,35-44,2011,201,91953
Alaska,35-44,2012,182,91993
Alaska,35-44,2013,192,90454
Alaska,35-44,2014,186,89980
Alaska,35-44,2015,194,90156
Alaska,35-44,2016,222,92145
Alaska,35-44,2017,209,93212
Alaska,45-54,1999,310,92120
Alaska,45-54,2000,358,94952
Alaska,45-54,2001,400,99953
Alaska,45-54,2002,427,102844
Alaska,45-54,2003,395,105868
Alaska,45-54,2004,408,108069
Alaska,45-54,2005,423,109846
Alaska,45-54,2006,430,111530
Alaska,45-54,2007,466,111676
Alaska,45-54,2008,443,111163
Alaska,45-54,2009,487,112318
Alaska,45-54,2010,466,111026
Alaska,45-54,2011,462,109611
Alaska,45-54,2012,455,106266
Alaska,45-54,2013,421,100482
Alaska,45-54,2014,448,97583
Alaska,45-54,2015,433,94440
Alaska,45-54,2016,399,94167
Alaska,45-54,2017,405,91285
Alaska,55-64,1999,393,43341
Alaska,55-64,2000,389,44750
Alaska,55-64,2001,417,47643
Alaska,55-64,2002,480,52428
Alaska,55-64,2003,490,56268
Alaska,55-64,2004,452,60988
Alaska,55-64,2005,498,65507
Alaska,55-64,2006,502,69753
Alaska,55-64,2007,570,73679
Alaska,55-64,2008,578,77967
Alaska,55-64,2009,574,83075
Alaska,55-64,2010,633,85909
Alaska,55-64,2011,721,90885
Alaska,55-64,2012,717,92816
Alaska,55-64,2013,795,92820
Alaska,55-64,2014,786,93050
Alaska,55-64,2015,806,93624
Alaska,55-64,2016,815,95322
Alaska,55-64,2017,774,95366
Alaska,65-74,1999,541,21731
Alaska,65-74,2000,534,22507
Alaska,65-74,2001,543,23338
Alaska,65-74,2002,502,24115
Alaska,65-74,2003,541,25031
Alaska,65-74,2004,537,25949
Alaska,65-74,2005,528,26825
Alaska,65-74,2006,586,27990
Alaska,65-74,2007,588,29703
Alaska,65-74,2008,635,31798
Alaska,65-74,2009,655,33759
Alaska,65-74,2010,684,35350
Alaska,65-74,2011,716,37702
Alaska,65-74,2012,736,41000
Alaska,65-74,2013,723,43810
Alaska,65-74,2014,761,46606
Alaska,65-74,2015,836,49155
Alaska,65-74,2016,943,52387
Alaska,65-74,2017,919,55904
Alaska,75-84,1999,566,10052
Alaska,75-84,2000,666,10558
Alaska,75-84,2001,632,11238
Alaska,75-84,2002,645,11768
Alaska,75-84,2003,723,12214
Alaska,75-84,2004,632,12881
Alaska,75-84,2005,696,13507
Alaska,75-84,2006,718,13740
Alaska,75-84,2007,721,13898
Alaska,75-84,2008,729,14239
Alaska,75-84,2009,740,14612
Alaska,75-84,2010,706,14877
Alaska,75-84,2011,733,15417
Alaska,75-84,2012,755,16124
Alaska,75-84,2013,753,16590
Alaska,75-84,2014,840,16876
Alaska,75-84,2015,857,17545
Alaska,75-84,2016,855,18399
Alaska,75-84,2017,837,20122
Alaska,85+,1999,344,2461
Alaska,85+,2000,364,2634
Alaska,85+,2001,378,2839
Alaska,85+,2002,373,2985
Alaska,85+,2003,457,3164
Alaska,85+,2004,417,3318
Alaska,85+,2005,466,3613
Alaska,85+,2006,532,3870
Alaska,85+,2007,534,4005
Alaska,85+,2008,544,4285
Alaska,85+,2009,601,4508
Alaska,85+,2010,702,4711
Alaska,85+,2011,666,5094
Alaska,85+,2012,690,5373
Alaska,85+,2013,735,5689
Alaska,85+,2014,732,5931
Alaska,85+,2015,763,6137
Alaska,85+,2016,786,6420
Alaska,85+,2017,798,6554
Arizona,0,1999,548,77506
Arizona,0,2000,573,77421
Arizona,0,2001,592,84721
Arizona,0,2002,559,84886
Arizona,0,2003,593,87052
Arizona,0,2004,630,89116
Arizona,0,2005,662,92434
Arizona,0,2006,651,94201
Arizona,0,2007,711,96177
Arizona,0,2008,635,95576
Arizona,0,2009,556,86485
Arizona,0,2010,522,87557
Arizona,0,2011,507,87061
Arizona,0,2012,504,86400
Arizona,0,2013,451,84900
Arizona,0,2014,534,85876
Arizona,0,2015,469,86440
Arizona,0,2016,456,87702
Arizona,0,2017,469,85596
