outcome,month,mmwr_week,age_group,vaccination_status,vaccinated_with_outcome,vaccinated_population,unvaccinated_with_outcome,unvaccinated_population,crude_vax_ir,crude_unvax_ir,crude_irr,age_adj_vax_ir,age_adj_unvax_ir,age_adj_irr,monthly_age_adj_vax_ir,monthly_age_adj_unvax_ir,monthly_age_adj_irr,monthly_age_adj_mb_irr,continuity_correction
case,OCT 2021,202140,12-17,vaccinated,2332,4801539,23740,5615499,48.56776129,422.7585118,8.704508927,,,,,,,,0
case,OCT 2021,202140,12-17,vax with updated booster,,,23740,5615499,,422.7585118,,,,,,,,,0
case,OCT 2021,202140,18-29,vaccinated,9571,11839840,38756,10595621,80.83724104,365.7737475,4.524817309,,,,,,,,0
case,OCT 2021,202140,18-29,vax with updated booster,,,38756,10595621,,365.7737475,,,,,,,,,0
case,OCT 2021,202140,30-49,vaccinated,25229,22641584,58921,12473521,111.4277164,472.3686279,4.239238166,,,,,,,,0
case,OCT 2021,202140,30-49,vax with updated booster,,,58921,12473521,,472.3686279,,,,,,,,,0
case,OCT 2021,202140,50-64,vaccinated,19123,19882696,28284,6352268,96.17910971,445.258292,4.629469885,,,,,,,,0
case,OCT 2021,202140,50-64,vax with updated booster,,,28284,6352268,,445.258292,,,,,,,,,0
case,OCT 2021,202140,65-79,vaccinated,14184,14990939.1,12355,1760686.3,94.61715444,701.7150074,7.416361352,,,,,,,,1
case,OCT 2021,202140,65-79,vax with updated booster,,,12355,1760686.3,,701.7150074,,,,,,,,,1
case,OCT 2021,202140,80+,vaccinated,4601,4358645,3202,779042.85,105.560329,411.017186,3.893670947,,,,,,,,1
case,OCT 2021,202140,80+,vax with updated booster,,,3202,779042.85,,411.017186,,,,,,,,,1
case,OCT 2021,202140,all_ages,vaccinated,72708,73713704.1,141518,31961139.15,,,,99.37651299,469.8825897,4.728306272,88.66399858,406.7078901,4.587069121,,1
case,OCT 2021,202140,all_ages,vax with updated booster,,,141518,31961139.15,,,,,469.8825897,,,406.7078901,,,1
case,OCT 2021,202141,12-17,vaccinated,2016,4926018,19159,5557291,40.92555082,344.7543057,8.423938071,,,,,,,,0
case,OCT 2021,202141,12-17,vax with updated booster,,,19159,5557291,,344.7543057,,,,,,,,,0
case,OCT 2021,202141,18-29,vaccinated,8843,12043288,32436,10471667,73.42679175,309.7501095,4.218488948,,,,,,,,0
case,OCT 2021,202141,18-29,vax with updated booster,,,32436,10471667,,309.7501095,,,,,,,,,0
case,OCT 2021,202141,30-49,vaccinated,22877,22943704,49589,12290728,99.70927101,403.4667434,4.046431584,,,,,,,,0
case,OCT 2021,202141,30-49,vax with updated booster,,,49589,12290728,,403.4667434,,,,,,,,,0
case,OCT 2021,202141,50-64,vaccinated,17534,20035731,24539,6256042,87.51365248,392.2448091,4.482098484,,,,,,,,0
case,OCT 2021,202141,50-64,vax with updated booster,,,24539,6256042,,392.2448091,,,,,,,,,0
case,OCT 2021,202141,65-79,vaccinated,12411,15054462.1,11104,1702599.3,82.44067385,652.1792885,7.910892257,,,,,,,,1
case,OCT 2021,202141,65-79,vax with updated booster,,,11104,1702599.3,,652.1792885,,,,,,,,,1
case,OCT 2021,202141,80+,vaccinated,4178,4373753,2959,758084.85,95.52437003,390.3257003,4.086137393,,,,,,,,1
case,OCT 2021,202141,80+,vax with updated booster,,,2959,758084.85,,390.3257003,,,,,,,,,1
case,OCT 2021,202141,all_ages,vaccinated,65843,74450938.1,120627,31479121.15,,,,89.22251246,411.5626609,4.612766998,88.66399858,406.7078901,4.587069121,,1
case,OCT 2021,202141,all_ages,vax with updated booster,,,120627,31479121.15,,,,,411.5626609,,,406.7078901,,,1
case,OCT 2021,202142,12-17,vaccinated,2004,5030855,15953,5508283,39.83418326,289.6183802,7.270599182,,,,,,,,0
case,OCT 2021,202142,12-17,vax with updated booster,,,15953,5508283,,289.6183802,,,,,,,,,0
case,OCT 2021,202142,18-29,vaccinated,7935,12226599,28797,10356561,64.89948677,278.055621,4.284404004,,,,,,,,0
case,OCT 2021,202142,18-29,vax with updated booster,,,28797,10356561,,278.055621,,,,,,,,,0
case,OCT 2021,202142,30-49,vaccinated,21365,23223413,43778,12122502,91.99767493,361.1300703,3.925426057,,,,,,,,0
case,OCT 2021,202142,30-49,vax with updated booster,,,43778,12122502,,361.1300703,,,,,,,,,0
case,OCT 2021,202142,50-64,vaccinated,16291,20176473,21254,6165317,80.74255595,344.7349098,4.269556565,,,,,,,,0
case,OCT 2021,202142,50-64,vax with updated booster,,,21254,6165317,,344.7349098,,,,,,,,,0
case,OCT 2021,202142,65-79,vaccinated,11011,15115747.1,9585,1667208.3,72.84456353,574.9131647,7.892327674,,,,,,,,1
case,OCT 2021,202142,65-79,vax with updated booster,,,9585,1667208.3,,574.9131647,,,,,,,,,1
case,OCT 2021,202142,80+,vaccinated,3671,4389118,2552,740240.85,83.63867182,344.7526572,4.121928884,,,,,,,,1
case,OCT 2021,202142,80+,vax with updated booster,,,2552,740240.85,,344.7526572,,,,,,,,,1
case,OCT 2021,202142,all_ages,vaccinated,60273,75131350.1,105966,31051829.15,,,,81.10119907,365.953477,4.512306615,88.66399858,406.7078901,4.587069121,,1
case,OCT 2021,202142,all_ages,vax with updated booster,,,105966,31051829.15,,,,,365.953477,,,406.7078901,,,1
case,OCT 2021,202143,12-17,vaccinated,2029,5115539,16398,5462973,39.66346459,300.1662282,7.567826746,,,,,,,,0
case,OCT 2021,202143,12-17,vax with updated booster,,,16398,5462973,,300.1662282,,,,,,,,,0
case,OCT 2021,202143,18-29,vaccinated,8811,12384587,30031,10241772,71.14488356,293.2207434,4.121459321,,,,,,,,0
case,OCT 2021,202143,18-29,vax with updated booster,,,30031,10241772,,293.2207434,,,,,,,,,0
case,OCT 2021,202143,30-49,vaccinated,22683,23459324,44051,11936825,96.69076568,369.0344794,3.816646572,,,,,,,,0
case,OCT 2021,202143,30-49,vax with updated booster,,,44051,11936825,,369.0344794,,,,,,,,,0
case,OCT 2021,202143,50-64,vaccinated,17167,20295939,21502,6044869,84.58342331,355.7066332,4.205394145,,,,,,,,0
case,OCT 2021,202143,50-64,vax with updated booster,,,21502,6044869,,355.7066332,,,,,,,,,0
case,OCT 2021,202143,65-79,vaccinated,10900,15166914.1,9398,1618171.85,71.86695941,580.7788586,8.081305559,,,,,,,,1
case,OCT 2021,202143,65-79,vax with updated booster,,,9398,1618171.85,,580.7788586,,,,,,,,,1
case,OCT 2021,202143,80+,vaccinated,3849,4402639,2637,706346.85,87.42483769,373.3293353,4.270289144,,,,,,,,1
case,OCT 2021,202143,80+,vax with updated booster,,,2637,706346.85,,373.3293353,,,,,,,,,1
case,OCT 2021,202143,all_ages,vaccinated,63410,75709403.1,107619,30547984.7,,,,85.20552042,376.7173902,4.421279142,88.66399858,406.7078901,4.587069121,,1
case,OCT 2021,202143,all_ages,vax with updated booster,,,107619,30547984.7,,,,,376.7173902,,,406.7078901,,,1
case,NOV 2021,202144,12-17,vaccinated,2558,5185026,17068,5419487,49.33437171,314.9375577,6.383735048,,,,,,,,0
case,NOV 2021,202144,12-17,vax with updated booster,,,17068,5419487,,314.9375577,,,,,,,,,0
case,NOV 2021,202144,18-29,vaccinated,11959,12522645,31662,10128145,95.49899402,312.6140078,3.27347959,,,,,,,,0
case,NOV 2021,202144,18-29,vax with updated booster,,,31662,10128145,,312.6140078,,,,,,,,,0
case,NOV 2021,202144,30-49,vaccinated,26611,23671077,45421,11746759,112.4198954,386.6683568,3.439501126,,,,,,,,0
case,NOV 2021,202144,30-49,vax with updated booster,,,45421,11746759,,386.6683568,,,,,,,,,0
case,NOV 2021,202144,50-64,vaccinated,18800,20401076,21774,5917513,92.15200218,367.958634,3.992953222,,,,,,,,0
case,NOV 2021,202144,50-64,vax with updated booster,,,21774,5917513,,367.958634,,,,,,,,,0
case,NOV 2021,202144,65-79,vaccinated,11035,15215729.1,9073,1574283.85,72.52363608,576.3255464,7.946727129,,,,,,,,1
case,NOV 2021,202144,65-79,vax with updated booster,,,9073,1574283.85,,576.3255464,,,,,,,,,1
case,NOV 2021,202144,80+,vaccinated,3911,4415853,2506,676270.05,88.56725982,370.5620262,4.183961737,,,,,,,,1
case,NOV 2021,202144,80+,vax with updated booster,,,2506,676270.05,,370.5620262,,,,,,,,,1
case,NOV 2021,202144,all_ages,vaccinated,72316,76226380.1,110436,30042970.9,,,,98.60219397,389.9585229,3.954866592,111.8538296,453.2097863,4.051803929,,1
case,NOV 2021,202144,all_ages,vax with updated booster,,,110436,30042970.9,,,,,389.9585229,,,453.2097863,,,1
case,NOV 2021,202145,12-17,vaccinated,2994,5242620,19508,5351839,57.10885016,364.5102179,6.382727316,,,,,,,,0
case,NOV 2021,202145,12-17,vax with updated booster,,,19508,5351839,,364.5102179,,,,,,,,,0
case,NOV 2021,202145,18-29,vaccinated,12900,12642375,34924,10017914,102.0377896,348.6154902,3.416533146,,,,,,,,0
case,NOV 2021,202145,18-29,vax with updated booster,,,34924,10017914,,348.6154902,,,,,,,,,0
case,NOV 2021,202145,30-49,vaccinated,31700,23862117,51904,11568944,132.8465534,448.6494187,3.37720029,,,,,,,,0
case,NOV 2021,202145,30-49,vax with updated booster,,,51904,11568944,,448.6494187,,,,,,,,,0
case,NOV 2021,202145,50-64,vaccinated,22197,20500971,25114,5802344,108.2729203,432.825079,3.997537682,,,,,,,,1
case,NOV 2021,202145,50-64,vax with updated booster,,,25114,5802344,,432.825079,,,,,,,,,1
case,NOV 2021,202145,65-79,vaccinated,11835,15282160.1,10111,1541860.85,77.4432405,655.7660505,8.467699004,,,,,,,,1
case,NOV 2021,202145,65-79,vax with updated booster,,,10111,1541860.85,,655.7660505,,,,,,,,,1
case,NOV 2021,202145,80+,vaccinated,4275,4434996,2782,659058.05,96.39242065,422.1175965,4.379157548,,,,,,,,1
case,NOV 2021,202145,80+,vax with updated booster,,,2782,659058.05,,422.1175965,,,,,,,,,1
case,NOV 2021,202145,all_ages,vaccinated,82907,76722619.1,124835,29590120.9,,,,112.6528631,448.6373928,3.982476613,111.8538296,453.2097863,4.051803929,,1
case,NOV 2021,202145,all_ages,vax with updated booster,,,124835,29590120.9,,,,,448.6373928,,,453.2097863,,,1
case,NOV 2021,202146,12-17,vaccinated,3446,5290541,20738,5273395,65.13511567,393.2570953,6.037558869,,,,,,,,0
case,NOV 2021,202146,12-17,vax with updated booster,,,20738,5273395,,393.2570953,,,,,,,,,0
case,NOV 2021,202146,18-29,vaccinated,14083,12748700,36803,9899994,110.4661652,371.7477,3.365263015,,,,,,,,0
case,NOV 2021,202146,18-29,vax with updated booster,,,36803,9899994,,371.7477,,,,,,,,,0
case,NOV 2021,202146,30-49,vaccinated,35169,24036805,56602,11376810,146.3131227,497.520834,3.400384222,,,,,,,,0
case,NOV 2021,202146,30-49,vax with updated booster,,,56602,11376810,,497.520834,,,,,,,,,0
case,NOV 2021,202146,50-64,vaccinated,25207,20594187,28583,5676704,122.3986167,503.5140109,4.113723053,,,,,,,,1
case,NOV 2021,202146,50-64,vax with updated booster,,,28583,5676704,,503.5140109,,,,,,,,,1
case,NOV 2021,202146,65-79,vaccinated,12977,15343644.1,11737,1509600.85,84.57573648,777.4902882,9.192829062,,,,,,,,1
case,NOV 2021,202146,65-79,vax with updated booster,,,11737,1509600.85,,777.4902882,,,,,,,,,1
case,NOV 2021,202146,80+,vaccinated,4360,4454077,3326,642475.05,97.88784523,517.6854728,5.288557242,,,,,,,,1
case,NOV 2021,202146,80+,vax with updated booster,,,3326,642475.05,,517.6854728,,,,,,,,,1
case,NOV 2021,202146,all_ages,vaccinated,91796,77177413.1,137051,29105583.9,,,,123.833854,507.5928653,4.098983022,111.8538296,453.2097863,4.051803929,,1
case,NOV 2021,202146,all_ages,vax with updated booster,,,137051,29105583.9,,,,,507.5928653,,,453.2097863,,,1
case,NOV 2021,202147,12-17,vaccinated,2852,5334088,15174,5199551,53.46743436,291.832891,5.458142783,,,,,,,,0
case,NOV 2021,202147,12-17,vax with updated booster,,,15174,5199551,,291.832891,,,,,,,,,0
case,NOV 2021,202147,18-29,vaccinated,12660,12844595,31733,9764313,98.56285854,324.989582,3.297282432,,,,,,,,0
case,NOV 2021,202147,18-29,vax with updated booster,,,31733,9764313,,324.989582,,,,,,,,,0
case,NOV 2021,202147,30-49,vaccinated,32224,24190854,50422,11167722,133.2073684,451.4976286,3.389434339,,,,,,,,0
case,NOV 2021,202147,30-49,vax with updated booster,,,50422,11167722,,451.4976286,,,,,,,,,0
case,NOV 2021,202147,50-64,vaccinated,22920,20676067,25966,5531920,110.8528039,469.3849513,4.234308334,,,,,,,,1
case,NOV 2021,202147,50-64,vax with updated booster,,,25966,5531920,,469.3849513,,,,,,,,,1
case,NOV 2021,202147,65-79,vaccinated,11708,15388471.7,11274,1480794.85,76.08292901,761.3478667,10.00681594,,,,,,,,1
case,NOV 2021,202147,65-79,vax with updated booster,,,11274,1480794.85,,761.3478667,,,,,,,,,1
case,NOV 2021,202147,80+,vaccinated,4058,4469216,3238,628216.05,90.79892312,515.4277736,5.676584654,,,,,,,,1
case,NOV 2021,202147,80+,vax with updated booster,,,3238,628216.05,,515.4277736,,,,,,,,,1
case,NOV 2021,202147,all_ages,vaccinated,83570,77569203.7,122633,28572965.9,,,,112.151207,469.5257734,4.186542313,111.8538296,453.2097863,4.051803929,,1
case,NOV 2021,202147,all_ages,vax with updated booster,,,122633,28572965.9,,,,,469.5257734,,,453.2097863,,,1
case,DEC 2021,202148,12-17,vaccinated,4947,5373360,25816,5155156,92.06529992,500.7801898,5.439402144,,,,,,,,0
case,DEC 2021,202148,12-17,vax with updated booster,,,25816,5155156,,500.7801898,,,,,,,,,0
case,DEC 2021,202148,18-29,vaccinated,21909,12935249,52803,9657492,169.374397,546.7568599,3.228096273,,,,,,,,0
case,DEC 2021,202148,18-29,vax with updated booster,,,52803,9657492,,546.7568599,,,,,,,,,0
case,DEC 2021,202148,30-49,vaccinated,48236,24337296,75321,10999123,198.1978606,684.7909602,3.455087548,,,,,,,,0
case,DEC 2021,202148,30-49,vax with updated booster,,,75321,10999123,,684.7909602,,,,,,,,,0
case,DEC 2021,202148,50-64,vaccinated,33742,20757418,37568,5412433,162.5539361,694.1055899,4.270001738,,,,,,,,1
case,DEC 2021,202148,50-64,vax with updated booster,,,37568,5412433,,694.1055899,,,,,,,,,1
case,DEC 2021,202148,65-79,vaccinated,16284,15429504.7,15299,1460472.85,105.5380605,1047.537447,9.925684079,,,,,,,,1
case,DEC 2021,202148,65-79,vax with updated booster,,,15299,1460472.85,,1047.537447,,,,,,,,,1
case,DEC 2021,202148,80+,vaccinated,5297,4483843,4086,618884.05,118.1352692,660.2206019,5.588683263,,,,,,,,1
case,DEC 2021,202148,80+,vax with updated booster,,,4086,618884.05,,660.2206019,,,,,,,,,1
case,DEC 2021,202148,all_ages,vaccinated,125468,77943310.7,185077,28148404.9,,,,169.5668872,701.2537333,4.135558215,460.935302,1209.856427,2.624785781,,1
case,DEC 2021,202148,all_ages,vax with updated booster,,,185077,28148404.9,,,,,701.2537333,,,1209.856427,,,1
case,DEC 2021,202149,12-17,vaccinated,4992,5411159,24292,5095082,92.25380367,476.7734847,5.168063167,,,,,,,,0
case,DEC 2021,202149,12-17,vax with updated booster,,,24292,5095082,,476.7734847,,,,,,,,,0
case,DEC 2021,202149,18-29,vaccinated,20868,13023512,46337,9506582,160.2332766,487.4201895,3.0419411,,,,,,,,0
case,DEC 2021,202149,18-29,vax with updated booster,,,46337,9506582,,487.4201895,,,,,,,,,0
case,DEC 2021,202149,30-49,vaccinated,42650,24475108,67913,10763644,174.2586795,630.9480321,3.62075527,,,,,,,,0
case,DEC 2021,202149,30-49,vax with updated booster,,,67913,10763644,,630.9480321,,,,,,,,,0
case,DEC 2021,202149,5-11,vaccinated,30,42389,34515,10856063,70.77307792,317.9329376,4.49228643,,,,,,,,0
case,DEC 2021,202149,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202149,50-64,vaccinated,30235,20834875,35365,5250912,145.1172613,673.5020507,4.641088486,,,,,,,,1
case,DEC 2021,202149,50-64,vax with updated booster,,,35365,5250912,,673.5020507,,,,,,,,,1
case,DEC 2021,202149,65-79,vaccinated,13810,15464961.7,14758,1433269.85,89.29863693,1029.673512,11.53067446,,,,,,,,1
case,DEC 2021,202149,65-79,vax with updated booster,,,14758,1433269.85,,1029.673512,,,,,,,,,1
case,DEC 2021,202149,80+,vaccinated,4447,4494751,4034,606738.05,98.93762747,664.8668235,6.72006031,,,,,,,,1
case,DEC 2021,202149,80+,vax with updated booster,,,4034,606738.05,,664.8668235,,,,,,,,,1
case,DEC 2021,202149,all_ages,vaccinated,112010,78293207.7,168407,27561145.9,,,,151.3121996,660.0786472,4.362362382,460.935302,1209.856427,2.624785781,,1
case,DEC 2021,202149,all_ages,vax with updated booster,,,168407,27561145.9,,,,,660.0786472,,,1209.856427,,,1
case,DEC 2021,202150,12-17,vaccinated,11121,5459534,29568,5034921,203.698704,587.2584694,2.882975974,,,,,,,,0
case,DEC 2021,202150,12-17,vax with updated booster,,,29568,5034921,,587.2584694,,,,,,,,,0
case,DEC 2021,202150,18-29,vaccinated,52489,13091316,67247,9359116,400.9451762,718.5187148,1.792062251,,,,,,,,0
case,DEC 2021,202150,18-29,vax with updated booster,,,67247,9359116,,718.5187148,,,,,,,,,0
case,DEC 2021,202150,30-49,vaccinated,76282,24584583,85730,10552679,310.2838881,812.4003393,2.618248548,,,,,,,,1
case,DEC 2021,202150,30-49,vax with updated booster,,,85730,10552679,,812.4003393,,,,,,,,,1
case,DEC 2021,202150,5-11,vaccinated,506,442263,41031,10618525,114.4115605,386.4096002,3.377365,,,,,,,,0
case,DEC 2021,202150,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202150,50-64,vaccinated,39508,20900029,37984,5110033,189.0332305,743.3220099,3.932229311,,,,,,,,1
case,DEC 2021,202150,50-64,vax with updated booster,,,37984,5110033,,743.3220099,,,,,,,,,1
case,DEC 2021,202150,65-79,vaccinated,15990,15491680.7,14647,1412211.85,103.2166897,1037.167334,10.04844601,,,,,,,,1
case,DEC 2021,202150,65-79,vax with updated booster,,,14647,1412211.85,,1037.167334,,,,,,,,,1
case,DEC 2021,202150,80+,vaccinated,4405,4503435,3838,597222.05,97.81422403,642.6420458,6.570026519,,,,,,,,1
case,DEC 2021,202150,80+,vax with updated booster,,,3838,597222.05,,642.6420458,,,,,,,,,1
case,DEC 2021,202150,all_ages,vaccinated,188674,78571043.7,209446,27031261.9,,,,269.8469267,798.7331657,2.959949092,460.935302,1209.856427,2.624785781,,1
case,DEC 2021,202150,all_ages,vax with updated booster,,,209446,27031261.9,,,,,798.7331657,,,1209.856427,,,1
case,DEC 2021,202151,12-17,vaccinated,28384,5526463,39683,4959839,513.6015567,800.0864544,1.557796007,,,,,,,,0
case,DEC 2021,202151,12-17,vax with updated booster,,,39683,4959839,,800.0864544,,,,,,,,,0
case,DEC 2021,202151,18-29,vaccinated,107117,13180683,115111,9169803,812.68171,1255.326859,1.544672218,,,,,,,,0
case,DEC 2021,202151,18-29,vax with updated booster,,,115111,9169803,,1255.326859,,,,,,,,,0
case,DEC 2021,202151,30-49,vaccinated,160377,24725289,141453,10325033,648.6354922,1370.000464,2.112126889,,,,,,,,1
case,DEC 2021,202151,30-49,vax with updated booster,,,141453,10325033,,1370.000464,,,,,,,,,1
case,DEC 2021,202151,5-11,vaccinated,2840,1067808,50507,10368840,265.965417,487.1036683,1.831454908,,,,,,,,0
case,DEC 2021,202151,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202151,50-64,vaccinated,80076,20984498,54339,4961884.35,381.5959762,1095.128305,2.869863347,,,,,,,,1
case,DEC 2021,202151,50-64,vax with updated booster,,,54339,4961884.35,,1095.128305,,,,,,,,,1
case,DEC 2021,202151,65-79,vaccinated,28144,15527754.7,19159,1390350.3,181.2496433,1377.998048,7.602762817,,,,,,,,1
case,DEC 2021,202151,65-79,vax with updated booster,,,19159,1390350.3,,1377.998048,,,,,,,,,1
case,DEC 2021,202151,80+,vaccinated,6540,4514334,5065,587736.05,144.8718681,861.7814068,5.948576614,,,,,,,,1
case,DEC 2021,202151,80+,vax with updated booster,,,5065,587736.05,,861.7814068,,,,,,,,,1
case,DEC 2021,202151,all_ages,vaccinated,382254,78932558.7,335127,26434806.7,,,,548.8605601,1267.892677,2.310045153,460.935302,1209.856427,2.624785781,,1
case,DEC 2021,202151,all_ages,vax with updated booster,,,335127,26434806.7,,,,,1267.892677,,,1209.856427,,,1
case,DEC 2021,202152,12-17,vaccinated,54125,5583602,64205,4900847,969.3563402,1310.079666,1.3514944,,,,,,,,0
case,DEC 2021,202152,12-17,vax with updated booster,,,64205,4900847,,1310.079666,,,,,,,,,0
case,DEC 2021,202152,18-29,vaccinated,202427,13267939,232226,9014009,1525.685338,2576.278768,1.688604264,,,,,,,,0
case,DEC 2021,202152,18-29,vax with updated booster,,,232226,9014009,,2576.278768,,,,,,,,,0
case,DEC 2021,202152,30-49,vaccinated,332369,24851931,290605,10147838,1337.397082,2863.713433,2.141258922,,,,,,,,1
case,DEC 2021,202152,30-49,vax with updated booster,,,290605,10147838,,2863.713433,,,,,,,,,1
case,DEC 2021,202152,5-11,vaccinated,10274,1502162,89776,10190794,683.947537,880.9519651,1.288040263,,,,,,,,0
case,DEC 2021,202152,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,DEC 2021,202152,50-64,vaccinated,197949,21058035,122014,4857578.35,940.016483,2511.82773,2.672110304,,,,,,,,1
case,DEC 2021,202152,50-64,vax with updated booster,,,122014,4857578.35,,2511.82773,,,,,,,,,1
case,DEC 2021,202152,65-79,vaccinated,78727,15557324.7,42237,1377291.3,506.04459,3066.671517,6.060081616,,,,,,,,1
case,DEC 2021,202152,65-79,vax with updated booster,,,42237,1377291.3,,3066.671517,,,,,,,,,1
case,DEC 2021,202152,80+,vaccinated,19660,4522947,10910,582230.05,434.6723497,1873.829769,4.310901695,,,,,,,,1
case,DEC 2021,202152,80+,vax with updated booster,,,10910,582230.05,,1873.829769,,,,,,,,,1
case,DEC 2021,202152,all_ages,vaccinated,831132,79258176.7,697992,25978946.7,,,,1152.974273,2711.56697,2.351801799,460.935302,1209.856427,2.624785781,,1
case,DEC 2021,202152,all_ages,vax with updated booster,,,697992,25978946.7,,,,,2711.56697,,,1209.856427,,,1
case,JAN 2022,202201,12-17,vaccinated,88457,5911166,107056,5065897,1496.439112,2113.268391,1.412198046,,,,,,,,0
case,JAN 2022,202201,12-17,vax with updated booster,,,107056,5065897,,2113.268391,,,,,,,,,0
case,JAN 2022,202201,18-29,vaccinated,269419,13958224,297888,9375368,1930.181089,3177.347279,1.646139472,,,,,,,,0
case,JAN 2022,202201,18-29,vax with updated booster,,,297888,9375368,,3177.347279,,,,,,,,,0
case,JAN 2022,202201,30-49,vaccinated,416111,26037738,364565,10579278,1598.107332,3446.029115,2.156318944,,,,,,,,1
case,JAN 2022,202201,30-49,vax with updated booster,,,364565,10579278,,3446.029115,,,,,,,,,1
case,JAN 2022,202201,5-11,vaccinated,20733,1796907,150253,10495179,1153.815974,1431.638279,1.240785629,,,,,,,,0
case,JAN 2022,202201,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202201,50-64,vaccinated,256068,22036142,164011,5053404.75,1162.03644,3245.554396,2.792988485,,,,,,,,1
case,JAN 2022,202201,50-64,vax with updated booster,,,164011,5053404.75,,3245.554396,,,,,,,,,1
case,JAN 2022,202201,65-79,vaccinated,105090,16402343.7,58163,1474620.3,640.7011213,3944.269586,6.156177124,,,,,,,,1
case,JAN 2022,202201,65-79,vax with updated booster,,,58163,1474620.3,,3944.269586,,,,,,,,,1
case,JAN 2022,202201,80+,vaccinated,28629,4755825,16426,635761.1,601.9775749,2583.674906,4.291978661,,,,,,,,1
case,JAN 2022,202201,80+,vax with updated booster,,,16426,635761.1,,2583.674906,,,,,,,,,1
case,JAN 2022,202201,all_ages,vaccinated,1075317,83190272.7,901053,27118432.15,,,,1416.892965,3371.25897,2.379332139,984.041248,2634.958953,2.677691569,,1
case,JAN 2022,202201,all_ages,vax with updated booster,,,901053,27118432.15,,,,,3371.25897,,,2634.958953,,,1
case,JAN 2022,202202,12-17,vaccinated,92007,5954200,127003,4973871,1545.245373,2553.403576,1.652425965,,,,,,,,0
case,JAN 2022,202202,12-17,vax with updated booster,,,127003,4973871,,2553.403576,,,,,,,,,0
case,JAN 2022,202202,18-29,vaccinated,192576,14030909,238787,9191601,1372.512643,2597.882567,1.892793177,,,,,,,,0
case,JAN 2022,202202,18-29,vax with updated booster,,,238787,9191601,,2597.882567,,,,,,,,,0
case,JAN 2022,202202,30-49,vaccinated,341392,26134156,315026,10363149,1306.305817,3039.867515,2.327071866,,,,,,,,1
case,JAN 2022,202202,30-49,vax with updated booster,,,315026,10363149,,3039.867515,,,,,,,,,1
case,JAN 2022,202202,5-11,vaccinated,25889,1969959,166949,10277480,1314.189788,1624.415713,1.236058694,,,,,,,,0
case,JAN 2022,202202,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202202,50-64,vaccinated,213363,22091290,145775,4954870.75,965.8240872,2942.054543,3.046159836,,,,,,,,1
case,JAN 2022,202202,50-64,vax with updated booster,,,145775,4954870.75,,2942.054543,,,,,,,,,1
case,JAN 2022,202202,65-79,vaccinated,97699,16422097.7,54873,1458884.3,594.9239968,3761.29896,6.322318447,,,,,,,,1
case,JAN 2022,202202,65-79,vax with updated booster,,,54873,1458884.3,,3761.29896,,,,,,,,,1
case,JAN 2022,202202,80+,vaccinated,27295,4761078,16095,630148.1,573.2945354,2554.161474,4.455234293,,,,,,,,1
case,JAN 2022,202202,80+,vax with updated booster,,,16095,630148.1,,2554.161474,,,,,,,,,1
case,JAN 2022,202202,all_ages,vaccinated,872325,83439530.7,770556,26598653.15,,,,1129.70221,2993.346641,2.649677601,984.041248,2634.958953,2.677691569,,1
case,JAN 2022,202202,all_ages,vax with updated booster,,,770556,26598653.15,,,,,2993.346641,,,2634.958953,,,1
case,JAN 2022,202203,12-17,vaccinated,61174,6003252,89369,4885147,1019.014361,1829.402472,1.795266625,,,,,,,,0
case,JAN 2022,202203,12-17,vax with updated booster,,,89369,4885147,,1829.402472,,,,,,,,,0
case,JAN 2022,202203,18-29,vaccinated,134300,14110858,174067,9042308,951.749355,1925.028433,2.022621211,,,,,,,,1
case,JAN 2022,202203,18-29,vax with updated booster,,,174067,9042308,,1925.028433,,,,,,,,,1
case,JAN 2022,202203,30-49,vaccinated,264462,26240279,246458,10191328,1007.847516,2418.31094,2.399480976,,,,,,,,1
case,JAN 2022,202203,30-49,vax with updated booster,,,246458,10191328,,2418.31094,,,,,,,,,1
case,JAN 2022,202203,5-11,vaccinated,23704,2147962,124886,10092302,1103.557698,1237.438198,1.121317173,,,,,,,,0
case,JAN 2022,202203,5-11,vax with updated booster,,,,,,,,,,,,,,,0
case,JAN 2022,202203,50-64,vaccinated,162087,22150876,117263,4882179.75,731.7408124,2401.85749,3.282388312,,,,,,,,1
case,JAN 2022,202203,50-64,vax with updated booster,,,117263,4882179.75,,2401.85749,,,,,,,,,1
case,JAN 2022,202203,65-79,vaccinated,81760,16441526.7,47140,1446437.3,497.2774213,3259.042061,6.553770434,,,,,,,,1
case,JAN 2022,202203,65-79,vax with updated booster,,,47140,1446437.3,,3259.042061,,,,,,,,,1
case,JAN 2022,202203,80+,vaccinated,24319,4766299,14511,625578.1,510.2281666,2319.614449,4.54622971,,,,,,,,1
case,JAN 2022,202203,80+,vax with updated booster,,,14511,625578.1,,2319.614449,,,,,,,,,1
