cause,date,age,dead
A-Q,2000-06,5,251
A-Q,2000-06,15,555
A-Q,2000-06,25,1374
A-Q,2000-06,35,4718
A-Q,2000-06,45,10938
A-Q,2000-06,55,17747
A-Q,2000-06,65,33075
A-Q,2000-06,75,51238
A-Q,2000-06,85,46028
A-Q,2000-07,0,1896
A-Q,2000-07,1,194
A-Q,2000-07,5,267
A-Q,2000-07,15,577
A-Q,2000-07,25,1404
A-Q,2000-07,35,4842
A-Q,2000-07,45,11153
A-Q,2000-07,55,18296
A-Q,2000-07,65,33551
A-Q,2000-07,75,52074
A-Q,2000-07,85,47864
A-Q,2000-08,0,1893
A-Q,2000-08,1,173
A-Q,2000-08,5,262
A-Q,2000-08,15,547
A-Q,2000-08,25,1406
A-Q,2000-08,35,4838
A-Q,2000-08,45,11124
A-Q,2000-08,55,18110
A-Q,2000-08,65,33561
A-Q,2000-08,75,52862
A-Q,2000-08,85,47859
A-Q,2000-09,0,1872
A-Q,2000-09,1,188
A-Q,2000-09,5,277
A-Q,2000-09,15,517
A-Q,2000-09,25,1319
A-Q,2000-09,35,4719
A-Q,2000-09,45,10949
A-Q,2000-09,55,17669
A-Q,2000-09,65,33068
A-Q,2000-09,75,52345
A-Q,2000-09,85,48683
A-Q,2000-10,0,2001
A-Q,2000-10,1,199
A-Q,2000-10,5,258
A-Q,2000-10,15,578
A-Q,2000-10,25,1399
A-Q,2000-10,35,4944
A-Q,2000-10,45,11494
A-Q,2000-10,55,18759
A-Q,2000-10,65,35177
A-Q,2000-10,75,56557
A-Q,2000-10,85,52911
A-Q,2000-11,0,1809
A-Q,2000-11,1,203
A-Q,2000-11,5,287
A-Q,2000-11,15,584
A-Q,2000-11,25,1367
A-Q,2000-11,35,4952
A-Q,2000-11,45,11428
A-Q,2000-11,55,18715
A-Q,2000-11,65,34940
A-Q,2000-11,75,56932
A-Q,2000-11,85,53286
A-Q,2000-12,0,1932
A-Q,2000-12,1,235
A-Q,2000-12,5,334
A-Q,2000-12,15,617
A-Q,2000-12,25,1471
A-Q,2000-12,35,5285
A-Q,2000-12,45,12365
A-Q,2000-12,55,20657
A-Q,2000-12,65,37752
A-Q,2000-12,75,62906
A-Q,2000-12,85,60786
A-Q,2001-01,0,1938
A-Q,2001-01,1,295
A-Q,2001-01,5,351
A-Q,2001-01,15,712
A-Q,2001-01,25,1596
A-Q,2001-01,35,5480
A-Q,2001-01,45,12798
A-Q,2001-01,55,21064
A-Q,2001-01,65,38963
A-Q,2001-01,75,64847
A-Q,2001-01,85,62992
A-Q,2001-02,0,1853
A-Q,2001-02,1,251
A-Q,2001-02,5,319
A-Q,2001-02,15,591
A-Q,2001-02,25,1391
A-Q,2001-02,35,4914
A-Q,2001-02,45,11414
A-Q,2001-02,55,18594
A-Q,2001-02,65,34301
A-Q,2001-02,75,56829
A-Q,2001-02,85,54178
A-Q,2001-03,0,1952
A-Q,2001-03,1,263
A-Q,2001-03,5,309
A-Q,2001-03,15,601
A-Q,2001-03,25,1540
A-Q,2001-03,35,5269
A-Q,2001-03,45,12255
A-Q,2001-03,55,20039
A-Q,2001-03,65,37099
A-Q,2001-03,75,61861
A-Q,2001-03,85,59072
A-Q,2001-04,0,1894
A-Q,2001-04,1,218
A-Q,2001-04,5,283
A-Q,2001-04,15,553
A-Q,2001-04,25,1398
A-Q,2001-04,35,4910
A-Q,2001-04,45,11662
A-Q,2001-04,55,19093
A-Q,2001-04,65,35200
A-Q,2001-04,75,57847
A-Q,2001-04,85,54222
A-Q,2001-05,0,1972
A-Q,2001-05,1,216
A-Q,2001-05,5,262
A-Q,2001-05,15,622
A-Q,2001-05,25,1453
A-Q,2001-05,35,5029
A-Q,2001-05,45,11681
A-Q,2001-05,55,18890
A-Q,2001-05,65,34888
A-Q,2001-05,75,56590
A-Q,2001-05,85,52961
A-Q,2001-06,0,1795
A-Q,2001-06,1,193
A-Q,2001-06,5,249
A-Q,2001-06,15,552
A-Q,2001-06,25,1410
A-Q,2001-06,35,4852
A-Q,2001-06,45,11283
A-Q,2001-06,55,18029
A-Q,2001-06,65,33397
A-Q,2001-06,75,53692
A-Q,2001-06,85,50015
A-Q,2001-07,0,1887
A-Q,2001-07,1,190
A-Q,2001-07,5,278
A-Q,2001-07,15,551
A-Q,2001-07,25,1379
A-Q,2001-07,35,4736
A-Q,2001-07,45,11487
A-Q,2001-07,55,18517
A-Q,2001-07,65,33182
A-Q,2001-07,75,52867
A-Q,2001-07,85,49273
A-Q,2001-08,0,1945
A-Q,2001-08,1,174
A-Q,2001-08,5,252
A-Q,2001-08,15,633
A-Q,2001-08,25,1494
A-Q,2001-08,35,4931
A-Q,2001-08,45,11600
A-Q,2001-08,55,18509
A-Q,2001-08,65,33229
A-Q,2001-08,75,52979
A-Q,2001-08,85,48644
A-Q,2001-09,0,1804
A-Q,2001-09,1,196
A-Q,2001-09,5,260
A-Q,2001-09,15,559
A-Q,2001-09,25,1294
A-Q,2001-09,35,4885
A-Q,2001-09,45,11438
A-Q,2001-09,55,18132
A-Q,2001-09,65,31831
A-Q,2001-09,75,51611
A-Q,2001-09,85,48711
A-Q,2001-10,0,1910
A-Q,2001-10,1,189
A-Q,2001-10,5,250
A-Q,2001-10,15,561
A-Q,2001-10,25,1390
A-Q,2001-10,35,5023
A-Q,2001-10,45,12015
A-Q,2001-10,55,19239
A-Q,2001-10,65,34587
A-Q,2001-10,75,56842
A-Q,2001-10,85,53943
A-Q,2001-11,0,1797
A-Q,2001-11,1,225
A-Q,2001-11,5,281
A-Q,2001-11,15,567
A-Q,2001-11,25,1366
A-Q,2001-11,35,4894
A-Q,2001-11,45,11526
A-Q,2001-11,55,18976
A-Q,2001-11,65,33879
A-Q,2001-11,75,55367
A-Q,2001-11,85,52334
A-Q,2001-12,0,1913
A-Q,2001-12,1,228
A-Q,2001-12,5,314
A-Q,2001-12,15,578
A-Q,2001-12,25,1415
A-Q,2001-12,35,5093
A-Q,2001-12,45,12323
A-Q,2001-12,55,20139
A-Q,2001-12,65,36155
A-Q,2001-12,75,59418
A-Q,2001-12,85,56442
A-Q,2002-01,0,2002
A-Q,2002-01,1,222
A-Q,2002-01,5,327
A-Q,2002-01,15,590
A-Q,2002-01,25,1505
A-Q,2002-01,35,5401
A-Q,2002-01,45,12993
A-Q,2002-01,55,21440
A-Q,2002-01,65,37721
A-Q,2002-01,75,64389
A-Q,2002-01,85,63113
A-Q,2002-02,0,1773
A-Q,2002-02,1,231
A-Q,2002-02,5,332
A-Q,2002-02,15,561
A-Q,2002-02,25,1363
A-Q,2002-02,35,4869
A-Q,2002-02,45,11737
A-Q,2002-02,55,19374
A-Q,2002-02,65,35026
A-Q,2002-02,75,60539
A-Q,2002-02,85,59140
A-Q,2002-03,0,2040
A-Q,2002-03,1,266
A-Q,2002-03,5,346
A-Q,2002-03,15,652
A-Q,2002-03,25,1500
A-Q,2002-03,35,5286
A-Q,2002-03,45,12716
A-Q,2002-03,55,21115
A-Q,2002-03,65,37759
A-Q,2002-03,75,65133
A-Q,2002-03,85,63508
A-Q,2002-04,0,2026
A-Q,2002-04,1,225
A-Q,2002-04,5,264
A-Q,2002-04,15,649
A-Q,2002-04,25,1430
A-Q,2002-04,35,4925
A-Q,2002-04,45,11858
A-Q,2002-04,55,19411
A-Q,2002-04,65,33655
A-Q,2002-04,75,56417
A-Q,2002-04,85,53640
A-Q,2002-05,0,2000
A-Q,2002-05,1,188
A-Q,2002-05,5,291
A-Q,2002-05,15,569
A-Q,2002-05,25,1443
A-Q,2002-05,35,5184
A-Q,2002-05,45,12126
A-Q,2002-05,55,19789
A-Q,2002-05,65,33998
A-Q,2002-05,75,55961
A-Q,2002-05,85,52155
A-Q,2002-06,0,1937
A-Q,2002-06,1,171
A-Q,2002-06,5,286
A-Q,2002-06,15,517
A-Q,2002-06,25,1335
A-Q,2002-06,35,4896
A-Q,2002-06,45,11404
A-Q,2002-06,55,18639
A-Q,2002-06,65,31749
A-Q,2002-06,75,51937
A-Q,2002-06,85,48543
A-Q,2002-07,0,1915
A-Q,2002-07,1,190
A-Q,2002-07,5,277
A-Q,2002-07,15,597
A-Q,2002-07,25,1446
A-Q,2002-07,35,4907
A-Q,2002-07,45,12163
A-Q,2002-07,55,19456
A-Q,2002-07,65,32298
A-Q,2002-07,75,53225
A-Q,2002-07,85,49393
A-Q,2002-08,0,1932
A-Q,2002-08,1,155
A-Q,2002-08,5,269
A-Q,2002-08,15,586
A-Q,2002-08,25,1378
A-Q,2002-08,35,4977
A-Q,2002-08,45,11727
A-Q,2002-08,55,18950
A-Q,2002-08,65,32136
A-Q,2002-08,75,52897
A-Q,2002-08,85,49028
A-Q,2002-09,0,1913
A-Q,2002-09,1,199
A-Q,2002-09,5,243
A-Q,2002-09,15,575
A-Q,2002-09,25,1322
A-Q,2002-09,35,4682
A-Q,2002-09,45,11500
A-Q,2002-09,55,18617
A-Q,2002-09,65,31467
A-Q,2002-09,75,51907
A-Q,2002-09,85,49051
