age,cause,state,date,dead
all,C00-C97,Alaska,2024-04,110
all,C00-C97,Alaska,2024-05,123
all,C00-C97,Alaska,2024-06,107
all,C00-C97,Alaska,2024-07,108
all,C00-C97,Alaska,2024-08,98
all,C00-C97,Alaska,2024-09,89
all,C00-C97,Alaska,2024-10,96
all,C00-C97,Alaska,2024-11,33
all,C00-C97,Arizona,2018-01,1198
all,C00-C97,Arizona,2018-02,1000
all,C00-C97,Arizona,2018-03,1171
all,C00-C97,Arizona,2018-04,1071
all,C00-C97,Arizona,2018-05,1099
all,C00-C97,Arizona,2018-06,1087
all,C00-C97,Arizona,2018-07,1021
all,C00-C97,Arizona,2018-08,1080
all,C00-C97,Arizona,2018-09,1104
all,C00-C97,Arizona,2018-10,1144
all,C00-C97,Arizona,2018-11,1091
all,C00-C97,Arizona,2018-12,1160
all,C00-C97,Arizona,2019-01,1242
all,C00-C97,Arizona,2019-02,1030
all,C00-C97,Arizona,2019-03,1183
all,C00-C97,Arizona,2019-04,1139
all,C00-C97,Arizona,2019-05,1142
all,C00-C97,Arizona,2019-06,1075
all,C00-C97,Arizona,2019-07,1110
all,C00-C97,Arizona,2019-08,1154
all,C00-C97,Arizona,2019-09,1094
all,C00-C97,Arizona,2019-10,1169
all,C00-C97,Arizona,2019-11,1099
all,C00-C97,Arizona,2019-12,1186
all,C00-C97,Arizona,2020-01,1258
all,C00-C97,Arizona,2020-02,1103
all,C00-C97,Arizona,2020-03,1207
all,C00-C97,Arizona,2020-04,1191
all,C00-C97,Arizona,2020-05,1176
all,C00-C97,Arizona,2020-06,1203
all,C00-C97,Arizona,2020-07,1276
all,C00-C97,Arizona,2020-08,1225
all,C00-C97,Arizona,2020-09,1124
all,C00-C97,Arizona,2020-10,1163
all,C00-C97,Arizona,2020-11,1113
all,C00-C97,Arizona,2020-12,1278
all,C00-C97,Arizona,2021-01,1347
all,C00-C97,Arizona,2021-02,1108
all,C00-C97,Arizona,2021-03,1232
all,C00-C97,Arizona,2021-04,1204
all,C00-C97,Arizona,2021-05,1182
all,C00-C97,Arizona,2021-06,1170
all,C00-C97,Arizona,2021-07,1214
all,C00-C97,Arizona,2021-08,1272
all,C00-C97,Arizona,2021-09,1240
all,C00-C97,Arizona,2021-10,1204
all,C00-C97,Arizona,2021-11,1203
all,C00-C97,Arizona,2021-12,1294
all,C00-C97,Arizona,2022-01,1321
all,C00-C97,Arizona,2022-02,1155
all,C00-C97,Arizona,2022-03,1273
all,C00-C97,Arizona,2022-04,1203
all,C00-C97,Arizona,2022-05,1217
all,C00-C97,Arizona,2022-06,1149
all,C00-C97,Arizona,2022-07,1247
all,C00-C97,Arizona,2022-08,1237
all,C00-C97,Arizona,2022-09,1194
all,C00-C97,Arizona,2022-10,1237
all,C00-C97,Arizona,2022-11,1278
all,C00-C97,Arizona,2022-12,1332
all,C00-C97,Arizona,2023-01,1221
all,C00-C97,Arizona,2023-02,1178
all,C00-C97,Arizona,2023-03,1240
all,C00-C97,Arizona,2023-04,1214
all,C00-C97,Arizona,2023-05,1230
all,C00-C97,Arizona,2023-06,1177
all,C00-C97,Arizona,2023-07,1161
all,C00-C97,Arizona,2023-08,1248
all,C00-C97,Arizona,2023-09,1166
all,C00-C97,Arizona,2023-10,1291
all,C00-C97,Arizona,2023-11,1190
all,C00-C97,Arizona,2023-12,1340
all,C00-C97,Arizona,2024-01,1373
all,C00-C97,Arizona,2024-02,1163
all,C00-C97,Arizona,2024-03,1319
all,C00-C97,Arizona,2024-04,1243
all,C00-C97,Arizona,2024-05,1257
all,C00-C97,Arizona,2024-06,1228
all,C00-C97,Arizona,2024-07,1264
all,C00-C97,Arizona,2024-08,1185
all,C00-C97,Arizona,2024-09,1214
all,C00-C97,Arizona,2024-10,1267
all,C00-C97,Arizona,2024-11,824
all,C00-C97,Arkansas,2018-01,645
all,C00-C97,Arkansas,2018-02,549
all,C00-C97,Arkansas,2018-03,595
all,C00-C97,Arkansas,2018-04,570
all,C00-C97,Arkansas,2018-05,585
all,C00-C97,Arkansas,2018-06,537
all,C00-C97,Arkansas,2018-07,579
all,C00-C97,Arkansas,2018-08,582
all,C00-C97,Arkansas,2018-09,575
all,C00-C97,Arkansas,2018-10,638
all,C00-C97,Arkansas,2018-11,605
all,C00-C97,Arkansas,2018-12,665
all,C00-C97,Arkansas,2019-01,599
all,C00-C97,Arkansas,2019-02,628
all,C00-C97,Arkansas,2019-03,647
all,C00-C97,Arkansas,2019-04,576
all,C00-C97,Arkansas,2019-05,616
all,C00-C97,Arkansas,2019-06,553
all,C00-C97,Arkansas,2019-07,568
all,C00-C97,Arkansas,2019-08,604
all,C00-C97,Arkansas,2019-09,591
all,C00-C97,Arkansas,2019-10,628
all,C00-C97,Arkansas,2019-11,632
all,C00-C97,Arkansas,2019-12,592
all,C00-C97,Arkansas,2020-01,624
all,C00-C97,Arkansas,2020-02,617
all,C00-C97,Arkansas,2020-03,614
all,C00-C97,Arkansas,2020-04,543
all,C00-C97,Arkansas,2020-05,584
all,C00-C97,Arkansas,2020-06,566
all,C00-C97,Arkansas,2020-07,615
all,C00-C97,Arkansas,2020-08,625
all,C00-C97,Arkansas,2020-09,644
all,C00-C97,Arkansas,2020-10,586
all,C00-C97,Arkansas,2020-11,629
all,C00-C97,Arkansas,2020-12,631
all,C00-C97,Arkansas,2021-01,663
all,C00-C97,Arkansas,2021-02,552
all,C00-C97,Arkansas,2021-03,624
all,C00-C97,Arkansas,2021-04,592
all,C00-C97,Arkansas,2021-05,590
all,C00-C97,Arkansas,2021-06,599
all,C00-C97,Arkansas,2021-07,631
all,C00-C97,Arkansas,2021-08,668
all,C00-C97,Arkansas,2021-09,619
all,C00-C97,Arkansas,2021-10,642
all,C00-C97,Arkansas,2021-11,586
all,C00-C97,Arkansas,2021-12,616
all,C00-C97,Arkansas,2022-01,642
all,C00-C97,Arkansas,2022-02,616
all,C00-C97,Arkansas,2022-03,623
all,C00-C97,Arkansas,2022-04,585
all,C00-C97,Arkansas,2022-05,626
all,C00-C97,Arkansas,2022-06,614
all,C00-C97,Arkansas,2022-07,566
all,C00-C97,Arkansas,2022-08,633
all,C00-C97,Arkansas,2022-09,629
all,C00-C97,Arkansas,2022-10,654
all,C00-C97,Arkansas,2022-11,697
all,C00-C97,Arkansas,2022-12,662
all,C00-C97,Arkansas,2023-01,649
all,C00-C97,Arkansas,2023-02,586
all,C00-C97,Arkansas,2023-03,639
all,C00-C97,Arkansas,2023-04,595
all,C00-C97,Arkansas,2023-05,615
all,C00-C97,Arkansas,2023-06,614
all,C00-C97,Arkansas,2023-07,619
all,C00-C97,Arkansas,2023-08,632
all,C00-C97,Arkansas,2023-09,645
all,C00-C97,Arkansas,2023-10,609
all,C00-C97,Arkansas,2023-11,601
all,C00-C97,Arkansas,2023-12,680
all,C00-C97,Arkansas,2024-01,694
all,C00-C97,Arkansas,2024-02,619
all,C00-C97,Arkansas,2024-03,612
all,C00-C97,Arkansas,2024-04,564
all,C00-C97,Arkansas,2024-05,580
all,C00-C97,Arkansas,2024-06,605
all,C00-C97,Arkansas,2024-07,618
all,C00-C97,Arkansas,2024-08,647
all,C00-C97,Arkansas,2024-09,633
all,C00-C97,Arkansas,2024-10,611
all,C00-C97,Arkansas,2024-11,341
all,C00-C97,California,2018-01,6084
all,C00-C97,California,2018-02,5307
all,C00-C97,California,2018-03,5842
all,C00-C97,California,2018-04,5392
all,C00-C97,California,2018-05,5499
all,C00-C97,California,2018-06,5330
all,C00-C97,California,2018-07,5434
all,C00-C97,California,2018-08,5615
all,C00-C97,California,2018-09,5410
all,C00-C97,California,2018-10,5547
all,C00-C97,California,2018-11,5437
all,C00-C97,California,2018-12,5702
all,C00-C97,California,2019-01,5785
all,C00-C97,California,2019-02,5292
all,C00-C97,California,2019-03,5617
all,C00-C97,California,2019-04,5433
all,C00-C97,California,2019-05,5628
all,C00-C97,California,2019-06,5268
all,C00-C97,California,2019-07,5422
all,C00-C97,California,2019-08,5540
all,C00-C97,California,2019-09,5428
all,C00-C97,California,2019-10,5697
all,C00-C97,California,2019-11,5457
all,C00-C97,California,2019-12,5684
all,C00-C97,California,2020-01,5871
all,C00-C97,California,2020-02,5365
all,C00-C97,California,2020-03,5822
all,C00-C97,California,2020-04,5414
all,C00-C97,California,2020-05,5547
all,C00-C97,California,2020-06,5296
all,C00-C97,California,2020-07,5632
all,C00-C97,California,2020-08,5729
all,C00-C97,California,2020-09,5460
all,C00-C97,California,2020-10,5704
all,C00-C97,California,2020-11,5614
