year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
2002,54970,56230,56940,55800,57270,57050,58020,59060,59550,60650,61960,63510,62590,60510,59580,57790,57230,57030,57150,57670,56740,55450,53260,51210,48930,48610,48240,50040,52190,54760,58130,59480,59060,59470,59070,59420,59470,60510,62570,64220,64260,63320,61370,59960,57870,56930,55780,53860,52250,50770,50180,49490,49230,48620,48780,48340,42140,39260,36990,34430,36830,36580,34000,31260,29830,28620,27280,26240,25540,25200,24970,25330,24440,23360,22700,21700,20800,19920,18370,16970,16200,15080,13440,10640,9650,9110,8000,7100,5980,4950,4040,3060,2450,1820,1320,3190
2003,55900,55120,56850,57670,56470,57830,57710,58840,59900,60360,61530,62780,64200,63220,61190,60320,58760,58470,58620,59020,59400,57760,55830,53640,51650,49450,49340,49260,51410,53870,56680,59910,60830,60230,60720,60230,60360,60430,61490,63530,65150,65030,64020,61970,60490,58380,57430,56120,54130,52440,50910,50260,49510,49220,48570,48720,48290,42120,39210,36910,34320,36750,36440,33810,31090,29600,28360,26970,25850,25140,24730,24440,24770,23850,22710,22000,20960,20020,19050,17530,16060,15230,14080,12490,9780,8740,8170,7100,6180,5120,4220,3340,2490,1930,1390,3260
2004,57700,55690,55500,57350,58220,57010,58170,58110,59480,60560,60950,62150,63280,64650,63680,61750,61080,59450,59140,59310,59590,59570,57490,55400,53340,51620,49760,50030,50360,52770,55350,58110,61000,61770,61180,61650,61050,61030,61130,62160,64220,65800,65570,64500,62310,60800,58670,57690,56330,54280,52500,50980,50210,49430,49130,48450,48620,48230,42060,39100,36810,34200,36590,36250,33610,30880,29360,28040,26580,25440,24720,24200,23890,24160,23210,22050,21260,20180,19170,18200,16650,15150,14220,13040,11450,8850,7840,7260,6240,5310,4290,3500,2730,1960,1470,3430
2005,57920,57270,55890,55740,57710,58610,57310,58280,58310,59890,60950,61290,62520,63560,64910,64000,62300,61420,59460,59270,59420,59250,58810,56660,54650,52830,51470,50060,50740,51380,53910,56350,58910,61670,62490,61880,62300,61560,61400,61560,62560,64580,66150,65830,64730,62470,60960,58760,57760,56390,54270,52490,50930,50080,49290,49010,48320,48510,48120,41950,38980,36680,34050,36410,36070,33390,30630,29110,27730,26250,25040,24290,23690,23340,23520,22540,21370,20490,19400,18300,17270,15730,14180,13220,12000,10430,7930,6990,6340,5390,4490,3520,2870,2180,1500,3630
2006,59070,57600,57540,56130,55970,58130,59050,57680,58500,58640,60420,61410,61680,62890,63880,65250,64490,62670,61390,59490,59440,59180,58560,58000,55940,54170,52760,51720,50660,51550,52410,54860,57010,59550,62370,63230,62530,62920,62080,61800,62030,63000,64970,66510,66080,64910,62590,61010,58800,57810,56370,54150,52370,50840,49930,49150,48880,48160,48350,47960,41790,38860,36520,33910,36250,35870,33130,30360,28810,27410,25880,24630,23820,23140,22760,22870,21860,20630,19710,18540,17420,16340,14780,13200,12220,10960,9420,7080,6180,5490,4590,3710,2870,2300,1700,3770
2007,62130,58960,57790,57770,56420,56420,58620,59570,58230,59020,59190,60830,61600,61800,62880,63850,65280,64320,62100,61010,59140,58650,57930,57260,56930,55130,53840,52700,52100,51390,52320,53180,55440,57570,60100,62900,63750,62940,63330,62380,62100,62280,63180,65100,66620,66110,64870,62520,60890,58600,57660,56160,53920,52190,50640,49730,49010,48680,47990,48220,47770,41620,38650,36290,33680,36000,35500,32780,29950,28400,26910,25390,24120,23240,22530,22120,22160,21080,19840,18820,17640,16490,15350,13800,12200,11160,9950,8400,6230,5370,4650,3840,3030,2270,1800,3940
2008,64390,61910,59000,57860,57860,56740,56740,58970,60020,58640,59430,59590,61020,61640,61760,62800,63770,65180,63600,61770,60670,58480,57440,56670,56150,55920,54410,53500,52810,52530,51970,52920,53550,55790,57950,60420,63200,64070,63080,63470,62560,62210,62330,63130,65000,66470,65970,64660,62280,60640,58340,57370,55850,53630,52000,50440,49510,48800,48410,47790,48050,47520,41380,38420,36070,33450,35670,35080,32350,29520,27920,26390,24860,23580,22610,21900,21440,21390,20250,18990,17880,16690,15490,14250,12750,11180,10070,8840,7430,5420,4570,3890,3170,2470,1790,4180
2009,64040,64250,62030,59140,58050,58100,56990,56990,59340,60460,59010,59850,59960,61270,61740,61830,63020,63890,64820,63680,61900,60440,57870,56810,56120,55770,55570,54360,53790,53380,53210,52650,53310,53840,56150,58370,60770,63520,64370,63290,63680,62690,62220,62330,63060,64920,66310,65800,64510,62100,60400,58090,57100,55610,53420,51890,50270,49330,48600,48200,47610,47840,47280,41150,38220,35850,33180,35350,34670,31910,29030,27430,25830,24280,22960,21970,21260,20730,20570,19350,18060,16930,15720,14440,13160,11670,10140,9000,7850,6450,4610,3820,3200,2560,1940,4320
2010,64350,64070,64390,62180,59270,58260,58290,57220,57360,59780,60940,59470,60330,60410,61660,62110,62360,63440,63860,65380,64340,62020,60200,57650,56460,55910,55680,55610,54500,54090,53920,53680,52880,53550,54100,56470,58710,61070,63750,64560,63480,63810,62780,62260,62330,63000,64840,66130,65630,64360,61900,60240,57890,56940,55440,53270,51770,50200,49230,48460,48060,47500,47670,47070,40970,38030,35610,32880,34970,34220,31430,28570,26920,25280,23680,22320,21350,20580,20000,19780,18440,17130,15950,14680,13350,12070,10590,9090,7990,6830,5510,3860,3150,2580,2020,4610
2011,62880,64310,63990,64230,62070,59220,58200,58300,57320,57540,60010,61210,59730,60680,60810,61960,62640,62650,63350,64300,65950,64220,61330,59420,56900,55760,55200,55000,55270,54400,54200,54140,53660,52810,53610,54160,56560,58770,61150,63720,64550,63470,63760,62700,62150,62160,62770,64590,65830,65340,64020,61580,59910,57570,56680,55170,53050,51600,50050,49080,48340,47920,47340,47460,46870,40790,37750,35300,32550,34550,33700,30890,28020,26350,24700,23030,21670,20690,19820,19210,18910,17500,16120,14900,13600,12200,10980,9480,8040,6960,5830,4610,3160,2540,2020,4810
