type,code,month,dead
ucd,I82,2018-04,24
ucd,I82,2018-05,20
ucd,I82,2018-06,29
ucd,I82,2018-07,20
ucd,I82,2018-08,26
ucd,I82,2018-09,23
ucd,I82,2018-10,26
ucd,I82,2018-11,17
ucd,I82,2018-12,23
ucd,I82,2019-01,26
ucd,I82,2019-02,27
ucd,I82,2019-03,25
ucd,I82,2019-04,16
ucd,I82,2019-05,22
ucd,I82,2019-06,23
ucd,I82,2019-07,24
ucd,I82,2019-08,15
ucd,I82,2019-09,16
ucd,I82,2019-10,18
ucd,I82,2019-11,20
ucd,I82,2019-12,17
ucd,I82,2020-01,26
ucd,I82,2020-02,21
ucd,I82,2020-03,23
ucd,I82,2020-04,12
ucd,I82,2020-05,28
ucd,I82,2020-06,22
ucd,I82,2020-07,26
ucd,I82,2020-08,18
ucd,I82,2020-09,13
ucd,I82,2020-10,22
ucd,I82,2020-11,23
ucd,I82,2020-12,33
ucd,I82,2021-01,26
ucd,I82,2021-02,20
ucd,I82,2021-03,21
ucd,I82,2021-04,20
ucd,I82,2021-05,17
ucd,I82,2021-06,22
ucd,I82,2021-07,20
ucd,I82,2021-08,30
ucd,I82,2021-09,29
ucd,I82,2021-10,27
ucd,I82,2021-11,23
ucd,I82,2021-12,27
ucd,I82,2022-01,29
ucd,I82,2022-02,25
ucd,I82,2022-03,28
ucd,I82,2022-04,24
ucd,I82,2022-05,26
ucd,I82,2022-06,29
ucd,I82,2022-07,25
ucd,I82,2022-08,26
ucd,I82,2022-09,25
ucd,I82,2022-10,39
ucd,I82,2022-11,34
ucd,I82,2022-12,34
ucd,I82,2023-01,34
ucd,I82,2023-02,15
ucd,I82,2023-03,24
ucd,I82,2023-04,22
ucd,I82,2023-05,30
ucd,I82,2023-06,19
ucd,I82,2023-07,20
ucd,I82,2023-08,28
ucd,I82,2023-09,28
ucd,I82,2023-10,29
ucd,I82,2023-11,26
ucd,I82,2023-12,26
ucd,I82,2024-01,35
ucd,I82,2024-02,24
ucd,I82,2024-03,25
ucd,I82,2024-04,17
ucd,I82,2024-05,30
ucd,I82,2024-06,16
ucd,I82,2024-07,26
ucd,I82,2024-08,24
ucd,I82,2024-09,20
ucd,I82,2024-10,27
ucd,I82,2024-11,22
ucd,I82,2024-12,30
ucd,I82,2025-01,31
ucd,I82,2025-02,29
ucd,I82,2025-03,31
ucd,I82,2025-04,14
mcd,I82,1999-01,113
mcd,I82,1999-02,114
mcd,I82,1999-03,131
mcd,I82,1999-04,104
mcd,I82,1999-05,107
mcd,I82,1999-06,96
mcd,I82,1999-07,107
mcd,I82,1999-08,111
mcd,I82,1999-09,107
mcd,I82,1999-10,100
mcd,I82,1999-11,108
mcd,I82,1999-12,116
mcd,I82,2000-01,106
mcd,I82,2000-02,85
mcd,I82,2000-03,111
mcd,I82,2000-04,103
mcd,I82,2000-05,96
mcd,I82,2000-06,84
mcd,I82,2000-07,91
mcd,I82,2000-08,87
mcd,I82,2000-09,94
mcd,I82,2000-10,88
mcd,I82,2000-11,83
mcd,I82,2000-12,98
mcd,I82,2001-01,135
mcd,I82,2001-02,97
mcd,I82,2001-03,93
mcd,I82,2001-04,95
mcd,I82,2001-05,81
mcd,I82,2001-06,112
mcd,I82,2001-07,87
mcd,I82,2001-08,96
mcd,I82,2001-09,84
mcd,I82,2001-10,80
mcd,I82,2001-11,95
mcd,I82,2001-12,90
mcd,I82,2002-01,93
mcd,I82,2002-02,83
mcd,I82,2002-03,91
mcd,I82,2002-04,107
mcd,I82,2002-05,120
mcd,I82,2002-06,92
mcd,I82,2002-07,90
mcd,I82,2002-08,95
mcd,I82,2002-09,91
mcd,I82,2002-10,80
mcd,I82,2002-11,112
mcd,I82,2002-12,116
mcd,I82,2003-01,133
mcd,I82,2003-02,111
mcd,I82,2003-03,105
mcd,I82,2003-04,117
mcd,I82,2003-05,101
mcd,I82,2003-06,110
mcd,I82,2003-07,104
mcd,I82,2003-08,103
mcd,I82,2003-09,120
mcd,I82,2003-10,99
mcd,I82,2003-11,103
mcd,I82,2003-12,108
mcd,I82,2004-01,123
mcd,I82,2004-02,87
mcd,I82,2004-03,127
mcd,I82,2004-04,98
mcd,I82,2004-05,102
mcd,I82,2004-06,91
mcd,I82,2004-07,100
mcd,I82,2004-08,118
mcd,I82,2004-09,88
mcd,I82,2004-10,97
mcd,I82,2004-11,112
mcd,I82,2004-12,96
mcd,I82,2005-01,107
mcd,I82,2005-02,103
mcd,I82,2005-03,112
mcd,I82,2005-04,118
mcd,I82,2005-05,104
mcd,I82,2005-06,98
mcd,I82,2005-07,102
mcd,I82,2005-08,93
mcd,I82,2005-09,93
mcd,I82,2005-10,98
mcd,I82,2005-11,91
mcd,I82,2005-12,106
mcd,I82,2006-01,89
mcd,I82,2006-02,86
mcd,I82,2006-03,97
mcd,I82,2006-04,82
mcd,I82,2006-05,102
mcd,I82,2006-06,92
mcd,I82,2006-07,82
mcd,I82,2006-08,108
mcd,I82,2006-09,93
mcd,I82,2006-10,84
mcd,I82,2006-11,83
mcd,I82,2006-12,101
mcd,I82,2007-01,110
mcd,I82,2007-02,109
mcd,I82,2007-03,123
mcd,I82,2007-04,103
mcd,I82,2007-05,91
mcd,I82,2007-06,79
mcd,I82,2007-07,83
mcd,I82,2007-08,91
mcd,I82,2007-09,69
mcd,I82,2007-10,89
mcd,I82,2007-11,88
mcd,I82,2007-12,95
mcd,I82,2008-01,81
mcd,I82,2008-02,84
mcd,I82,2008-03,108
mcd,I82,2008-04,78
mcd,I82,2008-05,80
mcd,I82,2008-06,83
mcd,I82,2008-07,100
mcd,I82,2008-08,86
mcd,I82,2008-09,84
mcd,I82,2008-10,85
mcd,I82,2008-11,90
mcd,I82,2008-12,97
mcd,I82,2009-01,95
mcd,I82,2009-02,104
mcd,I82,2009-03,80
mcd,I82,2009-04,108
mcd,I82,2009-05,78
mcd,I82,2009-06,100
mcd,I82,2009-07,86
mcd,I82,2009-08,77
mcd,I82,2009-09,105
mcd,I82,2009-10,95
mcd,I82,2009-11,76
mcd,I82,2009-12,99
mcd,I82,2010-01,129
mcd,I82,2010-02,92
mcd,I82,2010-03,116
mcd,I82,2010-04,93
mcd,I82,2010-05,113
mcd,I82,2010-06,107
mcd,I82,2010-07,113
mcd,I82,2010-08,83
mcd,I82,2010-09,98
mcd,I82,2010-10,113
mcd,I82,2010-11,111
mcd,I82,2010-12,118
mcd,I82,2011-01,127
mcd,I82,2011-02,93
mcd,I82,2011-03,116
mcd,I82,2011-04,120
mcd,I82,2011-05,123
mcd,I82,2011-06,134
mcd,I82,2011-07,104
mcd,I82,2011-08,113
mcd,I82,2011-09,128
mcd,I82,2011-10,118
mcd,I82,2011-11,119
mcd,I82,2011-12,143
mcd,I82,2012-01,151
mcd,I82,2012-02,110
mcd,I82,2012-03,133
mcd,I82,2012-04,104
mcd,I82,2012-05,136
mcd,I82,2012-06,119
mcd,I82,2012-07,139
mcd,I82,2012-08,122
mcd,I82,2012-09,125
mcd,I82,2012-10,117
mcd,I82,2012-11,138
mcd,I82,2012-12,119
mcd,I82,2013-01,143
mcd,I82,2013-02,124
mcd,I82,2013-03,143
mcd,I82,2013-04,129
mcd,I82,2013-05,114
mcd,I82,2013-06,122
mcd,I82,2013-07,107
mcd,I82,2013-08,109
mcd,I82,2013-09,115
mcd,I82,2013-10,127
mcd,I82,2013-11,134
mcd,I82,2013-12,170
mcd,I82,2014-01,147
mcd,I82,2014-02,116
mcd,I82,2014-03,131
mcd,I82,2014-04,122
mcd,I82,2014-05,151
mcd,I82,2014-06,91
mcd,I82,2014-07,129
mcd,I82,2014-08,120
mcd,I82,2014-09,114
mcd,I82,2014-10,112
mcd,I82,2014-11,131
mcd,I82,2014-12,151
mcd,I82,2015-01,183
mcd,I82,2015-02,122
mcd,I82,2015-03,149
mcd,I82,2015-04,141
mcd,I82,2015-05,133
mcd,I82,2015-06,125
mcd,I82,2015-07,148
mcd,I82,2015-08,124
mcd,I82,2015-09,106
mcd,I82,2015-10,136
mcd,I82,2015-11,161
mcd,I82,2015-12,134
mcd,I82,2016-01,166
mcd,I82,2016-02,149
mcd,I82,2016-03,169
mcd,I82,2016-04,134
mcd,I82,2016-05,148
mcd,I82,2016-06,127
mcd,I82,2016-07,140
mcd,I82,2016-08,148
mcd,I82,2016-09,130
mcd,I82,2016-10,132
mcd,I82,2016-11,136
mcd,I82,2016-12,153
mcd,I82,2017-01,179
mcd,I82,2017-02,146
mcd,I82,2017-03,179
mcd,I82,2017-04,161
mcd,I82,2017-05,150
mcd,I82,2017-06,142
mcd,I82,2017-07,144
mcd,I82,2017-08,150
mcd,I82,2017-09,150
mcd,I82,2017-10,157
mcd,I82,2017-11,173
mcd,I82,2017-12,161
mcd,I82,2018-01,150
mcd,I82,2018-02,162
mcd,I82,2018-03,165
mcd,I82,2018-04,173
mcd,I82,2018-05,160
mcd,I82,2018-06,176
mcd,I82,2018-07,168
mcd,I82,2018-08,170
mcd,I82,2018-09,147
mcd,I82,2018-10,138
mcd,I82,2018-11,161
mcd,I82,2018-12,181
mcd,I82,2019-01,183
mcd,I82,2019-02,182
mcd,I82,2019-03,160
mcd,I82,2019-04,154
mcd,I82,2019-05,170
mcd,I82,2019-06,158
mcd,I82,2019-07,188
mcd,I82,2019-08,185
mcd,I82,2019-09,152
mcd,I82,2019-10,185
mcd,I82,2019-11,192
mcd,I82,2019-12,187
mcd,I82,2020-01,195
mcd,I82,2020-02,186
mcd,I82,2020-03,188
mcd,I82,2020-04,243
mcd,I82,2020-05,193
mcd,I82,2020-06,189
mcd,I82,2020-07,187
mcd,I82,2020-08,218
mcd,I82,2020-09,214
mcd,I82,2020-10,212
mcd,I82,2020-11,246
mcd,I82,2020-12,308
mcd,I82,2021-01,278
mcd,I82,2021-02,236
mcd,I82,2021-03,231
mcd,I82,2021-04,223
mcd,I82,2021-05,219
mcd,I82,2021-06,239
mcd,I82,2021-07,225
mcd,I82,2021-08,270
mcd,I82,2021-09,296
mcd,I82,2021-10,267
mcd,I82,2021-11,272
mcd,I82,2021-12,285
mcd,I82,2022-01,395
mcd,I82,2022-02,302
mcd,I82,2022-03,318
mcd,I82,2022-04,249
mcd,I82,2022-05,284
mcd,I82,2022-06,298
mcd,I82,2022-07,243
mcd,I82,2022-08,285
mcd,I82,2022-09,283
mcd,I82,2022-10,337
mcd,I82,2022-11,290
mcd,I82,2022-12,315
mcd,I82,2023-01,328
mcd,I82,2023-02,261
mcd,I82,2023-03,327
mcd,I82,2023-04,334
mcd,I82,2023-05,306
mcd,I82,2023-06,255
mcd,I82,2023-07,267
mcd,I82,2023-08,318
mcd,I82,2023-09,330
mcd,I82,2023-10,317
mcd,I82,2023-11,328
mcd,I82,2023-12,333
mcd,I82,2024-01,362
mcd,I82,2024-02,314
mcd,I82,2024-03,325
mcd,I82,2024-04,339
mcd,I82,2024-05,304
mcd,I82,2024-06,288
mcd,I82,2024-07,306
mcd,I82,2024-08,336
mcd,I82,2024-09,305
mcd,I82,2024-10,322
mcd,I82,2024-11,318
mcd,I82,2024-12,321
mcd,I82,2025-01,354
mcd,I82,2025-02,324
mcd,I82,2025-03,358
mcd,I82,2025-04,274
mcd,I82,2025-05,51
and,I82,2020-04,32
and,I82,2020-05,15
and,I82,2020-06,19
