year,week,age,dead
2010,1,0,11.6329424730519
2015,1,0,11.0446132618572
2020,1,0,11.9424842010805
2010,2,0,8.52886868752961
2016,2,0,9.86836982921367
2021,2,0,14.0939752764248
2011,3,0,10.0694430226186
2016,3,0,10.3748245171015
2021,3,0,9.42472122537328
2011,4,0,9.51129282529663
2016,4,0,8.51438932702149
2021,4,0,9.29517370419948
2011,5,0,13.3296133109316
2016,5,0,9.3621484872441
2021,5,0,8.21273098288861
2011,6,0,11.672252393054
2016,6,0,10.8006545692275
2021,6,0,7.86963105954058
2011,7,0,8.69620112223473
2016,7,0,9.55774300486771
2021,7,0,8.39503632267262
2011,8,0,7.5910377296918
2017,8,0,8.58896785152641
2022,8,0,10.0892258166567
2012,9,0,11.1650475726794
2017,9,0,9.0843427105924
2022,9,0,11.2635540609886
2012,10,0,9.1453098619098
2017,10,0,7.44215119687716
2022,10,0,5.85484773528849
2012,11,0,9.66361181405041
2017,11,0,9.39357041927721
2022,11,0,11.3600044854959
2012,12,0,8.42700595451156
2017,12,0,7.48653819243503
2022,12,0,9.38169361371217
2012,13,0,11.5307214327448
2017,13,0,9.87426624082951
2022,13,0,8.89868441038088
2012,14,0,8.65054035062644
2017,14,0,6.80845425993928
2022,14,0,7.44456354416957
2012,15,0,10.0851131073186
2017,15,0,6.44380170976834
2022,15,0,9.30954931950835
2012,16,0,9.18808862353982
2017,16,0,9.93833368488967
2022,16,0,8.35844185174754
2012,17,0,8.85308310207955
2017,17,0,8.05843933598429
2022,17,0,8.3722728260572
2012,18,0,8.06589635471441
2017,18,0,8.79706683320204
2022,18,0,10.2786113314209
2013,19,0,10.7884090821219
2018,19,0,10.932917418078
2023,19,0,11.3982006716843
2014,20,0,9.66919105102409
2019,20,0,10.7570493564091
2010,21,0,11.4031930330078
2015,21,0,8.20065313004994
2020,21,0,8.90360566891167
2011,22,0,5.884928309674
2016,22,0,7.7492557053145
2021,22,0,12.5680223892465
2012,23,0,10.1948339266818
2017,23,0,7.68144635995386
2022,23,0,8.10271863489838
2013,24,0,9.28143275247165
2018,24,0,10.0677147227421
2023,24,0,8.01151773482026
2014,25,0,9.48344080699205
2019,25,0,10.0531226556429
2010,26,0,8.71888418086833
2015,26,0,11.9617092963043
2020,26,0,11.4137501930595
2011,27,0,10.5550751102985
2016,27,0,10.433303467752
2021,27,0,9.99264536873539
2012,28,0,8.26157118178165
2017,28,0,10.2499905377205
2022,28,0,9.14398881242858
2013,29,0,9.46169194221831
2018,29,0,9.13596485456368
2023,29,0,10.0558515332144
2014,30,0,8.54855370376977
2019,30,0,10.0798602189468
2010,31,0,10.7161873569313
2015,31,0,12.3530969457816
2020,31,0,8.86210675987876
2011,32,0,9.98562907227928
2016,32,0,7.83966649231465
2021,32,0,7.49813523855701
2012,33,0,9.50276978778851
2017,33,0,8.2565847789107
2022,33,0,11.3821238501244
2013,34,0,10.0212364979652
2018,34,0,13.6732633038318
2023,34,0,6.79315978176169
2014,35,0,9.86166146720713
2019,35,0,8.39393549065197
2010,36,0,9.79846004537751
2015,36,0,11.4891758257659
2020,36,0,10.9338850283865
2011,37,0,8.69957435072712
2016,37,0,9.4172432600598
2021,37,0,10.2190726649566
2012,38,0,12.2219181791268
2017,38,0,11.2631984744793
2022,38,0,11.0172704083299
2013,39,0,12.6094720251752
2018,39,0,9.01280007710644
2023,39,0,7.19150127693982
2014,40,0,10.4436845270654
2019,40,0,10.4455721945116
2010,41,0,9.80295009795638
2015,41,0,10.8170725840761
2020,41,0,9.3221835886023
2011,42,0,9.00395901210356
2016,42,0,11.4504628994425
2021,42,0,9.57223281169869
2012,43,0,10.7728982032865
2017,43,0,10.0329134640399
2022,43,0,10.6067458094225
2013,44,0,9.996899303128
2018,44,0,10.0620676979344
2023,44,0,7.73787112816349
2014,45,0,12.409364430138
2019,45,0,11.3348390851718
2010,46,0,9.45911022411458
2015,46,0,9.07787573434462
2020,46,0,10.4428521703299
2011,47,0,9.62654951461198
2016,47,0,9.033038848167
2021,47,0,9.60227272354983
2012,48,0,6.69252993143768
2017,48,0,9.21447552658111
2022,48,0,7.53212426982103
2013,49,0,9.96120370753456
2018,49,0,12.0470012731422
2023,49,0,9.72707680831284
2014,50,0,8.25192868235926
2019,50,0,9.26351339381268
2010,51,0,12.2833266098711
2015,51,0,10.6340806986134
2020,51,0,8.48588017680663
2011,52,0,12.3737293943166
2016,52,0,11.2931432114452
2021,52,0,8.90864838737998
2011,1,1,9.8161620828768
2016,1,1,9.2967874665448
2021,1,1,10.3685735337295
2011,2,1,6.81566117293323
2017,2,1,8.1517951748016
2022,2,1,12.0894376866768
2012,3,1,8.333222336875
2017,3,1,8.53575032318557
2022,3,1,7.85151816541797
2012,4,1,7.81622785260581
2017,4,1,6.91630089943474
2022,4,1,7.39007534838455
2012,5,1,11.3309086216638
2017,5,1,7.77284245576664
2022,5,1,6.56994143231865
2012,6,1,9.63260888387427
2017,6,1,8.97081549484255
2022,6,1,6.18451355946456
2012,7,1,6.90502077601106
2017,7,1,7.95174388130866
2022,7,1,6.76143356446885
2012,8,1,5.90641952667288
2018,8,1,6.80655351010613
2023,8,1,8.4067448852308
2013,9,1,9.16968726201181
2018,9,1,7.41197291586147
2023,9,1,9.4308894682291
2013,10,1,7.42872452495286
2018,10,1,5.86863598809574
2023,10,1,4.40214089397969
2013,11,1,8.05214051426776
2018,11,1,7.83587063089955
2023,11,1,9.407019404173
2013,12,1,6.80190005445949
2018,12,1,5.86749774403052
2023,12,1,7.46955082694373
2013,13,1,9.55025690205465
2018,13,1,8.13396973665543
2023,13,1,7.2210116201986
2013,14,1,7.03592272348222
2018,14,1,5.27256630807429
2023,14,1,5.84228399075044
2013,15,1,8.24092125853111
2018,15,1,4.81016054192792
2023,15,1,7.37032559996226
2013,16,1,7.4892548155612
2018,16,1,8.18312743458431
2023,16,1,6.75031506300008
2013,17,1,7.16191062111879
2018,17,1,6.32632864021138
2023,17,1,6.74894027407911
2013,18,1,6.36855002149526
2018,18,1,7.27618815543298
2023,18,1,8.45025013626001
2014,19,1,8.87559130525009
2019,19,1,9.08982045774713
2010,20,1,9.57395962854856
2015,20,1,8.00885419519901
2020,20,1,9.13392844599127
2011,21,1,9.64925885608347
2016,21,1,6.73252129163448
2021,21,1,7.27343821770382
2012,22,1,4.60874095585464
2017,22,1,6.0213195294652
2022,22,1,10.6507399925795
2013,23,1,8.19003661256385
2018,23,1,5.97230459371571
2023,23,1,6.30023805903571
2014,24,1,7.50758902318502
2019,24,1,8.42204626699635
2010,25,1,6.39528834359324
2015,25,1,7.85875877061438
2020,25,1,8.56286841604224
2011,26,1,7.00174718987492
2016,26,1,10.178842370547
2021,26,1,9.61863519620101
2012,27,1,8.60265687215297
2017,27,1,8.83004913771617
2022,27,1,8.27771738199762
2013,28,1,6.54567073285835
2018,28,1,8.5890243152216
2023,28,1,7.51499262921311
2014,29,1,7.75246472215376
2019,29,1,7.4253052587121
2010,30,1,8.40100727543343
2015,30,1,6.70718749339593
2020,30,1,8.02204430781111
2011,31,1,8.85283621157963
2016,31,1,10.3684465392732
2021,31,1,7.39136994725539
2012,32,1,8.30878013222372
2017,32,1,6.36132347801915
2022,32,1,5.90582799410376
2013,33,1,7.79519505853557
2018,33,1,6.67650499640181
2023,33,1,9.28347353903953
2014,34,1,8.06605961042716
2019,34,1,11.6886253626496
2010,35,1,5.05977899867277
2015,35,1,7.9809731344794
2020,35,1,6.69595501826593
2011,36,1,8.07913427590299
2016,36,1,9.73918518318479
2021,36,1,8.88231913970246
2012,37,1,7.06948173665539
2017,37,1,7.79478676457349
2022,37,1,8.09545355462718
2013,38,1,10.1770931273596
2018,38,1,9.40666342741083
2023,38,1,9.27764410166212
2014,39,1,10.7971480534343
2019,39,1,7.4273394524016
2010,40,1,5.66513347274684
2015,40,1,8.74117374677185
2020,40,1,8.70935708543886
2011,41,1,8.24986694808953
2016,41,1,9.10177118151391
2021,41,1,7.23607258069038
2012,42,1,7.16000077657959
2017,42,1,9.60622159105447
2022,42,1,8.0116918435393
2013,43,1,9.08566138937229
2018,43,1,8.4259654822903
2023,43,1,8.82625354815962
2014,44,1,8.1884559512231
2019,44,1,8.34142343509642
2010,45,1,6.19502821483928
2015,45,1,10.3684211223631
2020,45,1,9.55802509284427
2011,46,1,7.68987420310345
2016,46,1,7.43282395447893
2021,46,1,8.71839476682566
2012,47,1,7.93416326451702
2017,47,1,7.15601902329659
2022,47,1,7.92162330967487
2013,48,1,5.05841421148721
2018,48,1,7.33285639702125
2023,48,1,5.97942883467795
2014,49,1,7.87304260897435
2019,49,1,10.1401639734299
2010,50,1,7.94040345054568
2015,50,1,6.66178643781364
2020,50,1,7.74235520213095
2011,51,1,10.495742115344
2016,51,1,8.91731465782085
2021,51,1,6.96265061669541
2012,52,1,10.6029105178555
2017,52,1,9.67609226966953
2022,52,1,7.35607925614468
2012,1,2,8.10083877358203
2017,1,2,7.57555144396513
2022,1,2,8.69816705968828
2012,2,2,5.35207830458018
2018,2,2,6.51852505306745
2023,2,2,10.0438373865572
2013,3,2,6.69948012360763
2018,3,2,6.84918016368735
2023,3,2,6.33995327531063
2013,4,2,6.26146752559004
2018,4,2,5.56003602683066
2023,4,2,5.74374741937271
2013,5,2,9.26788330465234
2018,5,2,6.29259296259055
2023,5,2,5.06443946345005
2013,6,2,7.69781552944055
2018,6,2,7.17160082729644
2023,6,2,4.75044119455409
2013,7,2,5.35772735750459
2018,7,2,6.37356470255685
2023,7,2,5.26473252645974
2013,8,2,4.51178656835786
2019,8,2,5.2131565733341
2024,8,2,6.86292681730344
2014,9,2,7.28859732624439
2019,9,2,5.8707279876719
2024,9,2,7.6002517374321
2014,10,2,5.85704326660702
2019,10,2,4.44827622606784
2024,10,2,3.175229603877
2014,11,2,6.52109217073214
2019,11,2,6.33988553835437
2024,11,2,7.52885019578235
2014,12,2,5.38919685736273
2019,12,2,4.42499745016477
2024,12,2,5.77995337139915
2014,13,2,7.68643961469764
2019,13,2,6.4977391668998
2024,13,2,5.67252587894172
2014,14,2,5.6112341277829
2019,14,2,3.9689422747413
2024,14,2,4.52079724376509
2014,15,2,6.59953060399674
2019,15,2,3.48901408486392
2024,15,2,5.6167598868576
2014,16,2,5.89620390718619
2019,16,2,6.5150233046691
2024,16,2,5.27181075586411
2014,17,2,5.63617498928021
2019,17,2,4.79801638052985
2024,17,2,5.36347705589601
2014,18,2,4.93639520110595
2019,18,2,5.87833265009799
2010,19,2,6.71208180195727
2015,19,2,7.08273788809965
2020,19,2,7.32449616108312
2011,20,2,7.77603284395684
2016,20,2,6.47520056237907
2021,20,2,7.4561710875291
2012,21,2,7.84876000335673
2017,21,2,5.33281275504799
2022,21,2,5.82231319971322
2013,22,2,3.5667138562415
2018,22,2,4.54771871150089
2023,22,2,8.66811445862061
2014,23,2,6.39401196212986
2019,23,2,4.53239254683003
2010,24,2,4.74989416746584
2015,24,2,5.9679193171594
2020,24,2,6.88904478260016
2011,25,2,4.99028214010495
2016,25,2,6.31772463143086
2021,25,2,7.03690422661651
2012,26,2,5.44329115598875
2017,26,2,8.3993161933991
2022,26,2,7.91294661260656
2013,27,2,6.82619517860626
2018,27,2,7.21423644702241
2023,27,2,6.68228670175668
2014,28,2,5.01579791887584
2019,28,2,6.96485475871741
2010,29,2,5.94382712660508
2015,29,2,6.12239448017829
2020,29,2,5.85818544639089
2011,30,2,6.87410933599386
2016,30,2,5.13400934757659
2021,30,2,6.28330981195978
2012,31,2,7.09591109741869
2017,31,2,8.39329430598216
2022,31,2,5.96099354676406
2013,32,2,6.81675212069546
2018,32,2,5.04215222748025
2023,32,2,4.55755395745735
2014,33,2,6.24458602355241
2019,33,2,5.24892769733989
2010,34,2,7.39424308880115
2015,34,2,6.35659747477208
2020,34,2,9.65341160290186
2011,35,2,3.66404493973926
2016,35,2,6.25117644019133
2021,35,2,5.19984817602298
2012,36,2,6.48090719953487
2017,36,2,7.99560599482176
2022,36,2,7.01643935585658
2013,37,2,5.62045658860941
2018,37,2,6.18705740617822
2023,37,2,6.18732578694351
2014,38,2,8.16782875198033
2019,38,2,7.57613889327321
2010,39,2,7.57010141058383
2015,39,2,8.8934980211684
2020,39,2,5.92166507597777
2011,40,2,4.37001692628837
2016,40,2,7.12031208806207
2021,40,2,7.08738585570507
2012,41,2,6.74935690915631
2017,41,2,7.39408668931473
2022,41,2,5.47664949029078
2013,42,2,5.55908843120077
2018,42,2,7.7821137431885
2023,42,2,6.52625447103259
2014,43,2,7.40019263757659
2019,43,2,6.91022471874317
2010,44,2,7.22406247901482
2015,44,2,6.59089943377911
2020,44,2,6.71128968648095
2011,45,2,4.92675209527271
2016,45,2,8.36516532475637
2021,45,2,7.791549493658
2012,46,2,6.06127851562847
2017,46,2,5.89478034036732
2022,46,2,6.99783232898719
2013,47,2,6.32180789857878
2018,47,2,5.44072598168003
2023,47,2,6.42135891226535
2014,48,2,3.71277705853367
2019,48,2,5.62662942688197
2010,49,2,4.71404305408684
2015,49,2,5.99384111466368
2020,49,2,8.21786665479073
2011,50,2,6.27790137928133
2016,50,2,5.23655303323639
2021,50,2,6.3113822928281
2012,51,2,8.65524196863164
2017,51,2,7.20126002629428
2022,51,2,5.62036050647608
2013,52,2,8.81693898068488
2018,52,2,8.03028299379487
2023,52,2,5.90232307589994
2013,1,3,6.48463945835055
2018,1,3,5.87875999546404
2023,1,3,6.92961103175317
2013,2,3,4.13634424542844
2019,2,3,4.96669092144356
2024,2,3,7.95441611834957
2014,3,3,5.1662255389153
2019,3,3,5.31340552516192
2024,3,3,4.88842496716974
2014,4,3,4.84520947159058
2019,4,3,4.44366565799689
2024,4,3,4.35357402322212
2014,5,3,7.13698687738181
2019,5,3,4.91973011679783
2024,5,3,3.69447249508137
2014,6,3,5.86518540404683
2019,6,3,5.40076917712562
2024,6,3,3.56587272284888
2014,7,3,4.05265625924592
2019,7,3,4.82181584801355
