location,age,dose,month,dead,pop
Koganei/Tokyo,all,0,2023-07,10,1315543
Koganei/Tokyo,all,1,2023-07,0,13793
Koganei/Tokyo,all,2,2023-07,7,361983
Koganei/Tokyo,all,3,2023-07,11,788266
Koganei/Tokyo,all,4,2023-07,20,764452
Koganei/Tokyo,all,5,2023-07,22,326455
Koganei/Tokyo,all,6,2023-07,23,443153
Koganei/Tokyo,all,7,2023-07,0,0
Koganei/Tokyo,80over,0,2023-08,5,24207
Koganei/Tokyo,80over,1,2023-08,1,601
Koganei/Tokyo,80over,2,2023-08,2,6177
Koganei/Tokyo,80over,3,2023-08,5,16832
Koganei/Tokyo,80over,4,2023-08,13,28492
Koganei/Tokyo,80over,5,2023-08,15,64482
Koganei/Tokyo,80over,6,2023-08,24,205319
Koganei/Tokyo,80over,7,2023-08,0,0
Koganei/Tokyo,all,0,2023-08,12,1314920
Koganei/Tokyo,all,1,2023-08,2,13805
Koganei/Tokyo,all,2,2023-08,2,361397
Koganei/Tokyo,all,3,2023-08,9,787415
Koganei/Tokyo,all,4,2023-08,16,758907
Koganei/Tokyo,all,5,2023-08,18,295806
Koganei/Tokyo,all,6,2023-08,29,478497
Koganei/Tokyo,all,7,2023-08,0,0
Koganei/Tokyo,80over,0,2023-09,13,23161
Koganei/Tokyo,80over,1,2023-09,0,553
Koganei/Tokyo,80over,2,2023-09,2,5916
Koganei/Tokyo,80over,3,2023-09,3,16074
Koganei/Tokyo,80over,4,2023-09,8,26819
Koganei/Tokyo,80over,5,2023-09,12,58518
Koganei/Tokyo,80over,6,2023-09,19,197215
Koganei/Tokyo,80over,7,2023-09,0,4922
Koganei/Tokyo,all,0,2023-09,16,1271913
Koganei/Tokyo,all,1,2023-09,0,13342
Koganei/Tokyo,all,2,2023-09,3,349435
Koganei/Tokyo,all,3,2023-09,6,761640
Koganei/Tokyo,all,4,2023-09,17,730691
Koganei/Tokyo,all,5,2023-09,14,277010
Koganei/Tokyo,all,6,2023-09,23,463973
Koganei/Tokyo,all,7,2023-09,0,10939
Koganei/Tokyo,80over,0,2023-10,5,23677
Koganei/Tokyo,80over,1,2023-10,0,578
Koganei/Tokyo,80over,2,2023-10,3,6023
Koganei/Tokyo,80over,3,2023-10,7,16107
Koganei/Tokyo,80over,4,2023-10,9,26013
Koganei/Tokyo,80over,5,2023-10,20,50330
Koganei/Tokyo,80over,6,2023-10,21,126415
Koganei/Tokyo,80over,7,2023-10,3,93269
Koganei/Tokyo,all,0,2023-10,9,1313576
Koganei/Tokyo,all,1,2023-10,0,14017
Koganei/Tokyo,all,2,2023-10,8,360250
Koganei/Tokyo,all,3,2023-10,7,781731
Koganei/Tokyo,all,4,2023-10,14,699770
Koganei/Tokyo,all,5,2023-10,22,297420
Koganei/Tokyo,all,6,2023-10,25,334497
Koganei/Tokyo,all,7,2023-10,3,204429
Koganei/Tokyo,80over,0,2023-11,4,22621
Koganei/Tokyo,80over,1,2023-11,0,609
Koganei/Tokyo,80over,2,2023-11,0,5809
Koganei/Tokyo,80over,3,2023-11,1,14960
Koganei/Tokyo,80over,4,2023-11,3,23290
Koganei/Tokyo,80over,5,2023-11,23,40182
Koganei/Tokyo,80over,6,2023-11,20,75238
Koganei/Tokyo,80over,7,2023-11,11,146641
Koganei/Tokyo,all,0,2023-11,8,1270373
Koganei/Tokyo,all,1,2023-11,0,13743
Koganei/Tokyo,all,2,2023-11,0,347554
Koganei/Tokyo,all,3,2023-11,3,748088
Koganei/Tokyo,all,4,2023-11,8,604692
Koganei/Tokyo,all,5,2023-11,28,318881
Koganei/Tokyo,all,6,2023-11,25,242463
Koganei/Tokyo,all,7,2023-11,14,328103
Koganei/Tokyo,80over,0,2023-12,5,23247
Koganei/Tokyo,80over,1,2023-12,0,651
Koganei/Tokyo,80over,2,2023-12,5,5911
Koganei/Tokyo,80over,3,2023-12,7,15064
Koganei/Tokyo,80over,4,2023-12,4,23219
Koganei/Tokyo,80over,5,2023-12,11,38117
Koganei/Tokyo,80over,6,2023-12,12,60469
Koganei/Tokyo,80over,7,2023-12,19,171790
Koganei/Tokyo,all,0,2023-12,13,1312280
Koganei/Tokyo,all,1,2023-12,0,14137
Koganei/Tokyo,all,2,2023-12,9,358435
Koganei/Tokyo,all,3,2023-12,12,767679
Koganei/Tokyo,all,4,2023-12,7,592575
Koganei/Tokyo,all,5,2023-12,17,345891
Koganei/Tokyo,all,6,2023-12,18,217767
Koganei/Tokyo,all,7,2023-12,21,391539
Koganei/Tokyo,80over,0,2024-01,9,23004
Koganei/Tokyo,80over,1,2024-01,0,665
Koganei/Tokyo,80over,2,2024-01,1,5772
Koganei/Tokyo,80over,3,2024-01,8,14775
Koganei/Tokyo,80over,4,2024-01,2,23034
Koganei/Tokyo,80over,5,2024-01,10,36806
Koganei/Tokyo,80over,6,2024-01,17,55960
Koganei/Tokyo,80over,7,2024-01,25,176121
Koganei/Tokyo,all,0,2024-01,13,1311605
Koganei/Tokyo,all,1,2024-01,0,14186
Koganei/Tokyo,all,2,2024-01,5,357958
Koganei/Tokyo,all,3,2024-01,9,765389
Koganei/Tokyo,all,4,2024-01,5,580558
Koganei/Tokyo,all,5,2024-01,15,353176
Koganei/Tokyo,all,6,2024-01,24,208535
Koganei/Tokyo,all,7,2024-01,33,405445
Koganei/Tokyo,80over,0,2024-02,3,21296
Koganei/Tokyo,80over,1,2024-02,0,659
Koganei/Tokyo,80over,2,2024-02,2,5324
Koganei/Tokyo,80over,3,2024-02,7,13601
Koganei/Tokyo,80over,4,2024-02,6,21309
Koganei/Tokyo,80over,5,2024-02,10,33393
Koganei/Tokyo,80over,6,2024-02,12,50509
Koganei/Tokyo,80over,7,2024-02,29,166539
Koganei/Tokyo,all,0,2024-02,6,1226259
Koganei/Tokyo,all,1,2024-02,0,13517
Koganei/Tokyo,all,2,2024-02,4,334664
Koganei/Tokyo,all,3,2024-02,10,714731
Koganei/Tokyo,all,4,2024-02,12,536723
Koganei/Tokyo,all,5,2024-02,13,333862
Koganei/Tokyo,all,6,2024-02,16,190991
Koganei/Tokyo,all,7,2024-02,34,385593
Koganei/Tokyo,80over,0,2024-03,7,22558
Koganei/Tokyo,80over,1,2024-03,0,657
Koganei/Tokyo,80over,2,2024-03,1,5697
Koganei/Tokyo,80over,3,2024-03,4,14381
Koganei/Tokyo,80over,4,2024-03,3,22410
Koganei/Tokyo,80over,5,2024-03,9,34761
Koganei/Tokyo,80over,6,2024-03,10,52651
Koganei/Tokyo,80over,7,2024-03,28,178952
Koganei/Tokyo,all,0,2024-03,17,1310203
Koganei/Tokyo,all,1,2024-03,0,14241
Koganei/Tokyo,all,2,2024-03,4,357677
Koganei/Tokyo,all,3,2024-03,10,762652
Koganei/Tokyo,all,4,2024-03,7,566925
Koganei/Tokyo,all,5,2024-03,13,360807
Koganei/Tokyo,all,6,2024-03,12,201912
Koganei/Tokyo,all,7,2024-03,33,416505
Koganei/Tokyo,80over,0,2024-04,6,21648
Koganei/Tokyo,80over,1,2024-04,0,630
Koganei/Tokyo,80over,2,2024-04,1,5464
Koganei/Tokyo,80over,3,2024-04,2,13801
Koganei/Tokyo,80over,4,2024-04,9,21492
Koganei/Tokyo,80over,5,2024-04,8,33172
Koganei/Tokyo,80over,6,2024-04,15,50253
Koganei/Tokyo,80over,7,2024-04,23,173094
Koganei/Tokyo,all,0,2024-04,14,1267265
Koganei/Tokyo,all,1,2024-04,0,13680
Koganei/Tokyo,all,2,2024-04,4,345858
Koganei/Tokyo,all,3,2024-04,4,736771
Koganei/Tokyo,all,4,2024-04,13,544251
Koganei/Tokyo,all,5,2024-04,15,352128
Koganei/Tokyo,all,6,2024-04,21,194504
Koganei/Tokyo,all,7,2024-04,31,404700
Koganei/Tokyo,80over,0,2024-05,5,22229
Koganei/Tokyo,80over,1,2024-05,1,634
Koganei/Tokyo,80over,2,2024-05,2,5604
Koganei/Tokyo,80over,3,2024-05,3,14173
Koganei/Tokyo,80over,4,2024-05,2,21982
Koganei/Tokyo,80over,5,2024-05,12,33978
Koganei/Tokyo,80over,6,2024-05,9,51452
Koganei/Tokyo,80over,7,2024-05,24,178184
Koganei/Tokyo,all,0,2024-05,12,1309171
Koganei/Tokyo,all,1,2024-05,2,14101
Koganei/Tokyo,all,2,2024-05,6,357302
Koganei/Tokyo,all,3,2024-05,9,761127
Koganei/Tokyo,all,4,2024-05,3,562087
Koganei/Tokyo,all,5,2024-05,16,363443
Koganei/Tokyo,all,6,2024-05,11,200392
Koganei/Tokyo,all,7,2024-05,29,417333
Koganei/Tokyo,80over,0,2024-06,3,21363
Koganei/Tokyo,80over,1,2024-06,0,600
Koganei/Tokyo,80over,2,2024-06,2,5364
Koganei/Tokyo,80over,3,2024-06,2,13654
Koganei/Tokyo,80over,4,2024-06,1,21259
Koganei/Tokyo,80over,5,2024-06,2,32654
Koganei/Tokyo,80over,6,2024-06,9,49550
Koganei/Tokyo,80over,7,2024-06,21,171704
Koganei/Tokyo,all,0,2024-06,10,1266610
Koganei/Tokyo,all,1,2024-06,0,13620
Koganei/Tokyo,all,2,2024-06,3,345605
Koganei/Tokyo,all,3,2024-06,3,736408
Koganei/Tokyo,all,4,2024-06,8,543806
Koganei/Tokyo,all,5,2024-06,6,351395
Koganei/Tokyo,all,6,2024-06,10,193644
Koganei/Tokyo,all,7,2024-06,26,402989
Sagamihara/Kanagawa,80over,0,2021-02,153,2308282
Sagamihara/Kanagawa,80over,1,2021-02,0,0
Sagamihara/Kanagawa,80over,2,2021-02,0,0
Sagamihara/Kanagawa,80over,3,2021-02,0,0
Sagamihara/Kanagawa,80over,4,2021-02,0,0
Sagamihara/Kanagawa,80over,5,2021-02,0,0
Sagamihara/Kanagawa,80over,6,2021-02,0,0
Sagamihara/Kanagawa,80over,7,2021-02,0,0
Sagamihara/Kanagawa,all,0,2021-02,242,20827183
Sagamihara/Kanagawa,all,1,2021-02,0,1095
Sagamihara/Kanagawa,all,2,2021-02,0,0
Sagamihara/Kanagawa,all,3,2021-02,0,0
Sagamihara/Kanagawa,all,4,2021-02,0,0
Sagamihara/Kanagawa,all,5,2021-02,0,0
Sagamihara/Kanagawa,all,6,2021-02,0,0
Sagamihara/Kanagawa,all,7,2021-02,0,0
Sagamihara/Kanagawa,80over,0,2021-03,365,2545971
Sagamihara/Kanagawa,80over,1,2021-03,0,45
Sagamihara/Kanagawa,80over,2,2021-03,0,16
Sagamihara/Kanagawa,80over,3,2021-03,0,0
Sagamihara/Kanagawa,80over,4,2021-03,0,0
Sagamihara/Kanagawa,80over,5,2021-03,0,0
Sagamihara/Kanagawa,80over,6,2021-03,0,0
Sagamihara/Kanagawa,80over,7,2021-03,0,0
Sagamihara/Kanagawa,all,0,2021-03,623,22990938
Sagamihara/Kanagawa,all,1,2021-03,0,46851
Sagamihara/Kanagawa,all,2,2021-03,0,6253
Sagamihara/Kanagawa,all,3,2021-03,0,0
Sagamihara/Kanagawa,all,4,2021-03,0,0
Sagamihara/Kanagawa,all,5,2021-03,0,0
Sagamihara/Kanagawa,all,6,2021-03,0,0
Sagamihara/Kanagawa,all,7,2021-03,0,0
Sagamihara/Kanagawa,80over,0,2021-04,343,2442169
Sagamihara/Kanagawa,80over,1,2021-04,2,11083
Sagamihara/Kanagawa,80over,2,2021-04,0,92
Sagamihara/Kanagawa,80over,3,2021-04,0,0
Sagamihara/Kanagawa,80over,4,2021-04,0,0
Sagamihara/Kanagawa,80over,5,2021-04,0,0
Sagamihara/Kanagawa,80over,6,2021-04,0,0
Sagamihara/Kanagawa,80over,7,2021-04,0,0
Sagamihara/Kanagawa,all,0,2021-04,584,22106479
Sagamihara/Kanagawa,all,1,2021-04,2,103646
Sagamihara/Kanagawa,all,2,2021-04,0,72444
Sagamihara/Kanagawa,all,3,2021-04,0,0
Sagamihara/Kanagawa,all,4,2021-04,0,0
Sagamihara/Kanagawa,all,5,2021-04,0,0
Sagamihara/Kanagawa,all,6,2021-04,0,0
Sagamihara/Kanagawa,all,7,2021-04,0,0
Sagamihara/Kanagawa,80over,0,2021-05,325,2395994
Sagamihara/Kanagawa,80over,1,2021-05,9,108123
Sagamihara/Kanagawa,80over,2,2021-05,5,20266
Sagamihara/Kanagawa,80over,3,2021-05,0,0
Sagamihara/Kanagawa,80over,4,2021-05,0,0
Sagamihara/Kanagawa,80over,5,2021-05,0,0
Sagamihara/Kanagawa,80over,6,2021-05,0,0
Sagamihara/Kanagawa,80over,7,2021-05,0,0
Sagamihara/Kanagawa,all,0,2021-05,524,22280197
Sagamihara/Kanagawa,all,1,2021-05,11,422270
Sagamihara/Kanagawa,all,2,2021-05,6,305060
Sagamihara/Kanagawa,all,3,2021-05,0,0
Sagamihara/Kanagawa,all,4,2021-05,0,0
Sagamihara/Kanagawa,all,5,2021-05,0,0
Sagamihara/Kanagawa,all,6,2021-05,0,0
Sagamihara/Kanagawa,all,7,2021-05,0,0
Sagamihara/Kanagawa,80over,0,2021-06,224,1133739
Sagamihara/Kanagawa,80over,1,2021-06,47,980101
Sagamihara/Kanagawa,80over,2,2021-06,23,319463
Sagamihara/Kanagawa,80over,3,2021-06,0,0
Sagamihara/Kanagawa,80over,4,2021-06,0,0
Sagamihara/Kanagawa,80over,5,2021-06,0,0
Sagamihara/Kanagawa,80over,6,2021-06,0,0
Sagamihara/Kanagawa,80over,7,2021-06,0,0
Sagamihara/Kanagawa,all,0,2021-06,407,19433244
Sagamihara/Kanagawa,all,1,2021-06,54,1785515
Sagamihara/Kanagawa,all,2,2021-06,26,1031312
Sagamihara/Kanagawa,all,3,2021-06,0,0
Sagamihara/Kanagawa,all,4,2021-06,0,0
Sagamihara/Kanagawa,all,5,2021-06,0,0
Sagamihara/Kanagawa,all,6,2021-06,0,0
Sagamihara/Kanagawa,all,7,2021-06,0,0
Sagamihara/Kanagawa,80over,0,2021-07,149,371381
Sagamihara/Kanagawa,80over,1,2021-07,68,403733
Sagamihara/Kanagawa,80over,2,2021-07,97,1730400
Sagamihara/Kanagawa,80over,3,2021-07,0,0
Sagamihara/Kanagawa,80over,4,2021-07,0,0
Sagamihara/Kanagawa,80over,5,2021-07,0,0
Sagamihara/Kanagawa,80over,6,2021-07,0,0
Sagamihara/Kanagawa,80over,7,2021-07,0,0
Sagamihara/Kanagawa,all,0,2021-07,323,15496226
Sagamihara/Kanagawa,all,1,2021-07,102,3402035
Sagamihara/Kanagawa,all,2,2021-07,127,4077937
Sagamihara/Kanagawa,all,3,2021-07,0,0
Sagamihara/Kanagawa,all,4,2021-07,0,0
Sagamihara/Kanagawa,all,5,2021-07,0,0
Sagamihara/Kanagawa,all,6,2021-07,0,0
Sagamihara/Kanagawa,all,7,2021-07,0,0
Sagamihara/Kanagawa,80over,0,2021-08,124,288880
Sagamihara/Kanagawa,80over,1,2021-08,42,53915
Sagamihara/Kanagawa,80over,2,2021-08,182,2152460
Sagamihara/Kanagawa,80over,3,2021-08,0,0
Sagamihara/Kanagawa,80over,4,2021-08,0,0
Sagamihara/Kanagawa,80over,5,2021-08,0,0
Sagamihara/Kanagawa,80over,6,2021-08,0,0
Sagamihara/Kanagawa,80over,7,2021-08,0,0
Sagamihara/Kanagawa,all,0,2021-08,261,12904610
Sagamihara/Kanagawa,all,1,2021-08,78,1786732
Sagamihara/Kanagawa,all,2,2021-08,261,8266766
Sagamihara/Kanagawa,all,3,2021-08,0,24
Sagamihara/Kanagawa,all,4,2021-08,0,0
Sagamihara/Kanagawa,all,5,2021-08,0,0
Sagamihara/Kanagawa,all,6,2021-08,0,0
Sagamihara/Kanagawa,all,7,2021-08,0,0
Sagamihara/Kanagawa,80over,0,2021-09,92,249339
Sagamihara/Kanagawa,80over,1,2021-09,24,28273
Sagamihara/Kanagawa,80over,2,2021-09,229,2126567
Sagamihara/Kanagawa,80over,3,2021-09,0,0
Sagamihara/Kanagawa,80over,4,2021-09,0,0
Sagamihara/Kanagawa,80over,5,2021-09,0,0
Sagamihara/Kanagawa,80over,6,2021-09,0,0
Sagamihara/Kanagawa,80over,7,2021-09,0,0
Sagamihara/Kanagawa,all,0,2021-09,201,9687341
Sagamihara/Kanagawa,all,1,2021-09,35,2282162
Sagamihara/Kanagawa,all,2,2021-09,336,10230325
Sagamihara/Kanagawa,all,3,2021-09,0,97
Sagamihara/Kanagawa,all,4,2021-09,0,0
Sagamihara/Kanagawa,all,5,2021-09,0,0
Sagamihara/Kanagawa,all,6,2021-09,0,0
Sagamihara/Kanagawa,all,7,2021-09,0,0
Sagamihara/Kanagawa,80over,0,2021-10,81,232614
Sagamihara/Kanagawa,80over,1,2021-10,15,24151
Sagamihara/Kanagawa,80over,2,2021-10,292,2216121
Sagamihara/Kanagawa,80over,3,2021-10,0,0
Sagamihara/Kanagawa,80over,4,2021-10,0,0
Sagamihara/Kanagawa,80over,5,2021-10,0,0
Sagamihara/Kanagawa,80over,6,2021-10,0,0
Sagamihara/Kanagawa,80over,7,2021-10,0,0
Sagamihara/Kanagawa,all,0,2021-10,173,7438157
Sagamihara/Kanagawa,all,1,2021-10,30,1683577
Sagamihara/Kanagawa,all,2,2021-10,434,13799430
Sagamihara/Kanagawa,all,3,2021-10,0,185
Sagamihara/Kanagawa,all,4,2021-10,0,0
Sagamihara/Kanagawa,all,5,2021-10,0,0
Sagamihara/Kanagawa,all,6,2021-10,0,0
Sagamihara/Kanagawa,all,7,2021-10,0,0
Sagamihara/Kanagawa,80over,0,2021-11,78,212770
Sagamihara/Kanagawa,80over,1,2021-11,11,12461
Sagamihara/Kanagawa,80over,2,2021-11,305,2156189
Sagamihara/Kanagawa,80over,3,2021-11,0,0
Sagamihara/Kanagawa,80over,4,2021-11,0,0
Sagamihara/Kanagawa,80over,5,2021-11,0,0
Sagamihara/Kanagawa,80over,6,2021-11,0,0
Sagamihara/Kanagawa,80over,7,2021-11,0,0
Sagamihara/Kanagawa,all,0,2021-11,161,6598199
Sagamihara/Kanagawa,all,1,2021-11,20,321846
Sagamihara/Kanagawa,all,2,2021-11,472,15242142
Sagamihara/Kanagawa,all,3,2021-11,0,364
Sagamihara/Kanagawa,all,4,2021-11,0,17
Sagamihara/Kanagawa,all,5,2021-11,0,0
Sagamihara/Kanagawa,all,6,2021-11,0,0
Sagamihara/Kanagawa,all,7,2021-11,0,0
Sagamihara/Kanagawa,80over,0,2021-12,70,215244
Sagamihara/Kanagawa,80over,1,2021-12,8,8978
Sagamihara/Kanagawa,80over,2,2021-12,338,2223466
Sagamihara/Kanagawa,80over,3,2021-12,0,920
Sagamihara/Kanagawa,80over,4,2021-12,0,0
Sagamihara/Kanagawa,80over,5,2021-12,0,0
Sagamihara/Kanagawa,80over,6,2021-12,0,0
Sagamihara/Kanagawa,80over,7,2021-12,0,0
Sagamihara/Kanagawa,all,0,2021-12,133,6697458
Sagamihara/Kanagawa,all,1,2021-12,11,132226
Sagamihara/Kanagawa,all,2,2021-12,521,16011801
Sagamihara/Kanagawa,all,3,2021-12,0,39487
Sagamihara/Kanagawa,all,4,2021-12,0,31
Sagamihara/Kanagawa,all,5,2021-12,0,0
Sagamihara/Kanagawa,all,6,2021-12,0,0
Sagamihara/Kanagawa,all,7,2021-12,0,0
Sagamihara/Kanagawa,80over,0,2022-01,70,211152
Sagamihara/Kanagawa,80over,1,2022-01,4,8307
Sagamihara/Kanagawa,80over,2,2022-01,380,2195621
Sagamihara/Kanagawa,80over,3,2022-01,3,19325
Sagamihara/Kanagawa,80over,4,2022-01,0,0
Sagamihara/Kanagawa,80over,5,2022-01,0,0
Sagamihara/Kanagawa,80over,6,2022-01,0,0
Sagamihara/Kanagawa,80over,7,2022-01,0,0
Sagamihara/Kanagawa,all,0,2022-01,152,6620491
Sagamihara/Kanagawa,all,1,2022-01,6,111223
Sagamihara/Kanagawa,all,2,2022-01,556,15814998
Sagamihara/Kanagawa,all,3,2022-01,3,312170
Sagamihara/Kanagawa,all,4,2022-01,0,31
Sagamihara/Kanagawa,all,5,2022-01,0,0
Sagamihara/Kanagawa,all,6,2022-01,0,0
Sagamihara/Kanagawa,all,7,2022-01,0,0
Sagamihara/Kanagawa,80over,0,2022-02,65,186798
Sagamihara/Kanagawa,80over,1,2022-02,6,7471
Sagamihara/Kanagawa,80over,2,2022-02,324,1226517
Sagamihara/Kanagawa,80over,3,2022-02,49,765831
Sagamihara/Kanagawa,80over,4,2022-02,0,0
Sagamihara/Kanagawa,80over,5,2022-02,0,0
Sagamihara/Kanagawa,80over,6,2022-02,0,0
Sagamihara/Kanagawa,80over,7,2022-02,0,0
Sagamihara/Kanagawa,all,0,2022-02,124,5927515
Sagamihara/Kanagawa,all,1,2022-02,9,84949
Sagamihara/Kanagawa,all,2,2022-02,521,12429365
Sagamihara/Kanagawa,all,3,2022-02,66,2185303
Sagamihara/Kanagawa,all,4,2022-02,0,9
Sagamihara/Kanagawa,all,5,2022-02,0,19
Sagamihara/Kanagawa,all,6,2022-02,0,0
Sagamihara/Kanagawa,all,7,2022-02,0,0
Sagamihara/Kanagawa,80over,0,2022-03,61,201603
Sagamihara/Kanagawa,80over,1,2022-03,4,8719
Sagamihara/Kanagawa,80over,2,2022-03,185,292487
Sagamihara/Kanagawa,80over,3,2022-03,173,1903907
Sagamihara/Kanagawa,80over,4,2022-03,0,0
Sagamihara/Kanagawa,80over,5,2022-03,0,0
Sagamihara/Kanagawa,80over,6,2022-03,0,0
Sagamihara/Kanagawa,80over,7,2022-03,0,0
Sagamihara/Kanagawa,all,0,2022-03,115,6474094
Sagamihara/Kanagawa,all,1,2022-03,5,133146
Sagamihara/Kanagawa,all,2,2022-03,301,8400686
Sagamihara/Kanagawa,all,3,2022-03,229,7807076
Sagamihara/Kanagawa,all,4,2022-03,0,9
Sagamihara/Kanagawa,all,5,2022-03,0,31
Sagamihara/Kanagawa,all,6,2022-03,0,0
Sagamihara/Kanagawa,all,7,2022-03,0,0
Sagamihara/Kanagawa,80over,0,2022-04,49,191853
Sagamihara/Kanagawa,80over,1,2022-04,10,7094
Sagamihara/Kanagawa,80over,2,2022-04,93,133018
Sagamihara/Kanagawa,80over,3,2022-04,229,1985561
Sagamihara/Kanagawa,80over,4,2022-04,0,0
Sagamihara/Kanagawa,80over,5,2022-04,0,0
Sagamihara/Kanagawa,80over,6,2022-04,0,0
Sagamihara/Kanagawa,80over,7,2022-04,0,0
Sagamihara/Kanagawa,all,0,2022-04,79,6112299
Sagamihara/Kanagawa,all,1,2022-04,12,162363
Sagamihara/Kanagawa,all,2,2022-04,171,5351447
Sagamihara/Kanagawa,all,3,2022-04,312,10435065
Sagamihara/Kanagawa,all,4,2022-04,0,60
Sagamihara/Kanagawa,all,5,2022-04,0,30
Sagamihara/Kanagawa,all,6,2022-04,0,0
Sagamihara/Kanagawa,all,7,2022-04,0,0
Sagamihara/Kanagawa,80over,0,2022-05,42,196031
Sagamihara/Kanagawa,80over,1,2022-05,5,6285
Sagamihara/Kanagawa,80over,2,2022-05,95,106965
Sagamihara/Kanagawa,80over,3,2022-05,235,2073685
Sagamihara/Kanagawa,80over,4,2022-05,0,0
Sagamihara/Kanagawa,80over,5,2022-05,0,0
Sagamihara/Kanagawa,80over,6,2022-05,0,0
Sagamihara/Kanagawa,80over,7,2022-05,0,0
Sagamihara/Kanagawa,all,0,2022-05,87,6234553
Sagamihara/Kanagawa,all,1,2022-05,9,114822
Sagamihara/Kanagawa,all,2,2022-05,143,4287564
Sagamihara/Kanagawa,all,3,2022-05,355,12141818
Sagamihara/Kanagawa,all,4,2022-05,0,64
Sagamihara/Kanagawa,all,5,2022-05,0,31
Sagamihara/Kanagawa,all,6,2022-05,0,0
Sagamihara/Kanagawa,all,7,2022-05,0,0
Sagamihara/Kanagawa,80over,0,2022-06,40,188166
Sagamihara/Kanagawa,80over,1,2022-06,5,5707
Sagamihara/Kanagawa,80over,2,2022-06,57,86996
Sagamihara/Kanagawa,80over,3,2022-06,264,2010882
Sagamihara/Kanagawa,80over,4,2022-06,0,3541
Sagamihara/Kanagawa,80over,5,2022-06,0,0
Sagamihara/Kanagawa,80over,6,2022-06,0,0
Sagamihara/Kanagawa,80over,7,2022-06,0,0
Sagamihara/Kanagawa,all,0,2022-06,101,5994425
Sagamihara/Kanagawa,all,1,2022-06,5,88574
Sagamihara/Kanagawa,all,2,2022-06,90,3596054
Sagamihara/Kanagawa,all,3,2022-06,389,12331306
Sagamihara/Kanagawa,all,4,2022-06,0,16127
Sagamihara/Kanagawa,all,5,2022-06,0,30
Sagamihara/Kanagawa,all,6,2022-06,0,0
Sagamihara/Kanagawa,all,7,2022-06,0,0
Sagamihara/Kanagawa,80over,0,2022-07,51,192775
Sagamihara/Kanagawa,80over,1,2022-07,3,5693
Sagamihara/Kanagawa,80over,2,2022-07,47,80922
Sagamihara/Kanagawa,80over,3,2022-07,268,1510031
Sagamihara/Kanagawa,80over,4,2022-07,16,570751
Sagamihara/Kanagawa,80over,5,2022-07,0,0
Sagamihara/Kanagawa,80over,6,2022-07,0,0
Sagamihara/Kanagawa,80over,7,2022-07,0,0
Sagamihara/Kanagawa,all,0,2022-07,97,6166898
Sagamihara/Kanagawa,all,1,2022-07,4,83622
Sagamihara/Kanagawa,all,2,2022-07,85,3410131
Sagamihara/Kanagawa,all,3,2022-07,417,11907798
Sagamihara/Kanagawa,all,4,2022-07,20,1173422
Sagamihara/Kanagawa,all,5,2022-07,0,31
Sagamihara/Kanagawa,all,6,2022-07,0,0
Sagamihara/Kanagawa,all,7,2022-07,0,0
Sagamihara/Kanagawa,80over,0,2022-08,58,190078
Sagamihara/Kanagawa,80over,1,2022-08,4,5940
Sagamihara/Kanagawa,80over,2,2022-08,46,72273
Sagamihara/Kanagawa,80over,3,2022-08,243,565136
Sagamihara/Kanagawa,80over,4,2022-08,76,1513750
Sagamihara/Kanagawa,80over,5,2022-08,0,0
Sagamihara/Kanagawa,80over,6,2022-08,0,0
Sagamihara/Kanagawa,80over,7,2022-08,0,0
Sagamihara/Kanagawa,all,0,2022-08,102,6128213
Sagamihara/Kanagawa,all,1,2022-08,5,93177
Sagamihara/Kanagawa,all,2,2022-08,90,3107899
Sagamihara/Kanagawa,all,3,2022-08,375,8838903
Sagamihara/Kanagawa,all,4,2022-08,117,4552999
Sagamihara/Kanagawa,all,5,2022-08,0,31
Sagamihara/Kanagawa,all,6,2022-08,0,0
Sagamihara/Kanagawa,all,7,2022-08,0,0
Sagamihara/Kanagawa,80over,0,2022-09,41,181649
Sagamihara/Kanagawa,80over,1,2022-09,3,5710
Sagamihara/Kanagawa,80over,2,2022-09,29,63715
Sagamihara/Kanagawa,80over,3,2022-09,187,279612
Sagamihara/Kanagawa,80over,4,2022-09,156,1728501
Sagamihara/Kanagawa,80over,5,2022-09,0,1
Sagamihara/Kanagawa,80over,6,2022-09,0,0
Sagamihara/Kanagawa,80over,7,2022-09,0,0
Sagamihara/Kanagawa,all,0,2022-09,85,5901734
Sagamihara/Kanagawa,all,1,2022-09,5,84944
Sagamihara/Kanagawa,all,2,2022-09,62,2880257
Sagamihara/Kanagawa,all,3,2022-09,291,7350859
Sagamihara/Kanagawa,all,4,2022-09,219,5750522
Sagamihara/Kanagawa,all,5,2022-09,0,31
Sagamihara/Kanagawa,all,6,2022-09,0,0
Sagamihara/Kanagawa,all,7,2022-09,0,0
Sagamihara/Kanagawa,80over,0,2022-10,39,186083
Sagamihara/Kanagawa,80over,1,2022-10,7,5316
Sagamihara/Kanagawa,80over,2,2022-10,34,62390
Sagamihara/Kanagawa,80over,3,2022-10,110,221024
Sagamihara/Kanagawa,80over,4,2022-10,233,1846476
Sagamihara/Kanagawa,80over,5,2022-10,0,68
Sagamihara/Kanagawa,80over,6,2022-10,0,0
Sagamihara/Kanagawa,80over,7,2022-10,0,0
Sagamihara/Kanagawa,all,0,2022-10,108,6086113
