year,month,age,dead
1999,4,94,202
1999,4,95,134
1999,4,96,113
1999,4,97,75
1999,4,98,59
1999,4,99,41
1999,4,100,63
1999,5,0,47
1999,5,5,44
1999,5,10,44
1999,5,15,49
1999,5,20,84
1999,5,25,115
1999,5,30,31
1999,5,31,40
1999,5,32,34
1999,5,33,34
1999,5,34,56
1999,5,35,83
1999,5,36,79
1999,5,37,96
1999,5,38,103
1999,5,39,142
1999,5,40,145
1999,5,41,183
1999,5,42,169
1999,5,43,209
1999,5,44,247
1999,5,45,246
1999,5,46,260
1999,5,47,306
1999,5,48,359
1999,5,49,373
1999,5,50,404
1999,5,51,445
1999,5,52,551
1999,5,53,450
1999,5,54,529
1999,5,55,627
1999,5,56,666
1999,5,57,645
1999,5,58,692
1999,5,59,678
1999,5,60,721
1999,5,61,838
1999,5,62,829
1999,5,63,880
1999,5,64,982
1999,5,65,930
1999,5,66,1030
1999,5,67,1085
1999,5,68,1225
1999,5,69,1214
1999,5,70,1361
1999,5,71,1452
1999,5,72,1474
1999,5,73,1551
1999,5,74,1543
1999,5,75,1595
1999,5,76,1500
1999,5,77,1541
1999,5,78,1454
1999,5,79,1381
1999,5,80,1311
1999,5,81,1263
1999,5,82,1184
1999,5,83,1122
1999,5,84,1067
1999,5,85,990
1999,5,86,850
1999,5,87,775
1999,5,88,672
1999,5,89,565
1999,5,90,473
1999,5,91,420
1999,5,92,319
1999,5,93,234
1999,5,94,195
1999,5,95,152
1999,5,96,110
1999,5,97,75
1999,5,98,55
1999,5,99,43
1999,5,100,49
1999,6,0,38
1999,6,5,43
1999,6,10,38
1999,6,15,69
1999,6,20,66
1999,6,25,120
1999,6,30,32
1999,6,31,30
1999,6,32,42
1999,6,33,43
1999,6,34,66
1999,6,35,65
1999,6,36,95
1999,6,37,99
1999,6,38,126
1999,6,39,125
1999,6,40,114
1999,6,41,175
1999,6,42,167
1999,6,43,159
1999,6,44,223
1999,6,45,255
1999,6,46,286
1999,6,47,281
1999,6,48,278
1999,6,49,346
1999,6,50,376
1999,6,51,455
1999,6,52,512
1999,6,53,425
1999,6,54,490
1999,6,55,560
1999,6,56,662
1999,6,57,600
1999,6,58,643
1999,6,59,691
1999,6,60,709
1999,6,61,758
1999,6,62,840
1999,6,63,845
1999,6,64,928
1999,6,65,918
1999,6,66,1018
1999,6,67,1070
1999,6,68,1157
1999,6,69,1255
1999,6,70,1278
1999,6,71,1249
1999,6,72,1346
1999,6,73,1460
1999,6,74,1418
1999,6,75,1443
1999,6,76,1493
1999,6,77,1462
1999,6,78,1495
1999,6,79,1340
1999,6,80,1286
1999,6,81,1199
1999,6,82,1150
1999,6,83,1124
1999,6,84,928
1999,6,85,929
1999,6,86,867
1999,6,87,761
1999,6,88,677
1999,6,89,522
1999,6,90,424
1999,6,91,394
1999,6,92,344
1999,6,93,233
1999,6,94,195
1999,6,95,150
1999,6,96,105
1999,6,97,83
1999,6,98,48
1999,6,99,38
1999,6,100,69
1999,7,0,38
1999,7,5,37
1999,7,10,35
1999,7,15,63
1999,7,20,94
1999,7,25,119
1999,7,30,25
1999,7,31,43
1999,7,32,35
1999,7,33,44
1999,7,34,49
1999,7,35,60
1999,7,36,74
1999,7,37,98
1999,7,38,127
1999,7,39,142
1999,7,40,107
1999,7,41,175
1999,7,42,173
1999,7,43,195
1999,7,44,228
1999,7,45,254
1999,7,46,281
1999,7,47,272
1999,7,48,364
1999,7,49,343
1999,7,50,406
1999,7,51,468
1999,7,52,582
1999,7,53,466
1999,7,54,528
1999,7,55,562
1999,7,56,661
1999,7,57,627
1999,7,58,687
1999,7,59,690
1999,7,60,739
1999,7,61,822
1999,7,62,835
1999,7,63,899
1999,7,64,946
1999,7,65,951
1999,7,66,1028
1999,7,67,1096
1999,7,68,1128
1999,7,69,1308
1999,7,70,1267
1999,7,71,1413
1999,7,72,1496
1999,7,73,1432
1999,7,74,1510
1999,7,75,1510
1999,7,76,1509
1999,7,77,1496
1999,7,78,1513
1999,7,79,1422
1999,7,80,1356
1999,7,81,1346
1999,7,82,1190
1999,7,83,1116
