code,type,year,month,dead
I21+I22+I46+I50,ucd,2010,07,220
I21+I22+I46+I50,ucd,2010,08,208
I21+I22+I46+I50,ucd,2010,09,215
I21+I22+I46+I50,ucd,2010,10,239
I21+I22+I46+I50,ucd,2010,11,239
I21+I22+I46+I50,ucd,2010,12,254
I21+I22+I46+I50,ucd,2011,01,232
I21+I22+I46+I50,ucd,2011,02,215
I21+I22+I46+I50,ucd,2011,03,255
I21+I22+I46+I50,ucd,2011,04,272
I21+I22+I46+I50,ucd,2011,05,225
I21+I22+I46+I50,ucd,2011,06,208
I21+I22+I46+I50,ucd,2011,07,217
I21+I22+I46+I50,ucd,2011,08,192
I21+I22+I46+I50,ucd,2011,09,157
I21+I22+I46+I50,ucd,2011,10,221
I21+I22+I46+I50,ucd,2011,11,212
I21+I22+I46+I50,ucd,2011,12,202
I21+I22+I46+I50,ucd,2012,01,267
I21+I22+I46+I50,ucd,2012,02,228
I21+I22+I46+I50,ucd,2012,03,254
I21+I22+I46+I50,ucd,2012,04,232
I21+I22+I46+I50,ucd,2012,05,252
I21+I22+I46+I50,ucd,2012,06,189
I21+I22+I46+I50,ucd,2012,07,216
I21+I22+I46+I50,ucd,2012,08,203
I21+I22+I46+I50,ucd,2012,09,198
I21+I22+I46+I50,ucd,2012,10,197
I21+I22+I46+I50,ucd,2012,11,228
I21+I22+I46+I50,ucd,2012,12,234
I21+I22+I46+I50,ucd,2013,01,220
I21+I22+I46+I50,ucd,2013,02,226
I21+I22+I46+I50,ucd,2013,03,235
I21+I22+I46+I50,ucd,2013,04,232
I21+I22+I46+I50,ucd,2013,05,234
I21+I22+I46+I50,ucd,2013,06,203
I21+I22+I46+I50,ucd,2013,07,206
I21+I22+I46+I50,ucd,2013,08,219
I21+I22+I46+I50,ucd,2013,09,201
I21+I22+I46+I50,ucd,2013,10,237
I21+I22+I46+I50,ucd,2013,11,235
I21+I22+I46+I50,ucd,2013,12,272
I21+I22+I46+I50,ucd,2014,01,222
I21+I22+I46+I50,ucd,2014,02,234
I21+I22+I46+I50,ucd,2014,03,236
I21+I22+I46+I50,ucd,2014,04,213
I21+I22+I46+I50,ucd,2014,05,211
I21+I22+I46+I50,ucd,2014,06,190
I21+I22+I46+I50,ucd,2014,07,199
I21+I22+I46+I50,ucd,2014,08,234
I21+I22+I46+I50,ucd,2014,09,209
I21+I22+I46+I50,ucd,2014,10,249
I21+I22+I46+I50,ucd,2014,11,257
I21+I22+I46+I50,ucd,2014,12,276
I21+I22+I46+I50,ucd,2015,01,245
