type,year,age,count
net,2021,80,-230
net,2022,80,-162
net,2023,80,57
net,2001,85,10
net,2002,85,31
net,2003,85,24
net,2004,85,13
net,2005,85,6
net,2006,85,14
net,2007,85,43
net,2008,85,37
net,2009,85,21
net,2010,85,-3
net,2011,85,-32
net,2012,85,1
net,2013,85,9
net,2014,85,4
net,2015,85,30
net,2016,85,34
net,2017,85,40
net,2018,85,-20
net,2019,85,66
net,2020,85,13
net,2021,85,-60
net,2022,85,-73
net,2023,85,-32
net,2001,90,13
net,2002,90,55
net,2003,90,51
net,2004,90,22
net,2005,90,36
net,2006,90,17
net,2007,90,10
net,2008,90,3
net,2009,90,21
net,2010,90,11
net,2011,90,22
net,2012,90,10
