cause,year,week,dead,date
ucd,2019,8,1031,2019-02-20
ucd,2019,9,1017,2019-02-27
ucd,2019,10,1012,2019-03-06
ucd,2019,11,1021,2019-03-13
ucd,2019,12,1032,2019-03-20
ucd,2019,13,1022,2019-03-27
ucd,2019,14,1031,2019-04-03
ucd,2019,15,961,2019-04-10
ucd,2019,16,1010,2019-04-17
ucd,2019,17,1028,2019-04-24
ucd,2019,18,1047,2019-05-01
ucd,2019,19,1021,2019-05-08
ucd,2019,20,1017,2019-05-15
ucd,2019,21,1009,2019-05-22
ucd,2019,22,998,2019-05-29
ucd,2019,23,981,2019-06-05
ucd,2019,24,997,2019-06-12
ucd,2019,25,1047,2019-06-19
ucd,2019,26,1021,2019-06-26
ucd,2019,27,997,2019-07-03
ucd,2019,28,1030,2019-07-10
ucd,2019,29,983,2019-07-17
ucd,2019,30,979,2019-07-24
ucd,2019,31,977,2019-07-31
ucd,2019,32,979,2019-08-07
ucd,2019,33,970,2019-08-14
ucd,2019,34,979,2019-08-21
ucd,2019,35,1006,2019-08-28
ucd,2019,36,1025,2019-09-04
ucd,2019,37,954,2019-09-11
ucd,2019,38,1002,2019-09-18
ucd,2019,39,1029,2019-09-25
ucd,2019,40,1005,2019-10-02
ucd,2019,41,952,2019-10-09
ucd,2019,42,995,2019-10-16
ucd,2019,43,939,2019-10-23
ucd,2019,44,997,2019-10-30
ucd,2019,45,995,2019-11-06
ucd,2019,46,1017,2019-11-13
ucd,2019,47,1041,2019-11-20
ucd,2019,48,960,2019-11-27
ucd,2019,49,999,2019-12-04
ucd,2019,50,984,2019-12-11
ucd,2019,51,985,2019-12-18
ucd,2019,52,969,2019-12-25
ucd,2020,1,948,2020-01-01
ucd,2020,2,1007,2020-01-08
ucd,2020,3,1004,2020-01-15
ucd,2020,4,1020,2020-01-22
ucd,2020,5,1046,2020-01-29
ucd,2020,6,981,2020-02-05
ucd,2020,7,1015,2020-02-12
ucd,2020,8,1048,2020-02-19
ucd,2020,9,1054,2020-02-26
ucd,2020,10,974,2020-03-04
ucd,2020,11,981,2020-03-11
ucd,2020,12,1008,2020-03-18
ucd,2020,13,1004,2020-03-25
ucd,2020,14,978,2020-04-01
ucd,2020,15,977,2020-04-08
ucd,2020,16,1006,2020-04-15
ucd,2020,17,986,2020-04-22
ucd,2020,18,987,2020-04-29
ucd,2020,19,958,2020-05-06
ucd,2020,20,981,2020-05-13
ucd,2020,21,946,2020-05-20
ucd,2020,22,950,2020-05-27
ucd,2020,23,1008,2020-06-03
ucd,2020,24,1002,2020-06-10
ucd,2020,25,937,2020-06-17
ucd,2020,26,955,2020-06-24
ucd,2020,27,958,2020-07-01
ucd,2020,28,986,2020-07-08
ucd,2020,29,987,2020-07-15
ucd,2020,30,983,2020-07-22
ucd,2020,31,987,2020-07-29
ucd,2020,32,945,2020-08-05
ucd,2020,33,1013,2020-08-12
ucd,2020,34,956,2020-08-19
ucd,2020,35,950,2020-08-26
ucd,2020,36,1025,2020-09-02
ucd,2020,37,932,2020-09-09
ucd,2020,38,959,2020-09-16
ucd,2020,39,947,2020-09-23
ucd,2020,40,960,2020-09-30
ucd,2020,41,998,2020-10-07
ucd,2020,42,931,2020-10-14
ucd,2020,43,959,2020-10-21
ucd,2020,44,982,2020-10-28
ucd,2020,45,986,2020-11-04
ucd,2020,46,987,2020-11-11
ucd,2020,47,960,2020-11-18
